20090220081632AAI0A9G	Food & Drink;Cooking & Recipes	What can I do with 1 lb. of collard greens?	I've never eaten them and ...well, they were a good buy.
20090220123025AA9M2zu	Food & Drink;Vegetarian & Vegan	Vegetarian foods Website?	I have recently decided to become a vegetarian but was really pissed off when i went to get some percy pigs, liquorice and midget gems and after Reading the packets found out they all contained animal products :(      can someone please tell me a website where i can find out which foods are suitable for vegetarians and which ones are not????????       please because i really love sweets :( lol
20090220123440AAJjApY	Food & Drink;Cooking & Recipes	How to cook smoke sausage?	N/A
20090220130311AApHydK	Food & Drink;Cooking & Recipes	Ingredient left overs?	Hi I love cooking but I'm starting to have a problem with how to deal with so much ingredients left. I'm only cooking for two (husband) and there are ingredients available in big packs or bottles. It's fine keeping them but sometimes, it gets bad or expired when I've only used them once. i like cooking different dishes as much as i can and i would only repeat a dish maybe after another month or two.       what do you normally do with your excess ingredients??
20090220130717AAcN2xd	Food & Drink;Other - Food & Drink	I squeeze homemade orange juice everyday. Is this good for me or bad?	Someone told me orange juice can make you fat
20090220131235AAzPKyQ	Food & Drink;Entertaining	Luau Party- Any advice?	I'm have a Luau party (it will be catered at a restaurant and I hired a DJ) for 40 people.       I was looking for help with ideas for Games, center pieces, decorations, any other fun party ideas?      It's an adult only party...
20090220131514AAQhJoV	Food & Drink;Cooking & Recipes	A replacement recipe for playdough?	me & my friend are making a mini dog sled and we need something to use as a shape of a tear drop. my friend doesn't have any play dough and neither do i. we need a quick recipe for homemade play dough, and fast our sled is due in 2 weeks!
20090203024959AAY1yPr	Food & Drink;Other - Food & Drink	Bottle of diet coke out of date?	I Just bought a case of bottles of diet coke and they are 3 months out of date are they ok to drink. I cant take them back because they have been opened
20090203031845AAR2njC	Food & Drink;Cooking & Recipes	Is it possible to make your own instant rice?	I'd like to make some of my stored rice into instant rice.  Is this possible at home?  Has anyone ever tried it or know how it's done?
20090203031829AAvWIve	Food & Drink;Cooking & Recipes	Are onions Homogeneous or Heterogeneous( not in a salad, just the onion itself)?	i really need to know
20090203032436AApUtsV	Food & Drink;Cooking & Recipes	I have frozen mince and want some good ideas of what meals to cook with it?	I want to make a meal thats different from the bog standard cottage pie, or spaghetti bolognese .   We are sick of the same old meals lol
20090203034557AAtqXte	Food & Drink;Cooking & Recipes	How do you make homemade ravioli?	How can I make ravioli and what ideas do you have for fillings?
20090220135213AAG7aLy	Food & Drink;Other - Food & Drink	What is the best tasting energy drink?	just wanted to know which one tastes best
20090220125121AAAL3Tv	Food & Drink;Other - Food & Drink	Is it true that if you eat pop rocks and then drink a glass of coke, your belly explode?	Is that true?
20090220130120AArmmAc	Food & Drink;Cooking & Recipes	I've got some New Zealand beef in chunks, I want the meat to be very soft?	So I have some cuts of beef. Should I boil them to get it Really soft??    When I fry beef its never soft. Should I pierce holes in them?
20090220120406AAdHlQR	Food & Drink;Other - Food & Drink	I just ate bread that could of had gone off eggs or milk in, will i get ill?	I ate like half a big frenchstick of it wil i b ill?
20090220151850AAkjPck	Food & Drink;Cooking & Recipes	Need a really good chocolate cake recipe to make for my Dad for his birthday?	Needs to be moist, gooey, chocolatey, very nice, not super rich. I'm quite skilled as a baker but not mega expensive to make would be nice. I don't ask for much do I?!
20090220150257AA3zgM2	Food & Drink;Cooking & Recipes	Give me your most simple and delicious Boca Burger recipe you have!?	And if you arent sure what a Boca burger is, its a patty that is made with no meat at all but still tastes like a real burger! Please help! :)
20090220131030AAZowQ6	Food & Drink;Cooking & Recipes	Anyone have any good recipes for pizzelle cookies?	N/A
20090220125505AAKWGOM	Food & Drink;Non-Alcoholic Drinks	Which energy drink is better for me?	ive been alternating between the amp sugar free energy drink and the rockstar sugar free energy drink....      the ingredients are pretty much the same but the second one has just a little more caffeine and tastes better, however it also contains milk thistle and has 100% of the vitamin Bs instead of 10% of the vitamin Bs like the amp drink.      anyone know which one is better for your body? thank you.
20090220152101AAcRB7a	Food & Drink;Other - Food & Drink	What are pinenuts come from?	N/A
20090220140119AADRLXy	Food & Drink;Ethnic Cuisine	What does oyster sauce taste like?	I know that sounds like a stupid question, but it's listed as one of the ingredients in a new recipe. My husband doesn't like "fishy" tastes. Is oyster sauce have a strong fishy taste when mixed into a recipe? If so, is there a good alternative?
20090220144434AAIHT78	Food & Drink;Other - Food & Drink	Do you like beans on toast?	I've always disliked the two together but recently I love them.
20090219215950AAnGOrK	Food & Drink;Beer, Wine & Spirits	What is sizzurp??????	you know that song "sippin on some sizzurp?'
20090220144537AAlUMKk	Food & Drink;Beer, Wine & Spirits	Why is distilling liquor in the US illegal?	So I did very minimal research but found that distilling liquor in the US is illegal. Why do u think that is? Obviously moonshine has a history of being made in our country despite being illegal. I just starting brewing my own beer and love the process and would probably enjoy the process of distilling even though it takes much longer. I am about to graduate college and am thinking about going abroad to places such as Germany. Are there places in the world where it is legal? What is the harm, i.e. reasons that you think its illegal in many places. Thanks for your input.
20090220140153AAWha1g	Food & Drink;Cooking & Recipes	My mom is not feeling well and I want to cook for my brothers and sisters. I have two whole chickens...?	Ok, I have 2 whole chickens that have not been cut up yet and skin-off. I wanted to bake it, but I don't have that many ingredients at the house. I have some seasonings, potatoes, onions, garlic, rice, tomatoes, tomatoe paste...What can I throw together to make a nice hearty meal for my brothers and sisters to enjoy
20090220141336AAVTvbJ	Food & Drink;Cooking & Recipes	I'm your son in law and I'm coming over for dinner along with your daughter. What will we be having tonight?	want me to pick up anything on my way?      thank you
20090220123627AA2VCKm	Food & Drink;Vegetarian & Vegan	Can you let me know a brand of peanut butter that has NO hydrogenated oils?	N/A
20090220130929AAw7oTO	Food & Drink;Cooking & Recipes	What can i use as a subtituation for an egg in pan cakes?	i satred makeing them, then i relized i dont have ne eggs      i only need one egg   i cant just go out and get one
20090220125416AAtFG9L	Food & Drink;Cooking & Recipes	Restaurant style pizza crust?	i dont like the basic flour, yeast, and water crust.  i have used olive oil and honey to make it better.  but any other recipes to make a better crust?      for one pizza.      thanks!
20090220124456AACwc1i	Food & Drink;Cooking & Recipes	Question about substituting ingredients in cookies.....?	I have all the ingredients to make no bake cookies except I ran out of butter. I need to know if I can use anything else, like oil, to replace the 1/2 cup of butter the recipe calls for. I normally would just wait until tomorrow to make them but I am CRavInG them very badly and want them a.s.a.p :)
20090220125845AAovRo1	Food & Drink;Other - Food & Drink	Has any one seen a fresh coconut in the uk i need to buy?	im in the uk and haven't seen fresh whole coconut have you and can you tell me where i need one ..please dont say at the fair
20090220123223AACqXYi	Food & Drink;Cooking & Recipes	Poll: Best snack when you've smoked some ganja and got the munchies?	What is the best snack food to eat when you're high and got the munchies big time?      Non-tokers and preachers not welcome.
20090220145129AA9aHT7	Food & Drink;Cooking & Recipes	I need recipe for coconut filled chocolates :)?	ok, so i need a good recipe for those bite size chocolates that have coconut and a creamy filling of some sort.    if you have any other fun, easy recipes like this, i'd really appreciate them.   thank you :)
20090220145055AAGQNX1	Food & Drink;Cooking & Recipes	Is icecream good for you?	if you eat icecream in moderation is it good for you?
20090220130346AARsKG1	Food & Drink;Other - Food & Drink	What is red meat? is it fish or chicken or some thing else?	N/A
20090220142623AASQ31S	Food & Drink;Cooking & Recipes	How to broil a steak Temp setting?	I know that you are supposed to set your oven to broil but we have a very old oven that does not have a broil setting. What temp should we set it at? The higest setting till it is not pink anymore? How often should we check it?
20090220124454AAJSB3n	Food & Drink;Cooking & Recipes	Perfect pie recipes!?	I would like to know if there is a site that really does give the best recipe's for pies. I would like some unusual recipes and some great classics...
20090220151027AAGD4ZW	Food & Drink;Other - Food & Drink	What is the perfect amount of time you should put popcorn in the microwave?	N/A
20090220151255AA1enYf	Food & Drink;Other - Food & Drink	What are some places where they have cheesecake ice cream?	like baskin robbins and stuff   brands are ok too like wat u get at the grocery store
20090220130758AAL6jzc	Food & Drink;Cooking & Recipes	Best way to store cupcakes until Sunday at noon?	I'm baking the cupcakes today, will frost them tomorrow... What is the best way to store them to keep them tasting freshest?  If they don't taste perfect, I'll stay up all night Sunday to start over just to have fresh cupcakes for my event Sunday at noon LOL
20090220123528AA6OpaB	Food & Drink;Cooking & Recipes	I'm in the mood for eggs and potatoes?	I am going to scramble the eggs, but idk how to make tyhe potatoes.. should i put olive oil in the bottom of the pan and let thin slices fry up? suggestions?
20090220121517AANcGhS	Food & Drink;Vegetarian & Vegan	What 5 states do you think are the most vegetarian friendly?	N/A
20090220145421AAnx6Iz	Food & Drink;Beer, Wine & Spirits	Should I get myself some special k bars?	right now I have go-ahead bars and they're 124 calories a bar but special k are 90?   are they good?   tell me people!      p.s. I'm boreddddddddd!
20090220125032AAeKNHj	Food & Drink;Cooking & Recipes	What should I have for dinner tonight?	I'm trying to think of something to make for dinner tonight. Can anyone help me with any good recipies please. I don't like any seafood.
20090220103524AAFyLmm	Food & Drink;Beer, Wine & Spirits	Who is John L. Nau III?	N/A
20090220130327AAB8aFw	Food & Drink;Cooking & Recipes	The traumatically stress from evolution would make apple pie yes?	N/A
20090220125250AAdsmxP	Food & Drink;Cooking & Recipes	How to make homemade jelly?	Can someone tell me what is needed and how to make grape jelly?
20090220141927AACxdY1	Food & Drink;Vegetarian & Vegan	What's the nutritional value of human excrement?	N/A
20090220103535AA73STq	Food & Drink;Beer, Wine & Spirits	Which alcohol is less smelly on ur breath?	im goin on a night out on sat and im working the next day but dont want anyone to smell alcohol off me as is isnt appropriate! i seem to stink of it. and im not an alky!
20090220122041AAkVBL2	Food & Drink;Non-Alcoholic Drinks	Are the substance-free halls in a college really substance(alcohol) free?	I don't like drinking and am going to college for the studying rather than the partying. I don't want a roomate who'll come home out of their minds drunk and throwing up everywhere. I really hate that environment. Are the substance free halls effective and are the people that live in them also not into all the drinking? What is the live well program like at ASU?      I kno all colleges are supposed to be banned of substances, but everyone knows it doesn't work. lol
20090220125605AAoFaKG	Food & Drink;Beer, Wine & Spirits	Why dont I want to quit drinking?	I like drinking, it makes me feel good.when I am sober I dont feel good and I drink.Except if I drink to much i black out an dI dont like that. I wnat to quit but it is hard what can do Ito quit?
20090220125522AAKVv6o	Food & Drink;Other - Food & Drink	Is this menu romantic and special enough?	Starter: Tiger Prawn Salad with Chilli and Ginger dressing      Main: Sirloin Steak with Baked stuffed flat mushrooms and fine beans with merlot and shallot sauce      Dessert: Chocolate Mousse with fresh strawberries.       Served with champagne throughout and then a pot of coffee with heart shaped chocolates.       I'm going to cook it for my Husband the night before we go on our honeymoon.
20090220131138AAohStm	Food & Drink;Non-Alcoholic Drinks	How much caffeine does a two liter of Mountain Dew have?	I just drank one and I'm sleepy...
20090220140229AACqWvg	Food & Drink;Ethnic Cuisine	What is the history of the dessert pavlova?	N/A
20090220140504AAeQpak	Food & Drink;Cooking & Recipes	What is the best cookie recipe?	baking
20090220140506AAuuK0i	Food & Drink;Cooking & Recipes	Where can I get whole bats for cooking?	I'm looking to get whole Bats shipped to me to cook and eat. Not just bat meat but whole Bats, Indonesian fruit bats would be great, is there a place online I can go? Thanks.
20090220140533AAkSPLn	Food & Drink;Other - Food & Drink	Cante taste???????????	i cant taste because im pretty sick, and idk what to do!!!!   HEELLLLPPPP PLLLEEEAAASSEEEEE!!!!!!!!!!!!!!!!!!!!!!!...   i really want to be able to taste again!!! =[
20090220141404AAPa2yS	Food & Drink;Beer, Wine & Spirits	Where to buy a keg shell?	Where can I purchase a keg shell in Lubbock, Texas? I don't want to wait for an online purchase!
20090220142753AAmhqbi	Food & Drink;Entertaining	Sweet 16 Pool Party Ideas? :)?	At the beginning of October(3) I'm 16 and my friend is 15 and her mom said we could have a pool party at her house!Anyways I was wondering if anyone has an ideas like snacks,themes,etc. ?
20090220142816AAOI3Tf	Food & Drink;Cooking & Recipes	How do you cook regular oatmeal in the microwave?	How do you cook regular organic oats in the microwave?
20090220143537AA1U7q1	Food & Drink;Beer, Wine & Spirits	Where could ifind a wine glass...?	not just any wine glass though... i saw this on conan o'brian... as he took a tour at one of california's wineries... he had a large wine glass, almost half the size of him... and i wanted to know where i can buy one... anyone with any info on this, please help me out on this one....                  -thanks
20090220144044AA42iQJ	Food & Drink;Cooking & Recipes	Tried making some meringues tonight but after baking had a quick look in oven and every one of them had split.?	N/A
20090220144539AANYjQu	Food & Drink;Cooking & Recipes	What are some foods with carrageenan or agar in them.?	(or any seaweed). I need to bring food in for seaweed food day. Thanks:)
20090220144452AAdKkBA	Food & Drink;Other - Food & Drink	What did you have for breakfast?	N/A
20090220150509AA1d9WX	Food & Drink;Other - Food & Drink	A 'fictional' name for a sweet shop?	any made-up names to call a small sweet shop? again, anything creative and interesting will do :)
20090220145142AATtYUF	Food & Drink;Vegetarian & Vegan	Hotel party and what should i pack?	I am turning 14 and am having a party with 6 girls at a hotel. What should i pack? And any game ideas?
20090220145744AApnUBe	Food & Drink;Cooking & Recipes	What is a good classic way to bring this potato salad together?	I've been eating this store-bought potato salad and I'd really like to my own.      As far as I can tell, it's got potatoes, hard-boiled eggs, some sort of thick dressing, a little bit of red peppers, onion, and celery. All the veggies are very fine; I like it that way.      What I need to know is, how do I make this? I've never made potato salad before, and I really want to make mine kind of like what I've been getting. How do you make the dressing?      Thanks!
20090220150830AAa2jO8	Food & Drink;Vegetarian & Vegan	Going vegetarian for Lent?	I want to be a vegetarian for "Lent"    can someone give me advice   .....or maybe some recipes they have?
20090220150846AAvbnUh	Food & Drink;Beer, Wine & Spirits	Cigar somking inside building? how?	as we all  know we can't somke anyting inside the building ,   but how or what type of Lic. do i need to get to somke cigar in the lounge ( inside of building?) anybody please
20090220151326AAvM3iA	Food & Drink;Cooking & Recipes	Who can give me a cheap recipe ...?	fruit , cake, pie or potato chips (fresh,homemade)
20090220151731AAfqWhN	Food & Drink;Cooking & Recipes	I don't have a teaspoon what else can i use if i want to make cookies?	I don't have a teaspoon measure so i don't know what i can use in place of a teaspoon but still get the same amount of ingredient in it. Can anyone help me because i don't want to add too much baking soda or salt ...OH by the way which kind of baking soda am i supposed to use while making cookies?
20090220093257AAojc8V	Food & Drink;Beer, Wine & Spirits	DOES  CRANBERRY MAKE OUR HAIR LOOK RED?	N/A
20090220103804AANomFc	Food & Drink;Beer, Wine & Spirits	Is it ok to mix about 2 tablespoons of Guinness into coffee?  Or is it one of those non-mixy things?	N/A
20090220120955AACQlHC	Food & Drink;Other - Food & Drink	Super yummy belgian waffles they used to sell at sam's club and costco?	i cant find these waffles anywhere. they are pre-made, individually wrapped, chocolate dipped belgian waffles! (they have these sugar crystals when you bite into them) Does anyone know which ones im talking about? they used to sell them at costco and sam's club but dont anymore       they are amazingly yummy but i cant find them anywhere! help please? even if its out of the country its fine
20090220123039AA3hMrW	Food & Drink;Cooking & Recipes	Any ideas for cooking a whole chicken?	I usually make in oven with potatoes and garlic or beer butt on the grill. Looking for something a little different thank you.
20090220123301AAD5mHc	Food & Drink;Entertaining	MyCokeRewards Codes.........................…	MyCokeRewards Codes?   Does anyone have any UNUSED my coke rewards codes?I really need some .you could find them under cocacola caps.You could email them to me at akshay_fan1@yahoo.com.Thankyou
20090220123400AAy9bGx	Food & Drink;Cooking & Recipes	I'm looking for a cheesy potato casserole recipe?	this is not the recipe using hash browns or shredded potatoes. This version is popular in the midwest and uses cubed/diced potatoes.
20090220123737AA4GHr4	Food & Drink;Cooking & Recipes	What do i add or remove for a basic yellow cake at a high altitude?	im making a basic yellow cake from scratch, flour, sugar, salt, baking powder, eggs, milk and vanilla. ive only made this once before and it came out a bit dry, as im in the mile high city, denver. what should i do to make it a bit more moist?
20090220124056AAED4pE	Food & Drink;Beer, Wine & Spirits	Where can I buy Rainier Beer?	Rainier is now Brewed by Pabst under contract in Irwindale, CA. Here is a link to the current Rainier Website  http://www.rainier-beer.com  there is a locator on the site that will provide you info on where to get it. Rainier is featured in the "TWILIGHT" vampire movie that is set in Forks, WA
20090220124113AAw8b2B	Food & Drink;Cooking & Recipes	Sugar free birthday cake Recipe?	I am looking for a sugar free cake recipe? it really needs to use brown flour - but can use white? please help!!!      thankyou in advance.
20090220124248AAzT52f	Food & Drink;Entertaining	I need a gluten free cake?	I live in the NYC and i need a cake that us gluten free. Does anyone have any recommendations? Thanks for your help!
20090220124531AAw83PA	Food & Drink;Cooking & Recipes	How does make hot fudge sauce WITHOUT corn syrup or cream of tartar?	I live in Europe and it is not easy to find (although not impossible either, just costly and time consuming to do). Also, so far, I have been raising my child on mostly organic foods and when it comes to sweets, we make everything from scratch. A good basic recipe that would allow an easy substitute such as honey or maple syrup would be ideal.
20090220124532AAQuHwi	Food & Drink;Beer, Wine & Spirits	Alcohol, Alcohol, Alcohol - who discovered it and why…!?	I didn’t know that I am going to deal with this in my life until I met my boyfriend. We have been together for a little bit over a year. We are in our 40i’s. He drinks every single day... He doesn’t get drunk daily (only sometimes) but he has to have a glass of hard alcohol. Even he keeps a small bottle in his car and for example if we go skiing he will get a sip while we are getting ready for skiing. He never does it in front of me but I can smell it. I did confront him twice and he admitted that he has an alcohol problem but still drinks. I told him that I don’t want to be in a relationship with a guy who drinks daily but he keeps drinking. I am not sure what to do. Actually I do know that if he doesn’t stop I am going to leave him. I really like him, he is a really nice guy but this alcohol is my big issue. I told him that I am scared that I am going to lose him because of the alcohol but nothing changes… Obviously, he doesn’t care about me…  It’s time to do something…I want to give a try. I have been reading a lot online for all the alcohol issues that people have and the different ways to deal with it … Any help will be appreciated
20090220124805AAOLU89	Food & Drink;Cooking & Recipes	Is it ok to eat porridge thick? So it has hardly any runny parts to it.?	Would it still have the same nutritional value. Also I cook it in the microwave for 2 minutes. I drink a pint of water afterwards to keep hydrated, as I know the oats absorb alot of water.
20090220125830AAHEfDC	Food & Drink;Other - Food & Drink	Do you love or hate mint candy like mint york patties, junior mints, or wedding mints etc?	N/A
20090220130855AA1wAk0	Food & Drink;Cooking & Recipes	What is you favorite nut to eat? cashews, pecans, almonds,and any other i haven't mentioned?	N/A
20090220125832AAIjCxn	Food & Drink;Entertaining	Birthday party themes.?	ok im 14 and almost every year i have had a birthday theme, i love to go crazy with decorations and everythign, i always like to have a pinata.      these r the themes i've done.      ~mardi gras   ~pool party   ~movie   ~camping outdoor jungle thing...   and whanever..      my birthday is in april, im inviting 5 people, we gonna have a sleepover and a pinata, im not going to do ice skating, movie, or bowling, i just needs a good theme i can decorate my house with.       person with most themes gets 10 points,   ~thanks!!!
20090220125916AAissZB	Food & Drink;Beer, Wine & Spirits	Is it legal for shops to refuse selling alcohol to holders of non-british passports?	Hello!      I'm visiting UK for several weeks. I'm 21 and I was refused in buying alcohol quite a few times. I presented my passport with which I entered the UK (it is Russian). I was told that the only acceptable form of ID is British passport or some PASS cards. These cards can be issued for UK residents after some legal procedure.      So is that right that if a young person is visiting the UK he cannot drink beer in a pub?      I was refused to buy some beer in a Wetherspoon pub and Marks and Spencer store. Strange country :-/      Could anyone please explain me. Thank you      Best regards,   Roman
20090220130136AAPtYFi	Food & Drink;Other - Food & Drink	Are idaho potatoes organic?	N/A
20090220130141AAJEAwU	Food & Drink;Cooking & Recipes	I have leftover spinach what should I do with it?	I have some leftover spinach what should should i do with it, and also i would like a recipe for it too thanks
20090220130837AAYWB7L	Food & Drink;Cooking & Recipes	Why does my banana bread always turn out a little raw in the center?	If I only fill my loaf pan halfway then it turns out okay, but if I fill it any more, like 3/4 way up, it turns out very dark on the outside and gooey inside. I want to try to make bigger loaves, what am I doing wrong?
20090220130911AAIxsqm	Food & Drink;Other - Food & Drink	What are some good candy to sell at school in my lockers?	At School I sell candy in my locker only students know about it and i don't know what else to sell other than lollipops, snickers, Reese's, and skittles. So what else should i sell?
20090220131232AA0efYk	Food & Drink;Other - Food & Drink	Does green tea stain the teeth?	N/A
20090220133158AAN4ZAA	Food & Drink;Other - Food & Drink	What are some foods high in MSG?	i know chinese foods..   and ramen noodles, lol.   what else??
20090220132216AAOOLTE	Food & Drink;Beer, Wine & Spirits	Is there any posible way i can get absenth the real stuff?	the stuff looks like fun and i would love to try some
20090220132127AArKmvQ	Food & Drink;Other - Food & Drink	Flaming hot funyuns help!?	mkayy so i bought the most amazing chips ever the flaming hot funyuns which r awesome maybe even more than hot cheetos ...anyways as i finished eating my bag i realised it said size per serving 1 was 210 calories!!!    does that mean the whole bag or just one chip cuz if is just one thats alot i just wanted to knooo...
20090220132545AAITNMk	Food & Drink;Entertaining	What would be nice for dinner?	I'm having a chinese takeaway tonight for a change. Thinking I'll get a chicken szechuan... but what should I get with it? Chips, rice or noodles? Too many choices, I can't make up my mind! What would you get?
20090220132314AAd2kd8	Food & Drink;Other - Food & Drink	White stuff in chewing gum?	After i chew a piece of gum for a while.And if i look at the gum there is this white pieces in it??? what is it ?????????????thanks!!!!!
20090220132948AAEUrql	Food & Drink;Beer, Wine & Spirits	Fermentation of glucose and fructose help!?	why does yeast ferment fructose faster then glucose?   teacher hinted at structure? but what about it?
20090220133020AAUyybK	Food & Drink;Other - Food & Drink	What in the world is a nutty buddy bar?	haha i really wanna know
20090220133231AAlaXDQ	Food & Drink;Cooking & Recipes	Does any one have a healthy recipe for Cinnabuns?	I am trying to loose weight and I love Cinnabuns! I was wondering if anyone had a healthier recipe I could use! THANKS!
