20090223161257AAJHL6X	Politics & Government;Politics	Do liberals think that banks in the USA should be nationalized?	Much like in China and Cuba?
20090222160036AAJD97G	Politics & Government;Politics	Have you ever noticed that Obama sheep cannot drive?	Every day on the way to and from work I observe them trying to drive their vehicles on public roads. How do I know they are Obama sheep? Simple -- I just have to note the collection of Obama related bumper stickers on their car ("Change", "Hope", "Obama",  )      Observation #1:      Obama sheep do not understand that a turn signal should be used to ...well SIGNAL! Some of them will actually turn it on, but not until they have actually started their turn. Others will continue down the road at the posted speed limit, then cram on their brakes, coming to a complete stop and then turn on their signal. But most O-sheep don't even use the signal at all.      Observation #2:      O-sheep rarely drive the speed limit. I actually witnessed one entering an Interstate on-ramp going 25 mph (despite not having a car in front of him for several thousand feet). As a result, all the poor people behind him (including me) were forced to dangerously enter the freeway at hazardous slow speeds. It was entertaining to see an 18-wheeler almost hit the nut as he had no merging skills either, but seriously O-sheep should just turn in their licenses and their cars. Obama doesn't want to lose his supporters this way.      Observation #3      O-sheep will ALWAYS begin braking for a stop light so long as said stop light is red and within their sight. They don't understand they are 1,000+ feet away and that they need to arrive in the vicinity of the stop light to trigger a sensor to cause it to turn green. I suppose when you barely graduate high school and don't pursue college they don't learn about the world and how it works :( Sadly, I wish the DMV drivers test would catch such incompetencies.      I'll post some more observations later as I want to eat my dinner. What have you noticed about O-Sheep? Personally, I think they should just stick to public transport.
20090222154042AARpbEB	Politics & Government;Politics	What have you done for your fellow neighbor lately?	I see a lot of talk about certain people being good, or certain people being more politically correct than somebody else. It's a complete load of crap if you ask me.      When was the last time you did anything that wasn't just for yourself?      A republican friend of mine was blowing steam about this guy he saw on the street one night. This guy was with his girlfriend and was beating on her so he went over to him and beat him up. Then he just left her there, and that's the type of crap I am talking about when I really consider the extent of callousness in the republican party.   This guy would rather be macho and beat on his chest in order to make himself feel better than actually solve the problem by giving her a ride to a shelter, helping her call the police and get an order of protection, help her build confidence so she can find her own place... or even just sit down and have a conversation. No, instead he went off and acted like a "tough guy"...      ...Just like more than half of you crony little pigs (with and without the lipstick) sitting here talking like you are so much better, as if your ideas are so much more pure than anybody elses... when all you really do is belittle people and then get all upset when someone actually has the nerve to stand up to you.      So.... What have you done lately other than run your mouth and blow smoke through the internet?
20090222154351AAojkPu	Politics & Government;Politics	How can republicans help the economy rather than working against it?	Working with the current administration instead of protesting against it?
20090222114711AAs7U2v	Politics & Government;Government	Radical extremism???	in our personal opinion who kill more people?      1)Christianity Extremism   2)Islam Extremism   3) I don't   4) others
20090222155743AAMlFtb	Politics & Government;Law & Ethics	How many sick leave can you take in CA before considering job abandonment?	I am subbing for a position in a public school in CA, the person was supposed to return to work after 9 weeks of sick leave, and now she wants to postpone it to 3 more weeks. l understand that under CA law, or a law called the family act, one can allow to be absent for 12 weeks to take care of an ill family member or themselves. Can anyone give me a time frame as to how many days a person could be absent before their positions are terminated?
20090222115016AAJXENp	Politics & Government;Government	If Rahul becomes the P.M of India, will that be a dooms day for Tamils in Lanka and Tamil Nadu?	Sonia has nicely slaughtered the sri lankan Tamil in the name "war against LTTE" due to the path of the genocide against the inoocent Tamils protest, in Tamil Nadu lawyers and police are clashing , now if Rahul becomes the P.M , i feel the atrocities and massacre on Tamils in Lanka will be complete,   it is just my guessing, but highly possible, cz India is the key reason for the strength of the sinhalese govt, having strongly supported militarily and finacially
20090222154833AA3ie6Z	Politics & Government;Law & Ethics	What is the Love Law?	My college literature professor asked us to find it out for class for friday.   any help ? :[
20090222111450AA2iAa2	Politics & Government;Other - Politics & Government	When is Pelosi going to let me move into her multi-million dollar Pacific Heights Victorian mansion?	Isn't it all about SHARING?  Doesn't pelosi want to SHARE with me?      Didn't I earn it as much as those who took out loans they couldn't repay and are getting bailed out?
20090222152327AANKlgR	Politics & Government;Law & Ethics	I am 15 years old.  What are all of my legal rights?	I live in Colorado to be specific.  Please answer, or give me a link. thank you
20090222153256AAJ2w64	Politics & Government;Law Enforcement & Police	Can the police do anything about my moms decision?	My mom keeps threatening to call the police if I don't agree to go to a day treatment program at Children's Hospital.  It isn't court ordered, and I never signed any contracts.  Can the police still do anything t me if I don't go?
20090222153116AAZijO1	Politics & Government;Law & Ethics	Theft under 5000 at age 18?	i got caught shoplifting yesturday and i just turned 18.. the cop told me i have to go get my finger prints taken then i have to go to court.. im wondering if im gonna get a criminal record because of this and not be able to get a job... how long does it stay on my criminal record if so and can i go to the u.s /?/ ps i live in ont canada... and will i have to pay a fine or sumthing else ??
20090222153406AAfc4kv	Politics & Government;Law Enforcement & Police	Can the police give you a ticket if you are ditching school?	I'm 18 and a senior in high school but i was ditching with kids who are younger than me ( 17 and 16) can the police still give me a ticket even though I am by law considered an adult?
20090222153417AArIYOp	Politics & Government;Military	My bro is going in the marines?	my brother is going to the marines and i am going to do a slideshow with pictures of me and him., what is a really nice song i can put itin that really would mean something to him?
20090222153515AAaMoFi	Politics & Government;Government	What is the difference between the chinese government and the american government ?	i have to do a project for school on the forbidden city a story that takes place in china and i have to find a good diffrence and i was  hveing a problem with so i hthough i woul ask =D
20090222153525AA8oVR8	Politics & Government;Other - Politics & Government	What are 2 tragic events during George H W Bush's Term?	Im doing a US history project. i need two tragic events that happened during Bush Sr.'s term
20090222153711AA3TyJ5	Politics & Government;Military	What unit am i going to?	does anyone know what unit this is for active army?   Unit Number WEPQHD   Organization 0003AVHOME DET
20090222153853AAKzfg2	Politics & Government;Other - Politics & Government	What do people in Europe think of U.S?	I live in the U.S and everytime i come on here i see that alot of people hate us. I can see if you hate our government but just the average person? Why? We are not the people you think we are. Most of us are not idiots, the reason you think we are is because the media reports on idiots because of higher ratings. We are not violent, you think we are because of the government in Iraq Iran and Afghanistan. But probably 90% of us want to pull out of the war. I mean why do you guys hate us? I see that there are alot of people on here to that don't hate us but im talking to the ones who do hate us. The reason you see so much bad **** about us on the news is because your media is like ours. Reporting on other people making mistakes gets more media attention, which also gives them more money.......Look all i'm asking is that you at least talk to some of us with an open mind. Don't have your mind already made up. Just give us a chance......
20090222154750AAkvAnZ	Politics & Government;Government	What does everyone think of Obama's stimulus plan?	I currently live in Northeast Missisippi. Served 4 years in active army, fought the war in Iraq for a year, and came home to go without a job for 2 years.  Now, I understand I am not the only one trying to make ends meet without a job on unemployment benefits.  This is a hard time on a lot of people, and I'm sure it is a lot worse in other places right now and my heart goes out to those people.  But what I don't understand is why our governor here in MS is thinking about not actually taking part of the money from the stimulus plan that would keep money in the pockets of those that are out of work right now.  Where I live there are no jobs to be had, and the ones that are had are on the brink of being lost, and to take away these benefits would really leave a lot of us in a very tough situation!  Why would he not take this money??  If he goes through with this he would be leaving a lot of us here in MS with no job, no money, and he really isn't offering a lot of hope.  Why in the world would our Gov. go against something that would keep food on the tables of his people???  Please let me know what everyone thinks about this...
20090222155055AA9sX2g	Politics & Government;International Organizations	How To Become An Ambassador?	hi, im in 9th grade right now, and the past 3 years i've been really thinking serious on becoming an ambassador. my race is Filipino, so i would want to be an ambassador representing the philipines to another coutnry (thinking france cause i can speak french well)...       the problem is, how to do i officially become an ambassador for another coutnry.. should i go to school in the philippines and take my courses there or can is tay here in the US and take it here? then where do i go after that? and everything else...       i love my coutnry and i would be such a happy soul if i became an ambassador... better yet, the foreign minister... ahahahahaha!
20090222155144AASPsZj	Politics & Government;Law & Ethics	Death in the Family, Need some legal advice.?	Hello everyone thanks for taking your time out to help me with my situation. I do not have all the details but I will try to make it as clear as possible. My girlfriends father just passed recently and he had a home (his mothers) left to him and his two other brothers. I do not believe he had a will written out as to who gets his share of the sale of the home in case he died. Does this automatically get passed to the next of kin (his daughter and son)? Because now her uncle is trying to put it into probate so they do not get their fathers share of the sale of the home. I know i do not have all the details but any advice is greatly appreciated. Thanks.
20090222155401AACS12j	Politics & Government;Law & Ethics	Is there law that says a college has to follow their policy handbook?	Can colleges that follow a policy handbook be required by law to follow what they put in their handbooks, or does law just state that colleges have to have one?
20090222155943AAzY9uL	Politics & Government;Military	I want to become a gm gunner mate or a ma master at arms in the navy?	what should i study
20090426064048AAJyhpa	Politics & Government;Government	Is Barack Obama hung like a stallion?	your thought?
20090426065305AA4GxeM	Politics & Government;Law & Ethics	Illegal to sell avon products on e-bay?	I have a lot of unused make-up products from avon i was wondering if its illegal to sell them on ebay?
20090426072632AA0EwX2	Politics & Government;Law & Ethics	How to clean your record if you stole twice?	hi i got caught stealing from walmart and already stole from {dollarama 2 years ago} when i was 12 now i am 14and again stole from walmart but the security called the police and the police said that i have to go to police station for my fingerprints and my photos and in may 14 they called me to court. i dont know what to do i dont want to spoil my record .what i have to do clean my record , how to clean my record .
20060905145722AA8uhiF	Politics & Government;Politics	Why are words like liberal and conservative considered bad?	These labels have had a negative connotation for a while now with the opposite "stereotype".  People should think for themselves and ignore labels.  Educate yourself and act on what you think is right, not what your parents, family or region have traditionally voted.  Politicians want you to remain ignorant on the issues.  Think before you decide
20070216171110AAWRzo5	Politics & Government;Government	?Porque No Es Repatriado Porfirio Díaz?	No es justo que Porfirio Díaz que fué presidente de México, este en otro país. Su nombre está en cada rincón de México, sino preguntele al Hemicilo a Juárez, al ángel de la Independencia, a als paredes del centro. Un punto para regresarlo es que en el gobierno de Lazaro Cardenaz, se decretó el perdón a todos los exiliados y con ello regresó su hijo Porfirito... pero porque el no regresa.   México no tuvo mejor presidente que el sr. Díaz!   Ojalá regrese un día y que el presidente Calderón permita repatríar sus restos a México!
20070221174353AAgmsPE	Politics & Government;Politics	?Qué has hecho tú como ciudadano para mejorar las condiciones de tu país?	Siempre es fácil echarle la culpa al gobierno de todo. ?Qué consideras haber hecho para mejorar a tu país? En el terreno profesional, legal, social, etc.      ?Qué consideras que te hace falta para ser mejor ciudadano?
20070226034555AAEZOlQ	Politics & Government;Civic Participation	Que opinas sobre la pena de muerte?	se debe olvidar o se debe castigar con lo mismo al que mate
20070226181642AA5nxLO	Politics & Government;Law & Ethics	Que es y para que sirve el derecho?	N/A
20090222000434AA0rN3y	Politics & Government;Law Enforcement & Police	Is this applicable legally in India???? VERY URGENT?	Due to some problems (my in-laws used to harass me mentally for each and every small thing) myself and my husband are staying separately from each other.My In-laws,Husband,His sister's family are planning for divorce from me now..And they are unable to show the strong reason in getting rid of me.Simple reasons like i'm not respecting his parents,not giving proper food to him intime etc..Now my husband left me at my parents home in India and he left to US without informing me.Before leaving he wrote a REGISTERED Letter stating that he dropped me at my home according to MY WISH on a PARTICULAR DATE..But after that i wrote some 10to15 e-mails asking him to take me back and called him so many times.But he's not responding at all inturn he's sending those mails to my in-laws in india thru e-mail.And now i came to know the reason behind him mentioning the particular date is that if we were separate for 2 years then there's a chance of him for filing a divorce.If he wishes to do that what are the steps i need to take before he can do this?Because i wish to live with my husband forever and i don wish to go against my tradition (by getting married 2nd time etc)..what do i need to do if they proceed with some legal action and the counter step from my side.Are the mails which were sent by me VALID if i need to process them in court?
20090222042549AADwdIE	Politics & Government;Immigration	What stamp(s) would i use to send the letter?	I am going to be sending a letter to the North (around there anyway, give or take some miles) of Italy from the South of England and i would like to know what stamps to use, 1st class, 2nd class? How many? (I'm english btw)   any help appreciated :)
20090222103011AA19aSA	Politics & Government;Embassies & Consulates	Can I receive benefits?	I am in the UK on a spousal visa and have been so for 2 years. I have just been granted indefinate leave to remain and it no longer says on my visa "no recourse to public funds". I am currently looking for a job after my contract finished last month. Am I now allowed to receive unemployment benefits whilst I am looking for another job?
20090222103341AAqzfLo	Politics & Government;Immigration	Apply for greencard through marriage?	I'm an international student, using OPT right now which will expire in OCT 09. Me and my b/f live together for 2 years and now want to get married (we can get married anytime whenever it's the best time for me to get the greencard easiest&fastest). My b/f right now is the permanent resident. He already applied for the US citizenship (in Jan09) and just went to the fingerfrint on Feb 17,09. Me and my b/f prefer that i don't have to leave the US while i'm waiting for the greencard because we will open the business here together after my opt expires. Here are the questions that would like you all to help;       1) Will the date of marriage (i mean marry before & after my b/f becomes US citizen) affect my greencard  application processing time?       2) should we get married as soon as possible or it's better to wait until my b/f becomes the citizen ... which way is better to faster the process of getting greencard?      3) In case that we get married before my b/f becomes citizen, should we file form I-130 right after the marriage or wait until he becomes the citizen?      4) In case that my b/f becomes the citizen before my OPT expires and then file the I-130 for me, will the USCIS give me the permission to wait for the greencard application process legally in the US? Or i have to go back my country to wait?         We are afraid that my b/f wouldn't become the citizen before my OPT expires, so i would have to leave the US and wait outside the US for a year or more than that...Is there any ways to help?      Thank you so muchhh
20090222113230AAesp3B	Politics & Government;Government	What are the people with orange vests and helmets doing?	not binoculars but telescope.      I've seen them doing this on the streets but not on a hill. What are they doing?
20090222111332AA2IEtJ	Politics & Government;Government	What are your opinions of obama being a father and a public figure?	i have to do a project about obama and i really need ur help.
20090222111757AA3TQ5T	Politics & Government;Immigration	What immigration law are we in right now. What year?	LIke is it the immigration act of 2007 or what?
20090222111932AAjkjup	Politics & Government;Law Enforcement & Police	Would the police have to do something?	In New York if you're 17 years old and if you can find somewhere to stay for a little bit while you look for a job and such...can you leave your house? Or would the police have to bring you back home?      My friend told me that once you're 17 the police can't do anything. My mom told me that I could leave my house and that by the time my father goes through courts and whatnot it will all have been useless.
20090222112234AA4HhdZ	Politics & Government;Immigration	I've overstayed my visa in Brazil and I'm wondering if I will have any problems traveling within Brazil?	I'm flying from Rio to Foz de Igua?u next week and wondering if they are going to check my visa.  Can I just show my Texas driver's license to the airline?
20090222112738AAVF9p1	Politics & Government;Law Enforcement & Police	I was arrested in Tempe, AZ in 12/2006 for a domestic dispute; how do I find my mugshot?	N/A
20090222112743AAzb4qf	Politics & Government;Civic Participation	Will I still have to report for jury duty..?	if I have school that day? I am 18 but still in high school and I am not allowed to miss more than 5 days of school during the second semester of my senior year. My jury duty summons will require me to miss two days. If I call and explain that I have school on those days, will I be able to get out of it?
20090222112947AAWJwh8	Politics & Government;Immigration	Was there an immigration department in the late 1800s?	if not, who checked the immigrants? what were they called?
20090222113450AAK2kOu	Politics & Government;Immigration	Immigration; Filling out Forms?	I want to know what form do I need  fill out to get the US permanent residence. I have the first resident.
20090222115047AA0R7Cr	Politics & Government;Law Enforcement & Police	Husband in jail will he serve 50% of time? please help?	Additional Details   my husband has never had a license he has 5 charges on driving without one,an in 2006 he was told to pay a fine of $1,166 he never did an he said he forgot i dont know i was not with him then. but they took him to jail an gave him 147 days credit on a year sentence an as of today he has 163 criedit an his release date in june 23 09 but will he get out sooner are son is going to be born next month an i need to know if he will be there.is it true what i have read about doing only 50%? please let me know
20090222115012AA6pHiP	Politics & Government;Immigration	If yu are under age to apply for yur own passport nd yur parents wont do it what can yu do ?	N/A
20090222115016AAgQMoT	Politics & Government;Other - Politics & Government	How to get on the electoral role (UK)?	i am now 20 and i moved abroad when i was 16 (so therefore was never put on the electoral role) but now i am moving back to england. i want to apply for a credit card but i cant do this without being on the electoral role, and a few other things i cant do because i am not on it. How do you get onto the electoral role? any help is appreciated. thanks :)
20090222115401AAuOA6Y	Politics & Government;Other - Politics & Government	Is the government allowed to interfere with our daily lives?	If they are or aren't, where does it say? Constitution? Declaration of Independence?
20090222115729AAaGx4p	Politics & Government;International Organizations	Can't find a way of learning french in france without paying. looking for EU directive and direction. any help?	La'CSE? CPAM,Assic, EFTI
20090222120840AA0iOu2	Politics & Government;Law Enforcement & Police	Can a police officer pull a gun on you for no reason?	My husband and I just left a store , but in separate cars.  I was between him and a police officer.  Husband stopped at a stopped sign, then proceeded to go when a diff car almost hit him cuz they ran the stop sign.  My hubby honked at the guy, the guy got out of HIS car and approached my husband.  The cop got out and ran to my husbands car and pulled a gun out on him as he was opening his door.  HE DISMISSED THE GUY WHO RAN THE stop sign AND got out of his car in a threatening manner and held my husband.  I witnessed the whole thing with my kids in the car!!! is this ok????
20090222135907AAtGieb	Politics & Government;Politics	Should this sheriff be ousted?	The 62 year old sheriff was driving around with his 17 year old girl friend giving her vodka out of a mountain dew bottle.       My problem, as a registered republican I can't vote in a sheriff's race.  So even if I sign the petition to oust him I get no vote to his replacement.  So does it serve this area right to have a freak as a sheriff because only democrats can vote?          http://www.hdnews.net/wirestories/o0124-... 
20090222121913AAuMgRO	Politics & Government;Government	North America becoming one country?  Canada, United States and Mexico, merging?	Would the central location be Denver, Colorado?      I'm serious!
20090222124007AACvKWD	Politics & Government;Government	The Bilderberger's, what do they plan in secret meeting?	N/A
20090222142005AAdmjfn	Politics & Government;Politics	Why are we rewarding people who drink the water but dont carry it?	N/A
20090222131558AA5IJvO	Politics & Government;Immigration	I know of an illegal immigrant?	should I report him to immigration or what? He's a real nice guy and very studious, but I feel that if I don't report him I will be making a bad example.
20090222140328AA3W7sW	Politics & Government;Law Enforcement & Police	Where in canada is it legal to smoke marijuana?	just wondering :)
20090222132347AAKWCun	Politics & Government;Politics	Time for CNN to admit its biased?	what are your thoughs on this tv network , it likes to claim it represents everyone then gives us some of the most biased democratic coverage around .    maybe its time they just admited they were biased ?
20090222133657AAirXDd	Politics & Government;Politics	What is the popular opinion of Keyes?	 http://www.youtube.com/watch?v=lqkMfToY9... 
20090222125030AAuda0h	Politics & Government;Government	Conservatives - You wont believe this one!?	Arlen Specter, the RINO who voted for the stimulus, is encouraging Pa dems to temporarily switch their registration to republican so that he can make it through the primaries in 2010.    I think he is a dirt bag.  What do you think about this?
20090222130742AAgNoVw	Politics & Government;Law Enforcement & Police	How Dangerous is it to be a police officer?	i am considering this job very seriously. and if anyone is a current cop or retired i would very much appreciate to hear about some of your experience and how dangerous the job is. i am aware there is a risk of danger but i would just like to know a little more about it. thankyou
20090222135319AAIzJ52	Politics & Government;Politics	If obama was a republican, would he have still won the election?	personally, i think the only reason why obama won is because he was a black man. but, if he was a republican i bet you that more of his dark secrets would be out in the open, like smoking pot, befriending terrorists, and actually showing people his birth certificate!       give me some input!
20090222140630AAyzMZ3	Politics & Government;Politics	Why did Obama criticize Bush for not giving detainees rights?	and then does the same thing himself?   Isn't that hypocritical?      The Obama administration is against giving prisoners in Afghanistan constitutional rights. The same thing they criticized Bush for.      Will Obama just move the prisoners from GITMO to Afganistan?       http://www.cnn.com/2009/WORLD/asiapcf/02... 
20090222135803AAEgfrX	Politics & Government;Politics	What are your predictions for the next 5 yrs -- economically politically etc?	2009 --- to 2014 ---- will the economy be better worse or about the same?       What about the political atmosphere etc?        War no war --- what about Iran China etc ?
20090222141013AAsgqWX	Politics & Government;Law & Ethics	How do you feel about men being involved in the abortion debate.?	I used to think they shouldn't be, until people started telling me I was to young to be involved in the debate, surprisingly, no one had any problem with me being involved when I was pro-choice.      how do you feel about men, and also teenagers I geuss, being involved in the abortion debate.
20090222135515AABN1SB	Politics & Government;Politics	Did obama LIE when he said the American people will be able to read every piece of legislation online?	N/A
20090222141625AAGAvMF	Politics & Government;Government	Will Obama go down in history equal to President Lincoln?	N/A
20090222121917AAUWB7n	Politics & Government;Law & Ethics	Could I get in any legal trouble for failure to evacuate in a mandatory evacuation?	I'm going to be 17 this storm chase season and I love filming severe weather, I'm planning on filming cat.5 hurricanes and F5 tornadoes. Would I be in any legal trouble if I don't evacuate? What would I be charged with and what would be the legal penalties? Sources?
20090222124138AAGjQqZ	Politics & Government;Law & Ethics	Amendments in the U.S. constitution?	Isn't there an amendment that says you can't be forced to leave your home.What amendment? Would that apply to mandatory evacuations with natural disasters like hurricanes? Sources?
20090222123817AAkMN2E	Politics & Government;Government	How will the next revolution unfold and what will it look like?	N/A
20090222131658AAoxgAq	Politics & Government;Politics	What's the more f-ed up country to live in, the United States or England?	I'm wondering myself which one is more f-ed up?
20090222133308AASZWHu	Politics & Government;Politics	Was the Iraq war a mistake?	Is this why the world hates us because we Invaded Iraq for no reason?
20090222140944AATPAHl	Politics & Government;Politics	If Americans were given affordable health care would it help the economy?	think about it. people would no long file for bankruptcy because of medical bills. they would have more money to buy things. businesses that offer health care would save money.
20090222132031AAmO9mX	Politics & Government;Law Enforcement & Police	How come when its illegal?	you want it so much more?      whats wired in are brains that says "illegal = MUST HAVE!!!"
20090222141349AA2jPK0	Politics & Government;Politics	Do you have better ideas than the ones in the stimulus plan?	This is for a paper my sister is writing.      Do you have ideas that you believe are better than those in the stimulus plan?  That will create more jobs, free up credit markets, decrease home foreclosures, ETC.      Please provide sources where possible.      THANKS!
20090222133054AA1fKGi	Politics & Government;Politics	How will obama fare with his left wing over Afganistan?	Its utterly impossible to conquer Afghanistan how long will the leftists stay with obama before they dump him
20090222142038AA0IfA3	Politics & Government;Politics	What do you think? Other countries believe our government is terrorist? What would you say to them?	~~   to convince otherwise?
20090222135035AAnyBO4	Politics & Government;Other - Politics & Government	When the crap hits the fan, what will prevail.....?	When the economy tanks, when the dollar is worth nothing.   What will prevail, multiculturalism, or racism. ?
20090222141517AA1hLmQ	Politics & Government;Immigration	Another hypothetical question about becoming a citizen of the United States?	Do you HAVE to become a citizen of the US if you move here?   For example let's say I came to this country legally and obtained a green card and I have a job and I pay my taxes (do you pay taxes if you're not a citizen....?) but I just never went through the process of becoming a citizen of the United States.   Can one do that? Or can that get you deported?   Just wondering (:
20090222132034AAs741N	Politics & Government;Politics	Didnt the soviet union throw around money they didnt have which gave way to its bankruptcy and its collapse?	Kinda like america is now? I am just wondering?
20090222125400AA74jQt	Politics & Government;Law Enforcement & Police	In general, do the police scare you?	Yes or no answers please.
20090222133351AAtc3hd	Politics & Government;Politics	Why is Michael Steele wrecking our party?	Michael Steele, a dopey and overly-benign man, is actively working to undermine our political party. His election was incredibly transparent tokenism  and for us Republicans, a very counterproductive political action. How could we, as Republicans, have let his election happen? How can we work to give the chairmanship of the GOP back to someone with guts who will not repeatedly sell out to the liberal left?
20090222121005AAYzgBY	Politics & Government;Law Enforcement & Police	Throwing stuff out your car window illegal ?	My sister won't stop littering when she's in the car.       We keep telling her to stop , it's embarrassing, rude and she can get fined but she refuses to listen.       She does it when she gets annoyed while in the car or she is angry.    Since she just won't listen or stop I asked her to do it white she's in the car by herself becuz she embarrasses us. ANd she makes fun of me for being an anti litterbug.  She thinks it's a joke.       Help ! How can I get my sister to stop throwing stuff out the car window ?
20090222132925AAzwL12	Politics & Government;Politics	Should Bush Apologize, Or Be Indicted?	Now, before you right wingers fire off your barrage of speak before you even read memos, do us all (THAT means even yourselves) a favor and go to the link I am enclosing and read the whole story--then tell us which action would be more appropriate.       http://query.nytimes.com/gst/fullpage.ht... 
20090222130959AACwdqX	Politics & Government;Immigration	Should illegal aliens get the Rights to stay in the U.S. legally?	N/A
20090222140407AA31xrH	Politics & Government;Law & Ethics	In the law, what definition of servant was used  for plantation laborers?	hello good morning? plsss Answer it noW?
20090222133542AAdqGvr	Politics & Government;Law Enforcement & Police	If you could make the law what would be your solution to deal with child molestors?	Do we protect our children or sexual molestors' civil rights?
20090222133526AAitHkV	Politics & Government;Government	Government quesiton, I have no idea..?	In Israel, the executive branch is led by the president and the prime minister. The president's role is mostly symbolic, and he or she has little power in government. The Knesset is the name of Israel's legislative body; it has powers such as passing laws, approving finances, and setting national policy. The Supreme Court is the highest body in the judicial branch; it hears appeals from lower courts, but it cannot strike down laws from the Knesset.   Israel represents its citizens with a democratic government. Which of these government positions do Israeli citizens vote for?       members of the Knesset   judges in the supreme court   the president   the chief rabbi
20090222132523AA1q6nC	Politics & Government;Law Enforcement & Police	What will they do if?	My Kansas license is suspended. I do have my Indiana now.  I slipped thru the loop hole and got my Indiana DL before the kansas suspension showed up.  If I were to get pulled over here in Indiana will it show me as suspended
20090222131242AANL2wh	Politics & Government;Law Enforcement & Police	What could be the result of?	If I were to get pulled over and they search my car and find 1 joint in it.   What could possibly happen. I know getting arrested but what sort of punishment would they give for that?
20090222121510AAwO4yf	Politics & Government;Other - Politics & Government	Who deserves to own Israel/ Palestine?	the Palestinians or the Israelis and why?   (please only pick one)      to earn the 10 extra points, please include:   *current events   *historical info   *important people      I am sorta mutual because a long time ago, the Jews were promised land in the middle east and never got it. Yet all is fair in love and war (which includes land grab i guess) so thats why the Israelis should have it.
20090222131323AAf9LNO	Politics & Government;Law & Ethics	I have to make 10 rules/and or regulations for the citizens of my made up country , any ideas?	its a democratic country
20090222135106AANbfQr	Politics & Government;Other - Politics & Government	Do you think its unfair to give such attention to Jade Goody?	Hi! I feel sorry with all my heart that she has to go through such a terrible terminal illness knowing that she will no longer be alive. But dont you think that every pesron with terminal illness deserves to get the same treatment. Why is she different from others, We have so many excellent and kind people in this world who cannot afford to pay for their treatment but Jade gets everything she wants. My uncle and my grandparents died from cancer, my granddad died in front of me when i was 13, it was terriblt, i will never forget it. My granddad served his country in World War but when he was diagnosed with cancer noone wanted to know, he had very little help. Is it fair or unfair. I think if one person gets all attention then there should be some sort of way of making other special too, others who might have to go through those illnesses on their own. Thank you for opinion!
20090222131847AAPd41f	Politics & Government;Politics	If Obama has 150,000 troops in Afghanistan & Iraq in 2014 will Libs still NOT be protesting the war?	Do Libs now view "ending the war" as anything under 40 years?
20090222132158AAyiOJg	Politics & Government;Politics	When you say "left", what do you mean?	If you use it as an insult or derogatory term keep your opinions to yourself, if you intend to answer rationally read on:   I've noticed a disparity between two camps, one uses the term "left wing" to describe someone who is a liberal/progressive on social matters, i.e. abortion, gay marriage, immigration etc. (this seems to be the terms general usage in the USA)   There's also the definition in economic terms, i.e. left wing economic philosophies, namely socialism.      I'm not saying one is correct or not, but the term "left" seems to have become a very generic term in casual conversation, when someone just says "left" to you, or when you say it yourself, what connotations come to your mind first, a liberal democrat (ideology not UK party) or a socialist?
20090222125730AAgbM4l	Politics & Government;Government	If the Governor's of the state refuse to take stimulus money then President Obama can control that state?	President Obama can over-ride the governor and control the state such as the National Guard, and suspend the 2nd Amendment laws and take guns by force?
20090222125941AAu6pRK	Politics & Government;Law & Ethics	What is the privy council and what roles do they play?	Im writing arguments against the privy council but i would like to know about it first.
20090222122619AAOkCda	Politics & Government;Law & Ethics	How would you avoid getting rape in you went to jail?	Is there any way?
20090222123530AAfurkt	Politics & Government;Law Enforcement & Police	Metal detector liscence?	do i need one?
20090222131056AAvjb6i	Politics & Government;Law Enforcement & Police	Attn to cops: What's the lamest excuse you had ever recieved when pulling someone over?	N/A
20090222135822AASO9mE	Politics & Government;Law Enforcement & Police	Do I need a permit to carry a simple taser?	N/A
20090222135012AAY2U9c	Politics & Government;Law Enforcement & Police	Can I carry a M-18L TASER pistol wothout a permit?	N/A
20090222131939AASCpUT	Politics & Government;Other - Politics & Government	What do you think of my five point welfare reform plan?	I have a plan to get people off of welfare and back to work outlined here, tell me what you think.      1) Make everyone receiving welfare take a depo pevera(birth control) shot. You get off of the system, the shot wears off, and you have no kids while on welfare. Having kids isn't a right, it is a responsibility if you can't afford it don't take it on.  Get off of welfare the shot wears off.      2) Take away their right to vote, if you can't make good enough decisions to keep yourself off of welfare and not have kids you can't afford then surely you cannot make a decision on government, also you will not vote in people that just promise more social programs.  Get off of welfare get your right to vote back.      3) Make them preform community service for 15-20 hours/week with a big orange vest that says "WELFARE" on it. The normal motivations for a good life don't work, maybe a little shame will. Pick up trash on the side of the road and let everyone know you are a resource sucking parasite. I also want something back for my money. I work for mine and you don't work for mine. (taxes). If you get money from the government, you should work for them.      4) Drug test, include alcohol and tobacco, I am not paying for your 40oz or pack of cigarettes.  Come up positive your check dries up.      5) Instead of allowing them to buy whatever food they want with my tax money give them a palette of food that they have to prepare. Staples only, bread, flour etc things they have actually got to prepare, these people are lazy by nature so if they have to work to prepare food maybe they will get a job so they can eat what they want.      These people are just parasites that breed more parasites, we need to break the cycle by making it is uncomfortable as possible for them to live, instead of coddling them and keeping them in a comfort zone. To get them on their feet we need to get them off of their a$$.
