20090307160728AA7I1C8	Education & Reference;Words & Wordplay	What is your faovrit name?	mine is rachel
20090307120723AAEteHj	Education & Reference;Words & Wordplay	When did people start getting last names?	N/A
20090307120619AAB00w7	Education & Reference;Words & Wordplay	Really good yo momma jokes?	Thanks.      xoxo.:)
20090227085135AAM2osd	Education & Reference;Other - Education	What i do after my bca plz send your answer with university name and side.idoes want to go ignou 4 further std?	N/A
20090227085649AAZEz96	Education & Reference;Higher Education (University +)	What are strong carees option after bca. i want to make my caree in spcial feld of IT.?	doing bca from IGNOU
20090227085517AA0AKlG	Education & Reference;Homework Help	Do you think Romeo and Juliet is a Love Story or Fighting Story?	Do you think Romeo and Juliet is a Love Story or Fighting Story? and why   I'm having trouble picking which one.
20090307112615AA8cNm8	Education & Reference;Homework Help	What two-word Latin phrase did Queen Elizabeth use to describe scandal-ridden 1992?	N/A
20090307113842AAu4lOL	Education & Reference;Homework Help	Solve for y, given that?	x = -3     3xy - 2x = -12
20090307100623AAQqlvc	Education & Reference;Words & Wordplay	What does per diem mean?	I'm doing an application and it asks "what type of work will you accept?", and one of the options is per diem.
20090307104149AADEsXJ	Education & Reference;Words & Wordplay	What does 'home' mean to you?	need to find out peoples opinions/ thoughts on the word 'home'   and what you consider as home, as research for an essay i'm writing,   thanks :)
20090307121219AAGud4l	Education & Reference;Words & Wordplay	WHAT IS THE NAME OF THIS SONG!!!?	It is a modern rock/alternative song. It has like elevator music in the background. Thats like all I can describe it. Like I'll try but it prob wont work      ding..dingDing ding...dingDing ding...dingDing       I tried!      The lyrics are kinda spoken too not sung.      It is sung by a guy.      The song isn't old, i would say 2000-2005
20090307105759AAOMN0V	Education & Reference;Homework Help	What would be a good thesis statement for Emily Dickinson?	N/A
20090307115326AAhgGlS	Education & Reference;Words & Wordplay	If I say Abracadabra, what would you like me to make disappear?	N/A
20090307113658AABPsFG	Education & Reference;Homework Help	Ideas 4 geography charity project?	for geog we gotta raise munney 4 a charity that we wer give we got project hope we r doin a asembelly n a cake sale in a pimary school what can i put in da powerpoint ? btw we gotta luk at t in a geographical point of view!!! thanx i also need picz like maps n stuff we bin asked by project hope to concentrate on the munsieville project !!!!! thanx in advance
20090307052502AA3UD9M	Education & Reference;Higher Education (University +)	I would know if I have chances of being admitted to Oxford university?	Hi everybody, My name is Andre Luiz, I'm from Brazil, and I've been studied all my life in Brazilian public school, so I would like know if I have chances of being admitted to Oxford University?      Ah! Who can gimme information about this, thank them!
20090307101853AAVB2lD	Education & Reference;Homework Help	Pleae help me solve this. 8x+7<15. What is the solution set.?	N/A
20090307110744AApzkPp	Education & Reference;Homework Help	Francis weighs 163 pounds and stands 72 inches tall. What is his approximate body mass index?	Find an inequity describing all wieghts W \that Francis can have and be in the low risk category.   Francis ' approximate body mass index is: ___      An idex less than 25 indicates a low risk.
20090307103134AAxuqZH	Education & Reference;Words & Wordplay	What does <3 or whatever mean?	I see it all the time on this site an I am unfamiliar.
20090307102312AAd2HwM	Education & Reference;Homework Help	I need to know the following about peg kehret please answer!!?	i need to know some important characteristics that helped make her important       2 things that made this person important       facts about how she contributed to his or her field or specialty       thanks~!
20090307114050AAWPQok	Education & Reference;Homework Help	Anyone who has read Fast Food Nation?	What is the major theme of  the book?
20090307112751AAmfbMg	Education & Reference;Words & Wordplay	What is the difference and best?	I am moving to Arizona and I'm going to be attending school.  I am going into vet tech and one college has a diploma certificate and the other school has a associates of occupational degree.  Which is better for my career????
20090307104010AAjtWyv	Education & Reference;Homework Help	Brave New world satire thesis statement?	I'm writing about things Huxley uses as satire in his brave new world book. I have ideas, I just need a thesis statement. Can someone help!?
20090227085306AAQ5kAc	Education & Reference;Higher Education (University +)	How can i get admission in postgraduate course?	N/A
20090307120613AAApmXr	Education & Reference;Words & Wordplay	BRAIN TEASER PLEASE HELP.?	Is it possible for two kids to be born on the same hour,day,month,year, and have the same parents, and not be twins, or not be adopted?      Its a brain teaser so the answer cant be the obvious one please help its driving me mad.
20090307103129AAN2Uvt	Education & Reference;Words & Wordplay	WHATS A MILF THIS GUY SAYS IT AND LAUGHS?	Would anyone know what that word means
20090307115831AAHyPr2	Education & Reference;Words & Wordplay	What does it mean when a girl is thinking of a guy "like crazy"?	N/A
20090307104630AAGUw5q	Education & Reference;Words & Wordplay	Latin Quarter and Pantheon?	Which famous writer and poet lived in the area of the Latin Quarter?   What famous men are entombed in the Pantheon?
20090307121036AA87Gi8	Education & Reference;Words & Wordplay	Which of the following is in the correct order of blood flow?	Which of the following is in the correct order of blood flow?      Body cells, right atrium, right ventricle, lungs, oxygen/carbon dioxide exchange, left atria, left ventricle   Body cells, left atria, left ventricle, lungs, oxygen/carbon dioxide exchange, right atria, right ventricle   Body cells, right ventricle, right atrium, lungs, oxygen/carbon dioxide exchange, left atria, left ventricle   None of the above
20090307113740AArDCt4	Education & Reference;Homework Help	Okay,i need a cd booklet for my irp project..is there any websites to help?	i really need help on that
20090307112235AAakTeJ	Education & Reference;Homework Help	How could i find the solution from this word problem?	I've been struggling with word problem.      I really need your help.      Par on a golf course is 72. If a professional golfer shot rounds of 76, 68, and 70 in a tournament, what will she need to shoot on the final round to average par?      and       A locksmith charges $40 plus $28 for each lock installed. How many locks can be replaced for $236?
20090307114018AA47tpH	Education & Reference;Homework Help	Im suck at word problems?	how can you figure out the word problem?!   i've been struggling with it.      Example: A college student earns $20 per day delivering advertising brochures door to door plus 0.75 for each person he interviews. How many people did he interview on a day when he earned $56?      how can you find the problem?
20090307114727AAWnZTE	Education & Reference;Words & Wordplay	Help help??????????????????????????…	your sympathetic nervous system   a. allows you to plan your actions    b. prepares your emotions   c. allows you to feel sympathy   d. prepares your body for necessary action
20090307113736AAMntco	Education & Reference;Words & Wordplay	Help help?????????????????	making excuses to explain behavior instead of taking responsibility is an example of    a. a defense mechanism   b. resilience   c. pessimism   d. decesion making
20090307113606AAIxYYE	Education & Reference;Words & Wordplay	Whats another word for 'things"?	This is the sentence that has it in it- My world is fabulous because it has so many abundant things throughout it.
20090307115811AAHXuP0	Education & Reference;Words & Wordplay	What is the meaning of a true friend?..?	my sister said a true friend is somebody who snitch yr *** if u do something bad is that true or false. if u have any opinion about what a true friend means, can u tell me
20090227085156AAZniPs	Education & Reference;Homework Help	What are good webhosts?	Also do the web hosts help me make the website and how do I make it a flash website I really need to make it flash so can you please help me and please list some good webhosts does not matter free or paid and DEFINATLEY NEED TO KNOW HOW TO MAKE IT FLASH BESIDES FLASH TEMPLATES SO PLEASE HELP ME OUT AND HOW DO I USE FLASH TEMPLATES IF I DO DECIDE TO USE THEM PLEASE LET ME KNOW THANKS      BEST ANSWER= 10PTS******
20090227085025AAJD9f4	Education & Reference;Higher Education (University +)	Unaccredited program in an accredited college?	the computer engineering program is not accredited but the school is accredited. Will that affect possible employment and affect me entering into grad school?
20090227085335AA7gVWC	Education & Reference;Higher Education (University +)	Can anyone offer me medical school advice?	I am trying to gain admission into preferably a M.D, medical school. I have a bachelors in Biology & a masters in Public Health and I am looking to enroll in either a post baccalaureate program or a 1 year Biomedical Sciences program to strengthen my transcript and show the schools I can handle the tough sciences.      However, I am finding it difficult to locate schools with programs that focus on this with the intent of getting their students into medical school. I want to take these courses for the fore mentioned reasons & study for the MCAT to try and raise my score with the hopes of getting into Med school, D.O, Podiatry, or pharmacy school.       I guess what I really want to know is, is this a good course of action for me to make myself a stronger candidate and does anyone know of any good programs (also summer programs) like these who's deadline has not passed yet? With emphasis on a 1 year program and one that doesn't cost $1,000 a credit hour, I've seen some reasonable prices, but also some ridiculous ones. Any advice, or suggestions on another route to help my situation!?! Thanks for all the help guys, I really appreciate it!
20090227085422AAweaHB	Education & Reference;Words & Wordplay	Its a nine letter word what is that word?	i am thing teacher hate me cows like me monkeys eat me what is it
20090227085643AAZTA0f	Education & Reference;Higher Education (University +)	Stds?....what would i need to major in college to actually be able to study these?	biology? med school? chemistry?
20090307052019AAMHzRa	Education & Reference;Higher Education (University +)	Please suggest me a btech group?	i am planing to join  in engineering    please suggest me a group    i am a little poor in mathematics    so i have short listed the following   1)bio informatics    2)genetic engineering   3)automobile engineering    thanks
20090307052441AAJXFub	Education & Reference;Higher Education (University +)	Do you think i should ask questions in class ?	There are some courses i am curious about . And i used to  asking  a lot questions in those classes  But this semester i got a new teacher ,and  most questions i asked in class , she can't answer . And she said " you ask a lot questions " to me .And she always say " i will find  it out for you  " . But she never give me the answers after saying that .       So , i am confused if i should keep asking questions like before . I really like this class .But  she disappointed me a lot . And she gave me some wrong answers.
20090307102443AADwdZE	Education & Reference;Homework Help	How to find the measurement of an angle when you have the sine value of it?	Im trying to figure out if there is an equation or someway to get the measurement of an angle when you know like sin(a)= to something
20090307103008AAQCf95	Education & Reference;Words & Wordplay	URGENT!!!!!!!!!!!!!!!!!!!!!!!!…	My name is karen. do you like that name?
20090307103439AAuoKhO	Education & Reference;Homework Help	4 questions in Act II, Macbeth play? (due monday) plz!!?	Act II      Scene 4   9.In Scene 4, Ross and an Old Man talk of an outbreak of unnatural events that forebode ill. What are these events?      10.Check the meaning of the word predecessor(s) in the glossary. Then paraphrase the following quotation from Scene 4, line 33: “The sacred storehouse of his predecessors”       11.Describe the moments that led up to Duncan’s murder in      Act 3   Scene 1   1.When Act three opens, what is Banquo thinking about?
20090307103610AAl2isZ	Education & Reference;Words & Wordplay	I want help me i didn't understand english well/?	N/A
20090307103745AAZ3QRK	Education & Reference;Words & Wordplay	Help help??????????????	learning to control the elimination of body wastes is an important task of?
20090307112831AAwN32e	Education & Reference;Words & Wordplay	Help help??????????????????	how can parents help a child develop a sense of autonomy?   a.criticize whenever the child fails   b.insist on doing everything for the child   c.never let the child fail   d.allow the child to do what he or she can do for himself or herself
20090307104548AAZgsYE	Education & Reference;Words & Wordplay	Can anyone give me one word that describes 'could almost taste'? thanks?	am trying to find just a single word or at best a phrase that describes the above
20090307104639AAiqaxw	Education & Reference;Words & Wordplay	What is "plural Executive"?	N/A
20090307105703AATT96z	Education & Reference;Homework Help	I need a catchy title for my science fair!?	I am doing a project to see if music and noise affects your concentration.So can anyone help me give me an idea for a catchy title.
20090307110830AAketZm	Education & Reference;Homework Help	What is the answer to this definition?	--to move troops and equipment into active service.
20090307110900AA5nzSp	Education & Reference;Homework Help	Ok..I'm suck at word problems..Help Please?	11. Wheel’s Bicycle shop advertised a bicycle for 15% off for a savings of $36. The bicycle did not sell so it was offered at a new 20% discount off the sale price.      (a) What did the bicycle sell for regularly? ______________      (b) What is the amount of the new discount? _____________
20090307114448AA2je60	Education & Reference;Homework Help	I can not seem to think staright tonight.  Can't figure out again.?	3. Use pizza as an example for explaining how and why you must get a common denominator before adding the fractions1/2 and 1/3.
20090307112507AAMmDC2	Education & Reference;Homework Help	Which countries produce chocolate?	I'm doing a project on chocolate and fairtrade and stuff for Citizenship, and we have a map that we have to colour in with "cocoa bean growers" and "ground cocoa producers". I've found the countires that grow cocoa beans, but I cant find the any that produce it, apart from belgium and switzerland.    PLEASE HELP!!!???
20090307113203AAFyPra	Education & Reference;Homework Help	Distance Problem? Help needed.?	Train A travels at 120 mph and train B travels at 100 mph. The two trains depart at the same station traveling opposite directions for 3 hours. How far apart are they now?      Problem set up and solution?
20090307113346AAES4YE	Education & Reference;Homework Help	What song should i use for my social issue project?	a good song!!!!
20090307113347AAecI0T	Education & Reference;Homework Help	How can you measure a puddle?	|What to measure  |   What tools I could use   |    Explanation    |         ^  that is a T chart    (please fill it out as many as possible!!)
20090307113920AABx22y	Education & Reference;Homework Help	Wind as alternative energy?	Wind as alternative energy?   can you give me some reliable sites for wind energy?      this is for a project.   thanks.
20090307114733AAc9Zhf	Education & Reference;Words & Wordplay	Does anyone know what this mean :?	?? ??      what does it mean in English ?
20090307115301AAGPqUQ	Education & Reference;Words & Wordplay	Can someone tell me what " SNA "Means?	In the personnals  adds  Or on the  dating web sites   They use the term " SNA " what does this mean?
20090307120511AA1SDdW	Education & Reference;Words & Wordplay	What would you do with 1 wish?	okay, you can't answer "i would wish for more wishes" or something like that and you only have 1 wish
20090307120534AAEStJz	Education & Reference;Words & Wordplay	What is a traubadour?	As in George  Straits country song
20090307120644AAE4ovh	Education & Reference;Words & Wordplay	What is this symbol???	i was online searching for a handbag and i found a cute one i want to purchase but instead of this sign $, there is this sign ￡. I wanted to know what this symbol is, and can i purchase it online from america? Is it different from american money? cheaper? more expensive?
20090307121138AAjcdJW	Education & Reference;Words & Wordplay	What's a good name to name a saxophone?	I've been playing sax for about 6 years and I think It's about time it has a name.      Of course "it's" a she and if it matters she's gold.      A catchy name preferably :)
20090227090251AA7jArn	Education & Reference;Words & Wordplay	Do you think that the Cod Wars were a load of Pollocks and that Britain should have had bigger fish to fry?	N/A
20090227090019AAq2ydc	Education & Reference;Words & Wordplay	About the expression 'good for you'..I find it funny ..?	Bcoz it can also suggest not good for me
20090227091703AANnzBs	Education & Reference;Words & Wordplay	What's the word that means taking the barking, barking, barking neighbor's dog and stuffing him?	Does anyone has the number of a good one?
20090227091020AAEzf4l	Education & Reference;Other - Education	History help Please i need this asap?	Japan became a peaceful, democratic nation relatively quickly after the end of World War II. Which of the following steps was not part of its post-war transformation?    A)disarming most of the military   B)adopting a new constitution   C)giving women the right to vote   D)giving the emperor more political power      Who was the first American president to follow George Kennan’s advice to stop the spread of communism by strengthening noncommunist countries?
20090307160141AAKJlE7	Education & Reference;Primary & Secondary Education	Do you wear school uniforms and do you hate or like them?	For people who wear/wore uniforms in highschool...      Do you hate them?   Like them?   Honest opinions please!      I think that my school uniform's really cute. It's just that we only get a dress-down day like once every 2-3 months. And i'm so sick of wearing uniforms everyday because i have a huge wardrobe at home that i can't show-off ):
20090227091518AAFyrMy	Education & Reference;Homework Help	Algebra help. Can you please explain this to me?	I have to write an essay comparing the Distance Formula and the Pythagorean Theorem(My math teacher is a jerk). Can you explain how they are similar? i kind of have an idea but i need it explained in detail. Don't say go ask your teacher, because she's a b*tch, and will just say look in your textbook, which I have already done. It didn't help any. Thanks much...      Hailey
20090227090143AA4Oua3	Education & Reference;Homework Help	Can someone give me an example of?	a alliteration poem?
20090227091242AAkkPpU	Education & Reference;Homework Help	Real life example of Amendment 16 in the past 40 years? Need it before 12:30!!?	I need help for social studies. Need it before 12:30!!
20090227091937AAEqb0j	Education & Reference;Higher Education (University +)	Minimum Scottish qualifications needed for Cambridge Uni?	How many/what highers do I need to do a zoology course at Cambridge? And what grades?
20090307155759AAK1ec3	Education & Reference;Financial Aid	Fafsa question indep.?	my efc when i claim my child on fafsa is 0, but do you guys think that if i don't claim him it will still be 0? My salary is very low 1000.   I am 24 years old too.
20090227090213AAJRCfF	Education & Reference;Words & Wordplay	What is that one game called?	where you write down categories of your favorite foods, cars, boys, houses, animals, and places to live. You list like 10 of each and then pick a number and then someone else marks them off according to that number until there is just one in each category. And that is how you life is sup post to turn out be later.
20090227090739AAN2KzS	Education & Reference;Quotations	Sigmund Frued made a statement on Science.?	What was it?
20090227090547AA3ohCX	Education & Reference;Trivia	Do you have arches or flat feet?	N/A
20090227090613AAokBhK	Education & Reference;Homework Help	Electricity. difference between alternating current and direct current please.?	I'm curious as to what ac and dc electrical current means in practical terms.
20090227091524AAzvfIU	Education & Reference;Higher Education (University +)	Best university for nursing in the UK?	I'm really interested in doing nursing at university. But I ain't sure which one to go to.      I'm going to open days at:   [-] University of Glamorgan   [-] University of West England (UWE)   [-] Swansea Univeristy   [-] Cardiff University
20090227091138AAlQ70z	Education & Reference;Words & Wordplay	Is typing good for health?	Because of the coordination exercise as well as for the accupressure effect on the fingers?
20090227091702AAE9bjF	Education & Reference;Higher Education (University +)	What language should i study in order to be a good interpreter? which is the easiest?	Id like to study in order to become an interpreter, and at the end of the year ill try to enter the university of modern languages. What languages do u suggest me? i can speak english and italian...
20090227090056AA0Topk	Education & Reference;Other - Education	Can I pursue my dream?	I am an 11th grade junior in high school, and I tried to take algebra 2 this year but couldn't do it, so they put me into consumer's math instead. What I was wondering is that I want to become a police officer, and maybe later a k-9 officer, and I want to get a degree in criminal justice. Could I still be able to make it? Any advice is very appreciated.
20090227091038AA2gemX	Education & Reference;Words & Wordplay	What does this dream mean please help?	ok so i joined a collage recently.... and there is this guy who is in a course on the other side of the collage .. we only see each other at lunch and he always stares at me or bumps into me...he is always tryin to catch a glimpse of me..he smiles a lot when im around..and im totally into him...and then he goes and ignores me completly like im not even there some days... he will go on as if he never even seen me... he will act normal and continues on with watever he is doing...why is this???      i never show my feelings to anyone but one day i decided to stare back and to hint on i like him back!!      why do he do this?      ive taken 4 months to examine his behaviour and wait for him to make a move im getting very impatient now and my head is always confused after i see him,,,,...      the first 2 months was him staring and glancing at me any chance he got.... he would give bad looks every now and again but i sometimes do that too.....      the 3 month he didnt stare as much and would glance and get very nervouse when im aorund...      the 4th month he doesnt know i exists and then he does... we ended up in the same room before and his back was too me.... he turned around real slow as if he was stretching and looked at me...when i walk by him he looks.... my instinct told me he likes me but i find it hard to trust my instinct...and am afraid that he does like me but is afraid to get into a relationship!
20090227090325AAn7czj	Education & Reference;Other - Education	Is that possible after bca can i do m.sc(IT) in 2 year and after that mca in 1 year. plz send me related info.?	N/A
20090227090459AAAqHCs	Education & Reference;Homework Help	How many times was Joseph Stalin arrested?	Help would be appreciated
20090227091320AAlEgoG	Education & Reference;Other - Education	What are some excuses to miss school?	i hate school i need some excuses
20090227091028AAPeZFv	Education & Reference;Homework Help	Help Me "how to create environment for studies" give me most full TIPS?	N/A
20090227090632AA7WHEv	Education & Reference;Words & Wordplay	What is "dawg" in "what up dawg!"?	i hear people saying "what up, dawg!" what does it mean, it sounds like "what's up dude" but more rap stuff, but what does it mean literally?
20090307160417AAYVf73	Education & Reference;Special Education	My son has  asbyrgers syndrome and I was wondering if there are educational benefits?	he could apply for and where to go for those
20090227091446AAEOnIs	Education & Reference;Words & Wordplay	I need with something?	you see i have this girlfriend laura but i am madley inlove with me ex girlfriend amber that lives in N.C what should i do and i am madley inlove with amber how should i tell her
20090227091901AAvLpqD	Education & Reference;Higher Education (University +)	Are college students whiny or are professors unfair?	This article (  http://www.springerlink.com/content/v747...  and also found in the LA Times at  http://www.nytimes.com/2009/02/18/educat...  ) by a group of researchers mainly at UC Irvine, have decided that college students expect good grades basically just for showing up to class and doing the reading (the authors suggest that this is worthy of the default grade of "C").  Students argue that if they "give their best effort" they deserve to get a high grade, while professors say that kids who give a good "effort" but still do lousy deserve to fail.      1) What do you think?  Are today's college students whinier, expecting more from their professors while giving less?        This led me to think about a post I saw once on RateMyProfessors.com in which a student wrote that professors need to understand that they are in some ways employees of the student.  I've heard University administrators talk about students like customers (e.g., keep them happy so they'll be return customers), in which case professors are indeed in the job of customer service.      2) Are students consumers?  What are they consumers of?  Who is the boss of who at a University?      Finally, pretending for the sake of argument that it IS true that students expect to get good grades for almost no work nowadays, why would that be?  One hypothesis that's been offered is that it's because this generation is the one that's grown up getting trophies just for "showing up" instead of going home empty-handed.  At a karate studio I once visited, the instructors were told never to tell a student they had done something wrong; instead to praise their effort and gently correct them.  This studio was wildly successful, financially, and many karate studios since have moved away from the older, harsher ways of teaching karate students discipline and towards the kinder way of giving them more rewards, even letting students pass belt tests that don't deserve to (to keep the student happy and retain their tuition money).      3) Do you think this might have any truth to it?  As nice as it sounds, does rewarding people incessantly and making everyone a "winner" lead to students feeling that even the smallest effort deserves a reward?      I'm dying to hear your thoughts.
20090227085938AAbIuvK	Education & Reference;Primary & Secondary Education	GCSE core science?? single or double award?	I'm in year 10, and My school just put me in a top set for science gcse. (Core science, aqa). I've got my modular tests on wednesday, and i just wondered, is GCSE CORE AQA SCIENCE double, or single award?.. my school did't offer triple award, so i know it';s not that :(, but i'm confused between double and single.
20090227090706AAd7XzP	Education & Reference;Words & Wordplay	Write down the word GEORGE WASHINGTON...?	write down the words GEORGE WASHINGTON. Take out all the E's. Counting only the remaining letters, add an L after each seventh letter. Move the second G to the beginning and put the last letter in its place. Whenever three consonants appear together, change them in order so that the first consonant in the group becomes the last, the one in second place takes the first position, and the one in third position becomes the middle consonant of the group. Take out the last two vowels. WHere a double consonant appears, take out both letter. Beginning with the third letter from the left, interchange each two letters. Take out the last two letters. Move the last letter so it will be the first letter. Add a D after ezch fourth letter and at the beginning. Replace every S with an N. Take out middle three letters. Take out the final letter and put the first letter in its place.
20090227090210AAoD9vE	Education & Reference;Higher Education (University +)	Senior Year: Calculus BC versus a fun elective?	I am picking my classes for high school senior year and I am indecisive about which class to pick next year.       I have taken the hardest classes my school has to offer all 3 years, and will continue this next year, with the exception of one class.       Should I take an easy, fun class like Yearbook or German next year or should I take a higher calculus class? I honestly don't enjoy math, but I'm worried about colleges. I'm not applying to Ivy Leagues but the schools I'm considering are pretty up there (i.e, Swarthmore, Reed, UNC)      * I've taken 5 different math courses, so I think I might be ok if the college wants to see I've taken math for 4 years?
20090227090201AAfI2hP	Education & Reference;Financial Aid	If your EFC for financial aid is 0(zero), how much assistance will you recieve?	N/A
20090227085912AAg9mDC	Education & Reference;Trivia	Please help me with the correct trivia for WBEE 92.5 & other Radio Stations for February 27, 2009?	Before They Were Famous - B   Champions - A   Country Music - C   Free Baby Samples - Baby's Due Date or Birth Date   Games N Cards - Racoon   Sleuth - Concert   This Day In History - C   Video Of The Day Who is wearing a Red Belt? Mary Poppins   Quote Of The Day - A   Artist of the Day 9:50 & 1:30  - Blues Traveler (Use All)   Song of the day 11:30 & 4:30 - Anything Goes
20090227090114AASrcEy	Education & Reference;Words & Wordplay	Egslhock morganbleek forheganbloop fananashlop?	N/A
20090227090207AAB52i7	Education & Reference;Homework Help	Is there a deference between a book and a novel?	English question, anybody know?
20090227090437AAGjrNm	Education & Reference;Homework Help	What is a good thesis for a michelangelo research paper?	writing a paper on michelangelo    need a good thesis statement
20090227090440AArikQY	Education & Reference;Words & Wordplay	Because it lies at the crossroads of four tectonic plates, Mexico's central plateau?	It experiences numerous tropical storms and hurricanes. Is this true??
20090227090449AAPtqbi	Education & Reference;Homework Help	Grapes of Wrath questions?	plz help!!!!!!!!!!    1. What advice did Tom give Ma about worrying about the future?   2. What does Pa say about Jim Casy's coming along with the family? What does Ma say?   Does Casy go?   3. How did Tom and Ma get Grandpa into the truck even though he didn't want to go?   4. Who all headed West on the Joad truck?   5. What does Steinbeck describe in Chapter 11?    THANKS!
20090227090548AAcqHhM	Education & Reference;Other - Education	Does pnw boces accept foreign  students for their LPN program?	N/A
20090227090932AAd6TE8	Education & Reference;Words & Wordplay	What is the origin of Bingo?	N/A
20090227091008AA4xBro	Education & Reference;Higher Education (University +)	Please help me with my community college application?	Hi everyone this may sound dumb but i don't want to make any mistakes on my college application as there is no refund for application fee.   I'm applying for community college also applying for financial aid if you needed that info.   I'm not planning on wanting to transfer to a university just maybe a 2 year to earn a degree to get a better paying job.   These are the options:      A.A. (Associate in Arts)    A.A.S. (Associate in Applied Science)    A.S. (Associate in Science)    A.T.C. (Advanced Technical Certificate)    A.T.D. (Applied Technology Diploma)    T.C. (Technical Certificate)    I have to select one.      Could you please help me out??   Thanks :-)
20090227091011AAIpeua	Education & Reference;Higher Education (University +)	Need help about applying for uni?(UK)?	I'm currently in year 13 at 6thform, and I'm planning on staying an extra year to finish the 2nd year of an A-level and take up 2 more perhaps for a year. I'm thinking of doing media at plymouth, but when do you think is the best time to apply so that I'll be there 2010?
20090227091011AAq0uf1	Education & Reference;Standards & Testing	How can i test my iq?	N/A
20090227091135AAvPqnx	Education & Reference;Higher Education (University +)	What are my Chances of being accepted to UM as a transfer?	What are my chances of being accepted to UM (University of Miami) I have a 3.5 GPA ?( once they transfer it to there gpa) In my current school I will graduate with a 3.75 I applied as a transfer student with the Presidential service award ( An award given by the Current US president for more than a certain amount of community hours) I am also In the Psychology club and had great Rec Letters one from the MDC college president... Anyone that Knows about this please help am nervous I just applied to start in the fall ALSO how fast do you find out if you were accepted whats the best way or fastest? THanks
20090227091343AAEKkVC	Education & Reference;Quotations	What do you understand from this quote?	"It is only the great men who are truly obscene. If they had not dared to be obscene, they could never have dared to be great."      Havelock Ellis   English sexual psychologist (1859 - 1939)
20090227091352AAS6EmB	Education & Reference;Quotations	Quotes for piggy-back rides?	I know it's really random, but im editing a pictures of me and my friend at he's giving me a piggy back ride. Any suggestions for quotes?
20090227091359AAKmEkB	Education & Reference;Other - Education	Where is my exam center my seat no is A227363?	N/A
20090227091556AAFUvok	Education & Reference;Trivia	Is the word nymphomaniac common knowledge to teenagers aged 16 and up?	Just curious. Would really like to know in the next hour or so to prove a point!
