20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128162502AAeqXfQ	Arts & Humanities;Books & Authors	Would you continue reading? Should I make it more interesting?	What Had Happened  "Hey, you." Jason said as I opened the door and he walked in. "Are you still going to Jenna's party on Saturday?" Jason asked me. Jenna is Jason's sister. They're both my best friends.  "Probably not." I replied. "Riley and I have a date, remember?"  "Come on, you two have been hanging out all week, you can't skip one date to come to you're best friend's party?" He gave me the puppy dog eyes. I hate the puppy dog eyes.  "Fine, fine. I'll go."  "YAY!" He screamed so loud I was sure the whole neighborhood heard him. Then he jumped up and down with excitment and hugged me.  "Jason! Would you stop that and get off of me?"  "Fine, I'm going home to tell Jenna you're coming."  "Oh, wait, before you go, that book you wanted is down in the basement." I said.  "Okay, let me go get it and then I gotta head back to my place. Jenna wants me set up the party stuff. And by party stuff, I mean beer." He gave me a wink.   "How are you going to buy beer? You're only 17."  "I hired Bob to do it!"  "You hired that hippy to buy beer for you?" I gave him 'the look'. I always gave him that look when he was about to do something I didn't like.   "Don't talk trash about Bob. He comes in handy, you know."   When he came back up, I opened the door for him. Then something totally unexpected happened. He kissed me. We've been friends forever, and we've never felt anything towards each other... or atleast, I hadn't. We always playfully winked at each other or gave friendly hugs, but never kissed.  "Uhm..." we both said at the same time.  "I better get going," he said.   "Yeah, you should."  --------------------------------------...  The Next Week At School  The bell rang. I walked up to my locker and opened it. I grabbed my Geography textbook, when I noticed a note sitting there. I didn't remember that being there. I opened it up:    I know about your little kiss last Wednesday with Jason, and if you don't do exactly as I say, I will tell. Come to the coffee shop tomorow at 3:30, and sit at the table by the piano. There will be a note under the foot of one of the chairs. Do what it says, and I just might keep your two timing secret.     How could anybody know about the kiss? The door was opened when he kissed me, but I didn't see anyone outside after I left. And since when did somebody know my locker combination? I've only told Jenna, Jason and Riley, incase they wanted to leave a note for me. No... did Jason tell Jenna about our kiss? Yeah, that's probably it. She's probably just playing a joke on me. Then, out of nowhere, Jason walked up to me. "Hey Jenna, did you find my note?"  "You wrote that? Why?"  "Because I need your math notes."  "Wait... what?" I was totally confused.   "I left you a note asking you for your math notes." The bell rang. "Hurry!" he said. I handed him my notes. "Thanks," he said, then hurried back to class. Just like he said, I saw a note.     Hey, Katie, let me borrow your math notes. I left mine at home.  -Jason    --------------------------------------...
20090128163036AAfOpVD	Arts & Humanities;Philosophy	Although some assert there is no good or evil, but only neutral power, what do you say?	Are the concepts of "good" and "evil" only illusions, with no Ultimate Truth to be found?
20090128101238AANLmwT	Arts & Humanities;Poetry	My Beauty Queen Poem What Do You Guys Think?	Beauty Queen...   I remember you from High School   You were the one that won all the pageants   The one that had it all   The one whom a lot of people hated   Beauty Queen...   I didn't know you   But I still wanted to be you   I didn't talk to you   But I still wanted to be around you   Yes you were popular   Something that I wish I was   At least for a day or two   Yes you had the world in your hands   Something that I wish I had   At least for a day or two   Beauty Queen...   With your crown on your head   With your sash that says number one and   With your beautiful gown that hugged every curve on your body   Beauty Queen...   You won again   You have tears in your eyes   People are clapping   Others are booing   Jelousy   Wishing it was them up their   And not you   You still smiled   You still gave Thanks   Being very greatful that you won   Beauty Queen...   I didn't know you   But I wish I had   I wish I could had approach you back then in High School   I wish I could of said Hi to you   Beauty Queen...   Today and Always   In your heart and   In your mind   You will always be a Queen   Filled and surrounded by Beauty   Cause that is who you are   A Beauty Queen...
20090128162930AADPLRu	Arts & Humanities;Books & Authors	Any book suggestions for a teenager who loves fiction books like The summoning and Twilight series?	I love books with vampire stuff and stories like in The summoning novel by kelley armstrong. I have a book about vampires its called Tantalize but its too advanced and I dont like how its written I am 14 teen and very fussy about what I read those books are the only kind I love guost, vampire, werewolf stuff like that I dont like novels for younger people keep it in the teenage or adult domain!!      Thx
20090128162910AAOPr22	Arts & Humanities;Other - Arts & Humanities	Urgent message for canada and USA?	Canada- our sovereignty is threatened, SAY NO TO THE NORTH AMERICAN UNION      PROTECT YOUR FREEDOM    http://www.petitiononline.com/NO_NAU/pet...       my question is will you please take notice of this important message and sign the petition?         i should mention that americans are able to sign as well   protect your constitution!!
20090225144028AAt3DAq	Arts & Humanities;History	Would comparing Lincoln to Truman be a good contrast, or Lincoln to Roosevelt? Which would be best?	N/A
20090225141818AALDuL1	Arts & Humanities;Books & Authors	Harry potter world online?	is there a website for harry potter , where you can make an account and shop in the harry potter world, become a student at hogwarts, and make friends. ? will there ever be one?
20090225141756AAMtHIw	Arts & Humanities;Books & Authors	Harry potter world online?	Harry potter world online?   is there a website for harry potter , where you can make an account and shop in the harry potter world, become a student at hogwarts, and make friends. ? will there ever be one?
20090128162522AAXCv4p	Arts & Humanities;History	What was the significance of the battle of new orleans geographically?	Control over this city means control over what?
20090128163455AAKEk7s	Arts & Humanities;History	What is Pre History? ?	Can anyone explain what pre history means?
20090128162644AATc2UR	Arts & Humanities;History	History question? Please Help?	Can anyone explain the meaning of “Civilization corrupts man”?   thx in advance!
20090128162326AAq0SAo	Arts & Humanities;Books & Authors	Who can help me. i need books.?	i need books. im 14. im i scardy cat and dont like books like twlight. get over it. help me please
20090128161244AACNJTu	Arts & Humanities;Poetry	From what poem and poet did the author get the tittle ,"A raisin in the sun."?	poem:   poet:      and Name one other work by this poet ....
20090225142418AATKJzB	Arts & Humanities;Books & Authors	Have you ever looked back on an answer and discovered a mistake?	I was looking back on an answer I gave about 'The Lord of the Rings', and was completely aghast by a very blatant mistake.  I said that Tolkien fought in World War II.  That is factually impossible.  He fought in World War I.  Unfortunately, the question was resolved.  Worse yet, I got BA.  Now it is stuck there as a monument to my stupidity.  I should pat myself on the back.      Well, after that, I was wondering if anyone else has done something similar?
20090128161314AAhd4HD	Arts & Humanities;Poetry	I found this poem in my old journal, what do you think?	This is called Mrs. Blue Eyes and it's a song I dug up from my journal.      Hello Mrs. Blue Eyes   Look to the skies   A whole life's fortune in disguise   Two steps forward, One step back   This is the rule to avert it's demise      Mrs. Blue Eyes look at you   Beauty beyond vi-irtue    The look on your face shows you haven't a clue   All this remains when the days anew      Hello Mrs. Blue Eyes   Look to the skies   A whole Life's fortune in disguise   Two steps forward, one step back   This is the rule to avert it's demise      Now Mrs. Blue Eyes   Take him by the hand   Show him he's the mand   Throw away the plan   Mrs. Blue Eyes get out of this wasteland!   Mrs. Blue Eyes to take your final vacation!
20090128161023AARL2l7	Arts & Humanities;Genealogy	How would i go about finding someone i used to know who has a very common name?	like john smith      on the internet
20090128162625AACw6nC	Arts & Humanities;Other - Arts & Humanities	Help! easy ten points? pics please?!?	For my art class, we have to make a bowl out of clay.   I need to put a design on it.   What are some good designs to put on my bowl?   how should i put the designs on bowl too?   PICTURES PLEASE! i want to know what some good designs would look like! :D
20090128163406AAhvd0E	Arts & Humanities;Visual Arts;Drawing & Illustration	What Program Can I Use To Custom Design A Logo Or Avatar?	I want to edit this picture and put my name in a cool design and things of that sort and make it a logo and avatar.What program can i use to do this
20090128163045AALftLH	Arts & Humanities;Genealogy	How can I use genealogy in a sentence?	N/A
20090225142308AAixvcK	Arts & Humanities;Books & Authors	What is a Translator's Note in a novel?	In the beginning of my novel, "Memoirs of a Geisha", the story begins with a translators note, what is that?
20090225142847AA0hN4l	Arts & Humanities;Books & Authors	WHAT IS THE TITLE OF THIS BOOK!?	Okay this is the second title i have been looking for today..but im sick and have books on my mind(:! So! This book:      This girl or a family member saw something criminal take place, and now they are put into the witness protection society. The girl had very long blond hair, and was a tennis player. Though she had to cut it. Her little brother had different color eyes. I believe they moved to California.      Anyone know???   (:
20090128161628AA73VRP	Arts & Humanities;Visual Arts;Photography	Have you been stopped by the police under section 44?	Have you been stopped by the police under section 44 for taking photos in the street? was it inline with this document? http://www.npia.police.uk/en/11700.htm
20090128154859AAHGBKM	Arts & Humanities;Poetry	I wrote a poem. What do you think again?	The love of our lives.   A title, to hear.   A mock of emotions,   Since no love appears.      Of who weakens when loves,   Is sure to be blessed.   While of those who are hidden,   With fear in their chests.      Here I stand, arms wide.   Gracious to feel.   My mind is soaring.   My heart has been healed.      To be broken.   To be lost within round.   I'm yours for the taking,   As soon as I'm found.      Any better? I'm 13, so I take critisizms wisely.
20090225141207AAzOLXj	Arts & Humanities;Books & Authors	How to begin a 3-5 paragraph essay on my culture?	I just don't know how to word it, exactly. Everything i write sounds lame and tacky, in my opinion....its just not coming togetherr for me! >:(   Help, please?
20090225141704AAAwN1x	Arts & Humanities;Poetry	What do you think of this poem?	I wrote this poem for English class a couple weeks ago and got an A on it, but now I'm wondering if it's actually good.  Could I have your opinion?  Do you think its cliche or cheesy?  Please be honest!  It's ok to say it sucks!      The days have never felt warmer   Nor the sunlight tasted so sweet   The days cry out for the night   And the sky mingles with the earth      Love burns on the skin   And passion runs so deep in the blood   That your every movement is fluid and natural   Like the flow of the sea      Every moment is a conquest   Every kiss a dance of victory   Till your very soul grows wings   And your heart flows from your mouth      The scent of love   Is like that of a rose   And it has the feel   Of sand beneath bare feet      Your thoughts are consumed   And your senses brought to life   Like a flower opening its petals   Or a fruit leaking its nectar      To wash one’s hands of material love   And submit to the inner confines    Of freedom in another’s arms   Is to glimpse the garden of eternity      You realize what you’ve always wanted   And what is the reason you are living
20090225143459AAUMoTD	Arts & Humanities;Books & Authors	Anne Frank Help, I need to know this.?	Do you know Anne Frank? If you do please answer this question: Why didn't Mr.Dussel's wife come in the Annex?
20090225141337AAuK3UP	Arts & Humanities;Books & Authors	What is a REALLY cool name for one of my characters in a thing I'm writing? (A guy)?	Ok, I am writing something, and I have all the names expect for one: my lead male. I already have the perfect name for my female; Stevie Rebecca Kruse (I love that name!) But I can't decide on the perfect first name for my male, I have a last name that I may or may not use, Perry, but please include full names just so I can look into it. These names have to be quirky, because that is what my two characters are. Like Paulie Bleeker and Juno from the movie Juno. So far I have gone through Dave, Conner, Luke, and some more I can't remember... but none of  them seem to fit him or are funny enough or I like enough. This story is really important to me, so please help me!
20090225144113AAVAqkR	Arts & Humanities;Theater & Acting	How can I become and actress at age 14?  Help, please.?	Okay, I live in a very small town and it seems impossible to become an actress!  I am fourteen years old, and you have to be in high school to be in the drama club here.  I really want to be an actress, and I know that a lot of kids say that at this age but I am very serious about it.  There is nothing else that I want to do.  I need some help.  I already know that I will have to take classes and be in plays at first, but I just need some advice.  Thanks.
20090128161924AA8KLjQ	Arts & Humanities;Books & Authors	PPL WHO HAV READ NEW MOON BY STEPHENIE MEYER?	i need mementos such as an old love letter for these parts in new moon   1)Edward leaving (what did he leave behind or n e thing like that)   2)When Bella cliff dove and rode the motorcycle   3)When Bella saved Edward from the Volturi   HELP IS GREATLY APPRECIATED AND 1O PTS. WILL B GRANTED
20090225143513AA2pd6q	Arts & Humanities;Books & Authors	Twilight and Harry Potter?	I am doing and Compare and Contrast paper for my writing class on Twilight v.s. Harry Potter (sorcerer's stone). I have never read the harry potter book and i dont want to but oh well. can any one help me compare and contrast the two books please?
20090128163327AA2CqrG	Arts & Humanities;History	To what extent can war create social change?	okay so i m writing an essay. i need to answer that question ^^   my thesis is war can create a lot of social change. i just need help in the introduction. this is also based on women from 1850 to 1919.
20090128101151AATvrW0	Arts & Humanities;Poetry	What advice/criticism/praise would you offer this poem?	Now that I'm finally catching up   The pain in my heart hurts the rest of my parts.   You're here to remind me I'm not good enough,   Making sure I know that the going gets rough.      I'll fall like a tree when you cut me down,   When you dig up my roots and kick me around,      You never thought I'd fall like that,   You never hurt me enough for the pain to last.   But you did it this time, boy. Be proud.    The pain you unwrapped left me screaming aloud.      Cut me deep then throw me away,   Pour salt in the wound if the pain won't stay.   Kicking and screaming, I'll meet my end-   With your name on my grave and my heart in your hand.
20090128162326AAMHygY	Arts & Humanities;Books & Authors	Does anyone know the name of this book? DIFFERENT QUESTION?	I read this book while I was in middle school and really liked it, but I can't remember the name of it. Storyline is as follows:      A white girl is kidnapped and adopted into a Native American family. After staying there a while, she learns their language and pretty much becomes one of them. There are two women she lives with. One is kind and caring, but the other one beats her if she speaks English or tries to remember anything from her life with her family. A group goes into a local town about a year or two after she is captured, but the English colonists try to take her back when they realize she isn't one of the Indians (the blonde hair gave her away). I can't remember the ending, but I really want to find this book again
20090128161713AAt6F0B	Arts & Humanities;Performing Arts	Where can i get some free clarinet music?	i want some new clarinet music.  maybe some like realy songs that you   hear on the radio. like i can play crazy train.  and harry potter too.  it would be best if it was free,  but i guess most songs aren't.  thanks!
20090225144111AAc71gL	Arts & Humanities;History	To what extent did Napoleon Bonaparte embrace or betray the ideals of the French Revolution?	Need help. Writing an Essay.
20090225142121AA3HyBY	Arts & Humanities;Genealogy	Francis Hopkinson's family family...?	sorry didn't mean to have say family family in the question =[
20090128102253AARBkDC	Arts & Humanities;Poetry	What do you think of this poem?	I think I could have done better, but oh well. Do you get what I'm trying to say with the whole "sunset" thing?      YOUR SUNSET      You left me alone...         All alone...         Crying...   Waiting...   Praying...   For something to help me go on      Is your new life worth it?   It won't last long   The sunset is beautiful   Until it's gone   Then you're left in the dark   With nowhere to run...         Isolated...         Alone...         Cries for help go unreplied   And you're on your own...            All alone...
20090128152338AAlSPGW	Arts & Humanities;Genealogy	What are the possible genotypes of the parents of a child who has wavy hair (Hh)?	N/A
20090128161107AARtqWC	Arts & Humanities;History	Who were the first civilized ppl in italy? how did these ppl view woman? ?	worth four stars!
20090225142049AAunjk9	Arts & Humanities;History	What was alexander crummell's profession?	N/A
20090225144114AAgPIU9	Arts & Humanities;History	Who is an expert on the  holocaust?	N/A
20090128145846AANpG1e	Arts & Humanities;Genealogy	Trying to get in contact with my uncle in the U.K.?	Last I heard he was working in a pub up by Loch Ness. Ness is a rather large body of water and really unspecific. Does anyone have any good websites that looks up info.       Oh it might prove troublesome since he's a bit older and might not have much of an electronic trail since I doubt he's on the internet at all.       Thank you for your time.
20090128161227AAQuJzg	Arts & Humanities;Philosophy	What do you think of this?	The future is capricious to human prediction, leaving only the pursuit of pleasure as an absolute for self gratification. Not engaging in hedonism only leaves one as a means for another to gormandize for their own satisfaction. This is why nature makes everyone an egoist, as a means to sustain life. Egoism is the only absolute.
20090225143810AAlxye8	Arts & Humanities;Books & Authors	The Perks Of Being A Wallflower?	In what ways is the person that Charlie writes to like a mentor to him?
20090128160327AAJYR9W	Arts & Humanities;Visual Arts;Drawing & Illustration	BB grade art pencil????????	On my school stationary list for my art class my teacher has listed a BB grade pencil. Do these exist coz I've never heard of them??
20090128163510AAHRQ7k	Arts & Humanities;Performing Arts	What's a good accordion?	I'm looking for one that has more of a Italian sound to it.   Here's a vid on youtube for the sound and type of accordion :  http://www.youtube.com/watch?v=l_xGnvhd1...       what type is it?    where can i shop fr one?   accordion anatomy and phis would be useful,   thanks
20090225142343AA5mB95	Arts & Humanities;Books & Authors	Songs related to the book White Oleanders?	I have a school projects and I need songs that relate to the book White Oleanders. They can relate to almost anything in the book, any themes, the setting, any relation to characters (even the way they look), ect. Please help me!
20090225143023AAVjK6j	Arts & Humanities;Poetry	Is this poem any good?	i decided that no matter how much i try to fit in i am who i am so i want to let everyone know           'Me'      Your words they try to hurt me   Im the one to choose who to be   But im glad that i can feel apart   I should of seen this from the start      I am who i am and thats the way it is   i love my soda warm but i hate the fizz   i wear bows in my hair and my pigtails high   And i like to look stars shining in the sky      i love to sit out in the sun and and to read a book   or dancing in the rain or to sit in my room and look   i like old movies with no sound in black and white   i love to meet new friends and hate when people fight      I love to dance crazy when i thing no one is looking   I hate to make anything but pancakes while cooking   I wish i had time to tell you so many more things   but i think we all no what this moral sings      Your words they try to hurt me   Im the one to choose who to be   But im glad that i can feel apart   I should of seen this from the start         Haha im such a dork and PROUD!!!!! i just stared to love myself for me and i feel so much happier now!!!!
20090128163015AAdNGS9	Arts & Humanities;Poetry	Feedback on my poem please?	I wrote this a long time ago, and I'd just like some feedback =) thanks ahead of time...      "He Left"   An empty stare across my face   a tear rolls down my cheek   thinking how I could erase   those words that made me weak   -   Been laying in my bed all day   hungry and deprived   my hopes and dreams have washed away   gone as if I died   -   He told me that he loved me   he'd hug me if I'd cry   and then he left me calmly   with his simple goodbye   -   I really wish I could predict   I wish that I had seen   all the pain that he'd inflict   as soon as he left me.
20090225144059AAf9UF5	Arts & Humanities;Books & Authors	What is moby dick trying to do?	I have to write an essay explaining what herman Melville is trying to do by writing Moby DIck. For example women wrote books a long time ago to promote equality of the sexes... but i need to know what herman melville is trying to do with Moby Dick ASAP PLEASE!
20090225142800AAxrplD	Arts & Humanities;Books & Authors	How can Frankenstein be a cautionary tale for modern society?	N/A
20090128161723AA8nEB3	Arts & Humanities;Theater & Acting	Does anybody have any experience with vocal training or something along those lines?	I've been singing since I was four [I'm 16 now]. Not in front of an audience or anything-- just in my living room using a karaoke machine that my parents bought for me. And I've never had a vocal coach or anything; I just sing as a hobby in my spare time. I absolutely love singing and I'm not completely terrible either. I just notice that I don't have a very consistent voice. Sometimes I'll be singing a song and halfway through my voice will just become raspy or shaky. But it's sudden and unexpected and completely random. How could I strengthen my voice so it will be  more smooth and consistent?? Would drinking tea regularly be beneficial? Again, I don't sing in front of an audience; I never have. I'm just trying to improve my voice so I'LL be happier with it.         thank you so much, in advance. =)
20090225141240AAuz2aM	Arts & Humanities;Visual Arts;Other - Visual Arts	Who were popular designers in the 1920's?	Can you tell me some designers that were in demand in the early 1920's?
20090128155404AAPO4nj	Arts & Humanities;Genealogy	HELP! HELP! HELP!!!! what is the origin of this surname?	The surname is "Gierat".
20090128161955AAM3E0p	Arts & Humanities;History	Why would top people in the Vatican say the Holocaust didn't happen?	Is there a conspiracy against the Jews? On the internet it is the anti-Jewish sites that seem to rant madly on without giving hard facts to back up their scary claims. But it seems to be the Jewish sites that actually give specific, factual rebuttals to these 'Illuminati-type' conspiracy theories.      So I am wondering, is there a conspiracy against the Jews? And if so, why?       Why would some serious people deny that Hitler's Nazi psychopaths murdered millions of people unless there is an organised Jew-hate campaign?       (By the way, I have no axe to grind being neither Christian, Jewish or Muslim :)
20090128163722AApExec	Arts & Humanities;Theater & Acting	Acting advice???????????????????????	Any one have any good acting advice for a 13 yr old? Im not trying to make it to hollywood or anything.... im more into theatre.    Thnx I really appreciate it
20090128161236AADsoEz	Arts & Humanities;History	How did President Cardoso stabilize Brazil's economy in the 1990s? 10 POINTS!!?	A) He put many businesses under government control.      B) He gave land to the wealthiest families so they could supervise it.      C) He cut back on government spending and inflation.       D) He helped make Brazil attractive to foreign investors.
20090128161625AAiL1HC	Arts & Humanities;History	Why did the United States take action in Central America during the 1970s and 1980s? 10 POINTS!!?	A) to reduce drug traffic into the United States      B) to prevent economic suffereing and hardship      C) to help nations recover from natural disasters      D) to prevent the expansion of communism
20090128161048AAGiOrW	Arts & Humanities;History	What is the meaning of residential nuclear family?	N/A
20090128161207AAZkAoK	Arts & Humanities;Books & Authors	O. Henry (the author.. not the candy bar)?	What is "The Lotus and the Bottle" about?? also, What is "The Sphinx Apple" about... and one more... What is "The Lonesome Road" about? Thank you for your help!!!
20090128161254AAvcZ1e	Arts & Humanities;Visual Arts;Photography	Whats a REALLY good photo editer that i can get for FREE on the internet?	i would really like to leave one color in the photo in color but the rest black and white
20090128161610AAkyO4x	Arts & Humanities;Philosophy	Multiple Choice: Why is blank verse particularly effective for drama?	a. Its rhymes help to emphasize dramatic emotions.   b. It closely approximates the natural rhythms of English speech.   c. Its irregular structure is suitable for lyrical monologues.   d. Its formality makes characters' speeches easier to understand.
20090128161517AANJ0va	Arts & Humanities;Dancing	I'm starting a ballet studio soon...and I need a name!! ?	ANY ideas are appreciated...I'm thinking something french but easy to pronounce?  Just something more than __'s ballet studio you know?
20090128161557AATaLFP	Arts & Humanities;History	Were the witch-hunts in premodern Europe misogynistic?	Also, do you think witch-hunts were a good or bad thing and why?
20090128161617AAOq1if	Arts & Humanities;Poetry	Acrostic poem! please help.?	can someone give me a good idea of a acrostic poem for:      J   E   S   S   I   C   A
20090128162429AARtZnP	Arts & Humanities;Visual Arts;Photography	Which one is better - Picture 1 or 2?	I know I'm ugly, I just want opinions.       http://i471.photobucket.com/albums/rr79/...        http://i471.photobucket.com/albums/rr79/... 
20090128161810AAVcLUF	Arts & Humanities;Theater & Acting	I need a Skit for a talent show?	my school is doing a talent show.   i signed up and i don't know what skit to do.
20090128161815AA2SDMs	Arts & Humanities;Visual Arts;Other - Visual Arts	Give me 9 things that represents SADNESS and ANGER !! ITS IMPO, thanks?	N/A
20090128162952AA0uLHj	Arts & Humanities;Books & Authors	What is the best horror book?	I'm looking for a good horror book to read.  Any good ones?  Please also include the author.
20090128162007AAgkZLo	Arts & Humanities;Theater & Acting	How do i prepare to perform a monologe (for an audition)?	i am soo nervous. and need as much help as i can get!  please help!
20090128162014AAIxiNy	Arts & Humanities;History	Who is julius caesar?	who the hell is he?   i am so confused.    and why were romans impressed with him?   his accomplishments?   every website i go to has a different story, so please help!
20090128162106AA61UAJ	Arts & Humanities;Theater & Acting	What does it mean to Block(In a Play) ? ?	NEED TO KNOW
20090128162957AA1lStc	Arts & Humanities;Books & Authors	Book recommendations?	A Variety of My Favorites are...   Looking for Alaska   House of Stairs   Odd Thomas   Burned   I Love Everybody and Other Atrocious Lies
20090128154137AAx0UN4	Arts & Humanities;Genealogy	Locating a family crest???	I'm trying to locate a family crest that was an original, the man who painted it was from Ireland his name is David Masterfield, The address that I have is   Castle Erai  16 st Kevins Gardens  Dartry Dublin 6  Ireland. The phone number I have is (01)972765.. I have no idea how to find this man, this address or how to even call this number... PLease help!!!!
20090128162601AAKjhpa	Arts & Humanities;History	What did newspapers report that Germany was prepared to do if the English landed in Holland?	Diary of anne frank
20090128163130AAepTj9	Arts & Humanities;Visual Arts;Painting	What kind of paint is Krylon Fusion?	I would like to find a spray clear coat compatible with Krylon Fusion Spray paint. I tried Krylon's own acrylic clear coat, but it bubbled up and was incompatible. Does anyone know what type of paint it is? laquer,oil, water based...?      Thanks
20090128163228AAAOIzk	Arts & Humanities;Visual Arts;Painting	When marbling paper, what do you do if the paint doesn't swirl, it just sits there?	We're using oil paints, and we've tried thinning it out, but it won't swirl and get the marble effect.  Instead it just sits there in a blob.  Any suggestions?
20090128163358AAec1TK	Arts & Humanities;Performing Arts	Acoustic Guitar: Phosphor Bronzewound Vs Bronze Vs Silk 'n Steel AND gauges?	Hello,    I would like to know what are the main differences (pros/cons) among acoustic guitar strings.    Do the different string gauges affect sound / playability?    Thanks!
20090128163436AAvg8Z2	Arts & Humanities;Visual Arts;Photography	Affordable portable flash kit?	I'm looking to purchase my first flash lighting kit (I have already studied at college, so I know how to use flash, but I'm on a limited budget).   There are so many flash kits out there. I wondered if anyone could suggest a good one.      I don't want to go overboard. The Elinchrom D-Lite 4 (2 head) kit looks perfect. But I need something I can take on location to do fashion shots etc. The Gemini Espirits can be taken on location with a travel power pack. But their really expensive. The more money, the better kit. But does anyone know of something that's entry level such as the D-lites, but with the versatility and portable abilities of the Gemini's?      Elinchrom D-lite 4 kit (2 head kit)= ￡500/$700   Gemini Espirit 2 head kit (with portable power pack)= ￡1050/$1500      Thanks guys. I know you guys have some good ideas for me.
20090225141241AAsFUAp	Arts & Humanities;Books & Authors	Where can i find pictures of Mary Jane Patterson?	I have being assigned to do a book report on the first black female to graduate from college and to become principal of a school, part of it requires to look for pictures of her or anything that relates to her.    One problem, throughout my research i notice there's only one picture of her.    Can anyone please help me find anything pictures related to her ?   anything will help,   thank you
20090225142043AA9yuLz	Arts & Humanities;Genealogy	I am looking for someone in Germany?	Hello, I am trying to find someone in Germany.  I don't know their name however I know their birth father's name.  that is all - does anyone know where I can get more information?
20090225142100AAeN1UB	Arts & Humanities;Performing Arts	Need to find out which Major scale(if any) the following keys are in.  G#, F, A#, D#,?	Preferrably Major or Minor. Any others will be of help as well.
20090225142418AA0hbHn	Arts & Humanities;Books & Authors	Lancelot's quest for the Holy Grail?	1. XV, 2:      2. XV, 3: -Lancelot's vision of his ancestry.      3. XV, 5: -In a tournament, Lancelot's side loses.      4. XV, 6:      5. XV, 6: -Lancelot is beaten by a knight.      6. XVII, 13:      7. XVII, 13:      8. XVII, 14-15:      9. XVII, 17: -Lancelot sees marvels he cannot fully achieve.      10. XVII, 17:         Could someone help me fill in the blanks? Thanks! :)
20090225142440AAG9qVv	Arts & Humanities;Visual Arts;Drawing & Illustration	What Event Should I Make A Poster For?	I'm doing an assignment for my graphic design class where I have to make a poster for either a real or made-up event, but I have no ideas of what I should do it for. Any suggestions?
20090225143550AAIzQHI	Arts & Humanities;Genealogy	Does anyone know a website where you find instrumentals?	I need plies -damn my po
20090225143815AAH0hNZ	Arts & Humanities;Books & Authors	When will midnight sun be out? cause these books are very addicting!?	I am dieing for the for the next book to come out !!!!!! when will it? soon? I need answers! Having a breakdown here! lol
20090225143832AArayzq	Arts & Humanities;Books & Authors	What's a good title for a paper about your room?	My teacher is asking us to write a description about our bedrooms and i can't find a good title. Any ideas? :)
20090128165115AAF7pzv	Arts & Humanities;Books & Authors	If they were to make a movie version of Blue Bloods....?	If they were to make a movie version of the Blue Bloods book series, who go you think you play Jack Force and Schuyler Van Alen?
20090128171846AA9LmTP	Arts & Humanities;Visual Arts;Painting	What are some of Austria's most famous artwork?	-Not music   -Preferably paintings
20090128165554AABcFDg	Arts & Humanities;Poetry	What does wealth mean in this poem?	 http://www.poemhunter.com/poem/i-wandere... 
20090128171110AAPb6zP	Arts & Humanities;Other - Arts & Humanities	Enough grace and decent enough stats to model?	I'm 17 years old and a trained dancer. I have great posture and long legs. I'm not that tall, but I do stand at 5'6" 1/2. I also have a great figure (B cup breasts/a good butt). My weight is 115 pounds. Where do you think I stand in the modeling world?
20090128170453AA2GR8K	Arts & Humanities;Poetry	What are Emily Dickinson's most famous poems?	What were published during her lifetime?
20090128172057AAzAv4Y	Arts & Humanities;Books & Authors	My book ideas. Let me know how you feel?	heres another selction of my ideas.      Idea#1: this is weird but so are all my books.    Ok so the book is based 50years into the future. our economy is doing better but not great. global warming is our biggest problem. so one day the goverment realeases info that they have been building a spaceship since the first travelled into space. this spaceship has 45gigitons of propulsion and they think it will be able to reach Pluto in approx. 20 years. The most perfessoniol astronauts go on the trip. as they blast off, the book turns and tells about life on earth and the astronauts families. after the spaceship pasts jupiter, Nasa loses communication with the spaceship. the astronauts experiance many problems. then nasa gets a message from the spaceship that says chzzzz wchzzzz eeeee chzzz foun chzzzzaszzz heav chezzaz en chzzzzz. the communication is then lost. i dont want to reveal anymore.      Idea#2: tHIS IS A LITTLE BIT LIKE A SHORT STORY that i forgot the name of. anyway. the book is about a family that travels to Ranko toko, it is an island far off the coast of hawaii. the family goes there on vacation. the family is then abducted and brought to a warehouse in the jungle. there are 4 other families tied up. there are also alot of old man in the room. there is a stage and a podium.   i dont want to reveal anymore because it will ruin the story.         Idea#3: in a future militaristic america, the u.s govermant picks out 300 17year olds at random. they are then brought to a mall. every citizen is watching because this is a type of sport. The kids are then realeased into the mall. they have 1hour to hide and gather supplies. after one hour, a type of swat team bashes in the mall and shoots any teenage they see. the last one left wins.         Idea#4: a drugged out teenage is driving home from a party. he is then hit by a car and goes flying off the freeway. he goes into a coma for 4years. when he wakes up, he has pyrokenisis and telekenisis. he then abuses these powers.      Idea#5: The woman in the world all of a sudden can not reproduce. the earth then goes looking for the last pregnant woman. there is a woman in africa who lives deep in the forest. a hunter sees her and then tells everyone. she doesnt want her baby to be killed and she runs away.         i am only 13 i just thought of these ideas now so dont be so critical. let me know which one is the best, which one you like, which one is not good, which one i should finish, which one can be made into a movie. thanks alot guys
20090128163814AAhYZA2	Arts & Humanities;Books & Authors	Harry Potter question.?	In the last book, when we discover ...(spoiler warning!) ...      that Snape was in love with Harry's mom, Dumbledore and him are talking about Harry, and Dumbledore starts to cry and says "All this time?"    Did Snape like Harry the whole time, even though he was mean to him?
