20090225101213AAS8M2R	Computers & Internet;Hardware;Monitors	Cylindrical box around the monitor cable?	Hej!         Whats the cylindrical boxes on both sides of the monitor data cable ends?
20090227155202AAMGjQ6	Computers & Internet;Hardware;Laptops & Notebooks	4gb laptop ram problem?	I am installing new ram on a Toshiba satellite p205-s6237, It originally had two 512 sticks. Now i want to put 4gb (2x2gb). When i put both 2gb sticks in, the computer will not boot up.      If i put a 512 and a 2gb, the computer will work. I have tried both 2gb with the 512&2gb combo and they both work.      Also the 2gb sticks work on their own.      Another weird thing is when i put a 512 in one slot and a 2gb in the other, the laptop wont boot, but if i switch the slots they are in, it will work. Same thing with the single 2gb setup. In one slot the 2gb will work but in other it will not.      What is happening?
20090227155252AAh1lhQ	Computers & Internet;Hardware;Desktops	If submitting a document where requirement is 1mb, mine is 52.0 KB is that ok, is it less thank 1 MB?	N/A
20090227155253AArZmSP	Computers & Internet;Hardware;Other - Hardware	4gb of Ram in XP 32 Bit?	I know there is a 3 gb or so limit on Windows XP 32 bit.   But my friend was talking about games using the whole 4 gb across the computer. But i am 70% sure that windows would still limit the ram used because it cannot address the whole 4 gb to all of the processes running.   So, is it possible to use the whole 4 gb of ram in a 32 bit OS for games?
20090227155304AAZUO91	Computers & Internet;Software	Outlook 2007 and XP Address Book synch?	If I add or edit a contact in Address book, will Outlook contacts automatically update and vice versa?  Want to manage contacts from either or.
20090227155327AAie5jV	Computers & Internet;Programming & Design	Iframes as a sidebar in html?	I'm trying to use the   tag to create a sidebar in html, the sidebar is going to be often modified and needs to be displayed on many pages.The problem is, when a link in the sidebar is clicked, only the iframe page changes, not the entire page. How can I make it so links in the sidebar affect the entire page instead of only its iframe?      If there's a solution with this in CSS, please state it.
20090227155442AAspWQ7	Computers & Internet;Programming & Design	Write shell script in linx to count number of line in specified file that  begin with letter "i"?	how i can write shell script that count the number of lines in the file specified by the command-line option that begin with the letter "i" or any letters in linux ?   Pleasse help me
20090227155701AAs7GDq	Computers & Internet;Other - Computers	How do I make money online without spending money?	I'm looking for ways to make money online without spending any money therefore I do not have any money to spend.So if you have any good ideas feel free to give me your answers. Thanks!
20090227155823AA0wP6n	Computers & Internet;Hardware;Add-ons	Memory or graphic card?	I was about to buy graphic card       Which memory or graphic card make game load faster?
20090227155838AAQUFyM	Computers & Internet;Hardware;Desktops	Upgrade from AMD 6400+ 3.2ghz -> AMD Phenom II X4 940 3.0ghz?	Would i see big performance increase?      I run several app at the same time quite often, like movie on one monitor and game on the other and etc.      and I play Crysis, Fear2 etc etc.      And I edit large image files on image editors.      Thanks guys :)
20090227160019AALmBd4	Computers & Internet;Internet;YouTube	Whats a really funny video on  youtube?	N/A
20090227160052AAHQ8o2	Computers & Internet;Software	Windows vista please help?	i have just bought a new pc vista,acer i have transferd my videos from disc on to the pc, but when i play them i can only HEAR SOUND no PICTURE  why is this im going mad do i need to download xvid or somthing like this .please can someone explain to me clearly what i have to do im pretty new to all this and finding it difficult , i would be very gratefull , as i dont know which sites are safe  thankyou
20090227160106AAy6bGT	Computers & Internet;Security	How do you remove Adware-BrowsingHancer?	Identified by McAfee who is unable to remove
20090227160133AABbXHe	Computers & Internet;Other - Computers	Please help i have 1 day or i dont get it please cant  my computer SUPPORT and run this game.quantum of solace?	im not sure if my computer can suport quantum of solace game at future fhop they say that these are the system requirements * Optical Drive: DVD-ROM   * CPU Speed: 1.8GHz   * Disk Space: 8GB   * Display: NVIDIA GeForce 128MB or AIT Radeon 9800 Pro 128MB   * Memory (RAM): 512MB   * Operating System Compatibility: Windows Vista/XP, Not Mac Compatible. my b day is soon and my parents let me 1 day or they dont buy it at all.my computer as this. intel(r) celeron(r) cpu 2.80ghz 2.81ghz, 2.00gb of ram video or graphic card is 128mb. please answer me fast
20090227160303AArUwZG	Computers & Internet;Hardware;Desktops	High Performance Gaming Computer?	What is a good company to buy a computer from, to play a game like crysis on with maxed out settings. Also what will the computer need, such as graphics cards, video cards, and hardrives, processors and all that other stuff.
20090227160342AAfd6kg	Computers & Internet;Internet;Other - Internet	Can anybody e-mail me webkinz secret codes?	i have one week left and i need it really badly!
20090227160456AAEiT6Z	Computers & Internet;Hardware;Laptops & Notebooks	Is 160gb hard drive and 1gb memory good ?	i'm thinking of buying a laptop. is 160gb hard drive and 1gb memory good for      - myspace   - msn    - surfing the net   - downloading and listening to music   - downloading pictures from a camera       ?
20090227162151AAJzsrY	Computers & Internet;Internet;MySpace	Does anyone know on myspace how to make there profile blank ?	does anyone know how to make your profile blank, but like you can put a few sentences on there ?
20090227160530AA5zvL2	Computers & Internet;Computer Networking	Need New Internet Provider?	Currently I have the internet provider Wild Blue North land connection.      I live out in the country where there are no DSL Lines.      Lately my dad has told me I can't use the internet for Games,Videos, and downloading. The reason being is that there's a limit to how much internet we can have fast before it goes slow. I'm extremely ticked off because my Friends hate going to my house because they can't do anything.      What I would like to know is if there is a internet provider that is       Cost effective    No limit on speed and   Is good for videos,games, and downloads      Please Reply, ASAP
20090227160704AAuYVOc	Computers & Internet;Software	In Excel if Column A = Column B then Display Column C?	Like the title states I am trying to figure how to perform a function. If the Values in column A match the value of column B then Display Column C in whatever cell I am in.      For instance if A is 1000 and B is 1000 then Display C "hippopotamus"      Hope that makes sense, Thanks.
20090227161626AAc4kfq	Computers & Internet;Security	Forgot my password? Help?	I forgot the password to my laptop, and safe mode is also passworded (because I wanted to keep my sister out). Is there anyway I can get into the computer without having to reinstall my OS?
20090227161242AAVPtoG	Computers & Internet;Internet;YouTube	I need help posting ym youtube vid?	my videos l make won't open in windows movie maker it also says "windows movie maker will not open pitcure 456" or go uin something like that      what do i do, should i get a new camera or download something so it can take my videos
20090227160830AAXV7c3	Computers & Internet;Hardware;Laptops & Notebooks	Do you know what I good brand of laptops is?	I'm saving up for a laptop and I can't really find anything that is a good brand (mainly because I've never bought one before) and I don't really want to spend over $600.
20090227160858AACM5SE	Computers & Internet;Hardware;Laptops & Notebooks	Where can i find a philips x57  laptop destructive recovery disk ? plz can someone help thanks, p. whylie?	N/A
20090227160928AA3qfQr	Computers & Internet;Hardware;Laptops & Notebooks	Dell laptop short circuit?	my laptop keeps short circuiting itself, and now it wont react when i press the power button. the charger works but once i put it into the laptop and try to power it up, the adapter light goes off. I called dell and they said its an issue with the motherboard and that I would have to replace it at a cost of 400 dollars (the laptop is out of warranty). Whats my best bet? is there anything  I could do that is cheaper? The laptop is an inspiron 1501. Thanks in advance!!!
20090227161215AA3FBqJ	Computers & Internet;Internet;MySpace	Quotes? Can someone help me ?	ok so i love writig quotes what is a program i can dowload so i can use to download my quotes on to photobucket ? !
20090227161048AAwqV0a	Computers & Internet;Internet;Other - Internet	My internet explorer will not display wiipals.net! I have tried all that I can think of. all Other sites work.?	I thought it might have been a norton security problem, but I uninstalled Norton, and nothing has changed! I have to get back to the website soon, or they might shut down my comic book thread!
20090227161158AARpWXB	Computers & Internet;Software	Why my microsoft office word, excel is not responding?	when i type this is the message i'm receiving(this modification is not allowed because the selection is locked) please help me
20090227161159AAZCtbH	Computers & Internet;Hardware;Laptops & Notebooks	What notebook is best to buy?	I have had a dell and had problems with the support from dell in the past. I am currently looking to purchase a new computer. I was looking into a mac but seeing how they are pricey Im not sure I will need all that.  I will be using it for school, internet, pictures, videos and that's about it. I don't mind spending the extra buck if its worth it. I read alot that macs don't mix well with school papers and cant be opened from other computers. Any advice would be grateful.
20090227161225AAmgh3U	Computers & Internet;Hardware;Desktops	Can i do an Horizontal SPAN with a DUALhead2go with " 3 " MONITORS ?	I have a graphics card (XFX GEFORCE 8800GT) WITH 2 DVI outputs, can i connect one monitor to one DVI and the other 2 to the dualhead2go connected to the second DVI and Span all 3 ???      I know about triplehead2go and what it does, its just much expensive than dualhead2go.        ** If you know the answer please make sure it actually works, i'm planning to buy one dualhead2go and i don't want to go with an "I THINK IT MIGHT WORK" answer. thanks! **
20090227161339AAdlP4V	Computers & Internet;Programming & Design	Game design qualifications?	I really want to get a career in game design, programing etc. but at the minute im only choosing my GCSEs. What GCSEs are useful for these careers?? Im basically got:      Double award science, ICT, geog, RE   or   Single award science, ICT, geog, art      plus all the nessicary reguirements such as: eng, eng lit, french, maths      Although i must add I suck at maths! Excell in ICT and not sure in art but ill be deciding on my summer exam result.
20090227161422AAdZ0Pc	Computers & Internet;Hardware;Other - Hardware	Any help with the blue screen of Death? Windows XP?	I have a Dell inspiron 6400 and for the past few months I get the blue screen of death. It usually happens if I use a chat program (AIM, facebook chat, yahoo), looking through pictures, or visiting a page with a lot going on. Dell came and replaced my motherboard, and reinstalled windows, but to no avail. Please help! This computer is only 3 years old and I would hate to have to buy another. Also, Mcafee detects no virus, but that doesnt say much I guess
20090227161519AADsaDC	Computers & Internet;Internet;Other - Internet	Is the website, superfreelaptop.com illegal/real?	Well I herd of this website, superfreelaptop.com from the radio and i was wondering if its real or not. Because to me it just seems to good to be true.
20090227161614AA4LFBd	Computers & Internet;Software	Every time I open my iTunes  when my iPod is connected.  What do I do to make it stop?	About a week ago, my iPod froze while I was listening to music so I connected my iPod to my computer (Mac OS X 10.4.11) to unfreeze it--something I always do--however, this time, iTunes told me that the iPod was corrupt and that I should restore it. I didn't restore it because I have none of my music, movies, podcasts, etc. on my computer and it would take at least a month to get everything back. I disconnected the ipod and let the battery die, the charged it on my dock. When I reconnected to iPod to iTunes, iTunes froze and has been freezing every time since then. I even re-downloaded iTunes (twice!) to see if that would help. Advice?
20090227161651AA0mUAe	Computers & Internet;Hardware;Desktops	I keep on getting the blue screen on my computer.How do i fix it?	For the ast 4 months i have been getting the blue screen of death, error message. I have tried to fix it, but whenever i think i have fixed, it i say the dreadful blue screen error, once again. I tried to get into safe mode, safe mode, safe mode with networking, and safe mode with the command prompt. Whenever i try getting into safe mode, all these little addreses things pop up. It freezes right there. I have tried rebooting it over and over, but still no solution. It says i should disable Bios memory options, like caching, or shadowing, but i have no idea on how to do that. People are telling me to configure things on control panel, but how on earth can i do that if i cant get into my computer. I cant even get into safe mode. Please help. I would really appreciate it.   Thanks.      - Noah
20090227161715AAWoVP5	Computers & Internet;Software	Why my computer will be start automatically after shut down  ?	and sometimes it does not happen , do  u think the problem is about hardware or software    ?
20090227161810AA7kQ6n	Computers & Internet;Other - Computers	How do I fix my laptop that gets really slow at strange times?	Lately my laptop has been coming close to freezing every time I open a game or memory/CPU intensive programs or try watching videos online. at first it would only get slow when ever I watched videos on a specific site, then it started to get slow when I used other programs, now it gets slow on a few more programs and on any online videos. It seems to be getting worse all the time.      By slow I mean that my mouse becomes extremely laggy and it looks as though the web browser has to redraw the webpage when I try to scroll. Oddly enough when I use the touchpad build into my laptop the mouse will move perfectly fine while the usb mouse will be really laggy. The only real way I can temporarily fix it is to close the program that caused it and to end the process tree for explorer then wait 2-5 minutes and restore explorer.       The laptop I use is the Dell Latitude D600, and its battery is practically dead. It only stays charged for roughly 20 minutes and has an annoying red blinking light that won't go away. I still have 27 GB free space on my C: drive. I tried doing a system restore but it would only take my computer back about 3 weeks where as it has had this problem for about one and a half months. I've also tried to fix my registry through a few free registry fixers but to no avail. I'm also positive I don't have any viruses or anything.      So, any ideas?
20090227161830AA91i6s	Computers & Internet;Programming & Design	Myspace layouts how to make em?	how do you make like your own stuff like the codes and stuff like that. plzzz answer!
20090227161929AAbf34x	Computers & Internet;Internet;MySpace	How to make Your OWN myspace layouts?	how do you make like your own stuff like the codes and stuff like that. plzzz answer! NOT a generator!
20090227162030AAMIkvg	Computers & Internet;Internet;MySpace	Myspace! layouts! making your own.?	how do you make like your own stuff like the codes and stuff like that. plzzz answer!
20090227161836AAIZFPN	Computers & Internet;Hardware;Other - Hardware	Ok, i just got my computer back from the technician's, and now my sound isn't working right?	I'm guessing something isn't hooked up right, but i have no idea what to check, and there are way too many cords to check them all. Can anyone help me?
20090227162305AAl3hrc	Computers & Internet;Internet;Google	Help with Gmail please?	I had a bunch of starred a while ago,   and I accidentally deleted them.      I have a lot of other stuff starred from 3 years ago that I erased and are still in the star section, but the stuff I just accidentally deleted isn't there.      Is there a reason?   Are all of my starred stuff gone for good?
20090227162003AA4gSak	Computers & Internet;Software	I now know how to create a countdown to an event using excel. Now I want to modify it to include the time?	Existing formula assuming the event happens at 3:00 pm on May 8, 2009: in cell A1 put in may 9 2009, in Cell B1 put in =today(), in cell C1 put A1-B1. Now, how do I modify the formula to provide a countdown that includes the hour, minute and second? Thanks for the help!
20090227162007AAQM24d	Computers & Internet;Software	Hello! Can anyone help me aim in the RIGHT place?	I have a library very busy with Astronomical & space images.   I never thought of asking you guy's before, but  I 'm searching for the most pefrect sites of cosmos images. Up until now i've alway's googled my images & I get used to the same sites that can be aliittle boring.  Does anybody have a really idea of some perfect sites, that could be exactly what i'm looking for. Please Help,   Many Thanx,   Karen X
20090227162151AAsrFko	Computers & Internet;Other - Computers	How to erase errors on oders  made on mcdonalds cash register?	We use the POS system
20090227162240AAJkEBP	Computers & Internet;Internet;Other - Internet	How do I Tri-Force on 4chan?	I don't want to be a newfag. ]:
20090227162255AA1nhNX	Computers & Internet;Hardware;Desktops	How to upgrade video card for windows xp?	I'm pretty sure I have a motherboard in it..so I'm wondering is it possible to upgrade it or install nVidia card or something?   I think my current video card is a SiS 760
20090227162256AAyx3Kx	Computers & Internet;Internet;Facebook	Mafia wars name on facebook?	anyone help me choose oneee?    my names sarah.. obv xD lol      thank you x
20090227164001AA1v5qz	Computers & Internet;Hardware;Other - Hardware	For some reason my keys  or symbols won't work right?	I'm on a laptop and I did everything right (I think). I pressed NumLock, then I pressed Alt and 3 to get a heart but the symbol won't appear. Help!!!??
20090227163847AAXmwM4	Computers & Internet;Internet;MySpace	Myspace comment help;?	On my page i cant see the words that my   comments say, like since the background   is black; you cant see the letters and i need   a code so that they can show; please help;!
20070412232149AA10CPP	Computers & Internet;Programming & Design	Unix - I have data in collums. I want to strip all spaces/tabs so its one line broken by commas. Any ideas?	Gday.      Ok - if you have a Unix/Linux box - run df. It tells you how much free hdd space you have. I want to get rid of the spaces on each line.   So      Filesystem           1K-blocks      Used Available Use% Mounted on   /dev/md0               1003960    639548    313412  68% /   /dev/md2              40318968  12832832  25438004  34% /home   /dev/hdb3             33427696  16034532  15695096  51% /nm_tmp   /dev/md4              77557816  24072088  49545936  33% /var   /dev/md3              80632320     32844  76503596   1% /nw_usr   none                    386140         0    386140   0% /dev/shm      becomes      /dev/md0,1003960,639548,313412,68%,/   /dev/md2,40318968,12832832,25438004,34...   /dev/hdb3,33427696,16034532,15695096,5...   /dev/md4,77557816,24072088, 49545936,33%,/var         Any ideas? I think you can use SED - but I havent had much luck yet.      JP
20070404214324AArmp5o	Computers & Internet;Programming & Design	Using Javascript to add text to Cross-Browser Rich Text Editor?	Hey - I am using Kevin Roth's legendary Cross-Browser Rich Text Editor ( http://www.kevinroth.com/rte/demo.htm)  but I want to be able to click my own javascript button and add some text into the text area - but I cant work out how.      Any ideas?      Speficially I want a drop-down box with different values, and by clicking on a button I add the selected text into the text area so it can be edited.
20070104042721AA33oep	Computers & Internet;Programming & Design	?Como hago para bajar fotos desde mí movil a la computadora?	N/A
20090227170210AAxcJlg	Computers & Internet;Other - Computers	Do apple key boards only work with apple products?	or can you just plug a apple key board in any where you can just plug it in and it will work the key board is the one on the left    http://www.apple.com/keyboard/ 
20090227170251AAdrGyg	Computers & Internet;Internet;Other - Internet	Why does my Verizon Internet turn off then on ?	I moved my computer to another room for a year now[Don't ask, I'm used to it not working but now its getting all my nerves.] and now it keeps turning off then maybe after a couple minutes it turns on then off again and maybe sometimes red.When it was in the other room it was fine, I mean like it worked so good I could stay on for as much as I liked but now ugh I feel like throwing it out the window.       and I have a the modem Westell model 6100.
20090227163309AAQdNWP	Computers & Internet;Software	Uggh why is my brother such a flipping retard? He changed our operating system form vista to xp.?	now i really need windows media center and its not here. how do i get it?
20090227164001AAGUssG	Computers & Internet;Internet;MySpace	Why can i not upload pictures onto my myspace?	Every time I click on "Upload" in my homepage it freezes my internet window.   So I sent Tom a message he gave me the JavaScript page to update my **** and when I click on that nasty *** raggedy *** link it froze my internet window.      I am seriously pissed off. It has been like this since last night.   Can someone please help?   Ten , damn tempting, points here. Plus two for answering ;DD
20090227162617AAbZCta	Computers & Internet;Internet;MySpace	Good myspace quotes? Please help me!?	Well I'm 14 and I'm not into that lovey dovey stuff and I also DO NOT like anything that is funny. I like the ones that more about life and stuff. Can someone find me some good quotes that  are about life?         Please just give me a quote and not a website.      Best quote(s) get 10 points!
20090429213643AAzDLIF	Computers & Internet;Software	WHY DO PEOPLE USE LINUX IT'S ILLEGAL!?	...Cracking wep and ****
20090227164546AAi4m9A	Computers & Internet;Programming & Design	How do I set up a Website?	I am setting up a static caravan for letting and would like to set up my own website for it.  Although I'm computer literate & use the internet daily, I've never done this before & don't know where to go to set up my own website (nb: NOT just a WebPage).      Would be grateful for any hints/best sites (I realise I will have to pay for this).
20090227163041AAMkWaL	Computers & Internet;Other - Computers	How do i remove tracking cookies from my computer?	i have avg anti virus the free version it keeps telling me i have tons of tracking cookies on my computer i have deleted my browser history including cookies loads of times but that doesn't seem to change any ting is there anything i can do
20090227170508AApXXQc	Computers & Internet;Internet;Other - Internet	Where can I download video footage?	I want to find a website where I can download old sci-fi video clips.  I am going to put a whole bunch of old hilarious clips,weird nature footage, etc. together for a back drop when my band is playing.  Is there a website where this is possible? I use iMovie for mac usually for editing.
20090227170130AA6vM7X	Computers & Internet;Computer Networking	In order to setup my Linksys wireless router, do i need EasyLink Advisor?	Or can i use a different networking program?
20061129194503AA9oQtx	Computers & Internet;Hardware;Other - Hardware	Will updating to itunes 7....?	will it erase all of my songs on my itunes library?
20070312154334AAPtKV9	Computers & Internet;Other - Computers	My computer shows 23% open space. I havent used that much space. What is taking up this space.?	Whatever is taking up this space I need to eliminate it. Even on dsl its making things run very slowly. I think the two are related? How do I eliminate this problem? I have compressed the disk already and still no more open space.
20060821205856AAC2yrB	Computers & Internet;Internet	I recently downloaded mozilla firefox and cant seem to uninstall it?	How do i uninstall fire fox..I tried going to control panel and uninstall/install   and wont work can someone tell me how?
20090227173447AAXnrcq	Computers & Internet;Hardware;Desktops	Why is my pc freezing about every half hour, and i have to re-start?	N/A
20090227170239AAJXDva	Computers & Internet;Internet;YouTube	Can you download youtube videos onto your computer?	I uploaded a youtube video a while ago, and I lost the original file copy on my computer, so the only copy I have on it is on youtube. Is there any possible way I can download the file?            Thanks
20060911114206AAF6x2x	Computers & Internet;Other - Computers	In win98 how do I find my dos version number?	I tried entering ver in the command prompt but all I get is the win98 ver number.  this is what I get> windows 98 [4.10.2222] why the brackets?I think the numbers in the brackets are not the dos number because is matches win 98 ver number? What I'm looking for is what dos number version that is in my computer  without win98 installed? see my confusion? who can explain what to do?
20060920171742AAaVheA	Computers & Internet;Computer Networking	What's The Short Cut For Rename In Windows?	crl+???
20090227163725AA3ksLl	Computers & Internet;Computer Networking	What are the physical differences between a hub and a switch?	What are physical features that I can find to alienate the two?
20090227163046AAnAsWm	Computers & Internet;Other - Computers	Is Twitter like a Myspace?	How many of you have a Twitter account? I have heard a lot about it.    How is it? Drama free?
20090227173057AAGVCuY	Computers & Internet;Software	Vista is telling me my product key is invalid?	I recently purchased a computer from a family friend, and up until just very recently it was functioning perfectly. The computer's original Operating System was Windows XP, but the friend upgraded the hardware and software to run Vista for me.       Earlier today, I noticed the CD-ROM drive was acting a little strange, which he warned me it might, and replaced it with the new, backup CD-ROM drive he had given me. I booted up the computer, the CD-ROM drive installed and worked perfectly, until I shut down the computer and turned it on later this evening, when I got the message that my Windows Vista Home Basic product key was invalid for activation. I do not have the product key, though I believe it could be easily obtained over the phone, but either way I am aware Vista can only be activated once. I do have, in my possession, an installation disc for Windows XP but I am not exactly in any hurry to downgrade my system.      I am now only able to access my computer with limited functionality, and am repeatedly offered to purchase a new product key. Though, I don't quite understand how simply shutting down the computer, and re-booting it could...somehow cause a product key to become invalid. Does anyone know what may have caused this, and what a cost-free solution might be?
20090227170247AA73jPb	Computers & Internet;Internet;MySpace	How do you create a myspace playlist?	so that you can have more than one song on your profile
20090227164659AArKtP5	Computers & Internet;Internet;MySpace	How do i get a myspace playlist so i can add more than one song to my profile?	it is possible i've seen it!!
20090227165923AAETRa0	Computers & Internet;Software	Help with torrent game .uif format?	i downloaded a game and it is in uif format and i need to know what to do next. i have alcohol and magic iso Step by step please thank you
20070212153332AA3hSYH	Computers & Internet;Software	How do you remove of the riskware "Invader"?	N/A
20061116151445AAp7WnW	Computers & Internet;Internet	How do I get Google videos into ifilm?	I know that google and youtube videos can be downloaded in flv format, but I need to know if I can get them or convert them into something usable with ifilm. Or will ifilm read flv files? I haven't tried yet.
20060917133905AAJFzOq	Computers & Internet;Hardware;Desktops	I have a geforce nvidia 6600 i have an amd atholon 64 i think im not sure, but i still cant get  games to run?	i have windows xp and direct x 9.0 what else do i need to run World of warcraft. it did on my old computer but with this new one it just wont work.
20061003191804AANlYkJ	Computers & Internet;Security	Computer help needed?	computer help needed?   computer help needed?   in the add or remove program section of my sister in-laws computer there is a large section that has black and white lines. what is this from and how do you fix it?
20061116084549AAVKfls	Computers & Internet;Computer Networking	How to increase gprs speed to 40kb/s in Nokia 6600? is there any software to do that?	i have Nokia 6600 using gprs for internet connectivity. can any one suggest software to increase the the download speed. at present it is only 5kb/sec.
20090227163132AAZHixa	Computers & Internet;Security	I'm Into Ethical Hacker/Security Professional. What Certificate Should I Begin With?	I love programming especially in C/C++. However, i find that i'm more into security field, so i decided to change my direction and be a professional ethical hacker who knows what he is doing...      My goal is to be a prof. pen tester as well as good source code writer & analyzer who can path the flaws. I know this can't be done in short time, but as long as i like it then its ok.      1. What certs should i start with? Can you please list it all in order?      2. Is there a special certificate for developers that teaches them how to write code securely and how to locate the flows in other programs? This most probably the last thing i will into it...      3. Are these certificates (beginner ones like A+ - i guess) teaches you the basics, or these courses expects you already have basic backgrounds such as what is TCP & what is UDP..?       4. Please give some good sources to read from & get some sense of what topics are given      Thank you
20090227165853AAojC5j	Computers & Internet;Hardware;Monitors	Screen cover so no one can see what you're doing?	I need a computer screen cover. That goes over the computer screen and it lets snoopers not see what youre doing.   What is this called, and where can I get it?
20060821205144AAJ75RW	Computers & Internet;Software	DVD into a CDR?	does any one know where they change dvds into cdr ? the dvd is an update disc.
20090227163848AAl3feK	Computers & Internet;Hardware;Laptops & Notebooks	Some laptop questions?	Is it okay to put my laptop on a wood desk? there is no elevation on it, but does it matter? and How hot is 'hot' to make my computer crash, some people said until it burns me?
20090227170253AA6XTta	Computers & Internet;Other - Computers	Why have the programs on my computer doubled its size?	I opend a program and everything in my computer's size got bigger. How do i get it back to normal? The internet is also big, that uncludes big icons and buttong on the screen.Please help.   Thanks in advance.
20090227164622AA5pV1a	Computers & Internet;Hardware;Add-ons	I don't understand what core 2 duo means..?	i was looking at desktop computers in a magazine and it said core 2 duo 2.0ghz processor but i look at the specs for my computer and i have pentium 4 2.26 ghz processor so does that mean i have more ghz? or would that mean the core 2 duo has 4.0ghz processor since its 2 proccesors? please explain what it means      thnx!
20090227163833AAfzQrJ	Computers & Internet;Software	You can use the ________________ to view different parts of a document that do not fit in the document window?	Computer basic question?
20090227163215AAFAZKF	Computers & Internet;Programming & Design	What are 4 important characteristics of a well-designed GUI?	Computer basic question?
20090227162612AAJkRQL	Computers & Internet;Internet;Facebook	Where can I find pictures to  tag my friends on for  Facebook?	Like those fun ones where you to pick who is who. Besides the Mr Men one ;) I have that
20090227165125AAalUvM	Computers & Internet;Internet;Google	How does this site compare with google answers?	Its nearly 1am and Im really to old to check it out myself
20090227165426AAUPklC	Computers & Internet;Internet;MySpace	Do you think Tom, every ones first friend and I assume creator of My Space is a millionaire now?	N/A
20090227162555AAQcaWy	Computers & Internet;Hardware;Desktops	My computer has no taskbar or icons!?!?	My computer is seriously screwed. My brother was on it as usual last night and it was fine, however we turned it on this moring and there was no icons or taskbar, just the desktop background. Then, a microsoft security scanner pops up and starts scanning our computer saying there are 21 viruses on it. We then went to norton anti virus which said we have no viruses.       The only way we got to the internet was because there is a link to microsoft.com at the bottom of the first virus scanner, but other then that, there are no icons or taskbar even when you exit the virus scanner and the only way to turn of the computer is ctrl alt del.      any ideas?         thankyou      xxxxxxx
20090227163449AAr3zks	Computers & Internet;Internet;MSN	MSN trouble???????????	helloo well basically someone sent me a picture on msn and i really need it but it said it cancelled before i recieved it.and now there is no other way to get it back. is there any way at all that i can retieve it?
20090227164558AAeIDtO	Computers & Internet;Hardware;Laptops & Notebooks	When was the 17" Macbook Pro released?	N/A
20090227165841AAwN1Cc	Computers & Internet;Programming & Design	Can someone give me their opinion on how well the banner and background go with the following website?	www.camm.tk      The logo on the right of the banner will be changed, I just nicked a banner from my other site as an experiment and I can't work out if it looks good or absolute rubbish. So far everyone I asked said it would be better if I made the banner darker.   Thanks in advance
20070124161558AAaIgKJ	Computers & Internet;Other - Computers	Video streaming + Burning DVD.?	I have a problem. Whenever I watch a video file (.avi, .mpg, .mpeg, etc) and burn a CD (52x) /DVD (4x speed) at the same time, my computer lags a bit. The picture is slower than the sound. Help!
20090227162538AAakCdO	Computers & Internet;Other - Computers	How do I put a movie that I download from torrent onto a DVD?	Was curious what kinda converter ill need for such a process and what kinda files do DVD players read?
20090227163034AAdVHub	Computers & Internet;Software	How do you download a DVD to your computer?	How do you download a DVD to your computer? I have a DVD Rom and i want to download the file to my desktop, and convert it to mp3.      how do i do this?
20090227162658AA3VyQJ	Computers & Internet;Internet;YouTube	What do you think about this YouTube account?	www.YouTube.com/user/0ceanSmile
20090227164649AARe5wx	Computers & Internet;Software	If you purchase songs off itunes and delete from itunes libary will they be gone and i have to buy again or i?	can get them back without buying them again since i all ready purchase them
20090227172019AArnnsd	Computers & Internet;Hardware;Desktops	I run vista 64-bit version on my 32-bit computer my computer is a athlon xp 2800+ 2.0GB ram.?	And I want to downgrade to vista 32-bit version because my computer runs fine but all of my programs are incompatable with each other. and when I inserted the vista 32-bit cd it said error in patch file Help!!!!!!!!!!!!! 10 points for best answers
20090227163754AANmXAv	Computers & Internet;Internet;YouTube	On youtube, what does it mean if you subscribe to someone?	N/A
20090227165706AAn1eNI	Computers & Internet;Internet;YouTube	What do you think of this model video from youtube?	My friend and I made this last night because we were bored. what do you think of it?        http://www.youtube.com/watch?v=bjnfQ_RDc... 
20090227163212AAYTUNl	Computers & Internet;Internet;Other - Internet	Why can't anyone answer right now?	N/A
20090227163339AAwZ5li	Computers & Internet;Internet;Other - Internet	Is there any legit survey sites to win prizes?	i came across a few and didn't think any of them were real, does anyone here know of any where they have actually received a prize?
20070211180223AAlJXzg	Computers & Internet;Software	Best software program for formatting a book?	I've had MS Publisher recommended but would like feedback for the easiest software to write and format a  5 x 7 standard book size. Thanks.
20070211180808AAqwatg	Computers & Internet;Software	Best software program for formatting a book?	I've had MS Publisher recommended but would like feedback. Is it the easiest software to write and format a  5 x 7 standard book size or is there another software that works well. Thanks.
20090227162817AARpaSQ	Computers & Internet;Hardware;Laptops & Notebooks	Compaq Presario CQ60-216TX Notebook?	your thoughts on this laptop?
20090227162524AAT0luM	Computers & Internet;Hardware;Laptops & Notebooks	How do you restore your recycle bin on Windows Vista? Don't know where mine has gone lol?	N/A
20090227163556AAmBdXX	Computers & Internet;Software	I need to download a good Remote Assistance Program?	I had a program downloaded a while back and can't remember the name of it for the life of me! It was a quick and easy download and was completely free. I also remember it giving me a password that i had to give to the other person in order for them to gain access to my computer. Recognition in the program i am seeking would be greatly appreciated.         Thanks to all, Angie
20090227162544AAkxrp1	Computers & Internet;Hardware;Laptops & Notebooks	DELL LAPTOP USERS!!!?	If you bought your laptop at the dell.com warehouse, about how long did it take it to ship to your hoome???   I'd appreciate nay feedback =D
