20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090129091046AAOrJFt	Health;Women's Health	First Period Help!!!!!!!!!!!!!!!!!!!!!!!!?	Ok, I am eleven and today I just had a period. I have a few questions:   .How long do they usually last???   .How many times should you change your pad???
20090129091840AABMN3F	Health;Diet & Fitness	Changing to a healthy lifestyle, is this good?	For many years I have wanted to change my lifestyle.  I joined a gym about 18 months ago, but with all the muscleheads in there, I felt intimidated and never went.  Then I was hired by my company which has a free gym for employees.  I found a gym buddy and we go 3-5 times a week.  I used to eat really unhealthy foods, but now I've changed.  But it seems I can't stop eating now.  I'm so hungry all the time.  I eat Special K for breakfast, an orange between breakfast and lunch, a ham and cheese sandwhich on whole whear bread for lunch, and my mom's cooking for dinner (which is usually chicken, potatoes, ham, veggies, or something along those lines).  Do you feel this should help me reach my potential of becoming healthier or are there other methodologies I should embrace?  Thanks!
20090129091204AAZG78V	Health;Diet & Fitness	Colon cleanse: side effects, how much water?	I recently purchased a bottle of Total Cleanse. How much water should I drink while taking this product? What are the side effects (cramps or gas?) How often will I be the ladies' room and how long after the initial dose will it 'kick in'?
20090129091507AAAnn7N	Health;Dental	If you have braces and the wire bends, is it bad?	I have a gap in my mouth and the wire just goes across but it's slightly bent, is that bad?
20090129091545AA6eUPO	Health;Other - Health	What are the causes and remedies for a stuffed ear?	After being out and playing in the snow for a long time (several hours), I came back into the house and noticed that my right ear felt "plugged"! The problem has persisted for almost a whole 24-hour day! Does anyone know if a sudden change from cold to warm environment have anything to do with it? Maybe the change in pressure (in the cold/warm air)? And what can I do to cure it? It's so very annoying!
20090129091611AAlSurK	Health;Mental Health	How can i improve my memory ?	N/A
20090129091641AAvCs5y	Health;Other - Health	Can a blocked ear and sinuses cause loss of taste?	N/A
20090129091643AAlfQYH	Health;Diet & Fitness	Need to gain weight..?	im 5'11 175 and i play junior hockey, i want to make the jump up to university hockey and reach a weight of 185-190 if possible, just looking to see what other people think i should be doing to see if i could speed it up a little bit
20090129091953AAvaLHw	Health;Other - Health	Is there a way to clean a urine sample that does not get sent off to a lab?	The job I work at just started urine testing, they only send it off to the lab if  the urine sample shows positive. Is there a chemical that can clean the sample while its in the cup. P.S. I drink water, and juice on a daily basis, not just to pass a urine test.      These are the things the testing cassette test for:   THC Cannabinoids  [50 ng/mL]   OPI2 Opiates  [2000 ng/mL]   AMP Amphetamine  [1000 ng/mL]   COC Cocaine  [300 ng/mL]   PCP Phencyclidine  [25 ng/mL]   BAR Barbiturates  [200 ng/mL]   BZO Benzodiazepines  [300 ng/mL]   PPX Propoxyphene  [300 ng/mL]   MAMP Methamphetamine  [1000 ng/mL]   MDMA 3,4 Methylenedioxymethamphetamine  [1500 ng/mL]   OXY Oxycodone  [100 ng/mL]
20090129094701AAaM0Sp	Health;Diet & Fitness	What is the fastest way to loose 20 pounds?	i am 5 feet 2 inches and weigh 150 pounds the only way i can stick to a weight loss plan is only if i see results immediatley.
20090129093107AA9G1z7	Health;Women's Health	Can a man make the IUD move up into you more when having sex which can make it get lost in the uterus?	scared a man can make the iud move and get lost in the uterus and cause problems for the women.  The women can get sick and have to have surgery to remove the IUD
20090129095521AAsO3jt	Health;Diseases & Conditions;Respiratory Diseases	My wife has copd and i was worried i did say doctors was a waste of time?	i got a answer from someone who said doctors waste of time yet yahhoo users ok?to that i will say i am worried about my wife and was looking for some answers as to what i should do not anyone out there with half a brain to leave a negative comment my wife has copd and a chronic daily cough with now thick green mucus also had pnumonnia twice so yes ime worried doctors fob you off with a antibiotic yet when you get so bad to be sent into hospital its no joke so SORRY i dont need no negative stuff from anyone right now maybe you or someone you know are or have been going through this all i wanted was a little advise thx
20090129095713AABcWRQ	Health;General Health Care;Pain & Pain Management	I touched some acid paste while opening my computer. its stinging now. what should i do?	its not swollen its just a little red and its stinging
20090129110640AA7ZFeA	Health;Other - Health	Medical help for my grandpa?	My 55 year old grandpa's spine is deteriorated, and his skiatic nerve occasionally gets caught between his spinal disks causing him excruciating pain. Despite this, he still operates a cutter in a logging business, causing more pain. Yet he doesn't want to see a doctor (saying he'll tough it out), and absolutely refuses to be operated on. What's also bad is he won't take any pain medication (says he doesn't want to get addicted), not even simple tylenol. When he's at home, all he can do is moan from the pain. Is there any type of therapy or herbs that will make him feel better?? What would you suggest doing???
20090129103050AAIEcJD	Health;Women's Health	?? my friend and i dont get this at ALL!!!?	one day i was just sitting around and my nipple itched like hell? and when i went to the bathroom, it has like ( i know this is super gross) it was oozing like some kind of clear liquid? SO WIERD...we dont know what it is? my friend says its happened to her before??? please help.. its so weird ._____.
20090129105044AA53VPa	Health;General Health Care;Pain & Pain Management	Relief from fractured tailbone tailbone?	I have fractured my tailbone, and the pain is pretty bad sitting here at work in an office chair.  I tried a pillow, but it didn't work with the chair and made sitting even more uncomfortable.      I'm reading about donuts and egg crate pads and pain meds...what works best?  I'm hurtin' here and could use any tips to help me out.  Hell, I'll even go buy an ice pack at lunch and sit on it if that is a good idea!!      HELP!!
20090129114136AAXzvt2	Health;Dental	If i just got some cavity fillings about 8 months ago and they are wearing down is the dentist @ fault?	or is it just something that happens?
20090129092527AAEDqIE	Health;Mental Health	What can you say to someone who told you that sometimes they feel like dying?	This is someone you care a lot about.   They have suffered from depression before and been a self-harmer (occasionally, they still feel like doing it or do do it).
20090129114014AAGw5q1	Health;Other - Health	What over the counter medicine can I take for swollen eyes?	I woke up today and my eyes were really swollen and the lids and skin around them is red. I also have a sore throat. What can I take for these symptoms.. quick answers plz I want to run to the store now.
20090129102118AAzStYn	Health;Diseases & Conditions;Skin Conditions	Waxed face a little too much...skin feels very sensitive and sore?	what should i do im begining to get little red rushes and small red zits...
20090129114043AAPtc3V	Health;Women's Health	When can i change by belly button ring?	i got it done in october!   i still pusses but only when i turn it around alot.   thanks
20090129112428AAX0xeq	Health;Alternative Medicine	Ear Candles (Are they effective)?	I've had what feels like pressure (no pain) in my left ear for awhile now...can ear candles drain fluid from the ear and relieve pressure
20090129101050AAsqWEs	Health;Women's Health	Victims of rape?????????????????	this is a very tough serious situation. How have you made it through such a painful experience? Was it easier to talk about it or keep it very secretive? How does it affect your everyday life?   41 minutes ago - 3 days left to answer.    Additional Details   23 minutes ago      Thanks for the comment!   My situation was many years ago and it was very difficult to get past! But I think it is very important for the people around you to understand how you feel and let you sort things out for yourself! I have been read several rape questions and maybe someone else will also read the comments and know that they are not alone! And get help on how to deal with this terrible situation!   16 minutes ago      This question derived from a question that was very similar to my experience!   Click into my profile and look at this question: Need help...What can we do?
20090129113405AA7GQ6d	Health;Other - Health	Do you feel refreshed when you sneeze?	N/A
20090129093122AA62kQ6	Health;Diseases & Conditions;Infectious Diseases	Does it sound like Shingles to you?	I went to the Doc yesterday because I had a lot of pain on/in my left shoulder and down my arm. I was nervous that it could be heart related so I made an appointment right away. My Doc poked around and said I had the "Classic Symptoms" of shingles. She told me to watch very carefully for a rash and to call her if I see one. So of course this morning I woke up with a rash under my left arm. I don't have any blisters but I have a small rash that burns and itches. I am also still having a lot of pain in and around my shoulder blade. My whole shoulder aches, I have pains shooting down my arm and it feels like someone is poking me with pins. The pain comes and goes. I am only 26 but I have had a lot of stress with my job and my husband and I just bought our first money pit/ home.  I am just wondering if anyone can relate to this? Does it sound like shingles? I am waiting for the Doc to call me back.... Any help would be great! Thank you,
20090129110858AAA9qIj	Health;Diseases & Conditions;Other - Diseases	I just took my son to the doctor and they said he has a cloudy eardrum?	We took him in for swimmers ear... and got the meds but they said he has a cloudy looking eardrum ... that they don't know exactly what that means .. and that I have to take him to a specialist.  Anyone ever heard of this cloudy eardrum?     (Other than an excuse kids use to say that they cant hear you? lol)
20090129100426AAutK73	Health;Mental Health	These loud noises are FREAKING ME OUT!??!?!?	I'm working in the mall. An icestorm hit a few days ago, and now it's melting off the roof. The roof on the mall is hallow, it's a big open space...so whenever a slab of ice crashes down, it makes an EXTREMELY LOUD NOISE AND IT SCARES THE S**T OUT OF ME. How long will this last!? It reminds me of when the bodies were hitting the windows in the trade center and i dont want to relive that!
20090129105243AAeYBdZ	Health;Diseases & Conditions;Other - Diseases	IS claiming Fibromyalgia is fake INSULTING?	There are some people (not just  the random jerks) --but people with with a lot of points claiming they know what FMS is (And give unrelated vredential such as former MedLab Technologist supervisor) to substantiate tehri claim?      Do you find it insulting (whih is a violation of the YA guidelines) when people tell you you don't have a real disease-implying you are not sick-and even a hypochondiraic..         II wonder what would happen if all of teh fibro family reported tehsepeople for insulting us---would they get kicked off Yahoo completely-and lose all tehir cherished points?
20090129093441AAW5XR8	Health;Diseases & Conditions;Skin Conditions	Skin peeled after picking at pimple? PLEASE HELP?	I was picking at my pimple so much that a layer of skin just peeled off, now its its red and really sensitive The pimple is gone but the skin is now slimy,red and painful to the touch. It's extremely noticeable to because it is right between my eyebrows. How can I make it heal faster?  And how long will it take to heal. Please tell me all you know about how to make it heal faster.
20090129101200AARB4XE	Health;Women's Health	Is it true that if you lose weight your breast size decreases?	Since about late October/early November 2008, I've put on quite a lot of weight. However, there was one advantage to the weight gain: my boobs have got bigger.    Now, I want to get back to being the weight I was before I started binge-eating (I blame it on me giving up smoking in October)- but I would like my breasts to stay bigger (I only fitted into a miserable AA cup before, and now I'm an A, which I'm happier with) So...is this possible, or will my breasts just shrink as my stomach does?   Thanks!
20090129102946AAepmjr	Health;Men's Health	Is there any way to get back your hairline which has receded?	N/A
20090129102613AAKX2PI	Health;Men's Health	So I have this Problem?	I am bisexual and i still want to have sex with girls but i really cant get an erection but i cant get any perscrotions what should i do to get an erection
20090129100633AADvw8m	Health;Diet & Fitness	What does a 13 year old girl have to do to lose weight?	my weight is 100-105 :(
20090129104042AAytJ5u	Health;Alternative Medicine	Which of these supplements do I take first?	I was given Parotid and Cholocal 2. I am supposed to take Parotid with a meal and Cholocal 2 on an empty stomach. I need to know which to take first because the second one is supposed to flush the first one out. Thanks.
20090129113742AAjL3kb	Health;General Health Care;Other - General Health Care	Can you get proactol at rite aid or cvs?	N/A
20090129094606AA8T9fE	Health;Women's Health	Got my period about 10 days early..what does this mean?	So i USUALLY get my period around the 4th or 5th of each month, but i got it on the 26th! thats about 10 days earlier than i'm supposed to get it..but its realllly light this time- what does that mean?
20090129101536AAxT63W	Health;Diet & Fitness	The Nutrisystem? How do you feel about it?	Is it a good deal?   Does it actually work?   I am really busy and never go grocery shopping, I typically eat out almost every day.   Would this be good for me?
20090129112953AASfazg	Health;Women's Health	Help me, my head is bleeding :P?	well funny story, i dropped a glass on the floor and when i went to get the mop then tripped over the wash basket cos the floor was wet and i feel to the ground XD haahahah and then glass cut my forehead.  loool so like i have a bleeding scar.      Is it okay that i've just put cold water and cleaned it with Dettol and i put a lil bandage on it???  I mean it was jsut bleeding :-\ ]      thanks for ur answers    God bless   xoxox
20090129102902AAva5ST	Health;Diet & Fitness	Am i to heavy?????????	im 13   5'4 and weigh 106
20090129102144AAbjUBk	Health;Dental	How long do tooth fillings last for?	I've had a filling in my tooth for about 1 year now. It still seems okay, but going slightly discoloured. How long do they usually last for? Do they fall out? It's a tooth coloured one. Not sure what they're called.      Thanks :)
20090129101608AADoa0g	Health;Women's Health	Is this normal? A tad worried. (Kinda detailed)?	This is a bit detailed      Hallooo. Okay right, i had an abortion around 5 weeks ago. :(  Um, basically i'm still getting brown discharge (old blood). Is this normal?   Also, like today, when i wiped there, there was a little bit of new blood. But not much at all.   I'm just curious, i'm a bit worried :( Is it normal?      Thank you!
20090129112415AABe2Xh	Health;Diseases & Conditions;Respiratory Diseases	Do you think this could be a deviated septum?	When I was younger, I broke my nose playing sports.  The break did reshape my nose... and for many years I've felt that my breathing isn't perfect.  I know some with a deviated septum have one nostril fully clogged and mine isn't so, it's just a bit more difficult to breath through my nose... it certainly isn't a wide open passage.    In addition, I often have a mildly stuffy head, ringing in the ears (in one ear especially, I know loud music didn't help), but I'm starting to get it in the other ear and I've been very careful with them, popping in the ears... so basically, I always feel like I have allergies.    Is is possible a deviated septum would have these types of symptoms?
20090129103831AA7lxqr	Health;Diseases & Conditions;Infectious Diseases	WHAT ARE SOME SPECIALTIES IN VETERINARY MEDICINE?	Im doing a report and i need to know what are the specialties like a little list google is not giving me straight answers
20090129110636AAZ3w7t	Health;Women's Health	Can I get a birth control perscription from my family doctor?	Or do I have to go a gyno? In Canada.
20090129110010AAsbyBs	Health;Dental	What's the fastest and best over the counter tooth whitener? ?	I've tried a few, but nothing really works.  I don't smoke or drink, but I use to have braces and ever since they grinded the glue/cement off my teeth, they seem to soak everything up! HELP
20090129110607AA9IjNK	Health;General Health Care;Other - General Health Care	I never have to go #2......?	For the past 5 years or so, I never have the urge to ... ya know go #2.  I feel that my stomach is full and I need to, but I never feel the urge..... and can't make myself either.  I end up having to take something (usually one laxative) by the end of the week I'm miserable.. so every Friday to empty out the weeks worth (gross I know).  I dont know what else to do, I've tried alovera capsules, ginger root, lots of water.. you name it I've done it.  The docs say nothing wrong with my intestines or colon.... any other suggestions :(
20090129105350AALK1Dy	Health;Women's Health	Itchy Nipples?! Help!?	Okay, My nipples have become very dry and itchy!..and they are peeling too, kinda like a sunburn...any idea of what could be wrong?
20090129100445AAysJ4u	Health;Diseases & Conditions;Other - Diseases	Will the social security doctor look at my past medical record to see if i really have a disease?	i have real proof that i have sarcodosis and fibrosis of the lungs.from two doctors. one was a lung specialist. why are they sending me to a doctor if i have proof that im really sick? should i take my paper work to the examine? they also want me to see a shrink.
20090129103650AAaJ0R5	Health;Mental Health	What is wrong with this person?	its my girlfriends mum:      there are a few strange things that all add up:   shes always late...everyone can be late, but its as if she wants to be, for instance i was over and she had a night class to get to which she had to leave for right there, and she was ready but she decided to make herself tea, then find a jumper, then charge up her phone. so she was late.   another time it was the same time and she decided that she needed to do a small bit of gardening before she left!   shes late for everything with stuff like this. my girlfriend is about half an hour late for school every day.      shes always in some kind of mood.   though she doesn't bang around, rather says really snide remarks and huffs and puffs.      shes extremely controlling however doesn't actively do anything, for example she doesn't like the tv show friends. so if we are watching she will come in and stand there watching it with her arms folded scowling at it and then walk out.      shes often saying offensive things but then is like..."oh no no no what i meant was..."      there's a lot of serious mental health problems in her family e.g. schizophrenia and bi-polar.      i was wondering what the hell is wrong with her????? is she neurotic or something?      she annoys the hell out of me!
20090129102807AA7olDq	Health;Women's Health	Mothers ill health is raising concerns?	My mother aged 65 was diagnoised with type 2 diabetes over 4 years ago and in recent months have been getting bouts of sit backs- which over time went      Just recently she has been having heart pains and followed by severe rashes on her back and chest which she describes as very painful-      She feels this is down to an allegic reaction to a tablet she had recently taken because she was getting these pains- She had taken extra strong anadin which lesson the heart pains- which she says is  still there but not so severe.      I have asked her to go to the hopsital to get it checked out and have the rashes seen to but i think she is scared that it may be something more serious because of her diabetes      She has lost considerable amount of weight due to the diabetes and i am concerned that this latest bout would mean the end       We have never had a close relationship and i have been treated worser than a dog by her , but dont wish her any bad - please advise
20090129093210AAH3QbM	Health;Diseases & Conditions;Respiratory Diseases	I have lpr acid reflux and I have a chronic cough because?	I still eat what im not supposed to because of the coffee and cough drops and high fat foods which Im trying to cut down and quit.  My question is can I get asthma from this strong coughing because under neath my breast bone it feels real tight sometime in the rib cage are is that just the muscles working to hard from coughing.
20090129102933AA9rkxd	Health;Diet & Fitness	Why haven't I lost the weight?	I need to lose 20 lbs. I've been going to the gym for the past two month, four days a week, for at least 90 minutes a day. I'm doing mostly cardio, and I'm eating right. Yet I've only lost 5lbs, and 2 inches off my waist.      What am I doing wrong?
20090129111020AAYnzOb	Health;General Health Care;Other - General Health Care	I'm having an upper endoscopy done next week. ?	Any advise on what to expect would be helpful. Thanks!
20090129103040AAJignZ	Health;Diseases & Conditions;Other - Diseases	What are the signs of Thrombosis (even DVT)?	I have been experiencing strange feeling in my leg for some time, slight ache and like it's not mine. Have flown a few time this past couple of months. Now my legs has swollen (not massively but enough). I don't like to bother the doctor if unnecessaryar heels quite alot when not working, and am on my feet all day in a busy kitchen (flat trainers for work)   Thank you you for taking time to respond to my qyeru.query
20090129102636AAj8pBC	Health;General Health Care;Other - General Health Care	HELP!! What prescribed  drug is best for fear of flying?	I will be going on an airplane soon and I have a phobia of flying and planes. I have used Kalms before but they do not work and actually make me worse. My phobia keeps getting worse each time I go on a plane and I don't know what to do.      I am really serious!!! I get panic attacks and all. I dont think I want to drink before going on the flight as I heard it can make your nerves worse as it also accelerates your heartbeat.       I need help!!!!!! I have stopped going on planes due to this problem but I have to face my fear once again due to my gran being seriously ill.      PLEASE HELP!!!!
20090129102915AAjxa2w	Health;Diet & Fitness	20lbs in 2 months, help?	I am asking this because I only want answers from ppl with experience.  I don't want to hear. "Bread and water" or "exercise"  I want ppl who say, "I did this and got this result" or "I know someone who..."       I am 21 years old, weigh 166 lbs, very curvy... and my brother is getting married on March 28th, I am in the wedding.  The bride and other bridesmaid's weigh less than 125.  I don't want to look like an elepant.  And of course, the dresses are mermaid style.
20090129121526AACSpoU	Health;Mental Health	I need help with my depresion ?	I am 13 years old and am constantly depressed. I don't want to see a doctor so just want suggestions on how to help me feel better. I cry over boys, friends, family, how i look and mostly everything else! Please please please help me :( x
20090129114900AAUmVWC	Health;Dental	How much would a root canal cost?	with insurance?
20090129114140AAuqKhu	Health;Diseases & Conditions;Other - Diseases	I have a question about being tested for HERPES.?	OK, you guys....I'm in love with someone. And when we met, we both agreed not to have sex until we were married because we want our relationship to be different. So anyway...we're going along like any regular couple would..(falling in love with each other)...but one night we were on the phone and he said he had something to tell me. So i was like "ok, what is it?" And he slowly but surely broke me the news....it was sooooooo hard for him to tell me you guys. But he told me that I was innocent and he loves me and he cant allow me to walk into something without knowing and he NOT tell me like his ex-gf didnt tell him. So....a BOMB has just been dropped on me....but for some reason, i dont care. I love him...ok NOW. He told me that he just found out about a month ago. He heard through facebook that his ex had it( they broke up last year) ..but he's NEVER had any symptoms..no outbreaks...just like back pain or whatever..but of course he didnt think anything of it since he works out all the time.He had already been to the doctor last year for his well-man and everything came back negative.He told me that he wanted a follow up check up and he went back again and the test was positive. Now, if he had contracted herpes last year and he went for a check up, wouldnt i have come back positive then? If you have Herpes, then you have herpes and the test will prove that. Did the clinic make a mistake? I read all kinds of articles about it, "you may have no symptoms at all"..but have you personally EVER heard of anyone contracting HERPES and NEVER having an outbreak within the first months of being exposed????? Could the clinic could have made a mistake by testing him positive? I personally dont think he has it...no bumps, blisters, buring when peeing, itching...nothing. test the first time...Negative. Test for a follow up...Positive. Is it possible, that he ultimately does NOT have it?OR should he go for third test with an actual specialst? Insight please. No rude answers... Thanks!
20090129112749AAEeiPp	Health;Women's Health	Some thing about married life?	I m just going to marry. I want to know about virgin. How will I know about her virginity. If she is not virgin what will happen. It means there is some thing wrong. Is virginity only the character to justify her that she is virgin.
20090129104149AAWgPsR	Health;Diet & Fitness	Urgent How can i lose weight before summer?	ok Im 13 years old and i am fat and my sister and sometime my best friend teases me about my weight and im sick of it! and my mom punishes her but she still teases me so can u please help me Asap i need to lose weight before the summer comes and i dont want the girls to see me when im this fat
20090129103933AAyvbXC	Health;Mental Health	How important is your counsellor/therapist to you?	how long have you seen them?      would you care if they were changed to someone else?      x
20090129102358AAJUxi5	Health;Women's Health	Worrying about period coming....Help!?	My girlfriend and I have used a condom every time we have had sex. We have (thank God) never had a mishap during intercourse. There have been times before that we have gotten all worked up about thinking she may be pregnant, and then used a hpt and it was negative, and then her period just came a few days late. She is not on birth control. For a while, we didn't have sex. We just recently began to do so again. We had sex on Dec. 31st, Jan. 10th and Jan. 24th. Her period was expected to come around the 28th/29th of this month. It hasn't came yet, and she tested  yesterday with a hpt and it was negative. She isn't having any signs or symptoms of pregnancy. She actually said she had a little cramping yesterday. We both tend to get stressed out very easily, and worked up. I do believe stress caused her period to be a little late before, and I think she is pretty stressed right now. We were careful about it, so we are sitting here thinking about how it could possibly happen, the odds are very low. We just tend to get all worked up.      What is your input on this? Do you think her freaking out and stressing/ worrying has something to do with it not coming yet? I mean, it has happened before.
20090129110309AA8MJyR	Health;General Health Care;Other - General Health Care	Is it bad to take asprin (advil) every 2-3 days?	I keep getting headaches and i take advil alot i go through a whole bottle of 250 count in a month. Is that bad?
20090129103745AAktM1j	Health;General Health Care;Pain & Pain Management	How can you get rid of a neck spasm/twitch ?	N/A
20090129120844AAmBP3W	Health;Men's Health	Guys: when u make eye contact several times with a girl whats it mean?	thanks (im two years older than he is)
20090129104915AAdXD7o	Health;Diet & Fitness	Tell me about my weight i m 5'6 female?	N/A
20090129105655AASMm9s	Health;Mental Health	What does 'lack of ego' mean?	N/A
20090129111658AA4T9pV	Health;Diet & Fitness	I think I have a severe iron deficiency... supplements?	hello, I am 17 years old, a girl, and I live in Canada if that matters at all.   I have been wondering for a while if I may have an iron deficiency, and if so what I should do about it. I have pale skin, I get rings under my eyes all the time and I am always fatigued. I am also always cold... the thermostat in my house is set at 78 degrees and I am still wearing a winter jacket, wool socks and long fleese pants just to stay at a normalish temperature. Whenever I touch peoples hands, they always remark at how cold I am. I also have noticed that I am almost "shedding" my hair... not like in chunks or anything, but it does seem that I am loosing more than most people. I dont get a lot of iron in my diet or fruits and veggies because they are out of season. I dont get heavy periods like a lot of things I've ready about iron anemia say would cause it, infact I have extremely light periods. Do you think that I should take iron supplements? how about vitamin c? I read that vitamin c helps with the absorbtion of iron.. is that true? I am 150 pounds and 5' 10'', how much shopuld I take? How fast will I notice a difference? how can I tell if I am taking too much or too little? I would rather not see a doctor about it because I think that the doctor doesn't take me seriously because I am in there so often asking about things.
20090129114723AAt67jF	Health;Diet & Fitness	Abstaining from sex causes an increase in Testosterone?	I frequently hear professionals boxers and MMA fighters say that they abstain from sex/ masturbation for about 2 weeks or longer preceding a fight because they feel it makes them stronger.  Is this in their heads or is it true?  If it is true, would it be do to an increase in testosterone levels resulting from a reaction to this in the testes?   If so, would that mean that natural bodybuilders could use this same approach to increase their muscle gains?
20090129092534AALUBQl	Health;Women's Health	Pcos..........................…	Is testosterone always increased when someone has pcos or is it just at certain times of the month?
20090129100430AAgspTf	Health;Diet & Fitness	What is a fast way to lose weight without pills?	i am 13.. and i way about 180 lbs.  I know i am overweight. i am 5'4 and i need help..  :) please help.. thank you
20090129091803AAa3jxb	Health;Diseases & Conditions;Skin Conditions	I have the world's worst case of chapped lips. What can I use to take off the peeling skin? Zinc oxide ?	I remeber hearing years ago that zinc oxide cream would slough off the dead skin.
20090129113803AAY0S5X	Health;Mental Health	Depression success stories-An awesome life on the outside - yet i''m so unhappy.?	I've already written a similar question, but i am slowly on the recovery and was wondering if any one would email/share their success stories on the recovery from cutting etc, just having a bad day and support is always appreciated and it is so good to hear other people have got through depression
20090129105625AAVAqmS	Health;Mental Health	Family memer addiction?!?	So any suggestions if a family member is addicted to prescription meds and its not helping but they are doctor provided?
20090129104056AAW2PfL	Health;Diseases & Conditions;Respiratory Diseases	Walking alot but breathing abit funny lately?	for the past year ive been walking about 4-6miles a day because i own a Labrador retriever and for the past 3 weeks i have noticed am breathing abit funny i get out of breath quickly and its like am having to breath up rather than the normal out an in i would go to GP but hes a complete knob head.
20090129121758AAPaGQ7	Health;Alternative Medicine	I need home remedies for "Sore Throat"?	Anyone knows any good home remedies to relieve a bad sore throat?       I tried the lemon tea with Honey but it wont help at all. I heard that water with salt can help is that true?
20090129120417AAKQMoR	Health;General Health Care;Injuries	How can i help the scold on my face heal?	I have a scold on my chin thats about the size of a 2 pence piece. I scalded it with hot oil when it spat at me out of a frying pan. I bathed it in water for a while but its hard to get water to your face so i probably didnt do it for as long as i should have done. It's stilkl really sore and red, does anyone have any suggestions as to how to help it heal better and not sting as much?   thanks
20090129110054AAIUVsa	Health;Diet & Fitness	If I'm 5'7" and 140 pounds...?	And right now I'm a waist size 28 and I'd like to be a 25, how much weight do I need to lose?
20090129113848AAMtnUQ	Health;Dental	Cut/gap in both my eyes?	I woke up this morning and i noticed one of my eyes red vein thing got redder and thicker, I followed it and then I saw a small cut, hole in my eye   I examined my other eye and its there too but not as intense.   the gap is located to the right of my left eye and to the left of my right eye, I made of had it for a while but I just noticed it, it doesent hurt or anything, just there..   ill be honest, I wore disposable lenses for around 5 months now, the same pair.   Can someone conclude what this might be?
20090129102610AA6JvR7	Health;Diet & Fitness	Is this a good six pack ? ( picture )?	Is this a good six pack ? ( picture )?      I am 13, 6'1 and have been training for 4 months to get this six pack, lst 3 stone and do gym everyday, cardio = 1 hour and abs workout = 1 hour, is this a good six pack?      first picture ?    http://www.bebo.com/PhotoAlbumBig.jsp?Me...       second picture ?    http://www.bebo.com/PhotoAlbumBig.jsp?Pa... 
20090129102356AAZ3TF4	Health;Women's Health	WOMEN OR MD.S help light bleeding 11 days after period ended?	why would this be happening? I had my period end about 11 days ago then every day after that until the day before yesterday i was getting very mild, cramps,  i excercised and it went away, yesterday no cramps at all now this morning i wake up and im bleeding very lightly but tiny clumps r coming out like it does when you begin your period. i dont have any cramps today but i know i should make it to the clinic, no health insurance, soon i guess...
20090129105240AAVHurH	Health;Men's Health	How long before Silver Nitrate stains disappear?	I recently had my nose cauturized and was wondering about how long it would take for the silver/gray stains to go away?
20090129120641AAkcO21	Health;General Health Care;Other - General Health Care	Hellp !! Nail infection?	Ok , so i've just got a nail infection . its not really an infection but the doctor said that it was some kind of infection . I have no idea how it came from and what caused it ?? Truthfuly , i bite my nails alot , which i thought was the reason for my "nail infection" what do you guys think ?? any comments
20090129102719AAx7cVv	Health;Other - Health	Can I have my doctor call in meds for me?	I saw my psychiatrist Monday, and I got prescriptions for my anxiety and mood swings (I'm bipolar apparently...) but he didn't give me anything for my depression. He knows I have been depressed and I explained this to him, but it's like he forgot to write me anything for it due to time being out. Is it possible to call the office and have him write me a script for something without having to make another appointment? My depression has been really bad the past couple of days and I feel like I can't wait another 4 weeks without having something. Suggestions?
20090129102105AAaiDuo	Health;Diet & Fitness	How do i take my acai berry pills?	when do i take them?   1 morning   &   1 at night?  with 8oz. of water with each pill??
20090129100630AASCh45	Health;Women's Health	More discharge then usual?	past few days i have had alot of white discharge. Just finished period. what could be causing it?
20090129092441AA0QsJo	Health;Diet & Fitness	Work out for inner thighs? Help?	Hi,      I've been going to the gym regularly and continue to work out on the machine that you have to squeeze your legs together to work out the inner part of your thighs... but I want to know what else I can do to help get my thighs back in shape!  I'm not a big person... but i have always had strong thicker legs!  I hate the fact that my thighs touch together! Any advice?      thx!
20090129121551AAVrrY0	Health;Alternative Medicine	What are home remedies for stomach pains?	well i dont know what it is i haven't been eating properley lately but im also 12 so im about to go through that stage but last week i had deep stomach pains i couldn't eat or sleep or do anything just lay there I had a panadol and it helped but like only 15 minutes later I only have three more panadol tablets and they are from when i was sick during christmas. So do you know any home remedies for curing stomach pains?
20090129121921AALoZvR	Health;Mental Health	I can't stop lying. I need help. Any advice on where to seek it?	N/A
20090129112019AA1eaHS	Health;Diseases & Conditions;Respiratory Diseases	Cough assist machine?	Hi, yesterday i got a cough assist machine given to me by the hospital because i have spinal muscular atrophy and have a weak cough which means if i get a chest infection i cant clear the secretions easily. The physio shown me how to use it and sorted out my settings. I have the pressures on 30 inhale and 30 exhale. Now i am home and have had a few practices on it, i have made sure that all of the settings are right, when i test it by covering the end of the tube with my thumb the pressures are right (it goes to inhale 30 and then exhale 30) but when i put it over my face and do it with the mask, it only goes to just past 20. Am i doing something wrong? Is it because my lungs cant take anymore air in? Or could it be how my mum is holding the mask? In the hospital when the physio did it on me it went all the way to 30 so i'm a bit confused. Thanks for your help
20090129115338AA0BQ8o	Health;Other - Health	Has anyone every heard of a tissue company by the name of Softouch? I am Looking for contact info.?	Do not ever used these tissues. The are as rough as sandpaper, no joke. They are distributed at the school I am employed with. The kids and staff are subjected to using them.
