20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090227084318AAT86WC	Society & Culture;Languages	What language is this and what does it say?	Yalaiti... napenda pasi kifani, tofauti, sikutilii moyoni, sikuachi, leo na kesho peponiiii... aaaaaaaaaa!!
20090307155346AAOHyzq	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	The correct definition of bisexual?	Does bisexual mean you like both guys or girls, and you only date one gender at a time?    Or does it mean you like both guys or girls, and you can date both genders at the same time?
20090225062644AAXksLH	Society & Culture;Religion & Spirituality	I feel like picking on a religious Group today?	demonizing their beliefs..condemning them to hell..and acting like a total nut job...   In your opinion...what religious group/organization or belief system should I hate today...and why??
20090227084505AAWVB8c	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Homosexuals, do you feel the need to reproduce?	if no, thanks for your input. if yes, please tell me how you plan to have kids. adoption? artificial insemination? another way? thanks in advance!!
20090227084247AAHCsrE	Society & Culture;Holidays;Ramadan	How many people on the Ramadan section....?	have a boyfriend or a girlfriend.   I'm not tryna be nosy but I jus wanted 2 no!!   tnx.
20090307155523AAq3V9P	Society & Culture;Religion & Spirituality	What does the cloud as a symbol tell humans about YWHW ?	N/A
20090227083850AAUFrM0	Society & Culture;Religion & Spirituality	How can you be a Pagan Atheist?	Let me start off with saying, I am A Pagan Agnostic who is studying Kabbalah,   but.. isn't Atheism the lack of religion, and belief? As in, you do not believe in anything (which I don't understand how you could not believe in anything, but to each his own)      So, I heard someone call themselves a Pagan Atheist on here,   can someone explain how this is possible?
20090225071702AA4VPbU	Society & Culture;Religion & Spirituality	OMG which of the Jonas Brothers?	Do you like the LEAST?         And WHY.      I dont like Kevin as much anymore becuz his hair's gone too weird
20090227084216AAtdzkg	Society & Culture;Religion & Spirituality	If Jesus were to return to earth?	today what would he be like??
20090227084424AAemVeO	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do people always mock other peoples cultures?	but always try to attend post questions or act that culture.
20090307154658AAbz0cz	Society & Culture;Religion & Spirituality	What does it mean to "show sympathy to the devil"?	N/A
20090225065342AApsZxe	Society & Culture;Religion & Spirituality	Religion for dummies?	Does anyone know of any websites that give somewhat simple descriptions of different beliefs of different religions? For example: What is the difference between the beliefs of Lutherans vs. Baptists? What about Catholic vs. Protestants? Stuff like that...Or if anyone knows some of these differences and could inform me with facts not opinion...I would appreciate it very much!
20090225065657AAsr1yj	Society & Culture;Religion & Spirituality	I am not Christian so why should I be expected to cook the Easter dinner for my husband's family?	This year I decided that since I am not Christian that really I shouldn't be the one to cook the Easter dinner for my Husband's sisters and their families.  What usually happens is that I am in the kitchen cooking dinner for like 50 people and my sister in laws and hubby's are in the living room bashing the fact I am Pagan.  Then they happily sit down to the dinner that I prepared.   So this year a full two months before Easter I inform them that I am NOT cooking it this year.  If they want one they will have to cook it themselves.  They have plenty of time to figure out something for the holiday.   My Husband agrees with me and tells me that I should have quit doing it years ago.        I am doing an Ostara dinner for my boys, their families and my man in March.        My Husband's family is trashing me because I am not doing the Easter dinner.  YOur Opinions please.
20090225064131AAkDP65	Society & Culture;Religion & Spirituality	I am having a family Ostara dinner the day before Ostara.. What dishes should I serve that reflect the season?	N/A
20090227083812AAUt6nz	Society & Culture;Religion & Spirituality	Does Christian God Make People?	So I was just looking up idea of predestination etc, and Ive heard Christians say God made us . . but do you mean he only made Adam and Eve and not us?   If he didnt make us (each individually as such) then where do you reckon we come from?   Cuz if he does create us all then Im a tad confused cuz it makes the whole idea of predestination seem a bit mean.   Any help much appreciated!!
20090224120804AAbNVCd	Society & Culture;Cultures & Groups;Senior Citizens	Has anybody had the stuff that cleanes your colon?	they run a tub up into your rectum and you just lay there and it cleanes out your colon and it cost like 75 dollars I forgot what is called not an enama either.
20090227084704AANZYFP	Society & Culture;Religion & Spirituality	How do you interpret the teaching by some religions that says women are to be submissive to men? Do you?	believe men put that in the doctrine to control women or do you believe it is taught by God?
20090225060655AAisbED	Society & Culture;Languages	Did i do thid right it spanish again?	Rewrite the sentence with the correct form of gustar.       Me  gusta la comida.    I like the food      Me gustan los libros.   I like the books.      Te gustan las pinturas.   You like the paintings      Le gusta la carne.   She likes meat.      Write your own sentence using the phrase "I like" in Spanish.   Me gusta mi  perro
20090225071553AAeVV8r	Society & Culture;Religion & Spirituality	What does Exodus 34:6 mean: “And the LORD passed by before him, and proclaimed, The LORD, The LORD God…”?	the whole verse in KJV:   “And the LORD passed by before him, and proclaimed, The LORD, The LORD God, merciful and gracious, longsuffering, and abundant in goodness and truth,”  KJV      From Young’s Literal:   “and Jehovah passeth over before his face, and calleth: `Jehovah, Jehovah God, merciful and gracious, slow to anger, and abundant in kindness and truth,”        Why doesn't it say something like: “. . . the LORD passed by before him, and proclaimed, I The LORD…”      Or " . . . I the LORD God . . .”
20090227084513AAsM2xi	Society & Culture;Religion & Spirituality	If everything came from the Big Bang, then isnt a small part of us was there and we are from the same source?	N/A
20090307155800AALxwd6	Society & Culture;Etiquette	Poll!.. Girls, do you enjoy playing footsies barefoot under the table?	N/A
20090225062433AAbhNoS	Society & Culture;Religion & Spirituality	What is the religious significance of Austin 3:16 ?	What would Austin do?
20090227084117AAabTRa	Society & Culture;Mythology & Folklore	Am I unlucky?....or am I just being paranoid?	Recently really bad things have been happening. Over the last few weeks really bad things have been happening.   It started when I saw staying at a friends house and she was saying how her dog is really good and stays on the lead, and we took her for a walk and she ran out in the road and got hit by a car.    Then my brother was studying for an exam and passed on paper, then when I gave him some help he failed.   My friend BF asked me to tune his bass and it litterly exploded on stage.   The day before it was announced Lehmans went bust I was on a tour there.   When I visited my Dad's work to pick up a few papers with him, one of the men that worked there jumped off building.   My friend bought a new pair of jeans and put her phone in her pocket and it stayed- that I walked with her and the jean pocket ripped and it fell out.   The night I went to visit my aunt in hospital she died an hour later.      What ever I do someone around me gets hurt or something!      Am I lucky?
20090225075204AAqz0hK	Society & Culture;Religion & Spirituality	What do you think of Polygamy?	So, I started watching that show Big Love last night.  I know it's been on for a few seasons but I was bored last night and there was nothing on.  I watched it and it was pretty good.  I can see that some people would be against it b/c of the "compound life".  But overall, do you have a problem with a man having more than one wife and tons of kids?
20090225054954AAe4lOP	Society & Culture;Holidays;Ramadan	Those who don't believe are you going to fight against something you cannot see or feel?	N/A
20090225055209AAPIBhL	Society & Culture;Holidays;Ramadan	If I mix three generations of microchips together what would that do to the hogs above?	N/A
20090227084451AAFA6pB	Society & Culture;Religion & Spirituality	Why does the biblical god need warriors or people killing in his name?	If this almighty god were real, then why can't he take care of his own business. He shouldn't need Pat Robertson to fight his battles.
20090227084609AAgbX1D	Society & Culture;Religion & Spirituality	Do Christians encourage their fellow Christians to question their faith?	the reason why I asked is because of this question I bumped into:  http://answers.yahoo.com/question/index;...       the asker asked if he/she is wrong for doubting God, and he/she received violent reactions from some Christians, and even insulting answers. I don't get it. how can you say you are strong in your faith when you don't even have the courage to question it?
20090225065056AAbUzbc	Society & Culture;Religion & Spirituality	Why do christian churches in northern ireland put self-interest before the educational interests of children?	N/A
20090227084423AAY4hSt	Society & Culture;Religion & Spirituality	Jehovah's Witnesses - what are the different views of Jesus shown in each of the 4 Gospels.?	N/A
20090225072804AAL7XCp	Society & Culture;Religion & Spirituality	Why can't Muslims and Christians be friends?	I had a Muslim friend till he found out I was a Christian. Please, no jokes or sarcasm answers. I was hurt and want to know why?
20090225074356AAxg7lh	Society & Culture;Other - Society & Culture	Would you say anything if you were me? There are two women in my office that are always hanging out with each?	other; one is black one is white. One day when it was just me and the white woman in the break room I heard her make a derogatory remark about black people. Should I just mind my own business, or tell the other girl that thinks she is her friend? What would you do?
20090225062630AAojkO4	Society & Culture;Religion & Spirituality	Why do you think bad things are just recurring everyday from planecrash,widefires..?	to wars,recession...why do u think this is happening?? is it around the end time or what?
20090225064925AARO6jU	Society & Culture;Religion & Spirituality	Can you check my grammar please?	Can you check my grammar please?   I feel that college is a necessity. It is a wonderful way to advance your career opportunities. College provides a wealth of knowledge. I believe being in college you become more responsible. It brings about more independence and it helps you mature in ways you never thought possible. However, college is becoming more and more expensive. There are grants, loans, and scholarships but tuition should still be lowered. College really pays off in the end. It takes a while to feel as if you have accomplished anything because there are so many classes unrelated to your major but staying focused you will see that there is a bigger picture. College is very challenging and demanding you have to stay focus and more importantly you have to be very optimistic otherwise you will give up.
20090225074558AApKzRL	Society & Culture;Religion & Spirituality	If a not particularly religious person wanted to observe lent?	what would I need to know to do it properly?      Thank you
20090307160051AAKKSO7	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do some things say Kiss Me Im Irish?	i mean i see it all the time on t-shirts and i just dont get it! if any you guys know why so many irish things  say that it would be great if you could tell me!!  -thanks!
20090225053433AAOrJww	Society & Culture;Languages	I love the magic of your spell.......?	N/A
20090225063538AAZEgoG	Society & Culture;Religion & Spirituality	Where is god? and is he human?	N/A
20090225065812AAVhM02	Society & Culture;Religion & Spirituality	And if I said JESUS was black, would you still believe?	N/A
20090227084540AA6V1bJ	Society & Culture;Religion & Spirituality	Do you think Utnapishtim lent Noah his "Ark-keys" and Noah got plastered and wound up parking on a mountain?	Noah getting plastering drunk would also explain why he had all those animals   if you know what I mean?
20090227083904AAgCO4k	Society & Culture;Religion & Spirituality	Do you believe in reincarnation? ....?	N/A
20090225065409AAhf3YF	Society & Culture;Religion & Spirituality	Why do christians get so butthurt when someone says something about jesus?	its rather pathetic
20090225064349AAsoG1b	Society & Culture;Religion & Spirituality	If there is a god then why would he confine himself to a single religion such as christianity?	N/A
20090225075336AAU9oVW	Society & Culture;Religion & Spirituality	What is your favorite part about the Church of FSM?	N/A
20090225041645AAYSQbJ	Society & Culture;Holidays;Ramadan	Is it okay to keep Islam and also follow another faith?	I mean ideas from another faith, some religeons have ideas I very much inspire from.. can I follow that religeon as well as ′Islam′   Thanks.
20090224154251AAsrUws	Society & Culture;Holidays;Ramadan	Polygamy? Problems with mult. wives...?	Are me and my wives allowed to have group sex, or only one wife at a time? I'm a stud, and my wives have a hard time sharing me. They never want to wait their turn. What can I do?
20090225040025AAw6SQM	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I think my Dad is a closet Homosexual?	I think my Dad is a closet homosexual. How do I help him come to terms with his gayness. His family hates gay people and if he were to come out and say that he is gay they would more than likely kick him out of the family. My dad has always claimed to be jock and made fun of gay people and like to call people gay.
20090225035320AAyi9uj	Society & Culture;Languages	Is this the right translation for Conquer Fears And Live Dreams in Latin "Victum  Vereor Quod Ago Somnium"?	I need to be sure it's right because it is for a tattoo I am getting around my wrist it would be really helpful Also what do yo think about the idea Thanx
20090225035438AA1D4kl	Society & Culture;Languages	Is it true that "Shanae" means die in Japanese?	N/A
20090225062218AARO3kf	Society & Culture;Religion & Spirituality	Do all churches have witnessing programs?	My church had a witnessing program, training those who want to share their faith. I took a semester of it at my church, and did great. Apparently though, my 'trainer' got a little too jealous and did not promote me, as I was supposed to have been, as I was probably the fastest learning there, not to mention led someone to Christ on my own.      So, I have not done that program again since then, but I wish I could continue, as I do want to be a trainer. Do all churches have witnessing programs?
20090225064635AAjh98V	Society & Culture;Religion & Spirituality	The Roman Catholic Church is selling Indulgences again in the good old U S of A!  What's next?	Another round of witch-burnings?      Some elements of the Catholic Church seem intent on getting Medieval on our a***s again.      From  http://macroaxis.com/blog/2009/02/10/buy...       "These days, you can get a deal on anything. Even salvation! Pope Benedict has announced that his faithful can once again pay the Catholic Church to ease their way through Purgatory and into the Gates of Heaven.      Never mind that Martin Luther fired up the Reformation because of them: Plenary Indulgences are back.      The New York Times reports that even though the church officially broke with the age-old practice -- you do something good, and the Church will help absolve you -- in 1960, the Pope has quietly reintroduced it. The Catholic Church had technically banned the practice of selling indulgences as long ago as 1567.      As the Times points out, a monetary donation wouldn't go amiss toward earning an indulgence. It writes, "charitable contributions, combined with other acts, can help you earn one." You can even buy indulgences this way for loved ones who are already dead, greasing their way to Heaven by doing something for the Church here on Earth.      Why would the Catholic Church agree to this reversal? It wouldn't be the harsh economy, would it, or the church's fading influence? Not at all, says a Brooklyn bishop. "Because there is sin in the world," he told the newspaper."      Incidentally, I saw the actual article in the Times earlier this month that this blog references.
20090225064921AAWGuLz	Society & Culture;Religion & Spirituality	Would it be appropriate to celebrate Barney's Resurrection with coloured dinosaur eggs?	I don't want to get harassed by angry dinosaur housewives shouting "my babbies!!  my babbies!!"
20090225063354AADsdaT	Society & Culture;Religion & Spirituality	What's a good fund raising activity for my Behemoth Church?  Would you buy doughnuts from a dinosaur?	N/A
20090225065213AAQtaUB	Society & Culture;Religion & Spirituality	My friend converted to islam during his time in prison. What should I do?	He says that one night he was going to die in his sleep, he dreamt of jesus and mohammed come and save his life. Doctors said he suffered from a heart attack that night.      He also says that he gets some sort of respect from other inmates. He was abused in the first few months when he was a christian. Why are muslims regarded badasses in prison? And what should I do?
20090225071637AAVUeIj	Society & Culture;Religion & Spirituality	How do you explian this?	as a christian how do you feel about this i was raised in a Baptiste church but i always felt it was forced upon me my step dad was preacher but the older i got the more i begin to see some lies then i run into this    http://www.youtube.com/watch?v=UVL0XroWu...        http://www.youtube.com/watch?v=B-nl5adjq...           http://www.youtube.com/watch?v=yb9r1yrEs...        http://www.youtube.com/watch?v=LJXAq1nqj...              http://www.youtube.com/watch?v=61ReohCr3... 
20090225064159AA8eW2T	Society & Culture;Religion & Spirituality	How Can I Become A Better Christian?	N/A
20090225065142AAu7rjU	Society & Culture;Religion & Spirituality	If Jesus would come back today where would you go?	Think about it are you living right
20090307155437AAKRN8G	Society & Culture;Religion & Spirituality	????????Do you ever see god???????????	What's he look like?
20090227084343AAnCA6Y	Society & Culture;Other - Society & Culture	Why do people try to get sexual on the internet?	I am just wondering because I have my profile public and I just got a request from basically a kid to talk about sex.  What is that? Do they think it will turn into something, on top of that I am pretty sure my profile says married, so why bother?
20090227084018AAMRxsr	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why am i atracted to emo girls so bad?	im emo myself but i dont understand why i fall in love so fast with emo girls??
20090227084511AAKYCbM	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	My friend is black  and she is dating a white guy.. do u think this is right?	??
20090227084022AA0P84q	Society & Culture;Religion & Spirituality	What are independent baptist and southern baptist beliefs?	what are independent baptist and southern baptist beliefs
20090307160121AAv5mye	Society & Culture;Etiquette	How do you tell someone you don't want to be their friend without being rude?	Okay, so I am trying to figure out how to "get rid" of someone that we don't care to have in our lives anymore. I hate to use that term, but it is the only way I can think to say it.      So there is this woman that my boyfriend knew before he met me. He never really liked her, but is too nice to tell her that he really doesn't want to talk to her anymore (or ever for that matter). She texts him and emails him all the time and it drives him nuts...but he doesn't want to hurt her feelings.      Now she's trying to become MY friend too!! She was like why can't we all be friends?      I have no interest in becoming friends with her and he has no interest in remaining friends with her. What can we do other than blatantly tell her to get lost? I really don't want to be rude or hurt her feelings, but I am not comfortable with a lot of the things she sends him either. I just want her to move along and bug someone else.      Oh, and her kids are horrible. But he can't bring himself to tell her to go away when she comes over. It really bothers me because I believe it is our right to not have who we don't want in our house or in our lives, but I don't know how to get rid of her.      HELP!!!      Thank you for your ideas.
20090225072413AAZoFhp	Society & Culture;Holidays;Other - Holidays	Im turning 13 soon and i need some themes...can anyone help me?	i really need this because it;s a shame how i have no theme so please help me and email me
20090225073121AArnZCI	Society & Culture;Religion & Spirituality	How do I know when God is calling me to look for another job?	I don't want to get a new job with the wrong motives:  I don't really enjoy my work, and my managers don't care about the employees very much.  I used to bus tables for 2 years and loved it, but didn't like night shift.  Now i work in the kitchen for over a year, and don't find excitement in the job anymore.  I just want what God wants.
20090225073456AAITM4k	Society & Culture;Holidays;Halloween	I am looking for a cute poem using candy bars to replace some of the words?	It is my friends birthday this week and i would like to do this for her but all i can find is love poems or ones about them being older . I would just like one that tells her how much i care about her and happy birthday
20090225073553AA8cDjN	Society & Culture;Holidays;Halloween	When is second quarter of 2009?	N/A
20090225074209AA6XHiM	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Give me a single word for "most attractive"?	what is the meaning of fabulous
20090225074957AA2dVxu	Society & Culture;Religion & Spirituality	Songs about the believer's authority?	i need a song that is about the christian's authority in christ. I'm looking for something contemporary. Thanks!!
20090225080304AAXG54x	Society & Culture;Religion & Spirituality	What do you do to prepare for Hajj, What do you do during Hajj? and what do you do after Hajj?	How do you prepare for it?   What do you do   What do you do on Day 1.............Day 2..............Day 3...............Day 4 and Day 5?   What do you do after it?      Plz help me out ta xxx
20090227083847AAYI1a3	Society & Culture;Religion & Spirituality	What is shannavathi tharpanam?	N/A
20090227084326AANFlPK	Society & Culture;Religion & Spirituality	As far as end time prophecies are concerned,are these revelations made apparent in cycles in the old testament?	i've been told that stories in the old testament have repeated themselves throughout biblical history and are repeating themselves with different names and places as we live ..
20090227084747AAnx5pg	Society & Culture;Languages	How do  you  say _____ in turkish?	how  do you say  you are too old for me and i have a boyfriend lol.  .  .
20090307110043AAESiIY	Society & Culture;Religion & Spirituality	Question about the Vatican RE: the 9 year old who was raped and then had an abortion.?	Why would the vatican excommunicate the people who facilitated this abortion, but they don't excommunicate, only attempt to rehabilitate sexual predators within their ranks?
20090307120254AA5XTva	Society & Culture;Religion & Spirituality	Were you taught that the bible was inspired, and therefore true or that it was true, and therefore inspired?	?
20090307115146AAE7LzV	Society & Culture;Religion & Spirituality	If something cannot be perceived, or comprehended by man, shouldn't it be rejected by all thinking people?	N/A
20090307111921AAGTwbX	Society & Culture;Religion & Spirituality	Athiests, why are you in this section?	N/A
20090307113702AAAs6mh	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Together since 1951, they only have one regret. Have you read about these two? Is it sad or inspirational?	 http://news.aol.com/article/elderly-gay-...       Imagine the history these two have witnessed. Gives me inspiration, what do you think?
20090307113836AAGu7z0	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	If you had the chance....?	If you had the chance to be somebody else, would you take that chance?      Mini-Poll: Favoutite Country
20090307115218AAFtunz	Society & Culture;Religion & Spirituality	Did you get decent Godparents?	Mine were horrible! In fact, my Godmother ran off with my father when I was 3!
20090227085055AA94XED	Society & Culture;Religion & Spirituality	Doesn't Genesis read like a really long Aesop fable?	Talking animals, heroes and villians, complex geneologies to make it seem more realistic, global catashtrophies. All of the makings of a really good fable.      But you know what the best part of a fable is? The moral. People who read genesis literally, in my opinion, completely miss the moral teachings contained therin. It would be like reading the Aesop fable about sour grapes and learning from it that foxes can talk.
20090307115323AAW0ebF	Society & Culture;Religion & Spirituality	Christians. did you find Jesus?	..or did Jesus find you?      Think about it - He was never lost!
20090307115617AAa0QwZ	Society & Culture;Religion & Spirituality	Is it possible to construct a logical argument for using reason?	Almost everyone, myself included, believes it's better to be rational than irrational.  Yet when I try to develop an argument in support of this, all I can come up with are appeals to consequence.  But this is a logical fallacy.  So is there no logical reason to prefer rationality to irrationality?        As always, thank you for your thoughtful answers
20090307114022AA8XGCt	Society & Culture;Religion & Spirituality	Are You Lost? What Do you Think? How do you know if you are or not?	Are You Lost? Listen.    http://www.youtube.com/watch?v=RjbFSK5po... 
20090307112426AA2N40U	Society & Culture;Religion & Spirituality	Christians What Do You Think of This Keith Green Mini Sermon?	6 Minutes:    http://www.youtube.com/watch?v=g2fmARpy0... 
20090307112655AAkf74p	Society & Culture;Religion & Spirituality	Who can tell me why people are here on Earth?	How and why did this happen?      Who Can Tell Me    http://www.youtube.com/watch?v=HeMm0mLa1... 
20090227084939AAVRDqI	Society & Culture;Religion & Spirituality	Do you think God eats meat?	We're created in his image. Don't tell me he doesn't eat anything. God would get pretty hungry if he didn't eat something.
20090307121125AAGCM2m	Society & Culture;Cultures & Groups;Other - Cultures & Groups	How can we integrate indigenous tribes and people into mainstream society?	N/A
20090307111406AAlfBYm	Society & Culture;Religion & Spirituality	How can you people say there is no proof of GOD?	N/A
20090307100023AAipIlU	Society & Culture;Religion & Spirituality	Why are Lutherans more active in their religion than other Christians?	i mean like my friend is Lutheran and like she invitesme to every single church thing with her and i don't know if she's trying to convert me becasue i'm Catholic or what?   Can somebody please answer this question please?
20090227085757AAVlBdm	Society & Culture;Religion & Spirituality	Worldly pleasures? Or Spiritual Bliss?	N/A
20090307095319AAW07s1	Society & Culture;Religion & Spirituality	To all people who know the laws of God! Would you be dead today if God did not have mercy?	raises hand  aye.
20090307120024AABtmTA	Society & Culture;Religion & Spirituality	Can you imagine a God that never gets tired. who is confused with the Lord whe rested on the 7th day?	the difference is biblical theology.
20090227085330AAzgLHx	Society & Culture;Religion & Spirituality	Some Questions About the Trinity Concept in Christianity? PLEASE HELP!?	I am a non-denominational Christian who has been studying this issue of the trinity & "is Jesus God or Son of God" issue for a few months now.      There are some scripture which could possibly be interpreted as Jesus being God, although He never comes out and says this directly. Most Christians take this view and see him as a trinity 3-in-1 deal.      There are just as many (if not more) scriptures that indicate Jesus is not God, that they are different, and that Jesus and God are 2 separate entities, and this even makes more logical sense to me.      Then I look at the history of all of this trinity stuff, and a guy named Arius believed similar to what I am believing, and Anetheniaus (sp?) believed in a sort of trinity concept. The church voted between the two views (hundreds of years after Jesus/Apostles even lived), and went with the trinity concept, and then considered you a heretic if you didn't also believe it and would kill you.      So at this point, I am sort of frustrated, yet I am leaning towards a JW view that Jesus is the Son of God, and not God almighty. The whole Godhead thing makes no sense to me any way I view it. And the fact that it could have been voted the other way and that all of this comes from just 1 interpretation and a "vote" makes me even more frustrated.      So my question is this:       Does salvation even require us to believe Jesus is God? Isn't believing he is the son of God/Messiah who died for our sins good enough as long as we follow God's commands. He says we must believe in him, not that we must believe he is God Almighty. I do believe Jesus was the messiah, he died for our sins, and was resurrected 3 days later. I pray to God and ask for forgiveness for his son's sacrifice.      But I totally view it at this point as there being 1 God, Jesus is God's son, and Jesus is less than God & different being from God.      This whole issue is just so confusing. What are your thoughts on it??      Thanks so much.      P.S. I have literally viewed all scriptures concerning both views (so I know about Jesus saying "I Am", etc etc.
20090227085020AAjdZFe	Society & Culture;Religion & Spirituality	Spiritually Speaking: Do people in the R & S section....?	Open questions they have no intention of answering just to give a thumbs down to people for no reason other then they have different beliefs then you?      I mean come one, how childish can you be?
20090307100019AAo1Q8o	Society & Culture;Religion & Spirituality	What if we took out the word "God" and put in the word "Allah"?	Allah works in mysterious ways.      Allah has a plan.      With Allah all things are possible.      The fool hath said in his heart there is no Allah. He is vile and contemptible.      The point I am making here is a "faith" in a "God" is a learned mental repetition, not an intellectual assertion of actuality.Someone says "How?" they say "God". Someone asks "Why?" they answer "God". Instantly.A learned response borne of conditional love.      The linguistic interchanging between one monotheism and other shows how universal and repeated this psychology is.      "It is Satan that turns you away from the Truth of Allah"?   (they actually say that).
20090307121419AAiRbIC	Society & Culture;Religion & Spirituality	Before the reformation their were not many denominations like today don't that scare you or not?	People back then did not have much to choose but then it makes me wonder aren't we supposed to be united.
20090307114833AAw9mlN	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT: What movie or TV series would you love to see an LGBT character in it?	I would love to see someone in the series Heroes, even though I don't really watch them much. But it would be so great to see it.      How about yours?
20090307112930AAZ3Qtn	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	"How does being gay feels like"?	If someone asks you that question, how would you answer?      Just remember that the questioner is an old open minded heterosexual parents who just wanted to know the outside world, not some bigots who think they are wise by asking questions.
20090307112144AACdJKw	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT: What do you do when you can't sleep?	I can't sleep tonight (It's saturday night right now in my country). And I am bored and not in a mood to type anything on Y!A.       So, what do you do when you sleep?      Mini question: Have you seen clones of me yet?
20090307112436AAGlTMp	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT Poll: Panda, owl, or monkey?	I was just wondering about which of these three animal that you liked the most.......      Don't need to look at my avatar.......
20090227084937AAkk7bW	Society & Culture;Religion & Spirituality	If Pagans are hawt, and atheists are secksay -- What is a Pagan atheist?	Rawr.
20090307060901AAz8WDv	Society & Culture;Religion & Spirituality	Creationists, what say you to this undeniable evidence that we are related to chimps?	Take a look at chimp chromosome 2&3, and at our chromosome two:       http://www.don-lindsay-archive.org/creat...       It is clear to anyone that looks that at some point this chromosome fused, to make our single chromosome as opposed to the two chromosomes of the rest of the great apes. This is not only supported by the similarities, but by vestigial structures within the DNA itself:       http://en.wikipedia.org/wiki/Chromosome_...       The diagram explains it fairly well. Our chromosome 2 has not only TWO centromeres, right where you would expect them to be should the two previous chromosomes have fused, but two extra telomeres in the MIDDLE of it, right where a centromere should be.      Is it not obvious?
20090307104908AAPsYGv	Society & Culture;Religion & Spirituality	Why do the Muslims think the US is evil or the so called "great devil", cause of Prop 8?	N/A
20090307104907AAbQZGe	Society & Culture;Religion & Spirituality	Christians what do you think of the Hadron Colider atom smasher?	In case you dont know about this or not sure what this is,      Scientists are trying to re-create the Big Bang.      They are trying to prove there is a God.      Would 'nt that be something if they did doubtably find out there was??      However,,,      Some say this assignment will destroy the planet.      It would create black holes in the planet and those black holes would suck everything inward and destroy it. .      I guess it is the biggest assigment to date.      Of course we Christians allready know there is a God because of the bible but ,,      what if God used this experiment to His glory.??       We know all things work together for good. But critics say it is risky.      Thoughts anyone?
20090227085619AADNT67	Society & Culture;Religion & Spirituality	Why do ppl say Jesus is god, when jesus was on earth?	If jesus was here on earth, then there for there was no god before that? How can a human being ( Jesus ) all of a sudden be god just becuase he got killed for us?  If god created the universe, then jesus could NOT be him becuase jesus was just a human like the rest of us, and the universe washere b4 jesus was...
20090307120230AAgfMrR	Society & Culture;Religion & Spirituality	When did Jesus leave the grave?	Only those answers using scriptures will qualify.
20090307070054AAs1mvN	Society & Culture;Religion & Spirituality	Why do people think that water is a reference to blood? Why would people want to ignore the real Gift of God?	Christ spoke of the "Gift of God" and he wasn't speaking about blood for sin...      he called the Gift of God "living water."       And of course when a person is baptized, water is used for the ceremony, not blood. So why do people connect the idea of blood for sin when there is a baptism, and think of blood when the symbol is water? Have they lost track of the real "Gift of God" that baptism is symbolic of?      Click on my avatar if you want more context for this question.      To support this question just think about the Baptism that John the Baptist was doing... it was called the "Baptism of repentance for the forgiveness of sins." His baptism had water also, and was probably a reference to "living water" that washes away sins.... and certainly had nothing whatsoever to do with the crucifixion.
20090307114238AAf2jEb	Society & Culture;Religion & Spirituality	How come people are allowed to draw jesus...?	like in paintings and stuff in books. little bible stories and stuff. but they never draw God even though no one knows how he looks like. same as jesus people know that he was human (well he came as human ) but they dont have a picture of him people just assume or draw how they think he looks like. soo why do they draw jesus and Not draw God  ? since no one nowadays knows how he looked like exept that he was human. if i make sense lol.      thnx  x
20090307120649AALQB1m	Society & Culture;Religion & Spirituality	My fellow christians consider this question ...?	Do you think there really is hell ?    . yeah i believe in paradise and heaven and eternal life e.tc but in real sense on Judgement day dont you think the good people will go to heaven  or paradise a better after life . But do you really think other people will go to hell like God will actually watch them burn to death? if you cant stand watching your child dieing or burning with fire infront of you dont you  think God feels the same he loves us SO much but i dont think he can burn people in hell (that sounds horrible in real sense ). instead maybe the bad people will not enter heaven or paradise they will just not exist or just stay in the ground or disappear.   its just a thought !      thanks alot i hope no offense is taken.
20090307104438AAMydMJ	Society & Culture;Religion & Spirituality	When will the Pope come back to the U.S.A, again?	N/A
20090307120127AADD5bD	Society & Culture;Religion & Spirituality	Are there more Atheists or Christians in this section?	I'm an Atheist and I see a lot more Atheists in this section for some reason. But hey, I'm not complainin'. ;)
20090307114519AAkC9Z2	Society & Culture;Religion & Spirituality	Is it true that All we have to do is invite Jesus into our lives.?	N/A
