20080308021313AA2Q39G	Education & Reference;Homework Help	Do you have an outline of an A* monologue for fiction and non fiction, its for my coursework :)?	Non fiction out line of what to include, and fiction and non fiction.Thank you
20070314070153AAGIS7h	Education & Reference;Homework Help	Hi everybody! I need YOUR HELP!!!!!!!?	Firstly, I'm from Russia. And i need information about British people! I mean stereotypes and reality! It's for my school conference! Please, if u know something about it, write!
20070315074011AAWmvls	Education & Reference;Primary & Secondary Education	What do i need to do to become a kindergarten teacher?	N/A
20070315093332AAI8Ytn	Education & Reference;Higher Education (University +)	Suis-je pénalisée si je vais à sciences po avec un bac S, c'est-à-dire sans trop de connaissances en économie?	N/A
20070318181840AAi3R9m	Education & Reference;Trivia	D'ou vient l'expression " se rincer l'oeil "?	N/A
20070324072133AAuG6L4	Education & Reference;Trivia	Alguém sabe em que ano as lanternas foram inventadas?	N/A
20070324203953AA4WyN3	Education & Reference;Higher Education (University +)	Niveau requis en informatique pour master TAL ? ou passer des test de niveau en informatique?	salut  j'aimerais savoir s'il y a des sortes de tests qui permettent de justifier d'un certain niveau en informatique et si oui commente cela s'appelle-t-il et ou les passer, peut on prendre des cours de mise a niveau etc?    En fait j'aimerais apres ma licence d'anglais m'inscrire dans un Master TAL, si quelqu'un peux me renseigner sur le niveau requis? merci
20070331112646AAqC0Ll	Education & Reference;Trivia	10 punti a chi mi risponde bene-benino!?	Allora, vi faccio delle domande..   1) State guardando la TV? Se sì cosa?   2) Cosa avete mangiato oggi per cena?   3) Questo pomeriggio cosa avete fatto?   4) Qual'è il vostro gioco per Play Station preferito? E qual'è il vostro preferito tra i Final Fantasy?   5) Qual'è il vostro vero nome(senza il cognome, solo il nome, non vorrei creare disagi..)?   Cercate di rispondere a tutte.. 10 punti assicurati!!
20070403050222AAVQdri	Education & Reference;Quotations	Best motivational quote?	N/A
20070403113533AAgy4xc	Education & Reference;Other - Education	Mi potete consigliare un liceo scientifico privato religioso a milano e dintorni?grazie!?	N/A
20070415034623AAFAFP0	Education & Reference;Standards & Testing	En quoi consistent les tests d'entrée en CFA ?	J'aimerai savoir à quoi peuvent ressembler les tests d'entrée en CFA... Dans la plupart des CFA il n'y en a pas mais dans celui où je compte aller l'année prochaine, ils me convoqueront à un entretien de motivation et à des tests d'entrée. Quelqu'un aurait une idée ?
20070416025429AAg27dD	Education & Reference;Financial Aid	Etudier en belgique  bibliothéconomie et documentation?	salut    je suis haj brahim abdallah mitrisard en bibliothéconomie et documentation je veut faire une master dans une université belge
20070416075420AA5LcOm	Education & Reference;Studying Abroad	Pouvez-vous m'expliquer ce que c'est que "Examens référés"?	C'est la traduction que j'ai faite de "referred examinations" dans le cadre universitaire. Merci de votre réponse.
20070416131414AA8X5M4	Education & Reference;Quotations	Uma frase dita de Dalai lama  que te emociona?	"é durante as fases de maior adversidade que surgem as grandes oportunidades de se fazer o bem a si mesmo e aos outros".       E o seu?
20070416185358AA0fbHj	Education & Reference;Primary & Secondary Education	Algum poderia me explicar da forma mais clara possvel?	Estou querendo saber como descobrir a diagonal do paraleleppedo e do cubo por meio do teorema de pitgoras
20070416185359AAcSFCM	Education & Reference;Primary & Secondary Education	O que levou o povo do período paleolítico a chegar a descoberta do fogo?	N/A
20070418060831AAG8Kzs	Education & Reference;Higher Education (University +)	Sujet pour un expos : Qu'est-ce que les achats directs?	Dans le cadre d'un expos en Gestion de relation clientle, j'ai pour sujet :   -> Les Achats Directs.     Quelqu'un pourrait-il m'clairer l dessus? Merci :-)
20070420083826AAGqoJb	Education & Reference;Higher Education (University +)	Les contraintes du secrtariat de direction?	Avis  toutes les secrtaires.Je veux traiter les thmes suivants pour mon rapport de fin de cycle:  "Le secrtariat, un mtier contraignant mais noble"  "Quel avenir pour le secrtariat face aux NTIC"  "La secrtaire, pice ma?tresse de l'entreprise".  Je voudrais des informations pour me faciliter la rdaction du rapport. Merci d'avance
20070424043849AATzosx	Education & Reference;Home Schooling	Bsc.Forensic science à distance, ca existe ?Ou une année de spécialisation pour avoir des bases en biochimie ?	Bonjour,      J'ai fait un bac S bio et j'étudie actuellement l'informatique, dans le domaine de la sécurité.   Je souhaiterais pouvoir bosser plus tard  (pas forcément en france) dans la police scientifique, dans u service informatique de préférence (lutte contre l'intelligence économique et les pédophiles, ca me botte ;) mais le mieux pour faire ca est d'avoir une formation en forensic science ( science de l'investigation ) qui est une formation pluridisciplinaire, assez axée sur la biochimie qd mm.   Je me demande donc si le mieux ne serait pas de tenter de faire une formation, complète ou de spécialisation, pour avoir un titre en forensic science.   Mais je peux pas me permettre d'aller paumer 2/3 ans de ma vie qqpart, il faudrait que cette formation se fasse à distance, éventuellement avec regroupement pour les tp en bio, chmie,...   Est-ce que vous en connaissez ? Merci
20070426093327AAqlmRW	Education & Reference;Standards & Testing	Qui va passer le CRPE à NICE dans quelques jours ?	N/A
20070430120031AAQgTaL	Education & Reference;Primary & Secondary Education	O que é acidos organicos e inorganicos?	N/A
20070501163936AA89Dmc	Education & Reference;Standards & Testing	Je suis chef de cabine je voudrai savoir comment devenir instructeur?	N/A
20070506031459AANhige	Education & Reference;Special Education	Y'a ti'l des personne de la région de sarreguemines ( 57)qui vont a l'enap pour le 4 juin!!?	l'ecole des  surveillants pénitentiaires
20070508052602AAfXCvs	Education & Reference;Special Education	Model de redaction de memoire?	Je suis etudiante en assistanat de direction bilingue et je dois rediger mon memoire  de fin de formation. Pour cela j'ai besoin de voir les themes deja traites et les ouvertures d'amelioration. Alors je souhaite avoir le site ou je pourrai trouver des modeles de memoires deja presentes et faire d'autres recherches.
20070508084551AAqIgEL	Education & Reference;Primary & Secondary Education	Comment puis je faire ?	Je suis en 3° dans le secteur nord de Paris, je souhaite prendre comme enseignements de determination ISI et LV2 espagnol.   Le seul lycée enseignant cet  Edd, dans mon secteur, est Chaptal. Le problème est que je dois choisir, pour mes deux premier choix, les mêmes Edd.    Alors je dois prendre un lycée hors secteur, mais voilà un aute probleme les lycée hors secteur doivent êtrechoisis en premier choix .
20070521025351AA60RRa	Education & Reference;Primary & Secondary Education	What school do you go to?	i whant to know if you go to my school.
20070601055002AAfIkfV	Education & Reference;Higher Education (University +)	Do you know any great liberal arts colleges in New England?	I plan to major in political science/government.  I want/need a place that will challenge me.
20070608095937AAx1k3b	Education & Reference;Higher Education (University +)	Professor no incio de carreira?	Ol a todos,    Por favor, preciso de algumas dicas sobre como um estudante de licenciatura em matemtica/fsica pode come?ar sua carreira como professor?     Grato
20070621185933AAV4HsY	Education & Reference;Other - Education	Alguem pode me dizer o sentido deste texto e o que ele tem haver com autor?	As realidades             (fábula)             Era uma vez uma realidade             com suas ovelhas de l? real             a filha do rei passou por ali             E as ovelhas baliam que linda que está             a re a re a realidade.             Na noite era uma vez             uma realidade que sofria de ins?nia             Ent?o chegava a madrinha fada             e realmente levava-a pela m?o             a re a re a realidade.             No trono havia uma vez             um velho rei que se aborrecia             e pela noite perdia o seu manto             e por rainha puseram-lhe ao lado             a re a re a realidade.             CAUDA: dade dade a reali             dade dade a realidade             A real a real             idade idade dá a reali             ali             a re a realidade             era uma vez a REALIDADE.             (Louis Aragon)
20070621191020AA7bR9S	Education & Reference;Homework Help	Quero saber qual a característica principal do judaísmo?	N/A
20070811185731AAX9cmf	Education & Reference;Home Schooling	Porque os homens n?o levantam a tapa da privada quando v?o ao banheiro urinar ?	Isso é irritante!
20070811191956AAP31n5	Education & Reference;Primary & Secondary Education	Quanto é a raíz quadrada de 4895?	quanto é a raíz quadrada de 4895?
20070812043230AA35N0w	Education & Reference;Primary & Secondary Education	Como fazer uma reda??o sobre a importancia da imprensa na sociedade?	N/A
20070812072828AAeDDKY	Education & Reference;Other - Education	Porque acontece o bullying?	N/A
20071119162938AAoP9lP	Education & Reference;Trivia	Osiris e Orion?	eu queria entender a rela??o do heroi orion com osiris, pq o que eu vi era q orion foi um heroi que virou constela??o, e que osiris na verdade era a divindade que virou a constela??o de orion, o que está certo afinal???
20071124074516AA5WnUv	Education & Reference;Higher Education (University +)	Alguns instrumentos usado por Vargas para fortalecer o poder do Estado a partir de 1937?	N/A
20071128213755AAWGFZ1	Education & Reference;Homework Help	Sobre Clarice Lispector: o que significa Lispector? ouvi dizer que esse nome tb é adotado. é verdade?	N/A
20071205041217AAZFs9p	Education & Reference;Preschool	Queria saber um pouco mas sobre no??es preliminares de geografioa?	Geografia
20071206060030AAGYSQG	Education & Reference;Quotations	Quem é o autor da seguinte frase " o poder corrompe e o poder absoluto corrompe absolutamente?	N/A
20071214231847AAsUrZL	Education & Reference;Higher Education (University +)	Qual a diferen?a entre o pronome apassivador SE e a conjun??o SE dentro da ora??o ou frase?	N/A
20071218005926AAtTYNy	Education & Reference;Higher Education (University +)	Por QUEM os sinos dobram?	N/A
20080103184236AASr25Y	Education & Reference;Other - Education	Qual é o valor da mensalidade do curso de Ciências Biológicas da PUC de Sorocaba?	Por favor alguém poderia me informar sobre esta minha dúvida?Me interessei muito pelo curso e gostaria de saber o valor médio de sua mensalidade!Obrigada pela aten??o!
20080322205640AA9useQ	Education & Reference;Homework Help	Me achudem ai no dever de cassa ?	1-Imagine que voc ao mexer num caixote de madeira cortou o dedo e entrou uma farpa. Por esse ferimento entraram milhares de bactrias e o local infeccionou. Descreva o que os leuccitos ir?o fazer no local da infec??o.    2-Normalmente, quando vamos ao mdico ele nos pede para fazer um exame de sangue. Em um exame de sangue  medida a quantidade de hemcias, leuccitos e plaquetas, entre outros. Qual  a finalidade desse exame? Relacione algumas doen?as que podem ser diagnosticadas por um exame de sangue com a carncia dos elementos figurados.    3-Quando temos um aborrecimento muito grande e passamos mal (sentimos tonteira, as m?os suam frio e pode ocorrer at desmaios) a nossa press?o arterial sobe.Em geral, a press?o em repouso de um adulto jovem  de 12 por 8. Quando dizemos que a press?o est 12 por 8 o que voc quer dizer em rela??o aos movimentos do cora??o.    4- Voc deve conhecer uma pessoa que tem press?o alta. Vamos fazer um pequeno teste para ver como anda o seu cora??o. Para isso entre no endere?o http://prevencao.cardiol.br/testes/ e clique no link teste seu cora??o, fa?a os testes e escreva resumidamente o que voc pode fazer para melhorar a sua vida de acordo com os resultados.    5-Porque a excre??o  vital para a sade do nosso organismo?    6-Como ocorre a filtra??o e a absor??o nos nefr?nios.    7-Na maioria das competi??es esportivas  feito o exame antidoping, para isso um atleta  escolhido e a sua urina  recolhida. Porque se realiza o exame de urina?    8-Muitas pessoas que tem insuficincia renal fazem hemodilise. Em casos mais srios o doente  obrigado a fazer o transplante de rim. O que  hemodilise e qual a sua fun??o?
20080328185404AA7OOUK	Education & Reference;Homework Help	Indios do Estado do Amapá ...?	Preciso saber quais foram os Principais indios do estado do Amapá e saber tamém:   * cultura   * A  Linguagem   * qual as principais dificuldades deles      Brigadaah!
20080329142056AACisIt	Education & Reference;Other - Education	Por favor, vale Dez pontos!?	Eu assisti uma matéria num Jornal da Globo que diz sobre trabalhar cedo, vocês podem está confudindo com um Proíbido trabalho pra menores ou ent?o outra coisa.     Mas quero saber como é comecar uma coisa com 14 anos, fazer uma experiência legal, ganhar uma graninha, vale a pena???     Das pessoas que eu ouvi no Jornal, eles disseram que n?o perde tempo pra divers?o, muito pelo ao contrário, é divertido.     Eu tenho medo de n?o ter tempo pra sair com amigos e ser um daqueles profissionais com dificuldade no futuro e ser o mesmo trabalhador Brasileiro.     Eu gosto de fazer do que gosto, isto por enquanto é Teatro, Música e Informática.     Mas alguem que já teve uma experiência no trabalho cedo pode me contar como é?     Eu n?o estou precisando de dinheiro, muito pelo ao contrário, meus pais tem uma condi??o legalzinha.. Mas queria saber isto, moro em Salvador.
20080330181200AAxaene	Education & Reference;Other - Education	Que língua é essa?	Alguém sabe classificar em qual idioma está esta frase e traduzi-la por favor?      Kaj la knabo kaj la viro ne estas altaj.
20080331213803AAyxIuO	Education & Reference;Higher Education (University +)	Arterial.................?	Quais os ramos principais das Aa Coronárias D/E que irrigam o miocárdio? E as Veias cardíacas que fazer a circula??o de retorno do Miocárdio.
20080514175148AApZW3t	Education & Reference;Higher Education (University +)	Vale a pena trocar cincias contbeis por Psicologia?	Passei no vestibular  pro segundo semestre de contbeis ,mas penso bastante  em Psicologia. Escolhi  o primeiro por causa do mercado de trabalho e  n?o escolhi psicologia porque a remunera??o   baixa e empregos s?o restritos.Bem, me sinto inseguro c tudo isso ,mas n?o sei se vale a pena voltar atrs .Levando em considera??o que eu tenho um condi??o socioecon?mica  instvel ,o que vcs acham q eu devo fazer ?
20080925185625AA4YIPA	Education & Reference;Homework Help	Read this and tell me what you think i know i am not the best writer!!!?	So this is a paragraph reasonse to a short story called ''The Sniper''       The Sniper      This short story by Liam O’Flaherty is called ‘’The Sniper’’. The genre of this story is drama, war. The story takes place in Dublin, Ireland during the Civil War around 1919 to the early twenties on a day in June. The main character of this story is The Sniper he is described as having ‘’a face of a student, thin and ascetic’’. In the beginning of the story he is described as a cold man who has seen ‘’death many of times.’ ’Later he is described as feeling remorseful for shooting the Republican Sniper. ‘’ He took a steady aim. His hand trembled with eagerness. Pressing his lips together, he took a deep breathe through his nostril’s and fired’’. He uttered a cry of joy’’. ‘’His enemy had been hit.’’ The other character of this story is the Republican sniper, his enemy. The Sniper then walks over to the body. ‘’He threw himself face downward beside the corpse’’. The Sniper turned over the body to see the face of his brother. This last quote describes him as feeling upset and obviously shaken to have killed his own brother. The theme the author is trying to tell people is war is a horrible thing it can turn good people into monsters and separate families.       PS i know i am not the best writer   don't make fun oh and i am in grade 9      i will choose best answer. 
20081218130853AAFSyOI	Education & Reference;Words & Wordplay	Whats another name for robots that think for themselves? ?	I'm pretty sure its not androids. They have emotions and are human like. Anyways this has been bugging me so if anyone knows what I'm talking about your answer would be greatly appreciated.
20090205163706AAwd73V	Education & Reference;Higher Education (University +)	Can i add another choice to my UCAS form?	i had already 5 choices down but then withdrew one of them cause i'm not interested, i have heard back from the other 4 courses do you think its possible to add another course to my form
20090205175142AAXDf9I	Education & Reference;Homework Help	Need homework help on colonial timeline, concerning duke of york?	I asked another question similar but morons answered it and it didnt help me at all. My timeline is due tomrrow and i could get it done but im stuck on duike of york. I know there were a bunch, so which should i do? I think whichever one was between 1500-1750 and had something to do with early american colonists and posibly new york or something...i need his date of birth, his date of death, and whatever year he did whatever he did. please people this time actually answer what i need, or at least try, instead of contradicting me and writing pointless answers. sorry to be mean but im really stressed and i want to do my work on time. im an expert procrastinator and my teacher expects me to have this in late, i think, and i wanna prove her wrong!
20090205174724AAJ099Z	Education & Reference;Special Education	Are there good special education schools in San Antonio ?	N/A
20090205165421AA8Mzgh	Education & Reference;Higher Education (University +)	Is anyone good at accounting?	Please let me know, because I have posted a few questions that I need some help with. I will give 10 points. Thanks
20090205165149AAp31ed	Education & Reference;Other - Education	Is my GPA good enough?	I had a 3.5 gpa at the end of my freshman year and now in the beginning of my Sophomore year I have a GPA of 3.452 and my class Rank is 48 out of 315.   Is that good?I want to be a Physical Therapist and go to a good university.
20090205170237AAQc3Ve	Education & Reference;Higher Education (University +)	? I got a 138 on my PRESAT, is that good?	it says 43 for critical reading. rages 39-47. percentiles 52% higher than sophomores      mathematics 44. ranges 40-48   50%higher than other sophomores      writmg skills-52. ranges 47-55/ 80%more than other sophomores      PERCENTILE=45 compared with other college bound juniors.         help. what oes this mean. is the percentages compared to all the usa or people at my school. what do these mean. did i do good
20090205171328AASPqIh	Education & Reference;Homework Help	I am writing a research paper on overmedicating the elderly?	I know that some people may believe in it and some think its BS. But i don't really hold a position on it. I wanted some input from other? I need three support details but i cannot think of any that would work considering i don't have a position on whether they are over medicated.
20090205174949AAgKTab	Education & Reference;Other - Education	Do i need special stamps to mail out the country?	N/A
20090205172847AAlRqXY	Education & Reference;Words & Wordplay	Does this mean I'm weird?	sometimes when I'm at home by myself I like to places oranges in a circle around me...then I think of my thoughts and I laugh. Also washing machines inspire me in poetry. Is this weird?
20090205172858AAFPG18	Education & Reference;Words & Wordplay	I have 15 words that i need definitions, and sentences for.?	Okay.   I have 15 words that I need a definitions for each one and a sentence using that word properly that shows its meaning.   these words are a little weird so yeah.   If you give a great sentence and definition for each word (the definition can't be from the dictionary) I will give the first person who sends that best answer. Oh, and everything MUST be spelled properly. I will not copy your answers for homework or anything. I am not into plagiarism. :) i am using this to study for a test and i don't want to study the wrong stuff. If you don't get it to me by 9:00 pm feb 5 then i don't want it because i have my test the next day so hurry please! thanks sooooo much!   here are the words      brash   conscientious   extravagant   extroverted   obnoxious   obsessed   pessimistic   shrewd   sophisticated   gregarious   dainty   petite   pockmarked   receding   scrawny            any sarcastic or joking answers WILL get you reported so don't just try to get some easy points by being sarcastic and snotty
20090205170102AAlwrsS	Education & Reference;Quotations	FDR quote: "only thing to fear is fear itself"..?	What year did he say this...I know it was his first inaugural speech that he said it in, but idk what year. My guess is 1932, but i could be a year off. Can anyone verify?
20090205173840AAxPMIW	Education & Reference;Primary & Secondary Education	High school service learning hours?	I did some service learning hours by cleaning rooms in a retirement home.      Can I get service hours for helping my neighbor? She's a senior citizen
20090205165902AATPoZI	Education & Reference;Higher Education (University +)	How is pre law in college?	I want to know as many details as possible if you want all your points describe the work, courses that you should take with it, and how well did you understand law after it thanks
20090205163546AAXB2R7	Education & Reference;Words & Wordplay	What is an allusion?	what are five different definitions of allusion?   i look it up on dictionary.com and i don't get the definitions   someone would like to help me define?      links and defining would be great :)
20090205172440AAKjQK0	Education & Reference;Higher Education (University +)	Do you go to college?	Do you go to college? If you do, what college do you go to and what is your major.
20090205165650AAIoUO5	Education & Reference;Primary & Secondary Education	Bad grades in social studies?	i have recently gotten two very bad grades in social studies around a 20-50 each. I feel really bad because i dont want to fail and my teacher is impossible he is an idiot when it comes to tests they are crazy hard. im in 8th grade and very worried about this class, his is the only class i have trouble with... im really depressed that my mom and dad will yell at me if i fail. i have a big test coming up tommorw well not big a chapter test what are some ways to ace it and pass it remember he is crazy hard when it comes to tests
20090205172049AA82xd6	Education & Reference;Higher Education (University +)	Is this good enough to get into a goooood medical school?	Im thinking of majoring in nursing, at either UF or FSU, im still not sure yet. Im only a sophomore in high school, are these good enough to get into a really good nursing school?   GPA averages at 4.2   In Cambridge program at high school (rigorous, college prepare program). Make A's and B's   BUNCH of community services and extracirriculars   Havent taken ACT or SAT, took PLAN test and my composite score range is 23-27. Theres also a column that says ''college-bound 10th'' and under my science, i Have an 89%, and under math is 88%.
20090205164552AAi82iv	Education & Reference;Homework Help	X to the negative one? Algebra 1 help!?	Would x to the -1 be -x? Thx!
20090205170030AAfqIwd	Education & Reference;Other - Education	Should I take this class?	Okay, so right now I'm an 8th grader and we are starting our scheduling for freshman year. I'm an aspiring journalist and I'm kind of unsure of what to do:      I REALLY want to take Intro to Journalism but if I do that, then I will have no study hall and I'm a fairly busy person. Right now, as an 8th grader I take all the honors classes available and im in volleyball and have no study hall and dont have trouble completing my work, however im not sure how different HS will be from jr. high.      So, this is basically what im asking: If you were me would you go ahead and take intro to journalism (its the class i want to take most) but be a little bit, or maybe a lot, busier or take a study hall instead and start intro to journalism as a Sophmore?      Thanks for the advice :)
20090205170043AALlGbr	Education & Reference;Higher Education (University +)	I've been looking everywhere, but i just can't find it any colleges for..?	I want to be a major in psychology. Does anyone know of any good colleges for it? it would be best if they're in California, New York, or Washington(:
20090205171909AAa4e9q	Education & Reference;Financial Aid	Places to apply for scholarships?	what are some good sites to apply online for scholarships, my friend got one from best buy, i was going to apply there but they only accept 9-12 graders, myself i have already been through my first year of college, and ive noticed many places only accept potential seniors still in high school... anyone know of some legit scholarships?
20090205165027AABOOpa	Education & Reference;Financial Aid	Do Pell grants cover me if I'm attending two different colleges?	N/A
20090205170121AAPpIyB	Education & Reference;Quotations	Quote on to kill a mockingbird? - harper lee?	"I'd rather you shot at tin cans in the back yard but I know you'll go after birds. Shoot all the bluejays you want if you can hit 'em, but remember its a sin to kill a mockingbird".      How does that quote above relate to life? How can you relate and make a connection to THAT QUOTE, NOT THE WHOLE BOOK, to your life, community, society, or in general?      Thanks! ;-)
20090205165936AAis3Tu	Education & Reference;Higher Education (University +)	Recently i've been getting offers from some VERY good colleges. do i really have chance or are they just?	getting my hopes up?      here are the good colleges:      yale (ok this one i DEFINITELY have no chance of getting into)   rice   NYU   duke   Emory   wellesley   caltech   wesleyan   colgate   reed      Right now I'm a second semester junior. Junior year is not turning out well at all. I have 3 AP's, 7 classes and a sport, but I got FOUR B's last semester. Sophomore yr= 1 B. Freshman=all As       I also have about 200 hours of community service. I know I need more!      They seem to want me for the medical field. (I got a 5 on the AP Biology test sophomore year). I got a 207 on my PSAT but that isn't good enough for semifinalist status. I am active and hold a position in two clubs and a position in the school newspaper      i seriously doubt i have a chance but what should i do to make my chances as good as possible?      thanks!
20090205171547AA60xg2	Education & Reference;Words & Wordplay	What is a good 6 letter word?	by GOOD i mean, fun and unique and such.   thanks :D
20090205171944AAAM2Gs	Education & Reference;Words & Wordplay	Opening sentence to my essay..?	i'm completely stuck on how to start my essay. once i get an opening sentence i can continue easily. my essay is on the importance of place in written works, and how location/place is significant and important for the reader to understand. thanks!
20090205170713AAXzgMZ	Education & Reference;Primary & Secondary Education	Algebra2 help????????	objective:To find the equation of a line by using the point-slope equation      m=1/3   P=(1,1/2)         Idk where to start=[=[
20090205174535AANrazk	Education & Reference;Words & Wordplay	I don't know what to do.............whats wrong with me....?	why is it bad to be too happy all the time.....   at my school people think im too happy all the time and they treat horribly, i think their either jealous because all the gyes are all over me(i don't like it though when gyes are like that) WHY DO THEY TREAT ME LIKE THAT, SOMETIMES IT MAKES ME CRY, AND ITS REALLY HARD!!??????
20090205173743AAnQtqT	Education & Reference;Homework Help	What is the answer for 12^4 divided by 6^4?	N/A
20090205170357AAnTA5Y	Education & Reference;Other - Education	How wud yu describe a day of 37 degrees outside by being very descriptive?	How wud yu describe a day of 37 degrees outside or even colder by being very descriptive?    such as.. burrr its a hard freeze outside.. etc? got n e ideas?
20090205163925AAXlD9O	Education & Reference;Homework Help	Biology question........... HELP?	Why are centipedes the smallest group of Arthropods?
20090205165345AAYApa1	Education & Reference;Higher Education (University +)	Which is the best school??	Should I go to Brooklyn Tech High School or Midwood High School in Brooklyn, NY. Whar are the positive and negative aspects of both.
20090205174653AAt51mc	Education & Reference;Primary & Secondary Education	Bronx science n townsend harris?	Which one would you choose and why?
20090205173723AACPL6V	Education & Reference;Homework Help	Eighth Grade Math Homework help?	I need an explanation. Not the answer, so don't give me the answer.    I'm supposed to factor trinomials.    2x squared + 3x + 1   I'm not sure how to do it. It's either I get no answer or I get (x+1)(x+2)
20090205172217AAZJjOK	Education & Reference;Quotations	Do you agree with this "Mark Twain" Quote?	" It is better to deserve (power) and not have (it) then to have (it) and not deserve (it)".      I'm interested in knowing what you think, I'm writing a critical lens essay and I'm stuck on wheather i Agree or Disagree I'm on the fence.
20090205172624AANmRv6	Education & Reference;Higher Education (University +)	Colleges in chicago il?	if you live in chicago il.. and u finished college or you go to college will i am graduating this year in june and i have to pick a college but i am having a hard time i looked and found wright college wich i dont like and west wood college its far wat else is left please help
20090205164642AAYvPQE	Education & Reference;Homework Help	PLEASE HELP ME WITH SIMPLE MATH!!?	PLEASE HELP!  I missed 1 1/2 month of school and need help!    Write the prime factorization of each   then find the GCF  1. 40-48    3. 16-20    1. 15-60    4. 75-100
20090205172010AAjqpWT	Education & Reference;Words & Wordplay	What does it mean to have "cold turkey"?	self-explanitory
20090205163157AAAtFD9	Education & Reference;Standards & Testing	I got my shsat result and got 465. is that a close score to the bk tech cutoff? is there a way to get in tech?	N/A
20090205173601AAfOtdZ	Education & Reference;Words & Wordplay	What is this asking easy 10 pts.?	Can you please re-phrase this sentence for me? I'm having trouble understanding it. Thank you.      Describe some of the key external environmental conditions that are influencing Burton Snowboards. How has the Burton way addressed these?
20090205165945AAbGRuN	Education & Reference;Words & Wordplay	THE ONe WHO CORRECT THIS PROPERLY WILL  HAVE 10 POINTS?	my daughter has a yeast infection or maybe thrust      she wasnt able to attend her class for 3 days and needs some excuse letter for her not to be dropped,       so i just wrote this excuse letter thats says            " dear sir please excuse my daughter for being absent in your class because she suffered from yeast infection that caused her difficulty in walking and intchiness."       is that a right grammar or what help me... to correct it and u got ur 10 points
20090205163637AAHwNdG	Education & Reference;Primary & Secondary Education	Yearbook Help, Please!?	I'm pretty much the only creative one in my yearbook/journalism class.   So it's been put on me to make up a theme.      We have a super small school.   7-12, less than sixty kids.   It's a charter school, & crazily strict about things.      & Our year book are always crappy.   We don't even have a hard cover, and most kids only have one picture in it.   But this year is the first year we've had a class to make it.      Anyways, I was thinking about themes, and I really liked the idea of making the entire thing super hero themed.      Having art students draw Super Hero's to put in the yearbook.   Asking questions like "What super power would you have?"   Making some pictures into comic strips and stuff like that.      What do you think?   & What else could I do on this theme?
20090205170222AAyxOoG	Education & Reference;Trivia	Reannrimes dose you know?	what movie did reann made ? she made one dose anyone knows tell me yeap
20090205165803AAkBrmS	Education & Reference;Words & Wordplay	Make a sentence!!!!!!?	can you make sentences with these words and use them correctly.   strident,hiatus,contemptuously,induce, errant,tirade, and nimbly. thank!!
20090205163450AAaEQ66	Education & Reference;Teaching	Teachers: do you ever think about your students or a particular student when you aren't at school?	N/A
20090205171141AA8mzrZ	Education & Reference;Words & Wordplay	Is this bad???????????????	im 5'7 and i way 123 pounds is that bad??
20090205174655AAixM4k	Education & Reference;Primary & Secondary Education	Whether or not to take AP Calculus?	I'm pondering whether or not to take AP Calculus. I'm currently enrolled in full IB, with Math SL (the harder, but not the hardest) as my math. I'll remain in full IB next year (my senior year) but i'm thinking about whether or not i should take AP Calculus. Benefits, it's guaranteed college credit (with a 4-5 on the exam that is), i'll be well prepared to take it, and the prerequisites are either Math SL or Math 140 (a college level class non-IB people take senior year). So, i guess my question is, is the AP Calculus (its Calculus AB, keep in mind) really difficult? I don't want to waste an elective block without the colelge credit it forebears. So those who have taken the AP Calculus AB exam, do you think i'll be able to pass? Oh, and its every day for a semseter, not A/B day. So former people in the class, help PLEASE!
20090205162507AAmhC52	Education & Reference;Special Education	Information on early childhood (special ed)?	I need a reward behavior chart for early childhood special. can somebody give me a website where i can find it? only serious answers please?  I would like for you to if you cant find it, make up your own reward system for kindergarten children.  Thanks
20090205162541AAAwJXD	Education & Reference;Trivia	What are towns and routes that Ulysses S. Grant used in his drive to Richmond?	Need town names and some information for a project. thanks!
20090205163328AABpWHu	Education & Reference;Other - Education	Tackling should not be permitted in the school?	give me why tackling should not be permitted in the schoolyard
20090205163608AAIWCuJ	Education & Reference;Words & Wordplay	What is a synonym and an antonym for the following words?	What is a synonym and an antonym for the following words?   Condescended(to do something that you believe is beneath your dignity).   Vexations(something that causes annoyance or problems).   Immune(something that has no effect on you).   Persevere(to carry on in spite of difficulties).   Apothecary(a form of pharmacist).      These were the only ones I couldn't get.   Any help would be appreciated :)
20090205171838AAw8plF	Education & Reference;Homework Help	What is a good name for a plant God?	Like mythology.... plant God. I need a good name. Not like Plantzilla or McGreenman. Like reasonable names for a God. It can't be the name of a God that already exists either.
20090205163703AAVyPoU	Education & Reference;Primary & Secondary Education	Does Boston College High School have a Chess Club?	I was just wondering since I am considering BC High and I'm into chess.
20090205163711AATh8pG	Education & Reference;Trivia	Why is the nursery rhyme "dick and jane" distorted in toni morrison's the bluest eye?	N/A
20090205163838AAvZIzg	Education & Reference;Higher Education (University +)	Anyone who has got accepted to UCB, UCLA, or UCSD?	What type of SAT scores (SAT I and SAT II) did you have and what sort of Extracurriculars did you have. Also average GPA?
