20090129083411AADUFZ2	Science & Mathematics;Geography	Why did this volcano erupt?	Does anyone know why the Llaima volcano erupted?    (The Llaima volcano is in Chile)   Thanks
20090129104835AArGiec	Science & Mathematics;Mathematics	Is business calculus a lot easier than regular calculus?	N/A
20090129095009AA0Cy6Y	Science & Mathematics;Astronomy & Space	Where can I find reports about planets?	N/A
20090129112655AA2Y8d7	Science & Mathematics;Astronomy & Space	Just looking on internet are those ufo real ?	N/A
20090129104148AAufLnj	Science & Mathematics;Medicine	How could stem cells be used to treat human diseases and ailments?	N/A
20090129103417AAjt4lf	Science & Mathematics;Chemistry	A saturated solution of cesium perchlorate.....?	A saturated solution of cesium perchlorate, CsClO4, in acetone, CH3COCH3 contains 0.03g of CsCLO4 in 20.0mL of acetone at 25 degrees C. The density of acetone at this temperature is 0.7887g/ml. Calculate the solubility of CsClO4 in acetone in units of g solute/(100g solvent)
20090129104334AA2SSqX	Science & Mathematics;Chemistry	Boiling points of intermolecular attractions?	arranage these substances in order of increasing strengths of intermolecular attractions:   - ethanol 78.4 degrees celsius   - ethylene glycol 197.2 degrees celsius   - water 100 degrees celsius   - diethyl ether 34.5 degrees celsius
20090129100818AATe3kF	Science & Mathematics;Mathematics	So there is this theory about graphing a curve that you can figure out the direction the lines are going......?	You have to determine whether the equation (in axsq+bx+c=y form) is odd or even and if it is positive or negative. I can't remember how to do this and it would really come in handy right now. Supposedly you can look at the equation and tell whether each end goes to the nw, ne, sw or se...... does anyone know about this?
20090129101603AAjStXU	Science & Mathematics;Chemistry	Chemistry Question....Urgent!!!?	Which water solution has the lowest freezing point?  a.)0.1m Na2SO4  b.)0.1m NaCl  c.)0.1m KNO3  d.)0.1m C12H22O11  e.)0.1m HC2H3O2
20090129115234AA7kCvb	Science & Mathematics;Earth Sciences & Geology	What type of Eruption is Mount Vesuvius?	please don't make it long and have it in little kid terms  this is for my 11 year old brother.
20090129122257AAxhrG1	Science & Mathematics;Mathematics	Please explain how to find the area of a circle.?	The diameter of a circle is 40 m. Find the area of the circle in terms of pi. (the pi sign)      please please explain.   im sooo frustrated.
20090129095337AApYGRq	Science & Mathematics;Zoology	If 4 cats each catch 8 mice every day?	how many mice will they catch during the month of january
20090129111702AAQaIxQ	Science & Mathematics;Earth Sciences & Geology	Did Asteroids kill the dinosaurs?	can you please give me the theories
20090129115727AA5Y89q	Science & Mathematics;Earth Sciences & Geology	How does mount st helens inmpact the humans??	this goes along with my other question. i can't find these answers for my paper. please help me
20090129094411AAjRrJS	Science & Mathematics;Mathematics	If my current grade is a 75.42 and i got a 61 on the final which is 1/9 of my grade whats my final grade?	N/A
20090129091735AA3BhOa	Science & Mathematics;Mathematics	Equivalence Relation Help.?	Hello all:      I could really use so help on this.  I have three questions that I need help with.  Any help that you all can give will be greatly appreciated.       1.  A relation on a set S is a set of ordered pairs of elements of S.  Find an example of a relation that is reflexive and symmetric, but not transitive.      2.  Find an example of a relation that is reflexive and transitive, but not symmetric.      3.  Find an example of a relation that is symmetric and transitive, but not reflexive.      I have been working on this for hours.  I don't know if I am over-thinking it or under-thinking it, or if I have just stressed myself beyond belief but I am about to lose it.        Thanks again for any help that you can give.  I do choose a best answer.            Again
20090129104916AAhtP00	Science & Mathematics;Chemistry	Which substances are reduced and oxidised?	I need to pick out which substance is reduced and oxidised and then choose what is the oxidising agent and the reducing agent in the following:      (a) 6H+ + 2MnO4- + (5SO3)2- --------> (5SO4)2- + (2Mn)2+ + 3H2O      (b) 6I- + 14H+ + (Cr2O7)2- ---------------> Cr3+ + 3I2 + 7H2)      (c) 3Cl2 + 6OH- ----------------> ClO3- + 5Cl- + 3H2O      Thanks :)
20090129105637AAJQR7I	Science & Mathematics;Botany	Why are mycorrhizal fungi superior to plants at acquiring mineral nutrition from the soil?	A. Fungi can transport compounds through their mycelium from areas of surplus to areas of need.   B. Fungi secrete extracellular enzymes that can break down large molecules.   C. Hyphae are 100 to 1000 times smaller than plant roots.   D. All of the above answers apply.
20090129120531AAihX1U	Science & Mathematics;Mathematics	Inverse matrices on TI-89?	I have math hw from my pre-calc class where it is telling us to find the inverse matrix using our calculators...i need a step by step directions on how to do this...i already know how to do these by hand, but my teacher is going to test us on hand work and doing it on a calculator...please help! my hw is due tomorrow...thanks
20090129101320AAxPq3k	Science & Mathematics;Earth Sciences & Geology	Does Alternative rock have distinct sound?!?!?	??????????? o_O??????????????????
20090129112913AAZlO95	Science & Mathematics;Earth Sciences & Geology	What type of current moves the rocks in the mantle?	N/A
20090129113042AA6lCea	Science & Mathematics;Earth Sciences & Geology	List the layers from outer most to inner most, of the earth?	N/A
20090129115644AAE0Svb	Science & Mathematics;Earth Sciences & Geology	Heavy metals that are found every ware.?	list things that are used every day that are chemicals or heavy metals.
20090129101557AAjBpnR	Science & Mathematics;Chemistry	Why does a solution of potassium chloride conduct electricity?	N/A
20090129101305AAauvb5	Science & Mathematics;Chemistry	Which element (X) forms an ionic chloride with the formula XCL?	N/A
20090129102228AAwcIJy	Science & Mathematics;Mathematics	Calc2.. derivatives of logarithms?	Find y'(x)  if  y = ln(sec(9x) + 4tanx).
20090129111532AA7XzSe	Science & Mathematics;Mathematics	Math help plz  linear functions ?	1. Find three solutions of 9x – 2y = 18.   (0, 0), (9, 2), (2, 9)   (0, -2), (9, 0), (9, -2)   (0, 2), (-9, 0), (1, 7)   (0, -9), (2, 0), (1, -4.5      3. Is {(-2, 0), (-1, 3), (0, -2), (3, -1)} a function?   Yes; there is one range value for each domain value.   No; there is one range value for each domain value.   No; there is one domain value for each range value.      4. Explain how to use the vertical-line test to determine whether a relation is a function.      If you draw a line left to right, and it passes through at least one graphed point, then the relation is a function.      If you draw a line left to right, and it passes through at most one graphed point, then the relation is a function.      If every vertical line passes through at most one graphed point, then the relation is a function.      If every vertical line passes through at least one graphed point, then the relation is a function.      5. A (1, 5), B (3, 15)      6. D (-2, -4), F (0, -6)      7. G(-3, 4), H(-3, -6)   0   -1   1   undefined      8. What are the slope and the y-intercept of y = -2x + 5?   -2, 5   5, -2   0, 3   -2, 3   9. Select the rule to describe the number of pounds p(n) as a function of a number of tons n.   p(n) = 1600n   p(n) = 2000n   p(n) = 1000n + 1000   p(n) = 2000n + 1000   plz help i missed the school days and dont know what im doing
20090129100846AAOowt3	Science & Mathematics;Chemistry	Periodic Law...10 points to the best answer!?	In your own words, explain the periodic law
20090129105200AAsHJx9	Science & Mathematics;Engineering	Mechanics - taking moments?	A van weighs 1600kg and has a tailgate that extends 1m beyond the rear axle. When the van is empty and stationary on flat road, the reaction on the front axle is half that on the rear axle. If a load of 400kg is placed at the end of the tailgate, the reaction on the rear axle is 4 times that on the front axle. Determine:   a) the distance between the axles   b) the reactions on the axles if the load is placed midway between the axles      So the tailgate doesn't touch the ground? where does the 1600kg weight force act, is it between the front and rear axle or nearer the back because of the tailgate? Do I take moments?   Thanks for any help
20090129120256AAGQ7sF	Science & Mathematics;Mathematics	What is math phobic??????????????	1.) what is math phobic?      2.) why teenagers are math phobic?      3.) who are the people that can help the math phobic teenagers or students?
20090129120119AAUyUOq	Science & Mathematics;Medicine	What is the difference between hip replacement surgery and bipolar surgery?	N/A
20090129112141AABe12v	Science & Mathematics;Mathematics	How do i go about making this a fraction -0.0625?	N/A
20090129105224AAzRNo0	Science & Mathematics;Engineering	The point about which a lever turns is called what?	N/A
20090129115137AAVUABX	Science & Mathematics;Zoology	Were can I find a food web for a riparian habitat?	N/A
20090129101854AAKkO8T	Science & Mathematics;Mathematics	A couple of problems here???????????	I have some math problems that i don't understand. if someone can help please????      using the listing method, how can i represent the following set?:   {x | x ∈ I, x ≥ 3}      Which of the following sets would have a graph with an open circle on 5 and a ray pointing left on the number line?:      {x | x ∈ R, x ≤ 5}   {x | x ∈ R, x > 5}   {x | x ∈ R, x   -2 which solution set would i use?:      {x | x ∈ R, x > -9}   {x | x ∈ R, x > -5}   {x | x ∈ R, x > 5}   {x | x ∈ R, x > 14}      that would be great if you could help!    *thanks!
20090129102235AAy8oTF	Science & Mathematics;Chemistry	Why does PHOSPHORUS TRICHLORIDE...have a low melting and boiling point?	please help ? would be very much apreciated (:   x
20090129104335AAJpO95	Science & Mathematics;Astronomy & Space	Project At Earth? opinions!?	 http://www.theprojectatearth.com/       Whats your opinions on this? I'm a very open minded person so i think this is very possible.
20090129090209AAnYFdo	Science & Mathematics;Weather	What is the average tempature for the country?	I'm in science class and I need the average temperatures for the planets I've looked everywhere and cant seem to fined it.
20090129101216AA2mStO	Science & Mathematics;Other - Science	Relation between deaths from cholera and residence elevation above sea level?	Here is a table on death from Cholera in 10.000 inhabitants by Elevation of Residence above Sea Level, London, 1848-1849      Elevation above sea level(ft.):  <20 , Deaths in 10.000 inhabitants: 120      Elevation above sea level(ft.): 20-40 , Deaths in 10.000 inhabitants: 65      Elevation above sea level(ft.):  40-60 , Deaths in 10.000 inhabitants: 34      Elevation above sea level(ft.):  60-80, Deaths in 10.000 inhabitants: 27      Elevation above sea level(ft.):  80-100, Deaths in 10.000 inhabitants: 22      Elevation above sea level(ft.):  100-120, Deaths in 10.000 inhabitants: 17      Elevation above sea level(ft.):  340-360, Deaths in 10.000 inhabitants: 8         Can someone please explain to me the relation between dying from cholera and sea level?      Thank you very much!!
20090129103226AAp5mgN	Science & Mathematics;Geography	Which constitutional monarchy is a tiny island in the Persian Gulf? ?	Morocco     Bahrain     Jordan     Kuwait     Tunisia
20090129111815AADcvKW	Science & Mathematics;Zoology	I want to become a whale trainer?	im sure i want to do this and i am aware that it is a dream job. what are things i could start doing that will help fulfill my goal? i plan to start college soon for marine biology, oceanography, zoology and veterinarian.
20090129100256AARq6Rw	Science & Mathematics;Mathematics	Can you help me on this algebra Problem.?	A square and an equilateral triangle have the same perimeter. Each side of the triangle is 16 m. Find the length of each side of the square.
20090129111129AAk783T	Science & Mathematics;Astronomy & Space	Has Anyone got or can u tell me where I can find a good photo of the moon near venus tonight?	N/A
20090129094254AAECgHG	Science & Mathematics;Weather	Was there a tornado or something in n.j last night?	I live near asbury park and last night at about 12:00 at night. The wind picked up i could hear it howling my windows started chattering then my bed started shacking and a lot of my pictures and stuff on my walls fell down at what seemed like almost the same time? I cant find anything on the news but i don't know something happened. i don't know what it was a tornado earthquake pocket of gas underground i have no clue so just trying to see if anyone else had this happen or heard anything. IF not well then i guess i will just forget about it and take it all as a really random coincidence thanks to all who answer and God Bless
20090129111317AAUAtpW	Science & Mathematics;Zoology	How much does a zebra weigh?	N/A
20090129093340AAA96Gt	Science & Mathematics;Mathematics	Whoever can solve these math problems correctly first gets 10 points!!!?	here are some math porblems that i need a math person to do for me! thanks!         1. Simplify 2*3 + 8*2 =       2. Simplify        3. Write a word phrase for the variable expression. 2(n+1)         Unit 1 Part 1 Makeup Test      1. Simplify        2. Solve for a.       = 7      3. Write a word phrase for the expression.  2n + 3.         4. Kelsey has $250.00 in the bank. She made a deposit of $15.00. How much money does Kelsey have in the bank after she made the deposit?
20090129102356AAQKqjR	Science & Mathematics;Mathematics	How do I find the slope of a line?	Does anyone have the formula for how to find the slope of a line between 2 points?      Example: (-3,4) & (7,-16)
20090129100107AAb2Q78	Science & Mathematics;Zoology	What is this triangular bug?	I always find these in all the apartments I move into. I've seen them both in the spring and in the winter.      They are triangular shaped and kind of brown. They look like they would have a kind of hard shell, but I never touched one. They don't move very quickly at all, and they stay in one place a lot. One stood still on a part of my wall for 3 weeks, and I thought it was dead before it moved.      Are they dangerous? Do they reproduce a lot? :|
20090129103432AAqkRcG	Science & Mathematics;Mathematics	Math help please; adam and kate d?	Adam and kate deliver a total of 72 newspapers every morning. For every 5 newspapers Adam delivers, kate delivers 4. How many papers does each deliver?      Norma builds a 1/8-scale model of her own house. Her living room measures 12 feet by 28 feet. What are the dimensions of the model's living room?      please help! thank you so much!
20090129091739AAyNrXU	Science & Mathematics;Chemistry	What is the atomic mass of a hypothetical element?	What is the atomic mass of a hypothetical element that consists of the following isotopes in the indicated natural abundances?       Isotope/ Isotopic mass/ Relative abundance      1 / 85.9 / 14.0   2 / 88.9 / 10.9    3 /90.9 / 75.1      How many amu?
20090129100839AA5ljMs	Science & Mathematics;Mathematics	What is the positive value of √42+√42+√42+√42+√42……….?	N/A
20090129104542AAV9uXG	Science & Mathematics;Astronomy & Space	Why doesnt aliens from outer space allow us to know they exist?	Is it because we havent evolved enough yet? They live to 4000 years old and we only live to 80 years old. They dont forget their past lifes like we do. You think when we evolve they will show themselves to us?
20090129095114AAcqchS	Science & Mathematics;Biology	Has there ever been any full brain transplants?	Please give sources. Thanks
20090129102957AA60Vsr	Science & Mathematics;Physics	How are people feeling about the Hadron Collider experiments?? Does it worry you at all?	They say they are confident that the risk of one of their miniature Big Bangs turning into a big Big Bang, but the original one started off infinitely small (Planck time/distance).  Same goes with creating mini black holes.        The thing is, if they are right, all well and good.  But get it wrong, and - well, we're all in the complete sh*t, aren't we.
20090129100827AAwOoFH	Science & Mathematics;Other - Science	Me And My Science Fair Partner Want To Do A Science Fair Project On Melting Chocolate.?	N/A
20090129102215AALDGQJ	Science & Mathematics;Physics	How does air resistance affect surface area?	for instance if 2 parachutes are going down. One with a smaller surface area and one with a larger one. in what way would air resistance and any other force affect them?
20090129103300AAMea2T	Science & Mathematics;Physics	What's the relationship between surface area and velocity?	how do they affect each other?
20090129102642AAjHyEu	Science & Mathematics;Chemistry	How do I find the mole ratio of three substances with given masses?	A question in my Chem book lists an experiment done;   CuCl+H2O yields CuCl.      I am told that the mass of H20 is .237g   The mass of the Cu is .645g   and the mass of the Cl is .871g.      I am asked to find the mole ratio.  The values must be intergers.      I am obviously looking for an answer, but if you could explain how to do this I would really appreciate it.  I have searched for how to do this, read my book, etc, but I just don't seem to understand how to do this.  I feel like I am missing a piece of the information needed.  Thanks!
20090129103019AAamMNo	Science & Mathematics;Physics	Why do you feel a buzzing sensation when holding a metal bar (eg. a nail) inside an electromagnet?	N/A
20090129103217AATvYJk	Science & Mathematics;Chemistry	Chemistry help  PLEASE!!!!!!!!!!!!!!!! ?	Acrylonitrile is an important building block for synthetic fibers and plastics. Over 1.4 billion kilograms of acrylonitrile are produced in the United States each year. The compound is synthesized from propene (C3H6) in the following reaction:  2C3H6(g) + 2NH3(g) + 3O2(g) 2C3H3N(l) + 6H2O(g)  Determine how many kg of acrylonitrile can be prepared from 1480 kg of propene, 766 kg of ammonia, and 1960 kg of oxygen.      kg
20090129102855AAHCBH2	Science & Mathematics;Chemistry	Chemistry help  PLEASE!!!!!!!!!!!!!!!! ?	If 78.1 mL of a 0.750 M solution of lead(II) nitrate solution is mixed with 125 mL of 0.855 M ammonium chloride, what mass of solid forms?           Mass:        g
20090129115632AAamheA	Science & Mathematics;Biology	Why do my eyes change?	I don't do drugs I don't do anything bad to my eyes but they change color the pupils turn different shapes and I see better than most people. Why?
20090129103718AAgKGvL	Science & Mathematics;Astronomy & Space	Spots before your eyes? or really UFO's: over Europe? ?	Video Footage: Link  http://ping.fm/gaCOC  Watch Sky Tomorrow: | 6 Seconds.
20090129103943AAEMnSO	Science & Mathematics;Biology	From where does water and the enzymes come from for hydrolysis to occur?	N/A
20090129103854AAihgIi	Science & Mathematics;Biology	What elements are present during Hydrolysis?	N/A
20090129104009AAPbaTy	Science & Mathematics;Mathematics	HI, Can anyone tell me the exact whole surface area of a cylinder if ( READ BELOW )?	The height is 11cm-squared and the part in the circle is 8cm-squared. PLEASE DONT SHOW HOW TO DO IT I JUST NEED THE EXACT ANSWER in cm-squared------------------------- THANKS.
20090129104357AAwRXIh	Science & Mathematics;Earth Sciences & Geology	What were the primary effects of the asian tsunami?	and the secondary effects please if you know them. If you'd reply ASAP I'd be grateful.
20090129114749AA3VP6J	Science & Mathematics;Chemistry	Chemistry help... 10 points to best answer...?	1. Which of the following is a characteristic of nonmetals?   a. Nonmetals often conduct electricity.   b. Nonmetals are often malleable.   c. Nonmetals are often shiny and hard.   d. Nonmetals are not ductile.      2. Lanthanides and actinides are part of which type of elements?   a. inner transition metals   b. halogens   c. metals   d. noble gases      3. Sodium, potassium, and cesium belong to which group?   a. alkaline earth metals   b. inner transition metals   c. halogens   d. alkali metals      4. How is the modern periodic table arranged?   a. by increasing electronegativity   b. by increasing atomic number   c. by increasing ionic size   d. by increase in atomic mass      5. Where on the periodic table are the halogens located?   a. in the middle   b. below the main body of the periodic table   c. in Group 7A (right-hand side)   d. in Group 8A (far right-hand side)
20090129105649AAqKlfb	Science & Mathematics;Geography	What are some deserts in China?	what are some deserts in China
20090129111446AAf3aGS	Science & Mathematics;Chemistry	Comparing s-block and p block metals with transition metals?	i. Comparing their relative energy levels of bonding electronic orbitals
20090129114323AAZ3UA6	Science & Mathematics;Biology	A 5 g mouse consumes ______________________ oxygen per unit time as a 10 g mouse.?	A 5 g mouse consumes ______________________ oxygen per unit time as a 10 g mouse.
20090129091638AATS85m	Science & Mathematics;Chemistry	Limiting reagent Stoichiometry?	Determination of the theoretical mass of NaCl. NaHCO3(s) + HCL(aq) = NaCl(s) + H20 (l) + CO2(g). NaHCO3=3.008 grams and HCL is 6.3mL. Anyone help. work would help alot.
20090129092522AAwspiy	Science & Mathematics;Biology	When particles move out of a cell through diffusion, the cell ...?	gains energy.  expends energy.     first gains and then expends energy.  expends no energy.          which answer is it?
20090129103259AAf7Iy8	Science & Mathematics;Chemistry	Write the word, formula, and chemical equation for the reaction between ..?	(continued) hydrogen sulfide gas and oxygen gas that produces sulfur dioxide gas and water vapor.
20090129101648AAyvg5x	Science & Mathematics;Earth Sciences & Geology	What exactly is tectonics? ?	When someone answered my question on how do mountains form their shape, they said that it is when rocks and tectonics collide?
20090129102309AA81Suq	Science & Mathematics;Mathematics	Question about percentiles?	On a standard IQ test, the scores are normally distributed with a mean of 100 and a standard deviation of 20.   a) if you score 140, in what percentile are you?   b) if you score 90, in what percentile are you?
20090129102521AAsnQ73	Science & Mathematics;Engineering	Why is hardness often specified on engineering drawings rather than strength?	N/A
20090129103334AAwugJG	Science & Mathematics;Astronomy & Space	Is big bang true? has it been proved?	according to me it is not true because the fact that all planets dont rotate/revolve in the same direction disaproves it. also all the matter in the universe could not have been compressed into a tiny dot. i am confused! please help me.
20090129103658AAjzgJl	Science & Mathematics;Chemistry	Why can you buy the element iridium?	N/A
20090129104651AAu9rlw	Science & Mathematics;Chemistry	What is the name of the noble gas found in period 4?	N/A
20090129105120AAFiM6T	Science & Mathematics;Earth Sciences & Geology	Could an iron mobius strip be magnetized? If so, where would the poles be?	N/A
20090129105148AAUCsZl	Science & Mathematics;Engineering	What is the differece between 143TC and 145TC NEMA frames?	I am looking at a book that lists both frames and not sure the differece...
20090129105504AAqnlWM	Science & Mathematics;Other - Science	When celebrating New Years Eve I saw three orange dots forming a triangle and one on its own in sky.?	6 others saw it as well.  I wasnt drunk bcos I had 2 drive. It was there for about a minute,no noise and was gone in a blink.
20090129105941AAnze51	Science & Mathematics;Biology	Please help me on my biology text, its tomorrow!!!?	i need to no what the test for starch is?, please help x
20090129121301AA6qjk9	Science & Mathematics;Chemistry	How many atmospheres equal 101,325 Pa? ?	How many atmospheres equal 101,325 Pa?       760 mm Hg would equal how many atm?      -20.00 oC is what temperature on the Kelvin scale?
20090129113717AAxQYJh	Science & Mathematics;Mathematics	What's the answer to this math problem?	(-4x) raised to the power of 0
20090128091927AAQXFhb	Science & Mathematics;Chemistry	COOH+Ca(OH)2 = ?     &  COOH + Alcohol =?   [URGENT HELP PLZZ]?	N/A
20090129113019AA7JG9c	Science & Mathematics;Weather	Power outages? Any ideas?	I live in the part of the country where the power is out. It could be days, even weeks before the power comes back on. We do have a fireplace, gas stove, and gas water heater, which is good, but I'm worried what will happen in future days. Any advice?
20090225125432AAsAGFA	Science & Mathematics;Physics	Physics waves and sound?	a longitudinal wave with a frequency of 3.0Hz takes 1.7 seconds to travel the length of a 2.5m slinky. determine the wavelength of the wave
20090129113322AAcmTwa	Science & Mathematics;Biology	Anyone who is good with biology help me out?	I have this questions i really dont get. Help me out please.      Which of the following is a true evaluation of the cell theory?           The cell theory is important in understanding how we define living versus non-living things.        The cell theory defines what a cell is and is not.        Both a and b           none of the above                --------------------------------------...         Question 2 (True/False)      Starch molecules are large molecules made up of small glucose sugars.        True    False             --------------------------------------...             Question 3 (Multiple Choice)      Which of the following does not occur during mitosis?        DNA replications        nuclear membrane disappears        movement of chromosomes        None of the above             --------------------------------------...             Question 4 (Multiple Choice )      Which of the following is true about the mitochondria and chloroplast?           Plant cells contain both mitochondria and chloroplast.        Both contain chemical reactions dealing with energy.        both a and b           none of the above
20090129111914AAWWi7m	Science & Mathematics;Physics	Einstein : early to bed, early to rise... wake me up when 2010 comes?	As you well know, according to the theory of relativity motion reduces the speed at which a clock marks the time. Does this theory affect the biological clock of humans?      a challenge somewhere. but i'm not going to use the answers here as mine. not a member there, you see.
20090129121933AABPI3g	Science & Mathematics;Physics	How would the force need to open a door change if you put the handle in the middle of the door?	this is based on torque, think about it and please answer:)
20090129111919AA2vK5E	Science & Mathematics;Physics	Torque........................…	If the torque required to loosen a nut on the wheel of a car has a magnitude of 40.0 N*m, what minimum for ce must be exerted by a mechanic at the end of a 30.0 cm wrench to loosen the nut?
20090129114554AAVjQrk	Science & Mathematics;Engineering	How do you build a signal fire?	How do you build a signal fire?   and/or   What tools do you need?
20090225123540AAVjxta	Science & Mathematics;Mathematics	What is 0.4 as a fraction in its lowest terms?	N/A
20090128092302AAdJSDK	Science & Mathematics;Physics	Physics Homework Help?	Pleas don't answerer this question but help me set it up:      The speed of sound is 340m/s, one person stands 5m away from the source of the sound the other 15m what is the time difference it will take the sound to reach the first and the second person?   Again pleas DON'T work it out, just help me set it up since I need to try to understand/learn this stuff   thx in advance
20090128094719AANaHEd	Science & Mathematics;Astronomy & Space	[[pleasehelppp]] How many neutrons does it have?	An atom has 12 electrons and a mass number of 24. How many neutrons does it have?       A. 6    B. 12    C. 18    D. 24       I have a few questions like this and I don't understand how you figure it out. Soo I would be veryyyy happy if you would tell me the answer and how you get it.    thankyou (:
20090128093715AAtxd2T	Science & Mathematics;Other - Science	Does anyone know how to prevent static electricity shocks?	This might sound really stupid but I HATE IT.    I get shocked way more than anyone I've ever known, it's like I'm a metal rod. As soon as winter hits, I start getting shocked constantly. I can't even get up from my chair at work without getting shocked by my desk or computer. You know how when you get shocked it's a weird kind of hurt that isn't really painful, it's just strange? Well I get those but I also get horribly painful shocks that will make me scream, and sometimes they really scare me. I had to stop wearing my head phones at the office because I was actually getting an electric shock from the computer through my EARS. It was a horrible popping sound and my ears felt like they were going to bleed. (They didn't.)    Just so you know, I always wear shoes with rubber bottoms, I don't drag my feet when I walk, and I don't wear wool.    So... does anyone know what I can do to stop this?
20090129120321AARv5Hz	Science & Mathematics;Mathematics	Why is Geometry so hard?	Im suppose to be the nerd and Im being tutored two times because of this hard geometry. Why does everyone fail in geometry more than any other math subject?
20090225121706AAlOJGk	Science & Mathematics;Mathematics	Find the unknown value for the right cylinder?	R = ?   H = 2   S = 70Pi      How do I find the radius?   Formula: S= 2PiR^2 + 2PiRH
20090225122758AAg6Xz8	Science & Mathematics;Biology	A ___________________ reaction results in the breakdown of a large molecule into smaller molecules.?	N/A
20090129115908AACtqlW	Science & Mathematics;Astronomy & Space	Who invented or discovered time zones?	How did they decide how many hours ahead or behind of greenwich meantime, different countries should be?
20090129120953AAZ3TE8	Science & Mathematics;Zoology	Whats the difference between?	a turtle and a tortoise?
20090225120636AArZSOq	Science & Mathematics;Mathematics	Differential Equation?	Solve the differential equation      (1 + tan)y' = x^2 + 1      thanks Scranderberry
20090225123505AAOVhe3	Science & Mathematics;Mathematics	Probably simple maths question?	how do i show that:   X^2 + X + 1 > 0   for all values of X??
20090225120033AAAteJU	Science & Mathematics;Mathematics	Math help math league?	determine the value of x> 1 for which log (2+x)=logx+logxX?
20090225122528AAv3oVd	Science & Mathematics;Astronomy & Space	How do I know if I am looking at the Milky Way or some thin clouds?	I looked up at the sky and thought I saw the creamy signature of the Milky Way - but a closer look revealed that it was just some clouds.
20090129112212AARLmgN	Science & Mathematics;Medicine	What is the name of profession for doctors who treat veins or blood cots.?	N/A
20090128094406AAcNJl6	Science & Mathematics;Chemistry	What is the density of glycerol in g/cm^3?	a 5.00 liter sample of pure glycerol has a mass of 6.30 x 10^3 g. whats the density in g/cm^3? I need details pls. I keep trying and i get 1.26 but the answer is 126. please help!
20090225121839AAxb3iO	Science & Mathematics;Mathematics	Can you help me find these math word problems?	When I was younger we used to do math problems with charts. There would be a series of statements made and you were to eliminate or conclude who did what by using the logic in the statements provided. Well now I'm kinda bored at work and want to do some of those, but for adults. What are these problems called? And does anyone know where I can get some online?
20090128093640AA65liP	Science & Mathematics;Engineering	Recording Engineer- How Do I Become One?	help
20090129113148AArYDEu	Science & Mathematics;Mathematics	COMPLETE THE PATTERN?	6,8,7,9,8,10,9 __,__,___
20090129110811AABQ6TE	Science & Mathematics;Zoology	If the eggs that we eat are not fertilized?	then how come sometimes when you crack an egg its bloody? if there was no chick in it then how did that happen?  the eggs we eat are not fertilized right? cause that's what i always thought and that the fertilized ones grew up for meat? but someone told me that all the eggs are fertilized and i didn't believe them   but then they talked about the bloody egg so now im confused?   thanks
20090225112309AAEU4Nl	Science & Mathematics;Mathematics	Cot(x) - sec(x) csc(x) = -tan(x)?	cot(x) - sec(x) csc(x) = -tan(x)   verify the identity?   show the steps please :)  thanks alot
20090225112031AAEwc5k	Science & Mathematics;Mathematics	Tan(x) - tan(x) sin^2(x) = sin(x) cos(x)... easy ten points for best answer!?	tan(x) - tan(x) sin^2(x) = sin(x) cos(x)   verify the identity?      can you please show the steps?   thank you :)
20090129113121AAO9pBS	Science & Mathematics;Earth Sciences & Geology	How does Mount St. Helens impact the environment?	i gotta write a research paper on it :[   HELP
20090225113353AAb33QB	Science & Mathematics;Biology	Is there a way to test to see if a man only produces one type of sperm (like only girl or boy)?	I have read that the man is the one who determines the gender of the baby. Well, in my husbands family, only boys are born. He came from a family of just boys, his older brother only had boys, we only have boys, etc. However, my husband's father had 4 half-sisters (same father). So, it would appear that both genders are in the family lineage, if my husband's grandfather fathered girls as well as boys.       Then, my father-in-law says he had some type of football injury in high school to his testicle(s) - would that affect the lineage AFTER that point? (like only being able to have boys)?      But, I guess back to my actual question - is there a medical/scientific way to test sperm to see if it only contains "boy sperm" or what the ratio of boy-to-girl sperm is for a particular person?
20090225112145AAbYZ9u	Science & Mathematics;Mathematics	Intervals need help. midpoint?	an interval has the notation (-5,1). find the distance from the midpoint of the interval to either endpoint.
20090129115535AAjbXHi	Science & Mathematics;Physics	Do you have momentum when you are stopped? yes or no? (more questions inside)?	is momentum ever destroyed? why or why not?   which has more momentum? a fast or slow object?   how is momentum related to motion?
20090129113855AASAtVi	Science & Mathematics;Mathematics	Is this equation right?	7x + 2= 9 - 3x   7x - 3x = 4x   4x + 2 = 9   9 - 2 = 7         My friend says   its 1.43   after balancing it out         whos right?   4x = 7   x = 1.75
20090129111104AA9KEQ6	Science & Mathematics;Physics	At what distance will the sound be a more tolerable 80 dB? ?	The sound intensity level 5.0 m from a large power saw is 100 dB  . At what distance will the sound be a more tolerable 80 dB?
20090225124953AA8IHiM	Science & Mathematics;Mathematics	6y-1-9y=4-3y-5 can you help me solve this?	Intro to Algebra/ lol and im in college. I know it's easy to some, but not me...
20090128091337AAtYUwN	Science & Mathematics;Earth Sciences & Geology	What happened to those radioactive waste?	what happened to those radioactive waste, if we put salt on it. Will they decay faster will more danger. Because i learn that there is a  lot of salt in world a nd its useless?
20090225112110AARCqHx	Science & Mathematics;Mathematics	Another simple rearanging formula maths.?	make x the subject      x+b = c+d      explain how, not just the answer.      also       make x the subject      1/2 x =p
