20090203145206AA42TRN	Cars & Transportation;Car Makes;Mazda	How much would it be to tint my mazda 3 sp23 2005?	thanks for the help
20090203161043AAuNqjk	Cars & Transportation;Motorcycles	New rider - Needs a little help with emerging from junctions (if poss)?	I wonder if anyone has any advice on a little problem im having when dealing with emerging right from a minor road onto a major road.    I have just completed my CBT and have been driving round on a 125cc Yamaha YBR for a few weeks and seem to be running into the same problem (not all the time but every so often). When coming upto the junction I will go through the procedure as taught by the instructor :    Right shoulder check  Indicate right  Right mirror  Move to right of road    (This is where the problems start)    I'll approach the give way line on the road and try to get the earliest Right Left Right check of the major road I can (OK i've decided its clear) I give the right life saver check and away I go.    The problem i'm having is, if I approach the junction to fast I don't have time to clearly check Right Left Right, so i need to stop to do a better check.    If I come in slower I can do a good Right Left Right check but i'm going slower and start to loose balance which makes either the life saver check difficult or it means I need to stop to regain the balance of the bike.    So, what is happening is that usually I have to stop everytime when emerging right so i'm confident I have got a clear view of the road and gives me time to do my lifesaver check.    I have done it before without stopping but feel as if I haven't done a sufficient Right Left Right check and also a late life saver check.    I personally think the problem is i'm trying to rush everything at the end of the junction (but how else am i meant to get a good view of the road unless I do all the checking at the junction). I could also be turning to early when emerging which is making the bike more unstable as well as being unstable due to going at a slow pace.    If anyone has any ideas how to avoid this problem it would be greatly appreciated!!! :)
20090203161104AAlAZ1B	Cars & Transportation;Buying & Selling	What is a high performance car that I can buy used for less than 10k.?	What is a high performance car that I can buy used for less than 10k.
20090203161230AAOPVUP	Cars & Transportation;Car Audio	Which sub is better a ground zero or a jbl?	i would like to know which sub is better a ground zero or a JBL because i am goin 2 buy one
20090203161243AAHPA5m	Cars & Transportation;Boats & Boating	What is the name of a ship with 4 masts, 12 sails and about 4 decks?	N/A
20090203161354AAa3EQJ	Cars & Transportation;Car Makes;Chevrolet	Will this engine swap kit fit my vehicle?	i have a 1985 blazer project i am starting up and i am swapping the old busted v6 for a 350 v8 and i need to know if the engine swap kit from stylintrucks.com will fit my truck. also if ne one can find one cheaper could you direct me that way. the one on stylin is around 650 dollars. also another question will the original transmission in the truck fit the 350 or would it be a better idea to just get a new tranny? PLEASE HELP CHEVY EXPERTS!!!  thank you in advance
20090203161443AAyR7YF	Cars & Transportation;Insurance & Registration	Is US.Fidelis a legit car insurance componey or what?	N/A
20090203161457AAzGCrH	Cars & Transportation;Insurance & Registration	How do you get a title if you are not sure the vehicle was in your name to begin with?	I bought a car in 2004 and never had it put in my name. The car has been sitting for two years and now I want to register the vehicle. I can not find the title, and I am not really sure if the title is in my name or not
20090203161547AAaZmef	Cars & Transportation;Car Makes;Toyota	If I drive a 1995 Toyota Camry from Miami 33176 to Gainesville 32611, how much will I have to pay for gas?	If the information I got on the web is correct ( http://www.fueleconomy.gov/feg/noframes/...  MPG highway is 29. The distance between those places is approximately 385 miles. My car fills up at approximately $40.
20090203161824AAKfN3l	Cars & Transportation;Buying & Selling	I have a BUNCH of cars that need to be sold whats the best way to find buyers?	I have a lot of cars that im selling for 20-30% off market value but downside is i need cash for them.  As for as the exotic ones I have im willing to go lower but finding buyers for those are even rarer!  Ive been talking to junkyards but they wont give me a reasonable amount.  Where can i find buyers either junkyards, individuals, ext.       I'm Located in Glendale, Ca
20090203161658AAViQ4I	Cars & Transportation;Maintenance & Repairs	First gear went out in my rail. 3 rib bus tranny can we just  replace the gear.. cause the rebuild kit doesnt ?	come with it
20090203161850AAbywrm	Cars & Transportation;Car Makes;Mercedes-Benz	Does anyone know a good Mercedes Benz blog?	I'm a huge SAAB fan, and I've been reading the great blog at  http://www.trollhattansaab.net/  but I've recently bought a '95 Mercedes E320, and was wondering if there was anything similar for Mercedes owners
20090203162036AAQPIwh	Cars & Transportation;Maintenance & Repairs	Should i put a turbo on my car?	im looking at ebay turbos....my friend has an ebay turbo and it runs great hes spanking up cars. btw we both have scion tcs
20090203162152AAgp1uv	Cars & Transportation;Buying & Selling	What are some good forums or websites to find bagged trucks for sale?	mainly tacomas and rangers but open to anything and i already know about customtacos.com
20090203162201AA3R7UF	Cars & Transportation;Car Makes;Chrysler	2003 PT Cruiser Ignition Troubles?	I have a limited Edition, 2003 PT Cruiser. About a year ago I had ignition troubles, the key would not turn at all. Everything was locked up. I had it towed to the dealership and they told me that there was shrapnel in the ignition. They cleaned it out and I had not trouble after that.      However, two days ago it happened to me again. The key won't turn at all, I have tried everything known to man to get the key to turn and it won't. I tried searching to see if there has been a recall, but I haven't found it. Does anyone know how to fix this problem? Has there been a recall on it that I don't know about?  I'd rather not pay another $150 to clean it out again, or pay $300 to get a new ignition if there is a way that I can fix it myself.
20090203162249AAJIutZ	Cars & Transportation;Insurance & Registration	Car insurance i know is very expensive.I'm about to make 16 in june and im wondering about how much will it be?	i live in new orleans and wnat a 4 door car
20090203162259AA0yaZE	Cars & Transportation;Other - Cars & Transportation	Where can i get my driver's permit?	if i want to get my driver's permit, can i go to any local dmv?  the one closest to my home says "No original license, permit or non-driver photo ID transactions."  what does that mean?
20090203162407AABK40R	Cars & Transportation;Maintenance & Repairs	Is it the a hose or the water pump? ?	I noticed my car was "in the red" and was about to overheat as i was driving, so at first I thought maybe i needed more coolant. I turned off my car and heard a fan noise under my engine for like a minute then it stopped. I checked the radiator and it was empty (no coolant) so i put water in there to get to the store to buy more coolant. By the time i bought some the water was already gone (this was only like 10 min) so I put the coolant in drove home again i noticed i was overheating, i checked again and all the coolant had leaked out too..it was all gone, that QUICK! So i asked a couple of men about it, and they say it sounds like it could be a hose or either a water pump. I don't know which it is, i can't drive it anywhere b/c it keeps overheating and i don't want to get it towed for $75 just to get a new hose. So is there a way i could tell what the problem is?    Thanks!
20090203162952AAFrbXz	Cars & Transportation;Boats & Boating	Any one build own wooden boats, or know wood very well?	I am building a 12 foot wooden jon/skow. I just need help on how much wood to get, and what dimensions to get. The plywood is 3/4 in, I have the wood for the seats, and I am going to be using spruce instead of oak. If any one could help that would be great. Thanks alot.      It is a pdf file named; Build a Jon Boat Plans        http://www.vintageprojects.com/boats/jon...       thanks very much
20090203163045AAxvbbx	Cars & Transportation;Car Makes;Toyota	How many yards of material (mulch) can fit into a Toyota Tacoma 4' Bed?	N/A
20090203163047AAC6cID	Cars & Transportation;Buying & Selling	Does anyone know an reputable car dealers in Portsmouth good experiences / bad experiences?	Just wondering if anyone knows any good ones, or ones to avoid.       Cheers
20090225064649AAhuJ09	Cars & Transportation;Motorcycles	Clutch on a 2008 Harley Nightster.?	I have an 08 Nightster. I have gotten all the regular maintenance except the 5k and I am at 5k. I don't really have the $300 for the work. When my bike is IN gear and I have the clutch pulled all the way in there is a LOT of friction. Is this a simple adjustment? Can I have the dealership ONLY adjust the clutch and not pay them $300 to tighten bolts and change my fluids? (which I just did yesterday). Help....and thanks!
20090225064752AATNKhi	Cars & Transportation;Maintenance & Repairs	Diesel Engine Hours Converted to Miles?	Does anyone know a formula for converting the hours off of the hour meter on diesel equipment into miles on an odometer? I have heard that every 1500 hours on the meter is equivalent to 100,000 miles on an odometer.      Thanks
20090225065017AAXDTsp	Cars & Transportation;Other - Cars & Transportation	HP on car in ex's name, where do I stand??	Last August I bought a car on HP from Suzuki Motors (using Kia finance part of GE Capital), I part exchanged my Corsa and paid ￡2000 cash, put the rest on finance. As I was a discharged bankrupt I could not get finance so my partner got the finance in his name. Even though in his name with the finance company I have paid the monthly payment into his bank every month from then to present time (the direct debit was set up from his account).       The log book is in my name, as is the tax and insurance - my partner only as a provisional license so cannot drive it without supervison anyway. We recently split up and I cancelled the direct debit from my partners account and set up a standing order from my account to keep up the payments - problem is my ex partner is now being a pain and saying he wants the car, he says it is in his name so legally he can have it, I have contacted the finance company who said they can only speak to the Account holder regarding this matter - do I have a leg to stand on?       All past payments although paid for by me have come from my ex's account, but it was my car that was traded in and my ￡2000 that was put down when we purchased it and it is me who have paid all the payments!!! I need to know where I stand because at present I have a standing order set up to pay them March's payment. The HP agreement is for 3 years and the agreement was taken out in August (6 months ago), so should I keep up the payments or could my ex at some time in the future come and take the vehicle off me.....I would be grateful for any advice you could give.
20090225065219AArieLy	Cars & Transportation;Maintenance & Repairs	Would the failure of my O2 sensor keep my car from starting?	For the past month my car has been bucking, backfiring and sucking down gas like crazy.  The problem seemed to be worse when the car was colder but as it warmed up, it wasn't so bad.  So, I do the key turn check for the codes and nothing shows up, so I figure it just needs a regular tune up, filter changes, spark plugs, ect, ect.  However, a few weeks ago, I get in to my car, try to start it and nothing.  It will turn over but it acts like it's not getting any gas so the engine will start.  The car doesn't smell flooded or anything, it just won't start.  I started to think that maybe the fuel pump might have went out, so, again, I do the key turn to check the codes and it shows the code for the 02 sensor and nothing more.  What I want to know is can the failure of an 02 sensor alone cause my car not to start up, or by chance could it actually be the fuel pump as well that bit the dust.  My car is a 1994 Chrysler Concord, 3.3L engine.  Any and all opinions welcomed!  I just don't want to shell money for parts I may not even need.
20090225065839AASONkS	Cars & Transportation;Buying & Selling	I am searching to buy a car?	I am looking to buy a 1999 Lexus RX300 cash from a dealership and am wondering if I should ask for a discount? The price is about $7000.00 which is not bad but I want to see if it would go further down? If so how should I ask? what should I say?
20090225065938AAgS92V	Cars & Transportation;Aircraft	I would love to be a flight attendent!!!?	i was wondering if anyone knows how i could get started, i'm 22 and i have lots of experience in costumer sevice but i dont have experience with being a cabin crew memeber. i dont know how to get stared really.   if anyone can give any information pls do, or send me an email saandrb@hotmail.co.uk, thanks
20090304175505AAca6hM	Cars & Transportation;Maintenance & Repairs	Question on steering?	94 grand prix the steering wheel is literally turned to the left. Another words with both hands on the wheel (if the wheel was straight). I'd be at 2 and 7. Plus the car shifts to the right. Just an alignment? Or something off with the rack and opinion? One more thing...I have plenty of heat even though the "low coolant" light is off and on. I already seen the leakage from the intake. What might cause for no Cold air? System has been drained and refilled.Hopefully the blower motor isn't out.
20090304184820AAxM7xO	Cars & Transportation;Car Makes;Other - Car Makes	Would you rather have a large hybrid or a compact traditionally powered car if both get 35 MPH?	I'd go with the compact car that probably costs $10k less and would be more sure to last the test of time!
20090304180121AAiSudz	Cars & Transportation;Other - Cars & Transportation	Will driving test ever come around?	I've been regularly taking lessons since june. I am nearly done on roundabouts which I have been doing since christmas. It feels like forever these driving lessons. It doesn't feel like doing my test will ever come. I know some people who passed their test and they started learning after me!!! I want to get passed asap because I live in an isolated area with a poor bus service so I need to rely on lifts to go somewhere.       Two Questions?      1. Has it ever taken anyone here more than 9 months to pass a test   2. Is roundabouts getting close to completing everthing      p.s. been put in for my theory
20090225070410AA6zyeY	Cars & Transportation;Maintenance & Repairs	Need a mechanics help please?	is bank 2 sensor on the right or left side of the vehicle?      96 suburban
20090304181440AAy8nUg	Cars & Transportation;Other - Cars & Transportation	What do you think about this crazy guy driving?	 http://www.youtube.com/watch?v=t_AJFOwYw...    Thanks
20090225071103AALXUvt	Cars & Transportation;Safety	Aggressive Driving and/or Overtaking a Vehicle?	Is there a difference in the definition?
20090304183240AAZJFtK	Cars & Transportation;Maintenance & Repairs	SBC Chevy Head Spring Install Height?	I'm trying to set my spring height but this is new to me so im asking for a little help. I have a set of Comp Cam spring and the install height is 1.750"  I measured the distance between the spring seat and bottom of the retainer (w/o springs) and it measured 1.850". So do I just need 0.10 shims and i'm set. I would be greatful for and help on this. Thanks Nate
20090225070752AAbqWR7	Cars & Transportation;Car Audio	FI Q BP Option or not? Plz Help!?	Right now I have 2 15" kickers the cvx models and My amp is a Memphis Mojo 2400 and the cvx's hit hard *** heck.. but i'm gonna upgrade to the 15" fi q's to have a little more sq and hit better on the low end! but i'm concerned about how well the Q's will hold up compared to the cvx's.. ( i do not intend on turning up the bass or gain on the amp or radio) i am gonna run the exact same power to the q's as the cvx's.. will they be fine or do i need to get the BP option? and i don't wanna have to crank the amp due to the power gain on the Bp option!! any suggestions?
20090304184254AAqHesd	Cars & Transportation;Maintenance & Repairs	Antifreeze leak on passenger side middle of tire?	I have a 1993 plymouth sundance, the water temp shoots up and down, when I shut the car off there is a antifreeze drip that leaves a good size puddle under car, it doesnt seem to leak when running?? please help
20090304180937AAsL1vc	Cars & Transportation;Other - Cars & Transportation	How much do cars cost? I'm now saving up for a car.?	I am almost 16 and am now going to start saving up for my own car. I will be babysitting and will ahve a summer job and hopefully another job during the next school year. However, how much do cars typically cost? Not used. Oh and what's a good first car?
20090304180751AAsrJhd	Cars & Transportation;Maintenance & Repairs	1996 dodge ram throttle?	1996 dodge ram 1500 5.9L 360 v8 single cab 2wd okay couple weeks ago more like three i posted saying my truck started shaking and then shut off on me.. i had it looked at and was told nothing wrong with it just needs a tune up (this is ATFER i had just bought a BRAND NEW RADAITOR AND TRANSMISSION COOLER LINE) and i went to the gas station on the way home it started shaking and then i parked it drove it home and it started shaking again then i just got home like that. i parked it (the check engine light WAS on). i was then told i needed to do a tuneup soo i bought a cap rotor wires and plugs and changed everything out and it sounded like a diesel (outta timing?) soo i checked the timing on it 20 plus times each time atfer trying to start it sounded the same everytime then i checked the tdc. number one piston was at the top timing mark was at 0 rotor was pointing to number one clinder everything was good tried to start it it idled like crap and sounded horrible not like itself at all.. then i paid a guy to check the truck with a obd 2 it came up throttle body postion sensor (the wires going into that WERE duct taped together from the previous owner.) i replaced those when i replaced the sensor. then it ran a lil better still didnt sound the same AT ALL. then i was told it can be my (stator/camshaft postion sensor/pick-up coil) they are ALL the same thing. so i replaced that yea the wires n that were showing then i put it all together and it ran better.. it idled good and sounded how it normally did heres what confuses me when i press the gas it does NOTHING no throttle response at all the only thing it does is make the motor die out. i went to start it today and it started idled fine then died when i gave it gas then tried to start it again and it wouldnt start soo i held the gas down and tried to start it and it starts but then backfires and dies then i start it again and it idles ROUGH and sounds CRAPY and then dies out back firing.      any help my email is yamarider86@yahoo.com cell is 559-723-8158 some one PLEASE help me i just spent over 500 bucks for sensors tune up and everything listed.
20090304183604AAyHVPB	Cars & Transportation;Other - Cars & Transportation	Gas milage of jeep wrangler and toyota tacoma with a 3-4 inch lift and slightly bigger tires?	the two different vehicles im thinking about buying are a jeep wrangler or a toyota tacoma. each from around 1997 or something like that. I want to get a lift and get bigger tires for offroading. i dont want HUGE tires. just some that are a little bigger to help offroad. what are the miles per gallon originally on these vehicles (4wd, 6 cylinder)? and also what would be the miles per gallon on them if i got bigger tires? Any extra information or suggestions would be appreciated. thanks         i dont mean what kind of milage do you get WHILE offroading. but what ill get on the road as a result of a lift and bigger tires.
20090304183634AATe75i	Cars & Transportation;Insurance & Registration	Is 150 a month for auto insurance liability a lot?	im only 19 and had my license for 1 year never had insurance so far geico had offered me the best deal at 150 a month. is that good or should i keep looking?
20090304182833AA6oVw6	Cars & Transportation;Buying & Selling	Which car would you pick for a  weekend cruiser?	1985 Cadillac Seville   1979 Buick Electra Limited   1988 Cadillac DeVille   1979 Lincoln Mark V   1981 Chrysler Imperial   1976 Chrysler Cordoba      and why would you pick the car you selected?????????   Thanks
20090304180513AAI0ltO	Cars & Transportation;Maintenance & Repairs	HELP me find an auto repair website where I can...?	...identify parts on a vehicle.  I'm looking for websites that show layouts or exploded views of various automobiles, and identifies the name of each part.  It's okay if it is fairly generic.  I don't need to find part numbers.  I just want it to point out the transmission, brake pads, oil filter, oil pan, muffler, etc.  Basic stuff like that.
20090225070201AAdlCxr	Cars & Transportation;Other - Cars & Transportation	Cheapest place to get 17" tires?	i need 215-35-17's but dont want to pay 200 ea if i dont have to. i have a friend that works at a shop that will put them on so i just need the cheapest place to buy the tires even online.
20090225070714AAxVa6X	Cars & Transportation;Maintenance & Repairs	What does a good brake job entail?	Okay, so I realize what needs to be done to my squeaky brakes (Toyota Tercel) isn't necessarily the same for all cars, but I don't want to get taken for a ride at the auto shop.  It's been 3 or 4 years since I've had them worked on. I had the rotors turned and the pads replaced.  But my dad also mentioned the brake drums.        Also, even after having that work done on them.  The brake pedal sometimes wouldn't go all the way down to the floor, it would vary sometimes. It'd feel kind of high when I pressed it and wouldn't give at all, but the car always stopped.  The auto guy mentioned something about some hydraulic or exhaust part being messed up.  He said it was expensive of course, but I've not had any problems with it, so if it ain't broke...  Any ideas of what I can expect in terms of repairs would be appreciated!
20090225070714AAUgqHx	Cars & Transportation;Car Audio	My 2005 gmc envoy cd player stops functioning all of a sudden.?	all of a sudden cd player stop functioning, not even eject,  functions related to radio and cassette player are fine, except those related to cd. some button lights turned off too.
20090225070855AAa2zR6	Cars & Transportation;Car Makes;Ford	What percentage of new mustangs (2005+) are V6s?	Seems like I'm seeing alot more V6s on the roads nowadays compared GTs. Can't blame anyone, with the economy and gas prices as they are. Anyone have a % or an estimate of how many new mustangs out there are V6s? Thanks.
20090225071216AAtJsta	Cars & Transportation;Insurance & Registration	Stolen car recovered and impounded.....?	my stolen car was recovered and now is in the impound lot.....i dont have the title to the car because my car was being used as security on a loan and the finance company has the title......should i contact them and let them worry about it or do i have to take care of the matter myself??
20090304175346AAaDUAo	Cars & Transportation;Buying & Selling	How long does it take to receive a pink slip?	I made my final car payment today.  I am going to sell my car to a private party but I don't have the pink slip yet.  How long does it take to receive my pink slip from the DMV?
20090304175557AAbTCe5	Cars & Transportation;Maintenance & Repairs	Lately acouple of times I've got in my 03 tahoe and it will be in 4 low or 4 wheel auto. why?	N/A
20090304180830AAsnY81	Cars & Transportation;Other - Cars & Transportation	Car towed in San Diego?	While I was out of town the police towed my car for being 72 hours without moving. Now the towing company wants hundreds of $ as fee. Is it possible to do something? What the hell I'm suppose to do when I'm in Europe? To take the car with me on the back through the ocean?
20090304181434AAzOa40	Cars & Transportation;Maintenance & Repairs	2001 land rover discovery over heating?	I have to put anti-freeze every week otherwise it'll get over heated, but I don't see any leaks on the floor. Any body ever had this problem with one of them and how much it cost to get fix. thanks
20090304181937AA8JLxQ	Cars & Transportation;Insurance & Registration	Louisiana Auto Insurance?	Okay, I'm about ot turn 16 and get my license. Am I allowed to drive if I'm under my dad's policy, or do I have to have my own?
20090304182721AAAaLoO	Cars & Transportation;Buying & Selling	Why is Used Hummer are so cheap?!?	I was looking at used cars for hummer and 2006 series were only 17,000.. and the mileage was around 20,000/..   Is hummer a bad car to ride??   Sorry. i dont know much about cars.
20090304183113AAUrv1T	Cars & Transportation;Buying & Selling	What is a vehicle that gets good gas milage, but it's a car? is there one?	i'm searching for a vehicle but i don't want a small car. one of my close friends died from a car accident and she owned a car... and car's arent' the safest.... so i'm really wanting something like a tracker? with good milage? is that even safe though....?? or a blazer with good gas milage?..... idk something bigger than a car is what i'm looking for.... help?
20090304183245AA3HTMJ	Cars & Transportation;Maintenance & Repairs	1997 Toyota Avalon won't shift out of park?	I think it might be the 1997 shift interlock solenoid.
20090304183802AAFwgCq	Cars & Transportation;Car Audio	Can i use a dj speaker as a car sub?	i want to use my dj speakers an put them in my truck with the car amp that i got is it possible
20090304183953AAkgNV1	Cars & Transportation;Buying & Selling	I plan to finance or lease a brand new truck, what is better?	My intentions are to keep the truck for many years to come. If I lease it and I decide to buy it, will it be cheaper than just financing it at the beginning.
20090304184202AAmSEpa	Cars & Transportation;Maintenance & Repairs	I have a Brakes question?	I have an '02 pontiac aztec and the brakes are seem as though they keep going from on then off then on, etc., but within a timeframe of   less than a second. I don't think the pads are worn. what else might it be?
20090304185238AAfIBK5	Cars & Transportation;Insurance & Registration	Am done taking drivers ed classes i just need 2 c if am ligible to take my test?	N/A
20090304201354AAVFv7f	Cars & Transportation;Car Makes;Suzuki	Should I buy a 2008 Suzuki Forenza?	I've read tons of bad reviews, but none really for a 2008. My mom owned a Suzuki Esteem and loved it, and she'd know cars because she has a paper route and all she does is drive, but I don't know if a Forenza would  be different?? It only has 13,500 miles and is $9,998....we think it may have been used as a test drive car. Good deal?
20090304185955AAUBrFA	Cars & Transportation;Other - Cars & Transportation	Is the learners permit test hard?	I am going for my learners soon, and I live in Victoria Australia, is the test hard? What are the questions like?   Thanks
20090304193812AANxxNn	Cars & Transportation;Buying & Selling	I'm looking for a used car under 4500.00 and under 100,000km...?	is it possible to find a car like this for sale?
20090304203212AAYzktL	Cars & Transportation;Maintenance & Repairs	Anyone know how to take a 06-08 f150 bumper off?	Do you know of a link that has pictures on how to do it? Is there a video somewhere that shows how to do it? Is it difficult? I'm pretty handy but never have taken a bumper off.
20090304200615AALM3xi	Cars & Transportation;Buying & Selling	What is a cool 2 door car thats used.?	I am gonna get my first car and I am looking for a 2 door car. I would prefer one that is from an asian manufacturer such as toyota,honda, or acura. The newest it can be is 2004 cuz the rest would be way too expensive
20090304203200AAePHIf	Cars & Transportation;Car Makes;Mercedes-Benz	My Mercedes is always messing up!!?	hey, 4 all u ppl who own a Benz, does it seem like there is ALWAYS something wrong with it? mine is always having problems. and its not even that old. its 2006 model and only 70000 miles. should i sell this one and get a new one?
20090304200355AAJgN4V	Cars & Transportation;Maintenance & Repairs	Have to hot wire a car.  But i have some questions?	My little brother lost the keys to his truck...(well his only key)      Any who, i know i car start it via hot wiring.      The only thing i cant seem to find the answer to on the subject is....      Since its an automatic...after i do wire it to start, will i be able to shift it into DRIVE????      its a 1998 ford ranger...its an automatic like i said, it has a column shifter?      if this isnt possible...do you know anything else i could do?      is it possible to take the tumblers out and use a screwdriver?  or anything like that?      i know on old cars u used to be able to just pull it all out and use a something to turn it over...
20090304185623AAZw7ZV	Cars & Transportation;Insurance & Registration	What happens when the insurance company says your car is salvaged?	N/A
20090304185830AAxftnj	Cars & Transportation;Car Makes;Scion	Is the Scion tC hard to drive if  you're short?	I'm about 5'7, I haven't had time to actually go test drive a tC yet,   but I was just curious if it's easy to drive when you're short (5'7 and I'm a male)? Do the drivers seats rise?         Thanks!
20090304190717AArMTEN	Cars & Transportation;Buying & Selling	Is it okay to sell car and not fill out title?	I have a car for sale...One potential buyer asked me if I could leave the title blank when I sell it to him...I will have a bill of sale completed with both our names on it, but I wanted to know if there is any trouble i would face by not filling out the title...It says on the title that you must fill it out.thanks
20090304191149AASa0kc	Cars & Transportation;Maintenance & Repairs	Where can you find coupons or discounts for auto glass services in Tucson?	N/A
20090304193918AASeqWX	Cars & Transportation;Maintenance & Repairs	How do you check to see if a glow plug is good or bad?	N/A
20090304204707AAi8Vxt	Cars & Transportation;Maintenance & Repairs	What type of injection system do Cat 3406  and Cummins 4BTA diesel engines use?	N/A
20090304194000AAUMb3U	Cars & Transportation;Car Audio	When you buy a GPS, do you need a company to install it or myself without any professional  help?	N/A
20090304195507AAkW6bn	Cars & Transportation;Maintenance & Repairs	Smelled exhaust pipe smoke, will I be fine?	I was checking out my car's exhaust pipe when my car was on, so my nose was near it and I breathe in the smoke and smell that comes out of it, is it harmful?
20090304195623AAqohdP	Cars & Transportation;Buying & Selling	VW Polo or Honda Jazz?	I'm thinking of buying a new/used car.      Which one is/has:   -better built/performance   -more efficient   -higher resell value
20090304200058AArXQtn	Cars & Transportation;Buying & Selling	What is the best offer I can get on a new Ford Focus, from a Ford dealer?	Must be a 2009 with automatic transmission   please do not write about how "terrible" American vehicles are!   My best offer was 15,487,,,with out Tax tittle and license
20090304200928AAHcOhT	Cars & Transportation;Maintenance & Repairs	How can I decarbon the engine in my car?	I have a 1995 Ford Probe and it smokes upon start up after sitting over night when its really cold outside. When it's warm outside or not really cold it doesn't smoke. I believe I narrowed the problem down to valve stem seals. To fix the problem for now I run Lucas Oil Stabilizer with synthetic oil. I have only used synthetic in the car and I'm the second owner. I did a compression check and it was high, assuming its due to carbon build up since it has a faulty EGR valve. I have heard the carbon build up can also cause some of the smoke and can definitely harm the engine of smoothness, power, etc. I want to know how can I decarbon aka decarbonize my engine. Can anyone please help me? This car has to last me another year and a half because I plan on buying something used, decent, and sporty after I graduate and join the Army.
20090304201117AADhNZw	Cars & Transportation;Other - Cars & Transportation	Do you need a CDL to drive the larger recreational vehicles? Some of them are as big as a bus.?	N/A
20090304202408AAc2x8o	Cars & Transportation;Maintenance & Repairs	Fuel Pump Secondary Circuit Fault?	My 1995 F-150, V-8, 5.0 liter pickup is just turning over and not catching.  I used a code reader and got a code saying "Fuel Pump Secondary Circuit Fault".  What can I do to fix this?
20090304202430AAwMZGS	Cars & Transportation;Maintenance & Repairs	What is the fix for the ford tsb number97090297189?	N/A
20090304202535AAN70Ge	Cars & Transportation;Maintenance & Repairs	Why is my car making squeaking noises?	When I turn on my car and start driving for 2 minutes it starts making some high pitch squeaky noises and its coming from the front driver side, but the weird thing is that when I push down on the brakes the squeaky noise goes away, and when i start driving again the noise starts again. What can this be..is it the brakes maybe? help please!
20090304202916AAFDuvU	Cars & Transportation;Maintenance & Repairs	I had whey protein mixed with water chucked all over my car.  Will this damage the paint or anything?	N/A
20090304204039AACMqrT	Cars & Transportation;Maintenance & Repairs	87 Firebird running too rich?	My son has a 1987 Pontiac Firebird with a 2.8 V6. It leaves black marks on the driveway from the exhaust and is using allot of gas. We have replaced the fuel filter, air filter, & fuel pump but it still runs very rich.  Any ideas?
20090304204713AAIzBrq	Cars & Transportation;Maintenance & Repairs	Has anyone heard of asian wolf car alarm systems?	I Just bought one and i want to know if they are any good or if any one has used one before?
20090304210841AAO3oPA	Cars & Transportation;Commuting	Can  I drive well or not?	I started driving about a month ago, 1 to 3 times a week in 2 hour sessions.By the end of my lessons, my instructor said I was a great driver and I had learned everything he could teach.      However,If my dad goes driving with me he is WAY more demanding. He drove cabs and a delivery truck for most of my life,and he is probably the best driver I've ever seen. I know I could learn a lot,but I feel like he's being a little harsh. A tiny little mistake like taking a corner a bit tight or braking too fast and he's on me.       The other day we were in a nightmare of an intersection and as I was about to enter he suddenly yelled at me to "take this turn". I panicked and turned,apparently the wrong way and he yelled even more. He kept yelling for every little detail and eventually I couldn't even concentrate enough to drive.
20090304221715AA2SArn	Cars & Transportation;Aircraft	How do you make aircraft reach there maximum speed in FS2004?	When i'm cruising at FL350 in a B747 400, the plane can only ever reach 316knots. i don't have the speed hold switch on, justn the flaps set to zero and the throttle at maximum. the speed brake is off aswell. what is wronG?
20090304211921AARCK5z	Cars & Transportation;Rail	I leave in mumbai which train is sutiable?	N/A
20090304221628AAicHmf	Cars & Transportation;Motorcycles	Would the Kawasaki ER-6n be a good bike?	I am considering this bike and just want to know the pros and cons of it.  Is it reliable? handling?? worth the money? etc
20090304221751AACS8K1	Cars & Transportation;Insurance & Registration	If the bank has a lien on a car can you sell it to another party? Also, if so how do they carry the insurance?	N/A
20080331081022AAF7WPT	Cars & Transportation;Car Makes;GMC	Alguien sabe donde hay ensambladoras del marca GMC aqui en mexico?	N/A
20090304051031AAgPAF0	Cars & Transportation;Car Makes;Tata	HOW CAN I GET AGENCY FOR TATA NANO IN DELHI OR NCR?	N/A
20090304110956AAN5IC8	Cars & Transportation;Insurance & Registration	Is there insurance coverage that covers wear and tear repair?	I've had my 2002 Buick Rendezvous for about 3 years. The warranty has expired. Today my engine went up and it'll cost 3000-4000 to repair. I owe a substantial amount on my car loan. Needless to say, I cannot afford a 3000-4000 repair. As far as insurance goes, is there coverage that would take car of that? Loan/Lease coverage maybe? Please help!
20090304160503AA295pA	Cars & Transportation;Maintenance & Repairs	Am I getting the right engine?	I spun 2 bearings on my 98 honda prelude (not a sh) engine. My mechanic has been struggling to find the right engine for some reason and just today said he is going to be getting a crate motor from japan which I'm assuming means its a jdm motor. some of the jdm motors have 136hp and others have 220hp is there anyway to know which one I am getting? its running me 2800 bucks which he said is a great deal. and if it is the 220 hp h22 will i notice a difference at all with the extra 20 hp? He said in his asian accent "oh no u get same engine same vtec engine" and Im hopin I dont get a less powerful one. any experience with crate motors from japan would help thanks
