20070105184240AARJBRE	Consumer Electronics;Cell Phones & Plans	Where is the cheapest place to buy MOTORAZR V3 replacement covers?	My dog chewed up my cell, and it works fine but is just ugly at the bottom.
20090202194027AAI0g5l	Consumer Electronics;Music & Music Players	Question about the iPod Touch 2G?	I am trying to convert video files like .avi and .mov, and it's not working. I tired a free trial of Aimersoft, but it has a watermark, and its REALLY ANNOYING. Any suggestions?                                                               ~P.S. Please make sure there are absolutely    NO strings attatched (i.e. registering/ordering the product)      ~P.P.S. Free please?
20090202194546AAQeZGg	Consumer Electronics;TVs	Is a 1500:1 contrast ratio good for an HDTV?	N/A
20090202195455AAbHyfN	Consumer Electronics;TVs	I need a Digital Antenna?	Where can I find a "Smart Antenna"???
20090202195723AATEh56	Consumer Electronics;Cell Phones & Plans	If my friend lost there phone with verizon would they?	k so my friend lost his phone and he got it like a month ago and would he pay 50 dollars to get another one of the same phone or would he get a free one cause of the warranty?
20090202195848AAiG4ZG	Consumer Electronics;Music & Music Players	Zune not powering up?	My 16 GB Zune has been having a lot of trouble powering up. For a while, it would charge for about a minute, and then stop. This happened consistently for a while. Now it has gotten to the point where it will not charge at all.          My zune is now fully out of battery power. I've plugged the USB into both the power outlet adapter and my PC to no avail. Could the problem rest only in the cord itself?
20090202195934AA7b2Sc	Consumer Electronics;Music & Music Players	Problem with my new ipod?	My mom got me a new ipod nano (4th generation) for my birthday.  Purple.  Really cute.  I hooked it up to my computer, and it comes up as an "unknown device" thru the USB port.  I tried uninstalling/reinstalling itunes, the USB drivers, i tried updating the USB drivers, i tried everything that the apple website told me to try.  It STILL won't work!!!  Any suggestions??  Is it a problem with the USB port itself??
20090202200022AA0ANzS	Consumer Electronics;Music & Music Players	How do I unsync my I-Pod from I-Tunes?	OK, so my I-Pod is currently synced to I-Tunes on my family's Mac, I want to unsync it from there and sync it with I-Tunes on my PC (they are 2 separate I-Tunes accounts). How do I do this?      P.S. It's an I-Pod Shuffle if that makes a difference.
20090202200315AA4XwcK	Consumer Electronics;Music & Music Players	My ipod froze what do i do?	hi i reallly need help! my ipod (its a 3rd generation nano) just froze. I stuck it into the computer it doesnt even say dont disconnect i put it on my ihome and it doesnt work plz help thanx
20090202200320AArmiRO	Consumer Electronics;Cell Phones & Plans	Can you set ringtones for text messages on the samsung a437?	i cant figure out how to set ringtones for the text messages i get. please help.   And can you also get videos on it.
20090202200440AABQqbg	Consumer Electronics;Cell Phones & Plans	Does switching Verizon phones reset my contract or new every two date?	My wife was given a phone by my sister and would like to switch her phone to that one.  I have found how to do this online but was wondering if that would renew my contract or reset my date to get a new every two phone for myself (family shared plan. My phone is the primary)
20090202200920AAji5YJ	Consumer Electronics;Music & Music Players	Can i burn a song even if it is .flv type?	can i burn a song even if it is .flv type?,
20090202200931AALFyuZ	Consumer Electronics;Cell Phones & Plans	Moto Rokr z6m text tones?	Hey I have the Moto Rokr z6m slide phone and I cannot find a way to change the tone of RECIEVED TEXT MESSAGES. Iv looked all over my phone and I only can change my actual ringtone? Please help :)
20090203020522AAOdqUj	Consumer Electronics;Games & Gear;PlayStation	How to upgrade my ps3 hard drive ?	my mate want to know how to upgrade his ps3 hard drive
20090203023500AACZnTO	Consumer Electronics;Music & Music Players	Questions on charging an iPod Touch?	Is letting it charge over night meslcessary?   I know most tech does but does an iPod loses it's charge by staying in a charger too long?   Please send me more details
20090203020837AA3iPcV	Consumer Electronics;Games & Gear;PlayStation	Playstation 3 game            ?	Should I buy Killzone 2 or Little Big Planet? Why?  I know LBP doesn't have much of a story mode which means it will quickly turn to online, is the online support there?
20090203021205AA51mPN	Consumer Electronics;Other - Electronics	Why has my DVD Player stopped reading disks?	Every time i go to play a DVD my DVD player says 'Unknown Disk' and will not play it. This is happening with every single DVD i own, even those which i have previously played in the DVD Player. Does anyone have any idea about y this could be happening?
20090203014344AABfImP	Consumer Electronics;Games & Gear;PlayStation	Who has FIFA 09 on PS3 and would like to play a game?	add me if you do psn: L-A-23
20090202205920AALnZib	Consumer Electronics;Cell Phones & Plans	Text message lag tmobile to metro?	is it common to experience lag when sending messages from t-mobile to a metro phone?
20090202214531AAXLiEu	Consumer Electronics;Games & Gear;Nintendo Wii	Is there baseball game in nintendo wii?	as in can i play baseball with nintendo wii? wats the name of the game? can i download games from the internet to play on wii?
20090202213503AAPeq3V	Consumer Electronics;Games & Gear;PC	Anyone know of free PC shooter?	anyone know of any free online shooter games, i tried fear combat but no one seems to play it.....
20090203021911AAvNmSR	Consumer Electronics;Cell Phones & Plans	When I put songs on my Nokia 6300 they dont show up on my music player anyone else had this problem?	When I put songs on my Nokia 6300 they dont show up on my music player anyone else had this problem?
20090203013424AAPL40h	Consumer Electronics;Cameras	What is the differnets between a digital camera and a conventional camera and scanner?	what software do you use for them
20090203023559AA6zjC4	Consumer Electronics;Games & Gear;Nintendo Wii	Oh no! My wii isn't broken is it? Were is the menu?	OK, so I got my wii for Christmas 08... Its February 3rd 09! Any who,  I turned the wii on this morning, turned the TV on... were is my wii menu? I tried every blooming channel, nothing! Then I made sure that the 3 plugs that go from your wii to your telly, (1 white, 1 red and 1 yellow) were in properly, still nowt! And now... I need answers. Please help. Whoever gives an answer that works will be best answer, thumbs up, their answer 5 starred and all their questions starred to say I find them interesting even if I don't! I'M THAT DESPERATE! P.S, no I'm not pathetic!
20090202204703AAWwArX	Consumer Electronics;Cell Phones & Plans	Where can I find a hamburger shaped CELL phone?	i need to find a hamburger shaped CELL phone or a Hamburger thing that goes around the phone.like in juno, but a CELL phone
20090202204833AAGPLJQ	Consumer Electronics;Cell Phones & Plans	How do i increase my mobile's message memory?	i gt a sony ericcson w810i mobile phone.my phone stores under 100 text messages!!and i cant find the text messages folder when i connect it to the computer using usb cable!!   help me increase my message memory!!!!
20090203002720AAP5Cd5	Consumer Electronics;Games & Gear;Nintendo Wii	Wii is dead. It's plugged in but power light is not lit. Is there a fix?	Lost power during an wifi update,  now Wii is receiving no power. What happened? Anyway to fix it besides returning it to the store?
20090203003806AAuI4fA	Consumer Electronics;Cell Phones & Plans	Broken phone, is this fixable?	i own a LG Viewty, and i had it in my pocket earlier and was sitting on the edge of the couch.    somehow the pocket sort of got under my leg and so that left me sitting on it.   anywho i take it out of my pocket and lo and behold, theres a few cracks across the screen, and the whole screen is black. i can still use the phone (touch the screen and choose options) but i cant see what im doing.       does anyone know if this is fixable?
20090203023021AADS9Lw	Consumer Electronics;Music & Music Players	Applications on the ipod touch 1st generation?	my itouch is 1.1.3  i have downloaded some applications to the itunes   but when i sync it i cannot put it to my ipod touch  how can i do it?
20090203014105AAOEzRC	Consumer Electronics;Camcorders	Can anyone tell me where i can have a old wedding video transferred to dvd in the bristol area. thanks.?	N/A
20090203014400AAu5Vwu	Consumer Electronics;Cameras	Help with my polaroid camera?	hi. today my stepgrandad gave me his old polaroid camera. its a polaroid colorpack 80.    what film can i use for this camera? i know that they dont produce film specifically for this camera but ive heard of modifying other film types?  ive also been reading up and read that 'viva' film can be used??    thanks so much, id love to be able to use this camera!
20090203015146AASdyHv	Consumer Electronics;Games & Gear;PC	Puting xbox 360 switch on my pc as on/off button?	how would i got about stealing the little button off my xbox 360 face plate and puting it on my pc as a on/off switch
20090203015338AAEbmjF	Consumer Electronics;TVs	How much would the geek squad charge me to put a new lamp bulb in my tv if i take it to best buy?	N/A
20090203020215AAVYSuL	Consumer Electronics;Cell Phones & Plans	Iphone edge quesiton? urgentttt?	ok i have the old iphone updated to version 2.0.0. My friend just got the edge on his iphone and gave me his apn username and password.. when i put it in mines the edge doesn''t work , the icon doesn't pop up (btw the icon never has shown up in mines) Does this mean that the apn username and password dont work since the carrier hasnt activated the edge on my iphone ? or should it work/? If it should how can i fix it by using his apn username and password without paying for edge?!!!!thanks
20090203020430AAWF82o	Consumer Electronics;Music & Music Players	My ipod has a white screen what do i do?	it says do not disconnect
20090203020939AAGTCsI	Consumer Electronics;Games & Gear;Xbox	Should I get an xbox 360?	I already have an xbox but I think its faulty, so I was considering getting a new 360. Is the 2009 standard version of the xbox, (not arcade) any good? Does it scratch or have major faults?
20090203022035AA9lDM3	Consumer Electronics;Cell Phones & Plans	If i buy an AT&T Locked iPhone off ebay, do i need an AT&T sim card to unlock it?	If i buy an AT&T Locked iPhone off ebay, do i need an AT&T sim card to unlock it? and could you give me some details on how to do it. thanks
20090203022722AAjC5lC	Consumer Electronics;Music & Music Players	Ipod freezes when trying to laugh song summoner?	ok i just dowloaded song summoner for $7.50 for my ipod first it worked untill the next day when i try to play the game it loads for like 3 seconds with "update server" on the top right hand side and then nothing comes up with the screen all black. if i play at the same time while laughing the game the song is still playing. but screen still black.   only way to get out is to hold play button or by reseting by menu+middle button.      whats rong does anyone know? how to fix so i can play the game again?
20090203022938AAZYkwd	Consumer Electronics;Music & Music Players	Transfer CD to ipod touch?	i don't know how to transfer the songs on this CD i bought the other day to my ipod touch. i put the CD in and connecting my ipod. i tried dragging the songs on the Cd to my ipod but it didn't work.      Can someone explain how to do this
20090203023136AA8lha1	Consumer Electronics;Games & Gear;Xbox	Call of duty 4 intels?	I went on youtube and looked up the intel locations and got them all. After i got them all i didn't et the achivements i was wondering why but then i remembered i had cheats on for teh fun of it.      Now the intels aren't there how am i supposed to get the achivement?
20090203023438AA3Vr3i	Consumer Electronics;Games & Gear;Nintendo Wii	Is unlocking wii system legal?	I am unlocking wii system for other people so they can play download games. But i don't sell them the games. Is it legal in canada?
20060629123816AA5EBBJ	Consumer Electronics;Cell Phones & Plans	Wich phone would you prefer? -Samsung d807, -Motorola SLVR L7, -Sony-Ericsson W600i?	N/A
20060630162637AAtbnjy	Consumer Electronics;Cell Phones & Plans	Want to buy a new cell phone, not new service.  Is it possible to do so?	Have a Motorola V180 using Cingular.  Horrible static when trying to place or receive calls.  Phone is virtually unusable as it is.  Am now in Wyoming, Cingular does not serve this area.  Short of going with Verizon, I'm hoping someone can give me some ideas on resolving this problem.
20060630165222AAAo9Fe	Consumer Electronics;Cell Phones & Plans	How I can download msn messenger into my cell phone?	I have a motorola RazR  it comes with pre-installed Aol instant messenger but i would like to download a program into my cellphone that could allow me to use msn messenger
20060703101830AAEJeec	Consumer Electronics;Cell Phones & Plans	How do u send an SMS from the internet to a person from someone else' mobile no.?	N/A
20060703120937AAr8xBW	Consumer Electronics;Cell Phones & Plans	Anyone have any problems when they switched wireless phone companies but kept there old phone number?	N/A
20060706113715AANdw9U	Consumer Electronics;Cell Phones & Plans	How do you tell if a Razr has a Sim Card?	How do you know....and if it doesnt is there any way to get past the screen that says no sim card so that you can play games/ take pictures
20060707174826AAIVWzq	Consumer Electronics;Cell Phones & Plans	PLEASE HELOP 10 POINTS my moms just bought blueetooth HS850 from motorola she has sony ericson compatable?	anyone know if this phone is compatible with motorol ear pieces
20060708124034AAo67oI	Consumer Electronics;Cell Phones & Plans	Sony ericsson applications W810i walkman phone. pls give me websites thanks guys...?	N/A
20060714052127AA9Xwl5	Consumer Electronics;Games & Gear	Quem gosta de counter strike?qual o melhor cenario?tem o cenario do chaves?	N/A
20060716190959AAteYXM	Consumer Electronics;Cell Phones & Plans	What kind of phones records its on ringtone?	N/A
20060717134138AADA5p8	Consumer Electronics;Cell Phones & Plans	How can you remove pre-installed programs like the sounds, screen savers, so i can install my own stuff?	N/A
20060725224145AAYZlyM	Consumer Electronics;Cell Phones & Plans	I hv installed "ETI CAMCORDER 2" in my nokia 6600,but when i use it,it asks for its license key, anyone hv it?	N/A
20060726000143AAoVawn	Consumer Electronics;Cell Phones & Plans	Help........how to convert a normal download video file from the internet to be stored in a 3G handphone?	Anyone who knows how to compress a video clip to 3gp  Thanks
20060727120839AAI3iD2	Consumer Electronics;Cell Phones & Plans	Does anyone know any good home phone service?	N/A
20060925073102AAfygbI	Consumer Electronics;Other - Electronics	Cingular to sprint??	I just found a cingular phone but i have service with sprint is there any way to use this phone with sprint??
20060821122206AAJxX8S	Consumer Electronics;Cell Phones & Plans	My Nokia N70 Dosent Preview Flash Website?	My Nokia N70 Dosent Preview Flash Website Is there Any other Solution or any other browser for n70 i tried installing opera browser but still the same it just dosent work let me know if you can help
20060812061444AAwyYqj	Consumer Electronics;Land Phones	Quem , afinal, inventou o telefone?	O escocês Bell , levou a fama, mas foi o italiano Meucci , quem primeiro fez  funcionar  o aparelho,  estou em dúvida  pessoal: afinal ,qual dos dois inventaram o telefone?
20061129144301AAmnVcp	Consumer Electronics;Cell Phones & Plans	How do you download games/mp3/ringtones to cellphone?	do you need any cable? or inforad?.. please give me detail .. I think my new phone has 4.2mb space. Enough for game?  I found a website which is www.gamemobile.co.uk (something like that), but still not sure how to download things to cell phone. Help is appreciated
20061208125024AAGeQsM	Consumer Electronics;Cell Phones & Plans	Where do I find free java game for cell phone for (download from web)?	I want to transfer to my nokia cell phone help!?
20060806122740AAwWm1V	Consumer Electronics;Cell Phones & Plans	Chip de telefone celular tem concerto?	N/A
20060811052358AA0C8Mq	Consumer Electronics;Other - Electronics	O que você acha da INTERNET?	N/A
20060811215243AAEy8B4	Consumer Electronics;Cell Phones & Plans	What is the difference between a "ringtone" and a "ringback tone"?	This one is for Verizon Wireless users.      When you go to purchase a ringtone, it asks you if you want a "ringtone" or a "ringback tone".  What's the difference?
20060812060526AA9cpTW	Consumer Electronics;Cell Phones & Plans	Alguém sabe um site que baixa toques de gra?a para o celular?	N/A
20060814151256AADugXH	Consumer Electronics;Cell Phones & Plans	Is it possible that the amount of wireless service i receive is effected by my phone...I have a motorola?	I also here that phone brands such as nokia are much better on getting service than motorola. my service plan is cingular
20060821182523AAOft9g	Consumer Electronics;Other - Electronics	Telefone sem fio ou com fio?	N/A
20060822191533AAOPv1t	Consumer Electronics;Music & Music Players	What store to buy the original iPod(Nano) headphones?	I lost mines, and now i have some gay ones that i got free from airtan airways, lol,  if you know what im talking about...well yeah, I need some new ones, the original that comes with it.
20060826174639AAy0CTk	Consumer Electronics;Cell Phones & Plans	Whats an extended network on a cell phone?	my gf wants to know, cause shes out of town and shes roaming but she wants to call me, what is it and how do you get it?
20060903122249AAcfJ6I	Consumer Electronics;Cell Phones & Plans	Do you know why?	I bought a prepaid phone from a yard sale but when I tried to re-activate it, I get a message saying my SIM card is invalid! do you have any idea why is this happening & where should I go or what should I do now?! thanks
20060903184718AAKPxCw	Consumer Electronics;TVs	Como se llama la primera comedia americana echa en miami que se hablaba el ingles y espa?ol son 10 puntos?????	N/A
20060904114439AANevFb	Consumer Electronics;Cell Phones & Plans	How do I exchange SIM cards in sprint phones?	I have two sprint cell phones, both are at least two years old but one is older than the other and I wanna switch the sim cards in them, but I have no idea where it is, or how to get it.
20060904140744AAfmARx	Consumer Electronics;Cell Phones & Plans	Who is the best cellular carrier and why?	i have verizon right now and i am thinking about a change any ideas
20060905185802AAacO4l	Consumer Electronics;Other - Electronics	Dose anyone know where get my ipod refurbished?	N/A
20060910004953AASQbLg	Consumer Electronics;Cell Phones & Plans	What cell phone shud i go for?	budget- rs 9000   flap....radio...camera 1.3 mp...also external display...
20061015175351AAPPBWb	Consumer Electronics;Music & Music Players	I thinkin about purchasing a "refurbished iPod" frm Apple.com. Does anyone know the quality of it?shud get it?	the main question is whether i should get it or not cuz i dont want some crappy and useless piece of junk.  do any of u guys know from experience from buying the refurbished ipod from apple know if it has a lot of scratches on it or something negative?? thanks a LOT!!!
20061019193249AAsuORa	Consumer Electronics;Cell Phones & Plans	How work a hybrid cell phone?	N/A
20061019194114AAAtH9G	Consumer Electronics;Cell Phones & Plans	Cingular has "rollover" minutes on some of its plans. Does this "rollover" of minutes give them an edge?	N/A
20061109134545AAUqWoZ	Consumer Electronics;Cell Phones & Plans	E-mail on my phone?	i have a samsung e700 on o2 prepay the phone is an ex contract phone does anyone know how i can set up and send e-mails from it
20061109182824AAs7cgP	Consumer Electronics;Cell Phones & Plans	How I connect my motorola razor to another moto razor using the bluetooth?	Both are motorola razor I can't find to make them talk using the bluetooth, to transfer my ring tones.
20061111133318AA5Vohr	Consumer Electronics;Cell Phones & Plans	How much does it cost to start a cingular plan?	how much does it cost to start a cingular plan?
20061113180023AA1izpB	Consumer Electronics;Cell Phones & Plans	Does any one know if sony ericsson phones are compatible with the sprint pcs network?	they are the best phones but sprint dosent allow phones from other networks but will it work if you flash the phone or its unlocked I don't know for sure and in reality it should work but at sprint theyre some sneaky mofos who won't allow any technology unless theyre charging a crap load for it. all that said im stuck with sprint and they got all right plans
20061117011902AAcnaGJ	Consumer Electronics;Music & Music Players	I am trying to find a place call dirt cheap  cd and dvd in  swanston  melboune victoria?	N/A
20061122140253AA4hDKl	Consumer Electronics;Cell Phones & Plans	SLVR help please?	Well. on iTunes, only some of my songs transfer to my phone. what about the rest? what can i do ? & some of the songs on my phone either end early, or stop in the middle. help please? thanks :)
20061125143311AAylN6g	Consumer Electronics;Games & Gear	Will sega create any more video game systems soon or did they completely stop creating game systems?	N/A
20061125143343AAy3Umc	Consumer Electronics;Cell Phones & Plans	What stores can i go to purchase another boost mobile phone?	N/A
20061126125037AAJtiN5	Consumer Electronics;Cell Phones & Plans	Does anyone know mileys cyrus phone number that is actually true?	N/A
20061126160838AAXcyIr	Consumer Electronics;Cell Phones & Plans	I want to delete text messages on my motorola razr v3 how?	N/A
20061126154011AAjkG7i	Consumer Electronics;Cell Phones & Plans	Question on the Samsung D807?	Question on the memory cards you can add, it says the phone is compatiable with MicroSD, but Scandisk also makes TransFlash which most stuff I see says Micro SD Transflash Card, idk if I can add those or not, but I dont want to have to buy a 1GB and not use half of the card one bit, can someone maybe make a list of ones that are compatiable with this phone, I would greatly appreciate this, tyvm for who ever does this :D
20061130131112AAYWXvt	Consumer Electronics;Cell Phones & Plans	How to get phone number i want ?	how to get phone number i want ?   for example i want 786-666-8888 assuming it is not taken.
20061201141258AA7aiRI	Consumer Electronics;Cell Phones & Plans	What is safer to use during a thunderstorm?	IS IT SAFER TO USE A WIRELESSPHONE, CELL PHONE, OR A PHONE WITH A CORD?
20061211203914AAXE5Ot	Consumer Electronics;Music & Music Players	What does the dock adapter do (you know the one that comes with the ipod nano)?	its just sitting their in my ipod case and i dnt know what it dos
20061213103911AAK1iqX	Consumer Electronics;Music & Music Players	MP3 Players?	I am planning to buy an MP3 player this weekend.  I know, I know, I'm a little behind the times.  I'm curious as to which player yields the most value.  Are the iPods (since they're Apple) compatible with PC's?  Are their better ones out there?  I don't want to spend over $150 but I'm a music junkie and need something with a lot of memory.  Any suggestions are appreciated.  Thanks!
20061213104642AAl1PLQ	Consumer Electronics;Music & Music Players	Where is the best place to buy a Sony NW-S200 series MP3?	N/A
20061213113227AALLLWz	Consumer Electronics;Other - Electronics	What to look for in a Portable DVD Player?	N/A
20061213120215AA0hSRH	Consumer Electronics;Cell Phones & Plans	I need the unlock codes for lg 9200?	N/A
20061216171412AAt0tdN	Consumer Electronics;Cell Phones & Plans	Cingular Wireless question?	OK. I tried to download a ringtone off the internet and got the whole text thing, but it wouldn't let me go through. It said 'Connection not available.' And if I try to get to the Cingular Mall, it does the same thing. Is there anything I can do to fix that? I really want this ringtone!!!!
20061217133157AAn5AYQ	Consumer Electronics;Cell Phones & Plans	How to put music on my samsung a720 from my computer?	N/A
20061218093736AATJfuh	Consumer Electronics;Cell Phones & Plans	Nokia E62- emergency..plz help?	hey...m jus a 16 year old..used to have a motoRazr v3i earlier...but now i need to upgrade....i text message alot....like 70-80 msgs a day....i need a phone thats not too expensive plus has a keyboard..i narrowed my search on nokia e62...its eco plus keyboard...does any one else have anyother suggestions?? plus i talk for like 4 hours a day on da cell...so it should have a good battery...i did not like v3i coz of its battery..so basically i want keyboard plus talk time ...widout blowin up much...SUGGESTIONS PLEASEEEE!!!
20061218122213AAyYSTd	Consumer Electronics;Cell Phones & Plans	Where can i get a toll free number with unlimited extension? cheap!?	I'm trying to find a 1800# that i can buy and includes a unlimited extension. Like 1800-123-457 ext 101,102,103,104....      howeve the max i found is 25 extension and it will cost me $50 a month only to ad the extension that i need.      Does anyone know a cheap one?      Thanks all in advanced
20061218123733AAzUKvD	Consumer Electronics;Games & Gear	Can you use the headphones that come with xbox live for a pc game like counterstrike??????	yea
20061218124319AA5nr5K	Consumer Electronics;Music & Music Players	If I purchase music from Napster can I download it on my IPOD 80 GB and how do I do it??	N/A
20061218131115AADz6mr	Consumer Electronics;Cell Phones & Plans	What is a CriKet store?	what are they and what do they sell? and do they have good selection and deals?
20070101113633AAW8kDv	Consumer Electronics;Cell Phones & Plans	Does the lg chocolate kg800 use a sim card?	and how may mb does it have
20070101121307AAPJeNH	Consumer Electronics;Cell Phones & Plans	Having trouble with my computer "seeing" my razor v3m razor...HELP!?	I plug in my razor into my computer using a USB cord...and my computer makes the little sound you here when you plug something in...but nothing on the screen happens...and i don't know where to look in my computers files to find it.......I am doing all this so i can transfer my songs in to my razor (which i am also having trouble with) So if you don't mind...help me out a little bit!   THANKS!
20070101144359AAsx2Pj	Consumer Electronics;Cell Phones & Plans	Will a nextel sim work in an unlocked verizon phone? PLZ ANSWAR, ANY FEEDBACK APRICIATED!?	I know that it wont work in a GMS phone but verizon isnt GMS, so I am still not sure if that would work. PLZ help!
20070119154753AAzKO8p	Consumer Electronics;Land Phones	Para los que viven en Estados Unidos, que OPINAN del 10 10 123 ??	N/A
20070125153847AAhKChY	Consumer Electronics;Cameras	More pixels = better 6x4 printed photo, yay or nay??	On photobox.co.uk it says a 2 megapixel picture would be sufficient for a basic 6x4 photo to be printed by them, so say when I get my new 5mg camera at the weekend would there be a big difference between taking photos at full size or can I downsize to save space on the memory card but still get the same quality on the end product?   Thank
20070127135932AAOylaE	Consumer Electronics;Cell Phones & Plans	Help in installing app on sonyericson Z530?	I have a sonyericson Z530.I want to install java apps on it.but how?I transfered the setup file to phone(via bluetooth) and it comes to "Other" directory in phone's file manager.but it is not runable!!!what should I do?
20070127140758AAzFwT6	Consumer Electronics;Cell Phones & Plans	Www.cingular.com/rebatecard?	I have 3 cards   how can I activate all at the same time? Can I go to the bank and receive my rebate.
20090202094749AAr3ktZ	Consumer Electronics;Cameras	Would reading a camera's manuel before purchasing really help?	I just want to get a feel for certain cameras. I know going into a store and trying them helps, and I have used several of the cameras I am looking into, but in a point and shoot opportunity, not in the situation where I could really sit down and feel it out. I have tried the Canon rebel XT and Nikon D90.   I really want to make sure I am getting the right camera, and getting the most for my money, because SLRs are expensive and I'd like to make as little of mistakes as possible in this process.   So, when you personally are looking into getting a new camera, what do you look for, and how do you know it's the one?    Any help, information, and/or links are very greatly appreciated.    Also please know that I am diligently researching on my own also. I hate answering questions that can be easily answered by google, so I like to make sure I avoid it.    Thanks.
20070510040744AA969Es	Consumer Electronics;Music & Music Players	How do you put pictures on the nano ipod?	yea i have a 4GB ipod nano, and dont know how to add photo's. i also can put video's, so can you tell me how to do that to.      thank you.
20090202092845AAmoaDy	Consumer Electronics;TVs	Is there something that can be done to keep commercials on TV from blaring so loud?	N/A
20090202094211AAxWXDo	Consumer Electronics;TVs	Why are magnets bad for tv's?	how do fix my tv if a magnet got to close
