20090220032514AALWXDP	Sports;Outdoor Recreation;Hunting	California legal HK416 assault rifle?	is there such a thing and if so were do i find one?
20090220012629AAVRL2I	Sports;Wrestling	Wwwe Presnts Cyber Sunday Part 1?	Wwwe Intro:      Wwwe Superstars Intro:      A Video Of John Cena vs HHH Is Shown!      A Video Of Batista vs Edge Is Shown!      A Video Of Randy Orton vs Shane McMahon Is Shown      A Video of HBK vs Jericho Is Shown!      Wwwe Presnets! Cyber Sunday!      Jim Ross And Tazz Talk About Edge vs Batista      Cole And King Talk About HHH vs John Cena!      Matt Striker And Todd Grisham Talks About ECW Championship Match!      Match 1:United States Championship!.      Shelton Benjamin vs ????      Maria Announces!      A)Vlaidmer Kozlov!   B)Mr.Kennady!   C)M.V.P      And The Winner Is Mr.Kennady With 47 Percent!.      Mr.Kennady Beat Shelton Benjamin(C),New Champion!.      Highlights:      Benjamin Gave An Super Kick!.      Kennady Gave An Suplex From Turnbuckle      Benjamin Was Ready For An Jumping DDT But M.V.P Came And Distract Benjamin.      Benjamin Gave An Super Kick To M.V.P In Meanwhile When benjamin Turned Arounr Kennday Gave Him A Mic Check For Win!.      Kennday New Champion!.      Backstage:   RVD Looking Woried And Looks At His Intercontinentel Championship!.      Match 2:      A Video Of Morrison And Miz Rivalry Is Shown!      Which Match Fans HGave Choose!      A)Morrison vs Miz! For U.S Championship   B)Brie vs Nikki For Divas Championship   C)Winner Takes All      The Winner Is Winner Takes All With 79 Percent!      John Morrison(C) And Brie Bella(C)  Beat Miz And Nikki Bella!      Highlights:      Morrison Gave An Neckbreaker To Miz!.      Miz Gave An Chick Wing To Morrison!.      Both Bellas Are Tagged In but Do Not Fight And Again Tag Partners!      Morrison Gave An Moonklight Driver To Miz And Then A Standing Moonsault For Win!      After The Match Brie Left  With Nikki And Miz And Morrison In The Ring!.      Brie And Morison Still Champions      Backstage:   RVD Making HisWay To Ring!      Match 3:Intercontientel Championship!.   RVD vs  ?????      A)Cm Punk!.   B)Rey Mysterio   C)Kane!      The Winner Is Rey Mysterio With 40 Percent Votes!.      RVD Beat Rey Mysterio To Retain!.      Highlgiths:      RVD Gave An Ven Terminator!.      Mysterio Gave An West Coast Pop!.      RVD Was Giving A Frog Splah But Mystyerio Got A Side And Gave An Shining Wizard!.      Mysterrio Was Giving A 619 But RVD Kick Mysterio And Gave An RVD Roll!.      Mysterio Was Giving Hurricane From Turnbuckle But RVD Pushed Him And Gave An Frog Splash For Win!.      RVD Retains!.      Backstage:   Randy Orton Making His Way To The Ring!.      Match 4:   Randy Orton vs Shane McMahon!.      A)Knockout Match!.   B)Steel Cage!.   C)Singapor Cane Match!.      The Winners Is Steel Cage Match!.      Randy Orton Beat Shane McMahon!.      Highlights:      Shane Gave An Elbow Drop To Orton From Top Of Cage!.      Orton gave An RKO To Shane Who Was On The Turnbuckle!.      Stephnie McMahon Came And Gave An Trash Can To Shane!      Shane Placed The Can On Boolided Ortons Head And Was Giving A Punt Kick But Orton Gave An RKO And Place The Can On Shane Head And Gave Him APunt Kick For Win!      After The Match Orton Was Again Giving A Punt Kick To Shane But Vince McMahon Returns And Beat the hell Out Of Randy Orton!      He Announced That Whole This Week Orton Will Be  On Raw Smackdown And ECW Facing The Whole Roster Till Orton Ger Injured!.      He Gave An Punt Kick To Orton And Left!.      Backstage:   Christian Coming For His Match Up Next!.      Match 5:ECW Championship!.   Christian vs ?????      A)Matt Hardy!   B)Kurt Angle   C)Even Bourne!.      The Winner Is Kurt Angle!.      Christian Beat Kurt Angl To Retain!      Highlights:      Angle Gave 7  Germen Suplexs      Christian Gave An Splash But Angle Kicks Out!.      Christian Was Giving A Unpriter But Angle Gave An Angle Slam!.      Angle Gave An Ankle Lock But Christian Reverse It In A Rolol Up Pin For Win!.      Christian Still ECW Champion!.      Backstage:      Divas Coming For Some Action!      Event 1:Former Wwe Diva Sable In Ring!   She Announced A Costume Compitation!.         Trish Stratus Came Dressed A Wonder Women!      Mickie James Come Dressed As Lara Croft!.      Kelly Kelly Dressed As Indian Girl!.      Maria Dressed As A Bunny.      Melina Dressed As A Fairy!.      Natlaya Dressed A s AWitch!      Torie Wilson Dreessed As A Baseball Players!.      The Winner Is Torie Wilson With 38 Percent!.   Kelly Kelly Was Second With 37 Percent!      Backstage:Y2J Making His Way To Ring!      Match 6:HBK vs Y2J!      A)Street Fight!   B)Unsactioned Match!   C)Submission Match!.      The Winner Is Street Fight With 79 Percent!      HBK beat Y2J!      Highlights:      Y2J Gave An Codebreaker To HBK!      HBK Gave An Elbow Drop To Y2J On The Ramp From A 15 Foot High Ladder!.      HBK And Jericho Were Both On Ladders,Jericho Gave An Walls Of Jericho But HBK Fell Down!.      Jericho Was Giving A Lionsault To HBK FromA Laddder To HBK Who Was On Table But HBK Got A Side And Gave An Sweet Chin Music For Win!.      Jericho And HBK Shook Hands But Umaga And JBL Came And Attack Both!.      Backstage:Jeff Hardy Coming For His Match Up Next!.      Match 7:World Championship No 1 Contender Match!.   Undertaker vs Jeff Hardy In A Special Refree Match      A)Stone Cold Steve Austin!   B)Stacy Ke
20090203124354AAlIBr4	Sports;Football (American)	Who is the hottest NFL starting quarterback do you think? ?	N/A
20090203124217AAzdHIu	Sports;Football (American)	Who is the Best Coach in the NFL?	Who in your opinion is the best Coach in the NFL?
20090220041526AAzySXL	Sports;Football (Soccer);Men's Premiere Leagues (UK)	How many more times will Gary Neville kiss his United crest on his chest in front of the Kop?	 http://www.football365.com/story/0,17033... 
20090220034915AACR52j	Sports;Auto Racing;NASCAR	Nascar Nation , Hows your coffee today?	My Question, Have you ever drove a race car ?   If you did where.
20090220041941AA9KlSD	Sports;Football (Soccer);Scottish Football (Soccer)	People who support the Old Firm probably started doing so?	when they were kids, because Celtic/Rangers won easily every week and seemed to be very good teams, do you think anybody ever quits supporting them, like now, when the both of them are total pish?
20090220020350AA3HrM3	Sports;Wrestling	Where would Batista and Orton be without Evolution?	selling burgers at macdonalds?
20090203123806AAGTv9Z	Sports;Wrestling	Who do you think would win this match?	Tna champion sting vs wwe chamion edge vs heavyweight champion john cena?
20090220040607AAaIu5C	Sports;Football (Soccer);Men's Premiere Leagues (UK)	5 Way League or Two team horse race?	Which do you think is more likely to happen?   United, Liverpool, Villa, Chelsea and Arsenal to race for the title or just Manchester United and Liverpool???
20090203123548AAqUVOs	Sports;Football (American)	Can you name the 4 NFL teams that have won in all their Super Bowl appearances?	Only one of those teams has been in more than one Super Bowl.
20090203123900AAA6nUs	Sports;Football (American)	Now that thats over?(read details)?	now that there are no more who will win the super bowl questions. who will win the super bowl next year?
20090203122852AAUO8bH	Sports;Football (American)	Would you let a jock run your franchise? Do you think Millen deserves to lose all his creditability?	My dad told me as a kid;  owners are making a mistake if they let an ex-jock run their team.  I don't necessarily agree with that but Millen is a good example of why not to.  Your thoughts?  And what do you think about Millen,  this guy still knows football,  maybe he just didn't know how to run a franchise.  Lots of guys have failed at that,  even people who are considered smart and good G.M.'s have failed.  Does Millen deserve the blame or should some of it get shifted to the guy who actually hired him and decided to keep him on for so long?  A guy who was probably born rich and maybe knows nothing himself.  I don't know that for sure,  I am just speculating.  Your thoughts?
20090220032727AAUfn3f	Sports;Outdoor Recreation;Hunting	California legal FN scar assault rifle?	ok this comes in 5.56mm and 7.62mm my question is:   is their a california legal version and if so were can i find one?
20090220042029AAlFw1h	Sports;Football (Soccer);Men's Premiere Leagues (UK)	EPL Fans: Would you like to see a younger Pires, Bergkamp, Shearer and Nistelrooy playing again?	if they had the chance to get younger, I would love to see this guiys play again
20090203124759AAwg7nQ	Sports;Other - Sports	What's the weirdest mascot you know of?  ?	Scottsdale artichokes!
20090203123838AA7dGkS	Sports;Golf	How do I stay focused on the golf course when I play? Also, how do I get out of the bunker in one shot?	N/A
20090220023628AAGCK6l	Sports;Cricket	Does anyone remember this ? ? (new zealand vs australia)?	k they wer versing each other and they were all wering like olden days stuff like wigs and mostashes.. there was vettori their...they were having fun and making the game look like what it did in the olden days      DOes anyone get me or atleast gto info or scorecard or video
20090203122901AAQTCYJ	Sports;Tennis	Where will verdasco's run put him in rankings?	where will his run in the aussie open put him in the rankings??
20090203122629AA9tYyv	Sports;Cricket	Where will verdasco's run put him in rankings?	where will his run in the aussie open put him in the rankings??
20090220035014AAwrWDf	Sports;Wrestling	How awesome would this card be for WM25?	Trips vs. Randy orton (i dont like it but its going to happen)   Edge vs. Big show vs. Kozlov vs. Cena (a stretch but its likely)   HBK vs. Undertaker (the best thing that would ever happen to the WWE)   MITB- Rey, Kofi, John Morrison, The Miz, Kane, R-Truth, Mr. Kennedy, Carlito   Chris Jericho vs. Steve Austin with Mickey Rourke as guest referee (only celebrity angle that makes sense since theres no way mickey is fighting)   Christian vs. Finlay vs. Jack Swagger ECW championship   Jeff Hardy Vs. Matt Hardy in a hell in a cell match   diva battle royal for either the womens championship or divas championship   Shelton Benjamin vs. Chavo vs. MVP us championship   CM Punk vs. William Regal IC championship   It's the best i could think of that made sense.  what do you think?
20090220022838AA2ktmn	Sports;Wrestling	Where would the ideal Stadium be for Wrestlemania 26?	Think about the history of the city the stadium and the fans
20090220041810AA0gcHT	Sports;Basketball	Was the Knicks trade for hughes a good one?	N/A
20090220012157AA0kdnY	Sports;Cricket	What should be a good label to ppl esp ignorant SL who say Dilhara Fernando sux currently?	IM FURIOUS & CAN;t bear it anymore i must relaese my anger here.      Ive countered a minor problem with some other sls in  a discussion abt Dilhara Fernando status on the SL Criket team.....      &   I just can;t belive how many ignirant sir lankans out there saying Dilhara Fernando is garbage bc, of a lita 20-20 that Pathan borthers smacked Fernando to win the 20-20 series & freaking sir lankans gonna say ots Fernado fault?      Those bloody lakans who say this will get a beating frm me personally.   Im a loyal fan & an 3rd SL decent cricketer from my family......how dare these ignorant creatures say such comments abt Dilhara Fernadi...      Final thoughs:   What should be an grt label for the ppl who say Dilhara Fernado sux?
20090220042324AAy9r1k	Sports;Basketball	Which team would win the campionship ring?	Will it be Cleveland,Boston or Lakers
20090203123156AAKY1xP	Sports;Basketball	How bad are the phoenix suns?	i think theyre bad oh and by the way im a spurs fan.
20090203123600AA7Kxi9	Sports;Basketball	Why do the Rockets still have Tracy McGrady?	hes proved time and time again that he does not want to give 100% effort, and he gives up on defense. also, on offense he sometimes tries to do it all by himself. I think we've had enough of his crap. we should trade him for a reliable defensive player.
20090220025508AA66lDt	Sports;Wrestling	Is Jeff Hardy really a spoilt little brother?	I personally think he is,he doesn't care about Matt but himself.
20090220040211AAaRuMV	Sports;Wrestling	Which title carries more power the wwe title or the world heavyweight title?	I think it's the wwe title because it's got more history in it
20090220021409AAPeKLv	Sports;Winter Sports;Ice Skating	Beginner ice skating tips anyone?	N/A
20090220030054AAh6ZVR	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Do you think that its a two horse race in the premier league?	with man utd creating a 5 pt gap at top of the table chelsea and may be villa seem out of the title race.So can Liverpool go on and win the title or man u have created a big enough gap.      Whats ur opinion
20090220014242AAoC9bX	Sports;Outdoor Recreation;Other - Outdoor Recreation	How do you do a ollie?	i done an ollie once and i've started doing it more often as i try   but the jumps are SO small   i've tried jumping higher   but i just cant get the sliding your foot up bit   what shoes should i be wearing  ???   HELPPP
20090220032423AAoGyt4	Sports;Basketball	2on2, Jason Kidd and Dirk Nowitzki or Devin Harris and Vince Carter?	TELL ME!
20090220031624AAePJUA	Sports;Basketball	Boston-Utah Jazz game?	COMMENTS ..
20090220031953AAB7sJx	Sports;Fantasy Sports	Have all Morrison's managers got lousy customer care?	i found a snail in a meal at Morrison's cafe, when i spoke to the manager his attitude was a disgrace, he made me feel so small, i was almost in tears when i left the store, there was a queue behind me listening to everything, the lady behind me agreed his attitude was terrible, but i just wanted to get out of the place by now, ive heard other stories about the same store (all bad) but would like to know if it is store policy to be rude to loyal customers, its only the manager im on about, i always find other staff polite and helpful. maybe any Morrison's staff could enlighten me, or is there any other disgruntled customers who have a comment to make
20090203122628AAr4hSq	Sports;Football (Soccer);Scottish Football (Soccer)	Would I be classed as a concession or a juvenile? Rangers Season ticket?	Im 16 and im tryin to get a season ticket for the rest of the season and don't know if i am too old for juvenile and if that makes me a concession or an adult. Does anyone who has a rangers season ticket know?
20090203122636AAgb2S9	Sports;Running	Advice on running/sprintingg?	Okay, so I have asthma and I want to start running. But my asthma is exercise induced, so sometimes it is hard. I am 15. I was thinking about doing track next year in high school. But I cant run distance (because of my asthma) so I was thinking about being a sprinter, cause I can run short distances. So any advice to how to help me start running? And strengthen my legs. Thanksss.
20090203122721AAkbnUR	Sports;Winter Sports;Snow Skiing	Buying some Twin Tip skis ?	Looking to spend around 400-500 Pounds on some twin tip skis for this season? any favs?
20090203122956AAS9c3G	Sports;Football (American)	What's the superbowl opening song?	When the steelers were introduced and then the cardinals, what were their opening songs?
20090203122959AAeYkR8	Sports;Winter Sports;Snowboarding	I want to buy the flow B2 snowboarding bindings! where in toronto can i buy them?	what stores can i buy them in? how much are why? i don't want to use the internet to buy them!     (FLOW B2)
20090203123218AAhR5bU	Sports;Football (American)	How do you get superbowl 44 tickets?	i want to buy them
20090203123223AAImePL	Sports;Boxing	Shadow boxing good cardio?	Is it? If you did it long enough
20090203123756AAUOp6m	Sports;Football (American)	Which college would be the best to a football scholarship.?	which college would most likely give you a sport scholarship for football that is a good college.
20090203124058AAHDe62	Sports;Boxing	What weight class Am I in for boxing?	I am 6'2 190, what weight class am I in?
20090203124309AA2BsZG	Sports;Tennis	Are there any tennis racquets that aren't oversize anymore?	I played a lot way back when and it was considered wussy to use an oversized racquet. I used to have a Donnay Revolutive Apollo and a Yamaha Secret and I could smash the ball just fine with these size racquets. What is the best non oversized racquet out for sale now?
20090203124345AANGBeM	Sports;Other - Sports	Is Putting weights in your feet a good idea to become faster?	I am in a soccer team and I play the position of forward. i want to know if putting weights in your feet make you faster. also i want to know some excersices to become quicker and faster.
20090203124721AA4DfcG	Sports;Martial Arts	GSP or Anderson Silva?	It seems inevitable that the two fighters will face eachother after St Pierre beats Alvez.  Who would win this fight?  GSP is a heavy 170.  It think he walks around at 185, so the weight may not be a big a issue as people think.
20090219232630AAkRtWH	Sports;Outdoor Recreation;Camping	How do you use a toilet, trowel when camping!?	N/A
20090220004646AA4I2Fd	Sports;Martial Arts	Who founded Kung Fu? Please tell Me!?	Hi, I just wanted to know who founded Kung Fu?   In Wikipedia, it says like this:       "The origins of Chinese martial arts can be traced over 3,000 years ago to self-defense needs, hunting activities and military training in ancient China. Its believed to be originated from Ancient Tamils in India. Chinese Traders who used to trade through sea via India learnt this art form Ancient Saints known as sadhus and they popularized this art in Chinese militia. Hand-to-hand combat and weapons practice were important components in the training of Chinese soldiers.[3][4][5] From this beginning, Chinese martial arts proceeded to incorporate different philosophies and ideas into its practice—expanding its purpose from self-defense to health maintenance and finally as method of self-cultivation. Conversely, the influence of martial arts ideals in civilian society can be found in poetry, fiction, and eventually film. Chinese martial arts are now an integral element of Chinese culture."      See it by yourself:  http://en.wikipedia.org/wiki/Kung_fu       I just wanted to know! Please leave a use full comment!
20090220013923AAcnzfb	Sports;Fantasy Sports	I have Danny Granger on my fantasy basketball team. What do i do with him?	He got injured, and seems like he'll be out for at least 3 weeks. Is it worth holding onto him? Could i possibly trade him?
20090220021702AAVQMai	Sports;Martial Arts	Should I do Taekwondo  or Karate ?	I'm a 14 year old girl , about 5'3 and I'm quite flexible . I want to know whether it would be better for me to take Taekwondo or Karate. I can already kick quite high (a few inches above my head) but my upper body is quite weak and I want to strengthen it. I want to learn either Karate and Taekwondo to prepare myself for Kung Fu (there are no schools where I live and I will be going to China when after university).
20090220023922AA92UQs	Sports;Auto Racing;Formula One	HOW A GUY CAN WIN THE RACE?	N/A
20090220025402AAGUA4V	Sports;Olympics	Who was the Oz distance runner at the commonwealth games who famously said "bugger the silver I'm going for go?	ld!".  I think his name was Andrew someone.  He wasn't expected to finish in the medals but he ran the race of his life and the odds-on favourite misjudged the pace, went out too fast, and was overhauled by Andy who took the gold medal and hasn't stopped smiling since.
20090220031400AAYve61	Sports;Football (Soccer);Other - Soccer	Football (Soccer) Trivia?	1.the only team in the world that people know under the nickname and not the real team name      2.Which stadium in UK is named after a country      3.What is the connection between Dagenham and Redbridge and England 1966 gloried moment (person to help you)      4.UK manager that a song was written especially for      5.Year that Sir Alex won 1st International trophy
20090220033024AAlF7dz	Sports;Martial Arts	Karo parisyan vs marcus davis?	N/A
20090220034647AAJEhOo	Sports;Martial Arts	How to do a backflip... .. please help.. other Qs?	1st   i don't know if my jump is high enough or not... aand i i am afraid 2 to it and land it on my bak or my neck       .. and i don't want 2 do it  on a higher step cause i am afraid 2 fall on the step...    and i dont have a tramboline.    plus when i do it on mats or somthing soft it realy suck my jump...       plus .. i want to know what to do with my arms too cause i really cant get the arms part
20090220035955AAe5WyO	Sports;Wrestling	Is johnny nitro and john Morrison the same persons?	from wwe i noticed thier moves in the ring are about the same. also they both seem to come off cocky
20090220073150AAD7WR8	Sports;Wrestling	Is Michelle McCool in the music video let it rock ?	i was watching the music video and i swear i say her she is one of the girls that jump up in the crowd can you help ???
20090220051529AA8unUB	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Chelsea are gonna win something...?	 http://www.thesun.co.uk/sol/homepage/spo... 
20090220073005AAO4lvq	Sports;Wrestling	Who would win in a fight: Tyler Perry's Mabel "Madea The Mauler" Simmons vs. TNA's Awesome Kong?	N/A
20090220060343AAFdOpH	Sports;Wrestling	How was wrestling run before VKMJ ran the WWWF(now the WWE)?	How where wrestlers payed(weekly or only for the Matches they where in)?where they all contracted or where they only on waver(temporary 1 night contracts)?did they really have to pay for their own gas, lodging and food & drive their own cars thousands of miles between matches?Where they full time or only part time & had to have a regular job to pay bills like the rest of us?How did they find time to live a normal life & do all of this?
20090220075021AAb0EuO	Sports;Football (Soccer);Men's Premiere Leagues (UK)	￡70m facelift for Liverpool?	even the parks are ugly in Liverpool              http://www.liverpoolecho.co.uk/liverpool... 
20090220064126AAuKWDM	Sports;Wrestling	What if instead of being RAW GM, JBL becomes playboy bunny?	WQ : Do you think having Kozlov vs Undertaker instead of HBK vs Undertaker at WM 25 will be gay? For anyone who don't know about this match, read SD! spoiler for next week here and tell me what u think :       http://www.phenomforever.com/?p=2597#com... 
20090220080449AAS791E	Sports;Outdoor Recreation;Hunting	Birdshot Verses 00 Buckshot Effectiveness?	I've always believed that a load of birdshot in a home defense (indoors) situation would be effective.  I've had to revise that assumption after an incident at the school where I work.  An aggressive pitbull/mastiff mix had to be put down by a law efforcement officer on campus.  It took a full load of 00 buck  from a 12ga to the head at 10 feet.  The dog turned around and walked home where animal control officers found it still alive.  It was euthanized.     Any experiences with birdshot/buckshot effectiveness?
20090220075910AAS56Vw	Sports;Boxing	Joe Calzaghe vs Nigel Benn, who wins?	N/A
20090220074050AA8GjBK	Sports;Wrestling	Wrestling Section Users....Which Wrestler Would You Charactericse Yourself As?	Why?
20090220064145AAoKh8H	Sports;Hockey	If you could make a lineup?	Of your alltime favorite players that have played for your favorite team, what would it look like?       Keep in mind, I'm not asking for a lineup of the greatest players that have played for your team, just your personal favorites. Lets do the standard lineup 4 lines (any combo of forwards), 6 D (in pairs), 2 goalies, and a coach.      For the Pens, my all time favorite lineup would be this:      Forwards:   Mark Recchi, Lemieux, Malkin   Alex Kovalev, Ron Francis, Petr Sykora   Straka, Crosby, Jagr   Kevin Stevens, Staal, Rick Tocchet      D-   Paul Coffey, Larry Murphy   Gonchar, Darius Kasparaitus   Ulf Samuelsson, Orpik      G- Barrasso and Fleury      Coach- Badger Bob Johnson      What would yours look like?
20090220073433AAmuqIj	Sports;Cycling	Why do people do this when I ride my bike downtown...?	They make eye contact with me and then walk directly in front of my bike, as if they somehow don't notice this 35 lb chrome monster I'm riding. Then they squeal and act surprised when I have to swerve around them suddenly. Is there an unwritten rule that eye contact means the bike rider has to slam on their brakes? Because I would assume that the eye contact means "Oh, I see you on your bike and will not suddenly walk in front of you." What's the etiquette here?
20090220070336AAN3TPN	Sports;Running	Muscle excercises that strengthen the muscles need for sprinters? Any advice helpful thanks!?	N/A
20090220054955AAAwPI0	Sports;Outdoor Recreation;Other - Outdoor Recreation	Are enjoi decks good?	I've never rode an enjoi but i need a new deck. Do they have alot of pop? thanks
20090220044530AAbDuL1	Sports;Basketball	What BIG names if any do you see coming to the lakers after all the salary cap space being cleared?	iT seems as if the lakers are putting themselves in the position to acquire another franchise player with all the trades being made this year,      what say you?
20090220050017AAOtoFM	Sports;Basketball	Can you beat OBAMA one on one in a basketball game up to 13, win by twos?	N/A
20090220043450AAITO45	Sports;Cricket	Who the hell is that (8)?	 http://i699.photobucket.com/albums/vv359... 
20090220043742AAwA4qV	Sports;Baseball	What do you mean when you say that someone plays baseball like a girl?	N/A
20090220062722AAAOJyC	Sports;Football (Soccer);2006 FIFA World Cup(TM)	Now that the USA beat Mexico...?	We are the official kings of CONCACAF, USA always has been and always will be better then you guys down south.
20090220053926AAObcQw	Sports;Baseball	What do you love about spring training?	What makes that month of baseball so great?
20090220054336AAvR4qG	Sports;Baseball	What team is Pedro gonna play for?	Will Pedro be tossing for the orange and blue in 2009, or is he gonna be somewhere else?
20090220054050AAFjc3o	Sports;Baseball	Does anybody know when the old Yankee Stadium is going to be demolished?	N/A
20090220053131AAbf5Vx	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Why is Steven Gerrard feeling a little unloved?	 http://www.timesonline.co.uk/tol/sport/f... 
20090220072139AAfa1Ec	Sports;Wrestling	Does wrestlemania seem like crap to you?	john cena facing edge yet again , randy orton facing HHH for the 39549697,49458940489 and fifty second time. no thanks.
20090220074922AAa2nvp	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Best Premier League Right Back of all time?	Who do you think?
20090220064119AA0AcHy	Sports;Martial Arts	Do all martial artists eventually suffer from pintched siatic nerve?	N/A
20090220080050AAU9qzf	Sports;Martial Arts	I am just wondering who you would pick?	Ok so if you could pick any person dead or alive... who would you pick to train with.   and why?      i does not have to be someone famous either.       Mine would be Jet Li  because he is so quick and everything he does is crisp and it flows.
20090220044956AAeoJuf	Sports;Tennis	Is Andy Roddick a show off?	Every time i watch a TV interview with Andy, is either taken place in his private jet, million dollars boat or sitting by his private swimming pool.
20090220044426AAeIUBs	Sports;Tennis	Will the Williams sisters play this year in the Indian Wells?	I love watching them & they are the best female tennis player in the last decade & i would love to see them play the Indian Wells regardless of how racist the fans are over there
20090220064638AAjseTE	Sports;Cricket	Does India stands among the best nations in the world?	What will usually come to your mind when you think of India........Do you think it is the best nation....or it is one of the best nations
20090220051115AA0StZH	Sports;Tennis	Anyone has (or had) Head Liquidmetal RAVE? What do you think of it?	Does it have good control? How about power?
20090220073422AAtokVP	Sports;Outdoor Recreation;Other - Outdoor Recreation	Where can I get extra shells for my m180c2 airsoft shotgun?	I recently bought 2 m180c2 airsoft shotguns.one for me and one for my dad but we need extra shells and I cant find any.Someone on a review said he bought some for $10 but doesnt say where.Someone please help me.
20090220063207AAZyjsK	Sports;Outdoor Recreation;Hunting	Whats the best .22 rifle for a beginner?	Im 13 and i shot  2 .22's and i loved it, so now im thinking about getting one. Preferably i would like a wooden one, about under $230.   Could you also give me the link because i can never find them online.
20090220074104AAvfI3U	Sports;Boxing	Wher to see the Cotto vs Jennings fight in the Atlanta, GA area?	N/A
20090220063706AARbVvN	Sports;Football (Soccer);Other - Soccer	Ok who is your favorite from these soccer teams....?	Okay the best answer will be chosen for the reasons behind your choice:      the choices are:      -Chelsea   -Manchester United   -Liverpool      ??????????????????????????
20090220044524AArURu6	Sports;Hockey	Best field hockey stick?	I am thinking about buying a new hockey stick and was curious to see which make people think is the best for quality and price.    My past sticks have tended to be Mercian's or Malick's.    Any other suggestions?
20090220055146AAZIoNO	Sports;Baseball	Do you like barry bonds?	N/A
20090220055037AAOa6Th	Sports;Basketball	Will shaq go back to the lakers?	N/A
20090220044953AAzjh5H	Sports;Basketball	Who averages the most points in the nba?	N/A
20090220053340AA3Uwcz	Sports;Boxing	In boxing why does everyone talk about the middlewights not the heavywight?	like everyone talks about myweather and no one nos wladimir klitschko who can beat floyed in 1 round
20090220060050AAfB1mB	Sports;Basketball	What do you think of the final trades that were made last night?	N/A
20090220065420AAlCta4	Sports;Wrestling	What Wrestlers will NEVER hold a World title and why?	N/A
20090220071025AASPrll	Sports;Wrestling	Will Hulk Hogan Wrestle At WrestleMania?	I hope he doesn't Vince needs the active wrestlers on the show
20090220063927AALYzkT	Sports;Cricket	Is EA sports cricket 2008 released? If yes please give me a link. If no when will it come?	N/A
20090220061117AALJ1uP	Sports;Football (American)	Who is the bestest Mexican American QB to ever play in the NFL?	N/A
20090220045955AAlhJKy	Sports;Wrestling	Any trade rumors in the wwe. like from smackdown to raw trading? santino's admiroior? dont read: some spoliers?	first, i posted a  question about who santinos secret admorior was, and it looks like its golddust, what do you think about that?   also, i have looked online, and it looks like that the wwe champ, thriple h has been traded by john cena. so it looks like that wwe championship is now going back to raw. what do you think?
20090220070629AA6DgS5	Sports;Football (American)	How do you get on the tv show madden nation?	tell me everything i have no idea how you get on the show
20090220073503AAbMpC5	Sports;Wrestling	Will Vladimir Kozlov be a future World Champion?	N/A
20090220075131AAdDyZ3	Sports;Basketball	2k9 Association Question?? What should I do, Easy Questions....?	Should I Start with -----      -Fantasy Draft   -08-09 Season   -February 21 2009   -09-10 Season      Which One of those 4 Should I start With
20090220062631AAGQqJR	Sports;Basketball	Are there nba teams that are offensive minded that won championships?	i dont remember any...spurs bulls lakers and celts were all defense oriented teams....you remember any teams that won championships while being an offensive team>>??? i dont know any...tell only teams from 1990s era since
20090220061656AAV8ZYT	Sports;Wrestling	Who is the best "talker" in the wwe?	i say ric flair
20090220060049AAQ7qTE	Sports;Wrestling	Will they ever give big show a push?	N/A
20090220044408AACLTzv	Sports;Martial Arts	Can a person paralyze another person using bare hands?	i've been curious, can a person really paralyze anyone with only bare hands and can it also be used for self-defense?... please answer or give me a website containing details???
20090220050219AAoXUZn	Sports;Wrestling	Who would you add to the ECW roster to make it more exciting?	And do you think it should go 2 hours
20090220043921AA6qTSr	Sports;Surfing	Looking For a surfboard 15 learner?	I am 15 roughly 170cm  what size board will fit me???
20090220042751AAIlhQ4	Sports;Outdoor Recreation;Other - Outdoor Recreation	Can Airsoft Guns be manufactured in the UK?	Im wondering if it possible for airsoft guns to be made in the UK?      At the moment we mainly get them from Japan/China   (Tokyo Marui, Classic Army, Star..etc)      Im wondering if anyone could make airsoft guns for the sport legally in the UK?
20090220043759AAJAHvR	Sports;Other - Sports	Is 15 too late to start gymnastics?	im 15 and i want to start gymnastics   im not flexible at all but i would love to get flexible + be a great gymnast but is 15 too late to start gymnastics? :(      x
20090220044841AAPsXyv	Sports;Winter Sports;Snow Skiing	How many pepoles skiing?	N/A
20090220045736AACtaUQ	Sports;Other - Sports	Skatepark Grants in the UK?	Can anybody give me hyperlinks to grant sites in the united kingdom based around skateparks? We're looking for a skatepark in our local village but we need grants first. Thanks!
20090220050620AAZiArc	Sports;Basketball	Need help with NBA 2k9 season mode..?	1. When I save my season mode, turn my ps2 off, then turn it on again the next day, i cant load my season mode, its gone. Then i have to start a new one.      2. How do you trade/buy players in the season mode?      - Thanks
20090220050649AA0wN62	Sports;Basketball	Where to sell nba trading cards online?	i have a little collection of nba cards, about a decade old,  i don't know what to do with it now, i just want to find out if it still has value and maybe i can sell them. . .
20090220051422AA6pK0v	Sports;Football (Soccer);Men's Premiere Leagues (UK)	What is the date of the 2009 blue square premier final?	and/or does anyone knows the play off dates as well? :)
20090220051537AArIuvM	Sports;Wrestling	What is a cool wrestling ring entrance song?	im considering changing my entrance song and was wondering what i should change it to i backyard wrestle so any ideas would be cool the best answer will get the 10 points and i will use that song .       my current song is inside the fire by disturbed
