20090226192848AAK3TRN	Food & Drink;Cooking & Recipes	How can dinner rolls be eaten?	Besides with butter, what other ways can they be eaten?
20090226213901AAhb21U	Food & Drink;Non-Alcoholic Drinks	What is the difference between distilled water and spring water?	At some grocery stores I notice that distilled water is a little bit more  (in cents) expensive than spring. Why?
20090226171414AAVN3le	Food & Drink;Other - Food & Drink	Anyone know any smoothie recipes?	does anyone have any really good smoothie recipes or like some kind of fruity drink like drink at tropical smoothie cafe or surf city    and can it be the exact recipe pleaseeeee   thankssss
20090226203317AAaaHfe	Food & Drink;Cooking & Recipes	What are some good recipes for chicken breasts?	my dad just boght us a bus load!! i dunno what to do with all them!!
20090226220226AA0uvb0	Food & Drink;Cooking & Recipes	Can you name a food that's tasty but not well known in U.S.A?	N/A
20090226192211AAQJVfN	Food & Drink;Other - Food & Drink	What's your favourite ice-cream flavour?	mine is black sesame
20090226212105AA7KkgA	Food & Drink;Other - Food & Drink	Would you go eat a restaraunt to eat meatloaf?	I saw a movie where a guy was eating a meal with meatloaf, mashed potatoes and vegetables and I don't get it because I would never go eat at a restaurant by myself just to have a meatloaf meal.  I mean to me that's just so lame.  I realize he may of did it because it looked like he finished work late because he was wearing a suit with a tie.  So he decided to eat somewhere before he went home because by time he would get home and cooked something himself it would be much later, 1981 was before tv dinners I guess.  I guess he possibly chose the meat loaf meal because it was the cheapest on the menu and he doesn't make a very good living with his job.  Well I no matter what will never eat alone in a restaurant, especially meat loaf of all things!  Besides, according to the movie that's how you get shot by someone who wants revenge. :-)   Lol, do you know what movie I'm talking about?
20090226201248AAysJjU	Food & Drink;Other - Food & Drink	Has this salmon gone bad?	I lost most of my sense of smell from the flu a few months ago so I need some help.  The salmon was previously frozen and put it on the counter to thaw, I fell asleep and let it thaw between 1-2 hours more than I wanted it to.  I was room temperature when I woke up. It has then been in the refrigerator for two days.  It smells like sea scallops now.  Is it ok to eat?   How will I know if it is spoiled?
20090226212132AAgdK2P	Food & Drink;Beer, Wine & Spirits	What do you think is the best light beer?	I know that most of you on BW&S think that being the best light beer is like winning the Special Olympics, but seriously, it's a legit question.   I prefer Miller Lite.
20090226190020AARf7Fw	Food & Drink;Other - Food & Drink	I like clams but I noticed that a lot of 'em have nasty black mush inside...?	The black mush really turns me off of the clams. Do all clams have this mush?    Do cherrystone clams have the mush in them? If so, is there any way to get rid of it besides soaking them in salt water? All of the flavor and the vitamins get soaked up in the water...
20090226214000AARMnUO	Food & Drink;Beer, Wine & Spirits	Can ice breakers sours tropical get old?	lol I just bought from acme today and I already ate like half of them. but can't they get old? they date on them say DEC 2007.
20090226212230AAdnWxv	Food & Drink;Beer, Wine & Spirits	Which fermentation lock is better?	Which is sturdier, more versatile, blocks out air better and doesn't break as easily, the 3 piece fermentation lock -  http://www.ejwren.com/servlet/the-313/3-...  or the 1 piece S-shaped lock -  http://www.autho-rity.info/brew2/fixing_...  Thank you.
20090226204540AAvP2UR	Food & Drink;Other - Food & Drink	Eating a Potato Once a Day?	one of my friends say that eating a potato is good for you.   its low on carbs, its cheap, and it fills you up easily.   i go on wikipedia and they're talking about toxic chemicals or something inside of it.   i'm a very busy person and i don't really have enough time to go make food for once.   i never thought about eating once or more a day   she also says its good for dieting.   so, is it okay to eat a potato once a day? or more?   what are the ups and downs of eating it?   is it healthy for a diet?   please answer.   thanks.
20090226215900AASy8qH	Food & Drink;Beer, Wine & Spirits	I WILL PREFFER MY FAMILY FIRST , NOT FOR DRINK WHAT ABOUT    U ??	N/A
20090226211324AAyOrF0	Food & Drink;Cooking & Recipes	Peanut Butter and Jelly Sandwich?	What is the common jelly used in PB&J's? Is it grape jelly?   I have been debating with my boyfriend and he says it is strawberry jelly that is in the ORIGINAL PB&J. I say grape.....      Anyone?
20090226212315AAsKlE4	Food & Drink;Other - Food & Drink	What food has a good amount of fibres?	actually i am suffering from IBS
20090226205810AA3VBxK	Food & Drink;Beer, Wine & Spirits	What is the best beer out there?	Sam Adams is pretty good, but I am interested in what other people feel is the best!
20090226201606AAlFe7s	Food & Drink;Vegetarian & Vegan	How old do you need to be to stop eating meat?	Hi i am 13 yrs. old and I want to become a vegetarian but my mom says i cant be one until i and 16 and talked to some professionals about it. I have never really ate meat. I just put it back in the pan . After 2 yrs I started to become sick but that was when I was 5. I started Again 5 months ago but my stomach has been hurting. How long can I keep this up for without taking Vitamins or without my mom knowing?
20090226202028AAQcdFx	Food & Drink;Non-Alcoholic Drinks	What store sells Nestle Milo?	Hello, I am looking to buy Nestle Milo made from Australia, I am planning to do a tim tam slam, I live in southern California in Orange county. Fortunately I have a world market a mile from me which sell Tim Tams. But the thing is, they don't sell Nestle Milo which is an Australian hot chocolate beverage. Do you know any national/markets groceries stores that sell them? Thanks !
20090226201306AAe73kW	Food & Drink;Other - Food & Drink	So, whats your favourite breakfast and why?	mines porridge with loadssssss of sugar or jordans country crisp cereal with the strawberries in, yummy!
20090226205949AACwKXy	Food & Drink;Cooking & Recipes	What is the difference between filet mignon and beef tenderloin?	N/A
20090226214737AAFTs61	Food & Drink;Vegetarian & Vegan	How can I become vegetarian?	How can I cope with the food at my house.  Unfortunately I still live under my parents jurisdiction.  I would like to become vegetarian, I have tried it in the past, but everything at my home is served with meat.  I guess I'm a bit scared to tell my mom because she gets extremely offended when we don't eat what she makes.  In the past when I tried being vegetarian, they laughed at me in a way.   So far I don't eat any birds, and that is it.  But I would like to start cutting off the beef (which is served everyday at home), does anyone have any help they can offer?
20090226212841AAD8tY9	Food & Drink;Other - Food & Drink	How long can you leave deli meat in the fridge until it goes bad?	I always get paranoid about the food and how long it has been in the fridge. I usually get a half-pound of turkey and roast beef. What would be a safe time to allow. There's no expiration when you get it cut at the deli, so I dunno? Do I judge if it smells weird?
20090226212655AAYZgQ4	Food & Drink;Cooking & Recipes	Looking for a specific stuffed french toast recipe with cream cheese?	I am looking for a recipe for a french toast that is made with French bread, cream cheese, eggs, half-n-half, etc. I remember you cut the bread in cubes and place it in the pan, then you cut the cream cheese into cubes and sprinkle it over the bread. Then you mix the liquid ingredients and pour them over the top, press down to make the bread soak it up and then bake. Problem is I am missing the recipe with ingredient list. Do you have this recipe? Please help me find it! Thanks!
20090226212840AAmDuZ1	Food & Drink;Other - Food & Drink	How is life as a fast food cashier?	I don't have any experience working retail jobs, but I'm considering a job as a cashier.      I did a CareerCritique search on it and found this review (the one posted by DCGirl):       http://www.careercritique.com/addcomment...       Are the pay and hours typical for this sort of fast food cashier job?  I know I don't want to be a fast food cook haha!
20090226213005AAvrqHk	Food & Drink;Vegetarian & Vegan	Is Soap & Glory animal friendly?	Soap & Glory is a UK based cosmectic's company
20090226213918AAUtvZj	Food & Drink;Cooking & Recipes	Is it okay to use spoiled butter to make brownies? I don't think it is, but I want to make sure.?	My dad wasn't sure so he asked me to ask on the internet.
20090226214930AA3Fc8o	Food & Drink;Cooking & Recipes	Good food ideas for family of 2?	So it is me and my daughter and I need something to show I can really cook. I am really good, she says. But, I want something other than what I usually make, noodles and corn with peppers. If you could help that would be great.      In advance, thanks!      P.S. My daughter is a vegetarian!
20090226214937AA1OJkC	Food & Drink;Cooking & Recipes	Where can I buy baby octopus in singapore?	Hello there [:   Can anyone tell me where can I buy baby octopus in singapore?
20090226215422AABqXTE	Food & Drink;Other - Food & Drink	What do you mean from PEPSI?	N/A
20090226215914AAOK2g9	Food & Drink;Non-Alcoholic Drinks	What is pepsin? whether it is used in pepsi? what are the ingredients of it and whether it is halal?	N/A
20090226220029AAQO5HA	Food & Drink;Non-Alcoholic Drinks	Drinking Shotz Energy?	Im 16 years old. But the bottle said 17 and older. Can i still drink it even though im 16 years old?      Does Shotz Energy be used for runners?
20090226161712AAV1Pop	Food & Drink;Other - Food & Drink	Does 1 Reece's cup really equal 20 pancakes?	A girl in my child development class told me that it did, and its been on my mind every since then. I need some reassurance just so i can go back to eating my beloved Reece cup again...(sigh) lol
20090226195033AALtWUv	Food & Drink;Cooking & Recipes	Does anyone know any Central American Recipe's that are kind of easy? And that i dont have to buy much for..?	Im in a class where there asking me to make a food from Central America.. I cant seem to find a recipe that i can use that i dont have to go buy a bunch of new things.. can anyone help me???
20090226201702AAYzroF	Food & Drink;Other - Food & Drink	What is the difference bettween a Muffin and a Cupcake?	i think it is that 1 has sugar and the other doesnt, what do u think , o and help me out on this question plz     http://answers.yahoo.com/question/index?... 
20090226203403AA1VDYZ	Food & Drink;Cooking & Recipes	How do you make crabby patties?	N/A
20090226213317AAzSDeI	Food & Drink;Other - Food & Drink	What supermarkets in Van Nuys California accept Wic checks?	N/A
20090225144334AASp5Cb	Food & Drink;Cooking & Recipes	What to cook with ground turkey?	any ideas I have other thing around the house
20090226202007AACuOlm	Food & Drink;Cooking & Recipes	What do I make for breakfast? Its 12.10 a.m.(here) and id like something heavy.?	Yeah I know its lunch time but I woke up at 11. Ive made scrambled eggs last week so I want to try something new this week. Ive got no flour so that cancels out Crepes and Pancakes. Sigh. I dont have any fruits either except that common apple. And loads of them. So any recipes that I can make without non-apple fruits and flour? And doesnt involve with any baking. My oven is resting in peace.   Ive got the basics - Milk,cheese,egg,butter. Gosh, I'm hungry.       Thank You. Your answers are really appreciated.
20090225150243AAViP7z	Food & Drink;Cooking & Recipes	What do i mix with jello?	okay. so i have jello mix not made [black berry] what do i put in it for a smoothie? i have to know in the next 10 min. or so.   no ice cream i have. jello mix. milk. whipped cream. jelly.
20090428124021AAmXC8n	Food & Drink;Vegetarian & Vegan	Vegan foods to eat after getting wisdom teeth out?	I'm not going to be able to eat alot of the stuff I usually do...and I obviously can't have jello. I know applesauce would be good, but do you have anymore suggestions???
20090225141229AAgrI3A	Food & Drink;Cooking & Recipes	How long and what temp do I bake my potatoes?	forgot to mention I have 3 potatoes. Medium size.
20090225130833AANiOcz	Food & Drink;Other - Food & Drink	How many fruits do u eat daily?	I`ve heard fruits r expensive in some countries and they don`t eat fruit like us there!!!!   U know I usually eat 3 or 4 fruits a day(oranges,apples,lemons....) and I believe many people here(IRAN) do so,we buy kilos of fruits and eat    them!!!,   Is it like this in ur country?   (where r u from?)
20060709021447AA5inPw	Food & Drink;Cooking & Recipes	How do I make dog foods.?	Please give me non-baked ones. Thanks a lot.
20090225113711AA1jf6q	Food & Drink;Beer, Wine & Spirits	Poll:Anyone else here enjoying an ice cold beer? Whats your favorite alchoholic beverage?	I sure love an ice cold Budweiser after a crappy morning! What do you wind down with?
20090226202339AAPcFyf	Food & Drink;Cooking & Recipes	What are some tasty ways to cook vegetables while on a diet?	im on a diet and im looking for some simple dishes i can make from mainly vegetables like broccoli, carrots, tomatoes and cucumbers.
20060803122341AAOhSe3	Food & Drink;Other - Food & Drink	What will make me fatter - McD's or BKing?	N/A
20090225123931AAGLMYE	Food & Drink;Other - Food & Drink	Whats your fave new walkers crisps flavour?	i just tried fish and chips after searching for ages for them, YUK!
20090226155220AAuomSS	Food & Drink;Non-Alcoholic Drinks	Is it bad too drink bathroom tap water ?	I do;   Its proberbly the best water I've ever tasted =D
20090225123716AAaAv3o	Food & Drink;Cooking & Recipes	Does anyone have any good recipes for the following? (see below)?	low fat or regular cheese ravioli (no meat)   Beer bread   If anyone knows any good salads or types of salad to go with raspberry vinaigrette dressing   thank you
20090225131006AAv1i94	Food & Drink;Other - Food & Drink	If im going to give up meat for lent, does that include chicken and seafood as well?	I was thinking of givin up meat like beef and pork, but does chicken and seafood include? if I mean givin up meat?
20090429113749AAWAvWC	Food & Drink;Vegetarian & Vegan	What are vegetarian stuff that you can eat at these fast food resturants other then salads?	I hardly even eat at FF resturants,in fact I don't think I've eaten at one all year,but my mom sometimes buys from it.      So,White Castles and Mcdonalds.      I can't stand lettuce,so no salads,and I hate apples,so no apples.    Do Mcdonalds still put beaf extract in their french fries(why do they even do that?)? Also,are there milkshakes vegetarian(I'm lacto-ovo,so milk's okay with me)?      Also,White Castles..      I would search there websites myself,but I don't have a mouse right now since mine broke like 3 weeks ago,and you need a mouse to search those websites.
20090225105440AAiwd6z	Food & Drink;Beer, Wine & Spirits	Which beer to choose for a party?	I have some friends coming over age between 23-27 maybe 5friends so im the host i want to buy beer which beer you think i should choose?      This is my local supermarket list of beers prices,pictures etc.. please have a look       http://www.foodtown.co.nz/HomeShopping/S... 
20080707191240AAGTHaD	Food & Drink;Beer, Wine & Spirits	Alternates Syrup to put in purple drink (store brand)?	alternates Syrup to put in purple drink (store brand)
20090226210320AArZ2iQ	Food & Drink;Beer, Wine & Spirits	After having alcohol poisoning how long should I wait before drinking again?	I'm 19 yr old male, weigh about 60 kgs, 5' 6'' tall and slim. I had alcohol poisoning around 4 days back when I drank 500ml of Tequila and 333ml of Margarita with some friends. I went crazy after that: lost control of myself, threw up all over my friend's place and they had to call 911. I guess not having any solid food within 5 hrs of drinking and taking in shots made the situation worse, because a week before that I drank 250 ml of Rum without any significant effect.      Anyways after having that alcohol poisoning I had to spend a night in a hospital & was released the next morning. I felt quite weak for almost a day and a half but now I'm quite fine.       Now I was wondering how long should I wait before drinking again so that I don't have poisoning again. Do you think 6 days should be enough?       P.S. -  I just started drinking for about a month now.
20081027200922AAIz751	Food & Drink;Vegetarian & Vegan	PLEASE! I need answers!?	Is the drink, Kefir, ok to give to my 1 year old in his bottle.       He loves it and it is the only thing, other than juice, that he will drink in his bottle. It says that it is a cousin of yogurt and I know that it is very good for you, but I don't know if there is such a thing as too much of it. Please help me. I don't want to give anything bad to my baby.
20090226202810AAtKm7s	Food & Drink;Cooking & Recipes	What is the best way to cook a Waygu rump steak?	Im cooking Waygu rump tonight, what is the best cooking method for it, mind you i like my steak rare.
20090225123740AAVRBqI	Food & Drink;Cooking & Recipes	When I make lasange how can I stop my sheets from burning?	Also to make the white sauce shall I use mozzarella and ricotto only or the flour and milk combination? I've got the meat/tomato bit sorted but the pasta/white sauce bit cant get right? x
20090428140816AAjhdZE	Food & Drink;Cooking & Recipes	I'm cooking for my fam 2night need help ASAP!!?	I'm cooking dinner for my family tonight and I really don't want to screw it up. Were having hot dogs and hamburgers. So far I have sides of cheesy potatoes and noodles in italian sauce. Any suggestions for other sides besides french fries? Also, I need a recipe with few ingredients
20060628092410AAgCJie	Food & Drink;Cooking & Recipes	What is the recipe for garlic noodles from Crustacean (Beverly Hills/San Francisco?	N/A
20060827132903AAL7S2f	Food & Drink;Beer, Wine & Spirits	Can someone please help me figure this out??? Thx?	I am trying to figure out why when you drink a shooter through a straw you get more drunk then if you just shoot it. thanks!!!!!!
20061014002349AAwIxDj	Food & Drink;Other - Food & Drink	Does anyone know where is the tanjung rhu pau?	N/A
20061023092522AAsseRg	Food & Drink;Cooking & Recipes	My programme timer won't go off and I've lost my booklet.  My cooker is a Cannon Camberley.  Anyone know how t	I know its easy to do but have forgotten how
20061031065507AA1l6ua	Food & Drink;Cooking & Recipes	What is the best way to Roast Pumpking seeds?	N/A
20070129080418AAdKltS	Food & Drink;Other - Food & Drink	Are there any 100% natural fruit juice waters available i.e., specifically no splenda at all.?	No additives, no after taste..
20090226154949AAUiO5j	Food & Drink;Cooking & Recipes	Can I thaw frozen meat on the counter?	Is it ok to leave a package of frozen beef on the counter to thaw quicker? Or should I just keep it in the fridge for 24 hrs or so.
20090226202813AAWRPqX	Food & Drink;Cooking & Recipes	Need great appetizer recipes to pair with margaritas to serve two?	My niece and I are having a movie night and she has researched margarita recipes for us to try and I am bringing the snacks. If you have any great appetizer recipes to share that would go great with ritas please share! TIA
20081110064349AAQ5kS8	Food & Drink;Ethnic Cuisine	Does anyone know where I can find essenza di senape (mustard essence) in the UK or import from Italy? ?	I'm NOT looking for the Bach homeopathy Mustard Flower essence, but the super hot mustard concentrate used in Mostarda Di Cremona.
20080707191809AAC8spg	Food & Drink;Beer, Wine & Spirits	Promoter for alcohol at bars and clubs?	I want to work for companies like Absolute , Bacardi..etc..... at clubs or bars. How do I go about doing that? Do you have to be thin also?
20081011173240AAo1ePX	Food & Drink;Cooking & Recipes	Can i use yeast instead of baking powder?	N/A
20081015015448AAHWHdM	Food & Drink;Beer, Wine & Spirits	Help! I will produce wine? ?	please recommend  fruits that can be mixed with coconut water to produce wine?      thank you!
20081021003751AA2Bu6Y	Food & Drink;Non-Alcoholic Drinks	Is Lemonade Vitamin Water Nice?	tell me more!         TEN POINTS FOR BEST ANSWER      
20081030182622AA86HFM	Food & Drink;Beer, Wine & Spirits	Does an unopened Smirnoff expire?	My sister left an unopened bottle of Smirnoff in our closet when she moved out, and it's been sitting there for a while. I checked the expiry date, and I think it might have expired in 2006, but I might have read it wrong. :)      I wanna drink it, but I don't know how it would taste.      Will it be flat? Will it make me sick? Will the punch be gone?
20090128113847AA90iP9	Food & Drink;Entertaining	Iam going to a party like this?	Yes IM invited to this clue party they said I  can come to the clue party dressed like one of the players. Mr. Green  Scarlet Professor Plum Mr. Mustard Mrs Peacock so what one do you like to be if you came to a party like that. let me know thanks and with what weapon
20090128112434AA21BNp	Food & Drink;Cooking & Recipes	What is a non-reactive pan?	making pickles for the first time. recipe says to use a non-reactive pan. i'm assuming that is because of the vinegar?   my cookware is non-stick anodized aluminum. kind of like calphalon with a no stick coating. would this be alright to use?
20090225123809AARP6oU	Food & Drink;Beer, Wine & Spirits	How would you determine if someone was an alcoholic?	N/A
20090128111316AAtllM7	Food & Drink;Vegetarian & Vegan	Is the soy milk still good?	It says it doesn't expire until Feb 21, but then it also says something like "freshest taste if used before 7 days after opening"      So, if it's been longer than 7 days, is it still good to drink since it isn't Feb 21 yet?
20090128115338AA0h8p8	Food & Drink;Cooking & Recipes	Anyone know of any spicy recipes?	Does anyone happen to know any extremely spicy recipes?      I'd prefer Chili, but any type will do :)      I want to try and cook something new.
20090225122702AA6rzQs	Food & Drink;Vegetarian & Vegan	Can Vegetarians eat chicken?	My mother in law claim she's been a vegetarian for 15 year now, but she eats chicken and fish. She says vegetarian's can eat poultry and fish. But, I've always thought real vegetarian's don't eat any meat at all? Also, my brother in law seems to think he's a vegetarian as well. but once he sees some hamburger he says "oh, i think I'll slip up this once" so.. is he a fake as well?
20090225123108AAFBdr1	Food & Drink;Vegetarian & Vegan	I'm a vegetarian but I think I eat too many carbohydrates?	I am not exactly sure what classifies as Carbs, but these are the things I eat that I think are carbs:  lentils and rice, wheat bread, brown rice      Are these things Carbohydrates?        Also, can someone give me some low Carb/Low Fat veggie recipes for a light dinner?
20090225122409AALpmue	Food & Drink;Vegetarian & Vegan	On the website freerice, I raised 1,100 grains...?	how many people can that feed?
20090225124516AAbiRZK	Food & Drink;Cooking & Recipes	Good Recipe with Chicken Breast & Rice?	Okay, so we have some rice & some chicken breast.  What can we make that sounds good for dinner? Need new ideas, tired of eating the same things over and over.  We usually make some beans with rice.  How bout a gravy?  or a new kind of sauce?  Or ANYTHING.  Lookin for some new recipes :)  That just happens to be what we set out.  But I don't feel like eating that.  I want to try something new!  Thanks in advance for the help!
20090225123258AAupG1e	Food & Drink;Vegetarian & Vegan	Will Toasting a Sandwich with the Turkey/Cheese/Vegatable/ LOSE IT NUTRIENTS?	Because i like toasting sandwiches, it melts the cheese and makes the bread crispy but i'm starting to eat healthy but will toasting the WHOLE sandwich lose its nutrients it had before being toasted? :)
20090225124344AAhuN4y	Food & Drink;Ethnic Cuisine	I make hummus, but it doesn't taste like the store kind. What spices do they use?	whenever I make hummus I use   1. canned chickpeas    2. tahini   3. olive oil   4. lemon   5. salt & pepper   6. raw garlic   7. cumin   all purpose seasoning(ingridients-salt, granulated garlic, oregano and turmenic)      but it's missing something major   the store hummus has all these ingredients(1-4 I think) except it has roasted garlic and "spices"      roasted garlic probably makes a big difference but idk how to do that      and does anyone know what "spices" are in it?
20090225124327AAea0SP	Food & Drink;Ethnic Cuisine	Is there really food called Rocky Mountain Oysters?	N/A
20090225124059AAjeKVT	Food & Drink;Vegetarian & Vegan	What is PETA's appeal? LIke what makes you want to join?	Well I have to do a project for school on an organized group being the vegetarian I am I chose PETA. well I was having trouble with what makes you want to join PETA  personally I don't love PETA but i don't hate it either. Anyway what made you join PETA if you are a member or if your considering to join.   I am not trying to offend anyone just give me a legit answer please and thank you. :D
20090225124509AAnBrZw	Food & Drink;Other - Food & Drink	Does anyone have any easy recipes for a slow cooker?	I have recently purchased a slow cooker and want to find some beginner level/easy recipes to try out. Any suggestions?
20090225124429AAh8rYl	Food & Drink;Other - Food & Drink	What was the price of a galaxy chocolate bar in 1992?	N/A
20090225124006AArlH84	Food & Drink;Other - Food & Drink	World's Best Chocolate Frosting?	Me and my mom want to make some chocolate frosting and we need a great recipe without alot of sugar because my dad is diabetic and we need a good recipe for chocolate frosting. Either if you found it off the internet or its your own recipe can you five it to me please!!!!
20090225124455AAYP7lH	Food & Drink;Entertaining	Birthday Party Ideas?	I'm turning 13 next week and I don't know what kind of party I want to have. Any ideas? Info;   13 year old girl   Mixed party (boys and girls)    4 people    Next week --The 8th   Las Vegas
20090128105926AAiSteI	Food & Drink;Entertaining	Soundtrack for a mexican dinner party...?	Hi all...  Looking for your help again.      Having a mexican dinner party...  And have the food, the decs and the Pinata sorted...  But no music!      Could anybody please suggest some artists, songs, etc, for me to play?      Many thanx in advance for your help.
