20070125134528AAH28ID	Yahoo! Products;Yahoo! Answers	How come none of the celebrity users of Yahoo! Answers ever answer any of our normal mortal questions?	Is it cause they have a superiority complex?
20080518141821AARW455	Yahoo! Products;Yahoo! Answers	O POVO FALA o POVO FALA MESMO??? Mas o que o POVO FALA MESMO DE VOCê?	Vox Populi   Ana Carolina   Composi??o: Ana Carolina      O povo fala, o povo fala mesmo   O povo fala, o povo fala mesmo      Andam dizendo que eu meto a m?o   Eu toco forte, eu furo o couro   Eu mando bala, eu meto a cara   Mas eu n?o fujo do combate      Que eu jogo duro, eu brigo feio, mando a lima   Sonho alto, quero muito e nada me sufoca   Mas nada disso me provoca      E comentam que eu corro muito, invento moda   Caio dentro e nada disso me entristece   é gente que n?o me conhece      O povo fala, o povo fala mesmo   O povo fala, o povo fala mesmo      O povo fala e fala mesmo e falam pelos cotovelos   Se eu bebo de madrugada me chamam de arruaceiro   Quando eu bato, quando eu brigo,   me chamam de barraqueiro   Eu vou fazendo meu batuque, me chamam de batuqueiro      Fala, o povo fala mesmo   O povo fala, o povo fala mesmo      E se eu t? forte, t? na pilha, já me chamam de parceiro   Mas se eu t? numa cilada, n?o passo de maloqueiro   Se eu t? sempre numa esquina, viro logo macumbeiro   Quando eu mudo a levada, eu levo fama de funkeiro      Fala, o povo fala mesmo   O povo fala, o povo fala mesmo      Compensando a anatomia, o povo fala sem ter dó   S?o dois olhos, dois ouvidos, mas a boca é uma só   E fala, o povo fala mesmo      O povo fala,o povo fala mesmo      Andam dizendo que eu meto a m?o   Eu toco forte, eu furo o couro   Eu mando bala, eu meto a cara   Mas eu n?o fujo do combate      Que eu jogo duro, eu brigo feio, mando a lima   Sonho alto, quero muito e nada me sufoca   Mas nada disso me provoca      E comentam que eu corro muito, invento moda   Caio dentro e nada disso me entristece   é gente que n?o me conhece      O povo fala, o povo fala mesmo   O povo fala, e o povo fala mesmo
20081117041246AAwstGy	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	Someone has hijacked my yahoo mail address and sends spam ! What do I have to do now ?	How can I contact Yahoo to ask them to take necessary actions ?
20080421094147AA2Iaxu	Yahoo! Products;Yahoo! Answers	Voce custuma responder mais o que gosta ou os que gosta aqui no site?	N/A
20081121111632AAdBxa2	Yahoo! Products;Yahoo! Answers	As vezes vc tem vontade de........?	N/A
20081120105114AAQvK5E	Yahoo! Products;Yahoo! Groups	Você acredita que a verdade sempre vem a tona? E que a mentira tem pernas curtas?	Eu acredito que a verdade sempre vence   tarda mas n?o falha      bj crian?as ???   tenham todos uma ótima tarde ?
20081101141716AAzR7Yi	Yahoo! Products;Yahoo! Answers	QUEM aqui tem "f? clube"?	E que nome voc gostaria que dessem  "ele"???    J tenho vrios, mas o que mais me chamou a aten??o foi o    "QUERO SER A PIPER DE QUALQUER MANEIRA"    Aaaaaaaaara! ahahahahahahahahhahahahahahahah    Bjoks carinhosas a vocs, AMORECOS!!!!
20081120080307AAyMnih	Yahoo! Products;Yahoo! Answers	COMO você reage quando te dizem "precisamos ter uma conversa séria"?	a) sente um "frio na barriga"...   b) fica calmo(a)...   c) pensa "lá vem 'bomba"...   d) finge que n?o ouviu...   e) outras... cite o que seria.      A pergunta n?o é pessoal e nem dirigida a ninguém!!!      "Precisamos ter uma conversa séria, agora!!!!"   Aaaaaaaaaara! ahahahahahahahahahahahahahah      Bjoks carinhosas a vocês, AMORECOS!!!
20080930155058AAcXJ5X	Yahoo! Products;Yahoo! Answers	Eu n?o assisto novela, e vc?	Vcs acham isso coisa de outro mundo??   Eu pergunto pq a maioria das pessoas ficam de cara qdo eu digo que n?o assisto novela, principalmente homens, eu n?o sei pq, até parece que é obrigatório mulher assistir novelas, rsrs      O que vcs acham disso??      Boa Noite!!!
20080428152038AAplgnK	Yahoo! Products;Yahoo! Answers	?? VOCê já sonhou com ............... Aquilo hehehehehe ???	N/A
20081025144016AAQtdGi	Yahoo! Products;Yahoo! Groups	? Você tem aquele mania de SALVAR todo tipo de informa??o ?	Desde que entrei na internet pela primeira vez, tenho o costume de salvar quase tudo o que me dizem de interessante no Y!H ou por e-mail. O rascunho do meu e-mail esta ficando SUPER LOTADO.      Que nome se dá a esse costume de ''guardar'' o passado, seja no e-mail, seja na memória ? Ps: Tenho cérebro de elefante! ◣ ◥      
20081101162141AAXwdcV	Yahoo! Products;Yahoo! Answers	Oi amigos estava com saudades de voces?	mas a minha pergunta e e feio um homem fazer caminhada com bermuda tipo cotton    como se fosse pra academia      meu esposo esta ficando sarad?o   perdeu 10 kilinhos e aquela barriga enorme   com 2 semanas de caminhada   espero comentarios beijinhos rose   ele esta fazendo caminhada de cal?a de moleton   falei pra ele usar bermuda mas ele nao quer 
20081018094641AAgrWAn	Yahoo! Products;Yahoo! Answers	Coisas só minhas.... =)?	Quando fa?o grandes viagens de carro, gosto de ficar a olhar a paisagem a passar, fico completamente calada e hipnotizada, ate gosto de ir tirando fotos ou de escrever qualquer coisa.    e vocês? xD   Saudades de partilhar coisas destas convosco.   KisS*
20071206123908AAcXkka	Yahoo! Products;Yahoo! Answers	Por q ya casi todos tienes sus preguntas y respuestas en modo privado xD de q tienen miedo xD?	bueno a veces se me hace interesnta ver preguntas de otros por q las q hace son interesnates pero ahora ya casi todos ponen todo privado :( xD
20080428050738AA405b2	Yahoo! Products;Yahoo! Groups	Só pra n?o perder o costume, que musica está tocando no seu cora??ozinho hoje?	 http://www.youtube.com/watch?v=Y9zRxhhR3...       para amarte necesito una razon   y es dificil creer que no exista   una mas que este amor   sobra tanto dentro   de este corazon   que a pesar de que dicen   que los anos son sabios   todavia se siente el dolor porque todo el tiempo   que pase junto a ti   dejo tejido su hilo dentro de mi   y aprendi a quitarle al tiempo   los segundos tu mi hiciste   ver el cielo aun mas profundo junto   a ti creo que aumente mas de   3 kilos con tus tantos   dulces besos repartidos   dessarollaste mi sentido   del olfato y fue por ti que   aprendi a querer los gatos   despegaste del cemento   mis zapatos para escapar   los dos volando un rato.   pero olvidaste una final   instruccion porque aun   no se como vivir sin tu amor   y descubri lo que   significa una rosa   me ensenaste decir   mentiras piadosas   para poder a verte   a horas no adecuadas   y a reemplazar palabras   por miradas   y fue por ti que escribi mas   de 100 canciones   y hasta perdone tus   equivocaciones   y conoci mas de mil formas de besar   y fue por ti que descrubi   lo que es amar   lo que es amar...
20081003184402AAzPcXS	Yahoo! Products;Yahoo! Groups	Ser ignorante, em algum ou em alguns assuntos, significa ser burro, em sua opini?o?	N/A
20081004233611AA32Xu8	Yahoo! Products;Yahoo! Groups	VC tbm é uma pessoa que está sempre ajudando e incentivando o próximo?	O CAVALO E O PORCO      Um fazendeiro colecionava cavalos e só faltava uma determinada ra?a.   Um dia ele descobriu que seu vizinho tinha este determinado cavalo.   Assim, ele atazanou seu vizinho até conseguir comprá-lo. Um mês depois o cavalo adoeceu, e ele chamou o veterinário que disse: 'Bem, seu cavalo está com uma virose, é preciso tomar este medicamento durante três dias. No 3o dia eu retornarei e caso ele n?o esteja melhor será necessário sacrificá-lo'. Neste momento, o porco escutava a conversa. No dia seguinte, deram o medicamento e foram embora. O porco se aproximou do cavalo e disse: 'For?a amigo, levanta daí sen?o será sacrificado!!!'. No segundo dia, deram o medicamento e foram embora. O porco se aproximou novamente e disse: Vamos lá amig?o, levanta sen?o você vai morrer! Vamos lá, eu te ajudo a levantar. Upa! 'Um, dois, três...'. No terceiro dia, deram o medicamento e o veterinário disse: Infelizmente vamos ter que sacrificá-lo amanh?, pois a virose pode contaminar os outros cavalos. Quando foram embora, o porco se aproximou do cavalo e disse: 'Cara, é agora ou nunca! Levanta logo, upa! Coragem! Vamos, vamos! Upa! Upa! Isso, devagar! ótimo, vamos, um, dois, três, legal, legal, agora mais depressa, ai...fantástico! Corre, corre mais! Upa! Upa! Upa! Você venceu campe?o!!!'. Ent?o de repente o dono chegou, viu o cavalo correndo no campo e gritou: Milagre!!! O cavalo melhorou, isso merece uma festa!    Vamos matar o porco!'.         Pontos de Reflex?o      Isso acontece com freqüência no ambiente de trabalho. Ninguém percebe   qual o funcionário que realmente tem mérito pelo sucesso, ou que está   dando o suporte para que as coisas aconte?am.      SABER VIVER SEM SER RECONHECIDO é UMA 'ARTE' · Se algum dia alguém lhe disser que seu trabalho n?o é o de um profissional,   lembre-se: amadores construíram a Arca de Noé e profissionais o Titanic.      PROCURE SER UMA PESSOA DE VALOR, EM VEZ  DE UMA PESSOA DE 'SUCESSO'   
20081006120634AAzAs4h	Yahoo! Products;Yahoo! Answers	Se o yahoo respostas acabasse o vc faria ?	N/A
20080813072456AAjVFM1	Yahoo! Products;Yahoo! Groups	Vc é mais "RUEIRO" ou mais CASEIRO????	Curte mais ficar em casa ou tá sempre batendo perna na rua???? rsrs            =D            bjokas queridos
20080920080120AAFjvcE	Yahoo! Products;Yahoo! Groups	QUal MúSICA que ULTIMAMENTE vc tem OUVIDO muitooooooo?	???????????????               =D               bjokas queridos
20081001131804AAoWWjt	Yahoo! Products;Yahoo! Answers	Qual a principal Categoria da discórdia e por quê?	Futebol Brasileiro.   Gays, Lésbicas, Bissexuais e Transgêneros.   Governo.   Idiomas e Línguas.   Lei e ética.   Política.   Realeza e Monarquia.   Reality Show.   Religi?o e Espiritualidade.   Outra (qual?).      Aguardo Respostas!
20080920092759AAVGQL6	Yahoo! Products;Yahoo! Answers	Você prefere responder às Perguntas dos Usuários "Top" ou dos Editores e Convidados Oficiais?	Eu prefiro as dos Usuários "Top" porque pelo menos s?o usuários normais mesmo e que n?o recebem tantas Respostas; além de normalmente n?o deixarem sempre em Vota??o e terem o hábito de fazerem boas Perguntas.      Porém, se forem Usuários "Top" que n?o entendem nada das Categorias em que s?o "Top", e sim ganharam Melhores Respostas respondendo a Perguntas nada a ver com as Categorias ou porque costumam bajular quem faz as Perguntas (por exemplo), n?o prefiro nem os "Tops" nem os Oficiais; pois mais vale o pouco certo do que o muito duvidoso (Risos!).      E quanto a vocês?      Aguardo Respostas!
20081120150528AAE96Zw	Yahoo! Products;Yahoo! Groups	Vocês costumam visitar o Perfil de seus Amigos e conferir se eles atualizaram a descri??o?	Eu mesmo dei uma atualizada agora; pois decidi agora acrescentar uma informa??o; nas 4 últimas linhas. Quem quiser conferir, asseguro n?o ser perda de tempo. Depois, podem me enviar um e-mail ou comentar numa Pergunta fechada minha; para opinarem a respeito.      Ent?o, vejam que pode ser muito interessante visitar as descri??es dos Amigos de vez em quando; n?o é mesmo?      Aguardo Respostas!
20081121095845AAEDRNH	Yahoo! Products;Yahoo! Answers	Caipirinha ou wisk??	Livre...            bjusss   Janayna   ε?зε?зε?з
20081101145226AASAtMj	Yahoo! Products;Yahoo! Photos;Sharing Photos	Do I look better with or without make up (pics) ?	Do I look better with or without makeup?   I know I'm not all that pretty, but just curious.   I look pale in the first one, I know.   The one with is very recent.   The one without is somewhat old.   I'm seventeen.   On the second one, my hair is fully blonde now.   First is without make up.   Second is with make up.       http://i37.tinypic.com/w9d4rr.jpg        http://i36.tinypic.com/2dkenex.jpg 
20081120115455AAZStZW	Yahoo! Products;Yahoo! Answers	A escolha da melhor resposta, n?o deveria ser de 3 melhores, em vez de 1 só?	é pq agente fica t?o perdida, com tanta dúvida, que é difícil escolher uma Mr, dentre tantas t?o boas!      Seria primeiro lugar, segundo lugar e terceiro lugar, kkkkkk!      O que vca acham?   Concordam comigo?
20081025123748AAap1ge	Yahoo! Products;Yahoo! Answers	Você é sem vergonha ?????	é que eu me acho um pouco tímida eu queria ser extrovertida, acho que às vezes a minha timidez atrapalha um pouco a minha vida.         Você é uma pessoa tímida ou é sem vergonha ??? (rs rs rs)
20081011133352AAkyN8z	Yahoo! Products;Yahoo! Answers	Por que a sociedade estipulou que a cor rosa deveria ser usada apenas pelo sexo feminino.?	  Eu acho t?o bonito homens que usam  cor de rosa..     claro que n?o  todo "Penlope"...    Mas acho que fica o maior estilo usar um jeans com uma camisa rosa por exemplo.    Os pouco homens que vi usando rosa foram zombados   pelo prprios companheiros do mesmo sexo.    Eu acho lindo homens de rosa, na minha opini?o eles ficam at mais msculos    Exemplo de homem com camisa rosa aqui no link abaixo.  http://www.personalstylist.com.br/Especi...
20081121102508AAG8Wze	Yahoo! Products;Yahoo! Answers	Quando vc descobriu que o papai noel n?o existia vc se sentiu enganado?	Eu fiquei muito brava, por que descobri na manh? de natal... Minha irm? ficou tirando um barato da minha cara por que eu deixei uma meia na janela para o papai noel e ela encheu a meia de lixo !!!! e me contou que ele n?o existia.      Poxa eu nem dormir direito esperando o velhinho gorducho, e quando acordo descubro que ele é balela !!!!      Fiquei me sentindo uma tonta !!!   
20081121103655AAqjdJl	Yahoo! Products;Yahoo! Answers	Quando alguém que vc CONHECE  te vê na rua e FINGE que n?o te viu,  o que vc faz ?	Fingi que n?o viu também ?      Ou diz:  - Oi !! N?o me reconhece mais ? (só para "Zoar" a pessoa ...rs rs rs)      Passei por isso hoje, uma pessoa que eu conhe?o e que me conhece também me viu, e fingiu que n?o me viu !!!      Coisa chata né ? 
20081011102728AA2yE09	Yahoo! Products;Yahoo! Answers	A vingan?a nunca é plena, mata a alma e envenena***?	O que quer dizer essa frase???      BJs ?      xD
20081026103423AAKXjie	Yahoo! Products;Yahoo! Answers	Como é gratificante entrar no Yahoo e ver que nenhuma de nossas perguntas foi excluida, n?o?	e olha que eu tenho 20 perguntas abertas!
20081114084017AA3Dsd3	Yahoo! Products;Yahoo! Answers	Vc futrica nas respostas alheias?	Você entra no perfil de algumas pessoas pra ver o que elas est?o respondendo?   Com base nas respostas vc tra?a o perfil da pessoas?   Nessas "fu?an?as" já encontrou mentiras, contradi??o e o que mais?rs         BxxX e excelente fds!
20080811070459AALFGdq	Yahoo! Products;Yahoo! Answers	Me diz...Que tipo de pessoa você é??	Há pessoas felizes por natureza, mesmo qdo o mundo parece dizer sempre n?o.   Há pessoas otimistas, mesmo qdo tudo pare?a dar errado.   Há pessoas que superam seus limites, mesmo que eles pare?am intransponíveis.   Existem pessoas que realizam sonhos, n?o só os seus, mas o de outros tbm.   Tem muitas pessoas que sabem perdoar, mesmo qdo magoadas.   Há pessoas que sabem amar.   Porém existem pessoas que n?o vêem beleza em nada. Carrancudas, frias, calculistas.   Pessoas fracas que se deixam levar pelo que outros pensam ou falam.   Pessoas invejosas, que só fcam felizes com a infelicidade alheia. Se contentam com o mal dos outros, infelizmente. Só sabem olhar para seu próprio umbigo. Gente que sobrevive da maldade.   N?o sabem rir, muito menos perdoar, n?o vêem a beleza interior.   Existem pessoas e "pessoas", pessoas dispostas a vencer, a lutar pelo melhor, dispostas a amar e serem amadas.   E existem pessoas banais, maldosas, que vivem de mentiras...frias.      "O mundo é como um espelho que devolve a cada pessoa o reflexo de seus próprios pensamentos.A maneira como você encara a vida é que faz toda diferen?a."   (Quintana)      Beijinhos a todos ?
20081120120739AAbMbwS	Yahoo! Products;Yahoo! Answers	Vocs costumam ler seus e-mail?	Talvz seja este meu maior erro, n?o costumo ler n?o rsrs. talvez eja porque fa?o muitas coisas. Mas sempre que posso eu lembro.
20081122131839AA892Xv	Yahoo! Products;Yahoo! Groups	Perfeccionismo ajuda ou atrapalha?	N/A
20081001113047AAgDo4y	Yahoo! Products;Yahoo! Groups	Cultura inútil: O que vc anda lendo no banheiro ultimamente?	N/A
20081122160353AAPvaIi	Yahoo! Products;Yahoo! Answers	VC é um figurante no Yr ou um conhecido?	Eu me considero uma figurante      E vcs?
20081108155933AAWGhCt	Yahoo! Products;Yahoo! Answers	Você freqüentimente ve as perguntas destacadas pelos seus amigos?	Ou ela passa despercebidas...   A maioria das respostas que eu dou s?o pq eu olhei nas perguntas destacadas pelos meus amigos, n?o dá nem tempo deu ir para alguma categoria! rsrsrs      Bjus...?
20081005123102AAPbcJV	Yahoo! Products;Yahoo! Groups	Pra se viver a dois...antes é necessário...ser um?	Enquanto n?o superarmos   a ansia do amor sem limites,   n?o podemos crescer   emocionalmente.      Enquanto n?o atravessarmos   a dor de nossa própria solid?o,   continuaremos   a nos buscar em outras metades.   Para viver a dois, antes, é   necessário ser um....
20081118161441AADL1xg	Yahoo! Products;Yahoo! Answers	é realmente inexplicável...     ?	1o TESTE:       Foi descoberto que o nosso cérebro tem um Bug. Aqui vai um pequeno   exercício de cálculo mental !!!! Este cálculo deve fazer-se mentalmente (e rapidamente), sem utilizar calculadora nem papel e caneta!!!   Seja honesto... fa?a cálculos mentais...   Tens 1000, acrescenta-lhe 40. Acrescenta mais 1000. Acrescenta mais 30 e   novamente 1000. Acrescenta 20.   Acrescenta 1000 e ainda 10. Qual e o total?           (resposta abaixo)       Teu resultado é 5000                                   A resposta certa e 4100 !!!!           Se n?o acreditar, verifique com a calculadora. O que acontece e que a   seqüência decimal confunde o nosso cérebro, que salta naturalmente para   a mais alta decimal (centenas em vez de dezenas).                       2o TESTE:   Rápido e impressionante: conte, quantas letras 'F' tem no texto abaixo   sem usar o mouse:               FINISHED FILES ARE THE RE-   SULT OF YEARS OF SCIENTIF-   IC STUDY COMBINED WITH   THE EXPERIENCE OF YEARS                   Contou?           Somente leia abaixo após ter contado os 'F'.                   OK?               quantos? 3? Talvez 4?                           Errado, s?o 6 (seis) - n?o é piada! Volte para cima e leia mais uma vez!               A explica??o está mais abaixo.                   O cérebro n?o consegue processar a palavra 'OF'.           Loucura, n?o?       Quem conta todos os 6 'F' na primeira vez é um 'gênio', 3 é normal, 4 é   mais raro, 5 mais ainda, e 6 quase ninguém.                           3o Teste: Sou Diferente? Fa?a o teste.            Alguma vez já se perguntaram se somos mesmo diferentes ou se pensamos a   mesma coisa? Fa?am este exercício de reflex?o e encontrem a resposta!!!           Siga as instru??es e responda as perguntas uma de cada vez MENTALMENTE e   t?o rápido quanto possível mas n?o siga adiante até ter respondido a anterior.   E se surpreendam com a resposta!!!               Agora, responda uma de cada vez:               Quanto é:               15+6                                                           ...21...                                       3+56                                   ...59...                                   89+2                                           ...91...                                   12+53                                                   ...65...                                               75+26                                           ...101...                                               25+52                                                       ...77...                                           63+32                                                       ...95...                                  Sim, os cálculos mentais s?o difíceis mas agora vem o verdadeiro teste.       Seja persistente e siga:                                                       123+5                                           ...128...                           RáPIDO!   PENSE EM UMA FERRAMENTA E UMA COR!                                   .....                                   E siga adiante...                               ......                           Mais um pouco...                           .......                          Um pouco mais...                               .......                       Pensou em um martelo vermelho, n?o e verdade??? Se n?o, você é parte de   2% da popula??o que é suficientemente diferente para pensar em outra coisa.   98% da popula??o responde martelo vermelho quando resolve este exercício. Seja qual for a explica??o para isso, mandem para seus amigos para que vejam se s?o normais ou n?o!!!                         ************         ρ???σα? ??ρ?cιαι?...      иσ??σ? αмιgσ?...                  иσ??σ? αмσя??...   иσ??α ?αм??ια,    ?α?σ?                   ?т?яиσ?...в??...                  ...........??ι?.........
20081120122106AAlTuMI	Yahoo! Products;Yahoo! Answers	AS MULHERES MERECEM TAMBEM TIRAR UMA CASQUINHA EM CIMA DOS:  ?	HOMENS...               QUANDO UM HOMEM MOSTRA QUE TEM PLANOS PARA O FUTURO?    Quando ele compra 2 caixas de cerveja.         QUAL A DIFEREN?A ENTRE UM HOMEM E UMA MANGA VERDE?     A manga amadurece.            POR QUE AS PIADAS SOBRE LOIRAS S?O T?O CURTAS?    Para que os homens consigam lembrar delas.            QUANTOS HOMENS S?O NECESSáRIOS PARA TROCAR UM ROLO DE PAPEL HIGIêNICO?    N?o sabemos, nunca aconteceu antes !!!             POR QUE MULHERES CASADAS S?O MAIS GORDAS DO QUE AS SOLTEIRAS?     A solteira chega em casa, vê o que tem na geladeira e vai pra cama, a casada vê o que tem na cama e vai pra geladeira.          POR QUE é T?O DIFíCIL ACHAR HOMENS BONITOS, SENSíVEIS E CARINHOSOS?     Porque normalmente eles já têm namorados.             COMO SE CHAMA UMA MULHER QUE SABE ONDE SEU MARIDO ESTá TODAS AS NOITES?     Viúva.          COMO FAZER UM HOMEM FAZER ABDOMINAIS ?    Colocando o controle remoto entre os dedos do pé.           O QUE EXISTEM EM COMUM ENTRE OS HOMENS QUE FREQüENTAM BARES DE  SOLTEIROS?     Todos s?o casados.           O HOMEM PERGUNTOU A DEUS: PORQUE VOCê FEZ A MULHER T?O BONITA?    Deus: para que você pudesse amá-la.     Homem: MAS POR QUE FEZ ELA T?O BURRA?     Deus: para que ela pudesse amá-lo.         O QUE DISSE DEUS DEPOIS DE CRIAR O HOMEM?     Tenho que ser capaz de fazer coisa melhor.             O QUE DISSE DEUS DEPOIS DE CRIAR A MULHER?    A prática traz a perfei??o...           **************************************...         ρ???σα? ??ρ?cιαι?...      иσ??σ? αмιgσ?...                  иσ??σ? αмσя??...   иσ??α ?αм??ια,    ?α?σ?                   ?т?яиσ?...в??...                  ...........??ι?.........
20081121122404AABrI3e	Yahoo! Products;Yahoo! Answers	TENTA SIM, VAI FICAR LINDO!!!” continua??o?	Pior n?o podia ficar. Obedeci à Penélope. Deitei de ladinho e fiquei esperando novas ordens.      - Segura sua bunda aqui?   - Hein?   - Essa banda aqui de cima, puxa ela pra afastar da outra banda.      Tive vontade de chorar. Eu n?o podia ver o que Pê via. Mas ela estava de cara para ele, o olho que nada vê. Quantos haviam visto, à luz do dia, aquela cena? Nem minha ginecologista.      Quis chorar, gritar, peidar na cara dela, como se pudesse envenená-la. Fiquei pensando nela acordando à noite com um pesadelo.      O marido perguntaria:      - Tudo bem, Pê?   - Sim… sonhei de novo com o cu de uma cliente.      Mas de repente fui novamente trazida para a realidade. Senti o aconchego falso da cera quente besuntando meu Twin Peaks. N?o sabia se ficava com mais medo da puxada ou com vergonha da situa??o. Sei que ela deve ver mil cus por dia. Aliás, isso até alivia minha situa??o.      Por que ela lembraria justamente do meu entre tantos? E aí me veio o pensamento: peraí, mas tem cabelo lá?      Fui impedida de desfiar o questionamento. Pê puxou a cera. Achei que a bunda tivesse ido toda embora. Num pux?o só, Pê arrancou qualquer coisa que tivesse ali. Com certeza n?o havia nem uma preguinha pra contar a história mais. Mordia o travesseiro e grunhia ao mesmo tempo. Sons guturais, xingamentos, preces, tudo junto.      - Vira agora do outro lado.      Porra.. por que n?o arrancou tudo de uma vez? Virei e segurei novamente a bandinha. E ent?o, piora. A broaca da salinha do lado novamente abre a cortina.      - Penélope, empresta um chuma?o de algod?o?      Apenas uma lágrima solitária escorreu de meus olhos. Era dor demais, vergonha demais. Aquilo n?o fazia sentido. Estava me depilando pra quem? Ninguém ia ver o tobinha t?o de perto daquele jeito. Só mesmo Penélope. E agora a vizinha inconveniente.      - Terminamos. Pode virar que vou passar maquininha.   - Máquina de quê?!   - Pra deixar ela com o pêlo baixinho, que nem campo de futebol.   - Dói?   - Dói nada.   - Tá, passa essa merda…   - Baixa a calcinha, por favor.      Foram dois segundos de choque extremo. “Baixe a calcinha…”. Como alguém fala isso sem antes pegar no peitinho? Mas o choque foi substituído por uma total reden??o. Ela viu tudo, da perereca ao cu. O que seria baixar a calcinha? E essa parte n?o doeu mesmo, foi até bem agradável.      - Prontinha. Posso passar um talco?   - Pode, vai lá, deixa a bicha grisalha.   - Tá linda! Pode namorar muito agora.      Namorar…Namorar??? Eu estava com sede de vingan?a.      Admito que o resultado é bonito, lisinho, sedoso. Mas doía e incomodava demais. Queria matar minhas amigas. Queria virar feminista, morrer peluda, protestar contra isso. Queria fazer passeatas, criar uma lei anti-depila??o cavada.      Queria comprar o domínio www.preserveasbucetaspeludas.com.br      é…. Mulher sofre!!!      
20081121090339AAuKEAv	Yahoo! Products;Yahoo! Answers	Qual o MELHOR ELOGIO que você recebeu até AGORA???????	bjnhos pra todos
20081121090619AAuAIF0	Yahoo! Products;Yahoo! Answers	Qual é a FRASE que COMBINA MAIS com VOCê??????????	bjnhos pra todos
20081122155515AAT95XA	Yahoo! Products;Yahoo! Answers	Quando é que o SEU CORA??O bate mais FORTE???????	bjnhos pra todos
20081108113540AAkDuLn	Yahoo! Products;Yahoo! Answers	E se a SUA VIDA tivesse SABOR,QUAL seria o SABOR????????	bjnhos pra todos
20081010194755AAYAefH	Yahoo! Products;Yahoo! Answers	' Vc já RoTuLou alguém pelo avatar ?	Ex: Já aconteceu de fazer um pré julgamento de alguém ao ver o avatar e depois perceber que se enganou?       No meu caso acontece o seguinte. Já mudei várias vezes meu avatar por aqui, geralmente coloco uma imagem. E em todas as vezes, eu fui rotulada de algo. Já fui chamada de Patty, de Emo (mais de uma vez...) E agora...rsrs    T? sendo chamada de Gótica!! Já até me perguntaram até em que filme de Terror eu me inspirei pra fazer esse avatar... KkKkKkkkkkk...       Mas e ai, já aconteceu com vc de ser Rotulado ou Rotular alguém pelo avatar? 
20081123154917AAE8Zlf	Yahoo! Products;Yahoo! Answers	→ Você recebe muitas "surpresas" dos usuários do yahoo ao abrir o email?!hehehe..?	Te ofendendo,te paquerando,contando um segredinho....      Livre.         bjokas!!      :**
20081004215410AAyJWtP	Yahoo! Products;Yahoo! Answers	Qual a Sua Filosofia de Vida no Y!R?	A minha, é do famoso filósofo ZAGALO....      'Vocês v?o ter que me engolir!!!"  rs rs rs          Por favor, n?o estou querendo  ser pretensiosa ou arrogante!   Uso o meu direito de estar e permanecer aqui!   Porém, a partir do momento que fui comunicada que "terei a conta excluída" por uma viúva infeliz , quero deixar bem claro, que minha ausência, caso consigam me excluir, será  muito curta!!       Eu volto rapidinho, recome?o com os 100 pontinhos do nível um, sem nenhuma vergonha, ou perguntinha dramática sobre exclus?o acusando, sem provas, a ninguém!!   Pois, se tiver provas...eu mostro!      Taí, mais uma ...e mais outra, e outra, e outra...rs rs rs      Beijos   
20081119123843AAWyR51	Yahoo! Products;Yahoo! Answers	Fala a verdade hEin....... VOCê é Lessie ou é Pitbull ?	N/A
20081005115604AAlxte0	Yahoo! Products;Yahoo! Answers	~ de quem você queria receber uma massagem agora?	=X
20081006124930AAe1msJ	Yahoo! Products;Yahoo! Answers	~ o que fazer quando a saudade de uma amigo aperta?	N/A
20080518163012AADfsZm	Yahoo! Products;Yahoo! Groups	Você vive como as flores extraindo somente o bem?	Mestre, como fa?o para n?o me aborrecer, com as pessoas? Algumas falam demais, falam de nossa vidas, gostam de fazer intriga, fofoca, outras s?o ignorantes. Algumas s?o indiferentes. Fico magoado com as que mentirosas. Sofro com as que caluniam".      - "Pois viva como as flores!", advertiu o mestre.   - "Como é viver como as flores?" Perguntou o discípulo.   - "Repare nestas flores", continuou o mestre, apontando lírios que cresciam no jardim. "Elas nascem no esterco, entretanto s?o puras e perfumadas. Extraem do adubo malcheiroso tudo que lhes é útil e saudável, mas n?o permitem que o azedume da terra manche o frescor de suas pétalas. é justo angustiar-se com as próprias culpas, mas n?o é sábio permitir que os vícios dos outros o importunem. Os defeitos deles s?o deles e n?o seus. Se n?o s?o seus, n?o há raz?o para aborrecimento. Exercite, pois, a virtude de rejeitar todo mal que vem de fora. Isso é viver como as flores."      Beijos e maravilhoso dia!!!
