20090203060738AAYW8A2	Travel;United Kingdom;London	Where can me and my mate (both 18) find a cheap 2 bedroom flat in London?	Preferably within 20 minutes of Stamford Bridge Stadium, SW6...?
20090220090103AABva2w	Travel;Mexico;Mexico City	Which one is the most elegant bakery in Mexico-DF?	Looking for delicatessen, bakery or chocolats
20090220090127AAowhWx	Travel;United Kingdom;Other - United Kingdom	Has anyone done a "Sun ￡9.50 Holiday"?	How long did it take for your confirmation to come through?       I sent of my booking form early January and they banked my cheque on the 28th January. It is now 20th Feb (nearly 3 1/2 weeks after they banked my cheque) and I still haven't had confirmation of where we are going.      Any does it take for your confirmation to come through?
20090220090634AAWT6sF	Travel;United States;San Francisco	Special effects school in San Francisco?	I'm a special effects artist, though not with computer effects. I'm talking about working with latex and whatnot to create creatures, character prosthetics and makeup for films. I've been looking for a school to get my degree in, and I'm most likely moving to San Francisco within the next year.. so does anyone know of any schools centered around special effects there?
20090220090949AARj9bE	Travel;Mexico;Mexico City	Are hotels in mexico city safe?	I'm traveling to mexico city on business and staying a pretty decent hotel in a pretty nice area from the research that I have done.  However, i have read alot about people getting kidnapped.  So I was wondering if people ever get kidnapped in hotels?  Do kidnappers actually ever try to  get people going into their rooms or worse have they ever been hidden in the rooms.  I'm always so paranoid that there will be someone hiding in my hotel room even when I'm in nice familiar towns in the US.  Also, I know your not suppose to travel alone but I am Catholic and would feel wrong not going to the Santuria de Guadalupe while I am there.  Would it be safe for me to go by myself to the santurio on a Sunday morning.  I guess I could schedule a taxi at the hotel to take me there but how would I get back?  Are there safe taxis at the church.
20090220091030AAQWwiX	Travel;United Kingdom;Other - United Kingdom	For a night away with my boyfriend should it be Cambridge OR Cardiff?	Or if you have any other ideas then go ahead! We're going to head down nxt fri day and stay till sat late afternoon...looking for a bit of a night out but with nice meal etc..
20090220091212AAIpw0k	Travel;United Kingdom;London	Does anyone know a library in central London with study room where you can bring your own book 2 study/write?	I am planning to do some study over the weekend in a library but not sure where to go. Can anybody help me out?      Thanks!
20090220091938AAEjszT	Travel;Europe (Continental);Other - Europe	Adult gap year?????//?	im 25 and my partner is 30 ,we are looking to work abroad for 1 year although we own our flat we are looking to rent that out ,so we wouldnt be looking for high paying jobs ,just something that would allows us to live .i had looked at teaching english in japan which i could possibly do as im due to gradute from uni soon,but my partner wouldnt be eligible to teach .but everywhere i look u have to be a student or recent gradute which my partner isnt .we are really looking to do some travelling and earn alittle cash on to keep us going .anyone with an idea of where we could start .i have previously done camp america ,i like the idea of having everything set up for me arriving ,but obviously my partner and i arent looking to go to a summer camp ,really just looking for some advice ,or possibly insperation from anyone who has done it??????????????/
20090220091659AASdeZ2	Travel;Canada;Other - Canada	American going to Canada for 1st time?	I am 20 yrs old and am going to be leaving to go to Canada in about 2 weeks and am curious about the different laws or things that are different in general from here in the U.S. I will be driving into Canada and staying in Toronto. thanks
20090220091700AA4Gv8p	Travel;United States;Honolulu	Im looking into moving to hawaii?	Im not sure where , and friend and i want to move there for about 6months. We are planning on saving up for a bit but then heading out. Any suggestions of where? anything we really need to know?!
20090220091902AAHifKz	Travel;Africa & Middle East;Other - Africa & Middle East	Is the LG KP 500 "Cookie" available in Muscat Oman?	Is the lgkp 500 cookie available in oman please telllllll!!!!!! if it is - where!?!?!
20090220091922AAVDf6k	Travel;Asia Pacific;Singapore	Hi there, where is the budget hotels area in singapore city?	N/A
20090220092238AAyeKnR	Travel;United States;Other - United States	I would like to move to Texas?	I would like to move to TX in the next year or so. Can any tell me what towns are the best for a family, and career opportunities ?
20090220092628AAUAXlR	Travel;India;Other - India	Where did Karnataka get its name from?	The history has never told why was the region called so, if anyone knows please share.
20090220092651AAg7JTv	Travel;Mexico;Other - Mexico	I want to Take my son to mexico to live there!?	on my sin birth cert. it has my name and that i am not married to his father. but his fathers name is not on there am not married to him,his dads name is not on any of the paper work from the hospital and i pay everything for my son! can i still take him with me to mexico?
20090220092659AAjsFHx	Travel;Italy;Rome	I just planned a vacation in Rome for next week, but will the museums be open?	I know Carnival season is in full swing next week, but what about the museums?  Anyone know if they'll be shut down?  I was really wanting to see all of Rome's historical sites as well, and the Vatican.
20090220092802AArIvRs	Travel;United States;New York City	Fastest way to get from NYC to Boston?	Would it be faster to take a plane from Manhattan, NYC to Boston? Or would it just be easier to take a train? Cost is not a worry, I would just like an approximate guess of how long it would take by plane or train.      Thank you!      P.S. I'm not going there myself, its for a project.
20090220093418AAalSxp	Travel;Europe (Continental);Greece	Anybody know the best live webcam showing somewhere in Greece?	N/A
20090220093554AA3lE8p	Travel;Travel (General);Packing & Preparation	I'm not sure if I like my new school bag!?	I've just bought a new school bag. I go to a public school so people don't really bring in many expensive items. The bag I bought is a shoulder bag which is brown, real leather and it was ￡25 (quite expensive!) It looks rather large on me as i'm quite slim. It looks really grown up, like something my mum would buy, but i think its a good size for school also it's really strong so it can carry all my books easily!       I'm just not sure if my bag will be 'cool'. It's too late to buy another one i'm not sure if i'll stand out too much as most other girls have black cotton shoulder bags.       I think my bag sounds is a bit dorky! What do you think?      Also I don't know how to keep it safe when i go to lunch as all my friends just throw their bags down on the floor, but i don't think i want to leave my bag alone! Any suggestions? I could put it in my locker but I would need my bag as my lunch would be in it.      I know i'm making a big fuss out of nothing! lol but i need help!      Thanks. xx
20090220093645AAoCtpW	Travel;Asia Pacific;Philippines	How do I take the New York Bar if I am a lawyer in the Philippines?	N/A
20090220093727AAblBhI	Travel;Caribbean;Dominican Republic	Is it possible to travel to the Dominican Republic with a criminal record.?	I want to travel to the Dominican Republic in summer 2010 with our youth group on a missions trip. Is there a way of making this happen.
20090220093758AABZ0d5	Travel;United States;Other - United States	Where is a nice place to stay in the Outer Banks that is reasonably priced?	My boyfriend and want to go to the outer banks for our anniversary, but out budget is tight... does anyone know any non motel places to stay on the cheap?
20090220093912AA83oxP	Travel;United States;New York City	New York or California?	My dad is american and i was born in Boston and lived there til i was 4/5 but we moved to England. Now i want to go back and live in the US. I want to know what other peoples opinion is of New York/California?? Because i want to settle down in NY or California..
20090220093918AAgse0l	Travel;United States;Denver	What is the penalty for 28 mph over in Denver, Colorado?	A friend was doing 28 over in a 70 on a toll highway in Colorado. It was his first offense on his record. The ticket put 6 points on his record.. What will happen in court? is there a chance the cop wont show up, or does that even matter? How much is he looking at in fines? Thanks.
20090220093940AAM6VBv	Travel;United States;Los Angeles	Looking for trips from LA to San Francisco in April for about 8 days?	any US local providers of such? if we travel to the US, will it be easy to find tours from LA to San Fran including Las Vegas and Grand Canyon?
20090220094105AAvQYJF	Travel;United States;Los Angeles	What in the world is there to do in santa maria california?	I live in santa maria california, an the most fun iv had in this place is to leave it. for anyone unfamiliar with this place its right between pismo an Santa Barbra. Every weekend i bail to one of those places. the people iv met here all say lets hang but they just blow me off an go smoke dank, not that im against that its just im into actually DOING things. WTF!? salt lake is funner than this dam place! any suggestions?
20090220094457AA9nzTN	Travel;United States;Other - United States	What is california community college system?it is a universirty?	N/A
20090220102924AA7LJUp	Travel;Asia Pacific;Korea	Is dbsk ever going to come to new jersey?	i live in new jersey and so far ive only heard that they go to like california for the dream concerts and sm tours.  is there any possibility that they're going to come to new york or new jersey somewhere not too far away 1-2 hours driving?  i REALLY want to meet them in person
20090220095059AASerlk	Travel;United States;Los Angeles	Anyone know of any raves in Los Angeles over summer?	im a raver in reno nevada but over the summer (not sure when) i will be taking a trip to LA and i would love to go to a rave there while im there. Don't wanna sound picky but i would only want to go to a rave where  DEADMAU5 plays at since ive only seen him once but dont remember much of that night lol   please if you know of a site with all the LA raves on it, or maybe your email to keep in touch with you if you are a local LA raver, then that would be much appriciated.   THANKS, PLUR
20090220095422AAoyEpb	Travel;Air Travel	What airplane can carry the most people?	Any airplane in the world!   Ever built!
20090220095741AAO40lt	Travel;United States;Las Vegas	What are some prices on Marlboro Cigarettes in Las Vegas?	Cigarette prices in Las Vegas, NV
20090220095743AA4vw6Z	Travel;United Kingdom;Manchester	Longsight, Manchester M60 2DB - United Kingdom?	i hv recived a mail dat u hv won a lottery prize n claim it immediately n asking d personal information is dis all fake or has some realty?   is there any lottery conducted 4 yahoo promotions?
20090220100348AA0R8FF	Travel;United States;Other - United States	Ruff guess how long would it take a package threw normal mail to get from London to Las Vegas?	Well I tracked package until it said it left to America but the royal mail don't keep track of normal packages from that point so just wondering around about how long it takes to get over here.
20090220100521AAT7mnE	Travel;Canada;Other - Canada	I live in the US I was  born in Canada?	I want to  go  back to Canada  do I need a return bus or plain ticket to cross into Canada  I have a Social Insurance Card and Birth Certificate from Canada  I also have a US Passport
20090220101356AAxJ2Pv	Travel;United States;Las Vegas	FREE alcoholic drinks in Vegas casinos?	i will be going to vegas in the beginning of march.  people have been telling me that it is open bar at most of the casinos there because they want you to spend money on gambling and its even easier when u have a few drinks! how valid is this?
20090220101429AA39OqO	Travel;United States;Other - United States	I'm taking a day trip to Cleveland, any ideas?	Hi. I'm taking a day trip to Cleveland. I have never been there. Can you please give me any idea on what I can do to make the most of my trip? Places to eat, visit? Thanks!
20090220102104AABN8ZB	Travel;Canada;Other - Canada	Show 3, 4,5,6 letter cases for word "MISSISSAUGA" for permutation?	N/A
20090220102118AAMakl8	Travel;Africa & Middle East;South Africa	How much is the average cost of a South African vehicle annual license?	N/A
20090220102544AAfr3Tt	Travel;Africa & Middle East;Other - Africa & Middle East	Living in Adamawa(yola) state in Nigeria?	Recently i was offered about a job in sugar factory in Adamawa.i was offered a quatres for my living.I m not happy with the suituations there as i could find out online...so someone can help me regarding Living,safety.health and other threats over there..i would be thankful for ur answer.
20090220102932AAnwOKI	Travel;Mexico;Other - Mexico	Moving to Celaya GTO, Mexico I have a degree as a  Holistic Practitioners will this degree help me in Mexico?	I have a degree as a  Holistic Practitioners will this degree help me in Mexico? and what will I need to do to get the paper work started to have an office in Mexico? any advise??
20090203063055AAyRL2I	Travel;United Kingdom;London	Will it snow tomorrow in London?	Hiya just wondering will it snow tomorrow in London because apparently the news sed it will buh wen i checked on the internet it sed its gunna rain lol...and anyways i cud do wiv another day off schoool lol!
20090203063621AAPY08a	Travel;Europe (Continental);Other - Europe	Is crossing republik a better location?	N/A
20090203063802AAIstaH	Travel;Africa & Middle East;Egypt	Hurghada Day tours Or 2?	I wanna know about day tours or 2 days from hurghada; roughly how much it cost and so on and where to go i prefer luxor and cairo and diving, safari, and so on
20090203064456AAs1Fc7	Travel;Europe (Continental);Other - Europe	Is it possible to live in Moldova with 5 thousand lei?	I would also like to know if living expenses are high there, ie: food, place to rent.
20090203065307AAb55kQ	Travel;Travel (General);Other - Destinations	Where do Eskimo's go on holiday?	I would like to know where people think Eskimo's go on holidal.
20090203071238AAHEQrn	Travel;Travel (General);Other - Destinations	Travel Brochures- What Can I Do With Them?	I work at a travel agency. We throw away boxes and boxes of brochures every month. They have the most beautiful photos of exotic and landmark destinations. I have cut out some images and framed them. I put them on the wall in my house and people always think they are real photos (of course I always tell them what they really are)! I thought that was a great idea, but I can't keep buying frames for that. I have also thought of shredding them to use as packaging filler. I cannot think of any other ideas! I wish we could at least recycle them, but where we are, we cannot.         Any crafty ideas?
20090203071237AA7rlQ7	Travel;United States;Honolulu	Honolulu Hawaii in November?	Ok so I want to go to hawaii, but I only have time to go in Novemeber for thansgiving break... how is the weather over there is it warm enough to go for a swim or to tan out in the sun? Would it be worth the time and money?
20090220110222AAKRopW	Travel;Air Travel	Will I be allowed to use the Internet on my laptop on a TAP flight?	I am going from the uk to madiera on holiday on TAP Portugal will I be allowed to use the Internet on my laptop or will I have to pay to use it or what?      Thanks
20090220105004AAyCNHG	Travel;Other - Destinations	How many cigarettes can i bring back to the UK from my trip to Morocco?	N/A
20090220122400AACxM2z	Travel;United States;New York City	Macy Herald Square Store In NYC?	When going there what are the unique experieence to see there  unlike any other store?
20090220121339AAVC2nQ	Travel;Asia Pacific;Japan	Tokyo Subway Train Riding?	What was the experience like riding the tokyo subway trains?
20090220111231AAAUwNs	Travel;United States;Other - United States	What would be a good name for a website about America?	It would contain both information and images about all the states and things like that? Any relatively short names which would sound really? Also, do you know any website like this?
20090131162914AAspj91	Travel;Africa & Middle East;Lebanon	Slamo 3aleko shisha smokers...ne1 know wat is this?	MY SISTER FOUND IT IN HER HUSBANDS CAR ON THE DRIVERS SIDE. IT WAS IN A LITTLE POCKET THAT CAN BE USED FOR SMALL THINGS LIKE MONEY. NE WAYS IT WAS TIED UP IN A PIECE OF PLASTIC BAG. HE SAID HE GOT IT FROM A ARAB GUY BUT SAID IT WAS MALE ENHANCEMENT. I ASKED SUM1 IF THEY KNEW AND THE BEST THEY COULD SAY MAYBE IT WAS BLACK TAR OR OPIATES. I WAS ALSO TOLD THAT BLACK TAR IS HEROIN. MY BROTHER IN LAW JUST RECENTLY STARTED TAKING A LIKING TO THE SHISHA, WE'RE TRYING TO FIGURE OUT Y...MY SISTER FEELS LIKE HE IS LYING TO HER.       I HOPE THAT YOU CAN MAKE OUT THE PICTURE...IT'S A REALLY DARK BROWN, AND WHEN PIECES WAS FLAKED IT WAS LIGHT BROWN. IT TASTED BITTER, YEA HAMARRA ME I TASTED IT. BUT I AM TRYING TO FIND ANSWERS FOR MY SISTER, AND FOR MY BROTHERS HEALTH       http://s152.photobucket.com/albums/s174/...        http://s152.photobucket.com/albums/s174/...        http://s152.photobucket.com/albums/s174/... 
20090220112541AAXVPX0	Travel;Africa & Middle East;Israel	Question about Pre-1948 and Israel.?	Source:  Palestine Partition Commission, Report, cmd. 5854 p.52.      For those who are interested.
20090220104716AAf7kCq	Travel;Europe (Continental);Greece	Who is Greece biggest economic trading partner (country)?	N/A
20090203082935AAf8pxO	Travel;Travel (General);Other - Destinations	What are some cheap entertainment ideas- as in places to go?	N/A
20090203075510AA70V5r	Travel;Europe (Continental);Other - Europe	Are there any hotels INSIDE Vatican City?	All sites I've seen so far offer hotels in Rome next to or near to VC. Is there any hotels inside the Vatican?
20090203075049AAYTPBj	Travel;Canada;Other - Canada	Do Canadians think this is a fair multiple choice test question?	Here's the question:      Which of the following are true statements?      I. Quebec City is North in relation to Montreal      II. The Corner Gas town of Dog River, Saskatchewan is the REAL name of the town and there is no such town as Rouleau, SK.       III.  Given e = 2.7182818,  and  i = imaginary number (squareroot of minus1), and x is a random variable, e^xi = sin(x) + i*cos(x)      (Choose A, B, C, or D)      A) I,  II,  and III are all correct statements.      B) Only I is a correct statement.      C) I, II, and III are all incorrect statements.      D) Only I and III are correct statements.
20090203083454AAOnTvL	Travel;United States;Other - United States	Austin or houston, USA?	where is the best place for me to relocate? im from england and a nurse by profession. i plan to move to texas to work but i don't know which of the two is better. pros and cons and way of life in general. also if there is any nurses out there reading this, could you please tell me how is it to work over there? thank you guys in advance!!
20090203074914AAP6mUA	Travel;Asia Pacific;Malaysia	Should i go to a former company reunion dinner cos invited ?	it was my first job 20 years ago and i really want to met OLD colleagues before the time limit but the big problem was i fight with my boss before i resigned
20090203075046AA1sZHD	Travel;Asia Pacific;Other - Asia Pacific	What do you think of the Hawai'i Pacific University?	Im thinking of applying there and just wanted to see what people think of it. I want to pursue a english/journalism career.
20090220103342AAzraLh	Travel;Asia Pacific;Japan	ITunes japan gift card?	I need a song from the japanese itunes store, any free code to get it? Please I love that song, can you e-mail it to clarkcolet@gmail.com? Please at least a code for 1 song
20090220051024AARvbyj	Travel;Europe (Continental);Other - Europe	Which place is better to go on holiday, Paris or Los Angeles?	I am going on a three week holiday and i want to go to a place that is a lot of fun and that has good shopping!
20090203083550AAlRKpV	Travel;United States;Chicago	Looking for a cheap lake house within 2 hours of Aurora/Naperville?	Looking for a cheap lakehouse within 2 hours of Chicago. Wisconson or Indiana is okay. Looking for something as cheap as possible but don't know much about lkes and stuff in this area.
20090220105233AApJmNO	Travel;Air Travel	Do you agre with me that some airlines are rip-offs?	My mum Nana and i are going over to see my auntie after her operation in the summer and we were looking at flights from an irish airline. We're pretty lucky that either belfast or dublin will suit us because to fly from belfast city airport to london stansted was ￡160 sterling from a wednesday to monday. With the SAME airline,dates and very similar times(within minutes of the belfast flights) from dublin to london luton was EUR 90!   I cant believe the difference in the prices and i think its disgraceful!
20090203072514AA8vWCD	Travel;India;Other - India	How to get money back from Golden forest of india limited?	plz give ans. its arjunt please tray  your best to send it early as possible
20090203072559AAh7sVC	Travel;United States;Other - United States	Moving from Baltimore to D.C Need Your ADVICE!!?	this summer I am planning to move to D.C to attend school. I need to find a good job in D.C, can u tell me anything I should do to prepare for this move...like housing and job ideas!!...Please!
20090203073304AA5VH9u	Travel;United States;New York City	Is snowfall expected on Patnitop this week?	N/A
20090203074553AAyDAt0	Travel;United Kingdom;Other - United Kingdom	Woolworths.co.uk??? restored?	Hi there i heard from someone that woolworths online will be restored again? By looking at the website they seem to have somthing planned, does anybody know more??
20090203075017AAdMJlB	Travel;Africa & Middle East;Morocco	Anyone like to speculate prices in Morocco this summer?	I am visiting Agadir for 2 weeks in may and can anyone give me any educated estimate as what 1 euro will get me?
20090220055010AAraGye	Travel;Air Travel	Im flying 2 different airlines with different baggage weight policies,can I take 50lbs & and get away it?	IM FLYING UNITED FROM DFW TO DC & DC TO KUWAIT ,UNITED IS 50LBS KUWAIT IS 44, CAN I GET AWAY WITH IT???
20090220060313AAEVe4U	Travel;Europe (Continental);Other - Europe	About the booking a flight ticket or just an itinerary for applying french visa?	I am an indian, now in london under work permit visa for 2 years. As my 1 st year is going to finish, i would like to visit my friends in france for my holidays?
20090220110854AAppVS6	Travel;United States;Orlando	Would I still get into Universal Studios on the 'Fright Nights' if I have a flexiticket?	Well you see, I'm going to Orlando on the 8th-22nd October this year.  I was wondering if it wouldn't be worth while getting a Flexiticket as I wouldn't be allowed in with it & would have to pay extra?
20090220104222AAnHBxJ	Travel;Europe (Continental);Other - Europe	I need multiple entry residence card for europe?	i am frequent traveller to europe.i need some multiple entry reseidence card for europe. to safe my time during frequent visa application in the embassy.
20090220104721AAcKCub	Travel;United States;San Diego	IF I DONT HAVE A TX ID OR PASSAPORT AND I NEED TO FLIGHT FROM DALLAS TO CALIFORNIA WHAT OTHER DOCUMENTS CAN I?	N/A
20090220111214AACZ1X8	Travel;Africa & Middle East;Other - Africa & Middle East	Haw come ayesha came back from the dead?	N/A
20090220111349AAwfMIi	Travel;United States;New York City	Any1 know good places to get hair cut in NYC, Queens or Brooklyn under $40?	Or good hairdressers.   Any recommandations? Thnx!
20090220111415AAPdMUF	Travel;Africa & Middle East;United Arab Emirates	Tunisian Food in Dubai or the UAE in general?	I am looking for restaurants that serve Tunisian (not morrocan) food in Dubai or any other UAE emirate, or Kuwait for that matter. PLEASE do not say Al-Malouf in Deira, I tried it, I hate the service.
20090220115031AAvO9Hj	Travel;Travel (General);Packing & Preparation	Can i take a handbag as well as a small suitcase as hand luggage on easy jet?	travelling to valencia from gatwick with easy jet tomorrow, question is, can i carry my handbag as well as my trolley case on as handluggage, or does my handbag constitute 1 bag??
20090220115855AA21Q6q	Travel;Cruise Travel	Holidays on Cruise Ships?	has anyone ever been on a cruise ship durring a holliday like christmas, easter, halloween, thanksgiving, valentines day, or fourth of july?      If so be describe the special events that take place and the holiday it was and the cruise ship.      Thank you everyone =)
20090220120212AAI1ePo	Travel;Cruise Travel	Has anyone been on a cruise The Majesty from NCL?(Norwegian cruise line)?	I am going to Bermuda this summer, aboard The Majesty and i was wondering if this ship was nice or not? I have sailed with NCL two times before and this is my third time. So, i was looking at the picture of the ship and it doesnt look so nice which is strange for NCL.  Please tell me about it, if you have been on this particular ship from NCL. thanks!
20090220120224AAamCyq	Travel;Asia Pacific;Korea	How do i pronounce this korean word ????, ???	it's english meaning is expect but I do not how to pronounce
20090220120644AAhRIUw	Travel;United States;Other - United States	If i get my summer youth working papers upstate and go to virginia for the summer can i work there please help?	i live in upstate N.y and my mom lives in Richmond Virginia ny i was wondering if i get my working papers upstate at my school and if i go down to my moms house for the summer will i be able to work for summer youth even tho my working paper's are from upstate.
20090220121318AAUxX3x	Travel;Travel (General);Other - Destinations	Spring break Canada? Any ideas?	My friends and I are looking to travel to canada for spring break.  We were wondering where the best places are to go.  We live in PA so we were thinking somewhere around the Niagara Falls area. Any ideas?
20090203080513AADcN0y	Travel;Europe (Continental);Other - Europe	Driving from Germany to Italy..are there tolls on highways in Austria and Italy? Can you pay cash?	N/A
20090203080701AAgfWzk	Travel;Travel (General);Packing & Preparation	Can you tell me how the dimension of the luggage for carry on, ?	N/A
20090203082042AAcMWCQ	Travel;Air Travel	Cheap check in "luggage"?	Hi I'm traveling in Asia and flying home next week.  With all my extra shopping do you think it's ok to put it into one of those striped multi coloured plastic strong bags with the zippers on top?  I see people using them everywhere here on the buses but don't now if I can use them on the plane?      Thanks, and I hope you know what bags I'm talking about.
20090203082127AAUvNJH	Travel;Travel (General);Packing & Preparation	I've heard about a canada only passport that's cheaper than a regular passport. Where do I get one?	I'm guessing the DVM or a courthouse but just looking for help.
20090203082753AAFwqWF	Travel;United States;Other - United States	Where's the best part of Iowa to live?	Currently I live near Des Moines but would like to move to some other region when I can buy a home for myself. I'd love to live in a more hilly region with more forests. I'd also love to live closer to some ski areas. Mainly I'm just looking for a quaint area in Iowa with not a ton of people but a lot of Old Fashion charm. Maybe in an area with some Amish? XD What would you suggest?
20090203085555AAopRRo	Travel;Asia Pacific;Singapore	Do i need vaccinations to travel to singapore?!?	Hi      I am going to singapore for 4 days on the 16th of February on the way to Australia I'm from the UK and havent travelled to these parts before!       A friend has told me I need to have vaccinations, is this true!?!
20090203091217AAzM7YC	Travel;United States;Other - United States	Where can a family enjoy a "Dirty Dancing" vacation?	I caught "Dirty Dancing" on cable the other day. Are there still vacation destinations like the one portrayed in the movie? A place where you can take your whole family and stay the week; with community meals; planned activities for all ages; community events/entertainment in the evening? Do you know of any such destination in the Mid-Atlantic region?
20090220045242AA7I3N8	Travel;Europe (Continental);Other - Europe	How do I get from Oslo to the North Cape ?	Im going in June for the Summer Solstice, and have been searching for hours, but without spending at least 400€ it seems impossible to get there. Our destination is not fixed yet, but would prefer the north cape. Any ideas? Or alternatives please...
20090220053244AAM0W76	Travel;Europe (Continental);Other - Europe	Do americans need any visa to come to Ukraine?	N/A
20090220064015AAaWEuM	Travel;Europe (Continental);Greece	Whats are you dressing up for the carnival ?	Any cool ideas? @@@
