20090128210749AAF2URO	Cars & Transportation;Car Audio	What kind of door speakers ?	what kind of 6.5'' door speakers would go good with 2 kicker cvrs?   for around $100
20090128230251AAHC8nV	Cars & Transportation;Maintenance & Repairs	What is a hydraulic  engine?	about hydraulic engine and his function.
20090128230548AAEO45k	Cars & Transportation;Motorcycles	15 year old big enough to ride KX 250?	Hey   im 15 years old and about 175 cm tall and i weigh about 65kg, would i be able to fit on a kx 250   i have experience in moto riding aswell   thanks
20090128231159AA4aTBZ	Cars & Transportation;Maintenance & Repairs	Anyone know a way to remove scratches off your car?	I have scratches, more like swirl marks on my car, and was wondering if anyone knew of something that I could use/do without having to spend money out the butt at a body shop to fix it?
20090128231635AAyxMH0	Cars & Transportation;Motorcycles	Any drawbacks of apache RTR160-FI rear disc.?	hi plz inform abt any drawbacks of apache RTR FI 160,rear disc
20090128233552AA6MoR6	Cars & Transportation;Buying & Selling	I am 17 ( and so is my twin ) could we lease a car?	Me and my twin are thinking of leasing a car, we both work  and the cost of the lease is like $400 a month, I make that in like 2 weeks. So if we told the car company that we would both be paying for it would they let us lease it? or if not fuuuckk them and ill tell my mom to lease it and ill give her the $$$$ and she pays it off HAHA!
20090128232439AAUic4U	Cars & Transportation;Other - Cars & Transportation	Where can I learn about cars?	I want to learn all about cars, specifically street racing, NOS, suspension, engines...etc. Where can I learn all this without school?
20090129021116AAdaIiP	Cars & Transportation;Car Makes;Volkswagen	VW Golf question ?? Plz help ?	Hey i'm thinking of buying a used car, preferably a VW Golf    (2001-2003) But i was told to stay away from a 1.4 engine & to buy a 1.6 model because the 1.4 petrol give alot of bother.    Is this true ??      Thanks for your answers.
20090129010135AAqFuP1	Cars & Transportation;Commuting	Light snow at airport?	I am flying from London Heathrow on Monday at 12pm. The weather forecast said to expect light snow showers. Would this affect my travel plans at all or will everything be ok?
20090129010710AA3xjrY	Cars & Transportation;Buying & Selling	Can someone give me some tips on selling my car? I need it gone quick.?	Ok here is the prob I have. I Have a 2005 Cavalier with Low miles. Im only asking the blue book value for it. It gets great gas millage. This is the ad I have posted up, I need to sell it quick, because I found another vehicle I like. If anyone can think of anything else that might get a customers attention, it would help!      Price is Flexible! Great Gas Saver! Gets about 40MPG! Needs to go! Nothing is wrong with the car. It has just 58,000 miles on it. It also has cruise, tilt wheel, AM FM Stereo, power door locks, power windows, power sunroof. It is a 5speed Manuel transmission. It comes with 2 sets of wheels, 17's the ones on it, and the factory alloy's. Both have good sets of tires. It also has duel exhaust. If you have any questions, or if you are interested, please call Nathan at 000-000-0000 If you want more pictures just let me know.
20090129012425AA7pWzd	Cars & Transportation;Car Makes;Maruti	I am in Delhi, 4th owner of Maruti 800, Feb. 1997, white. I want to sell it. What is market price?	N/A
20090129010256AANY4VB	Cars & Transportation;Car Makes;Ford	Headlights on a car and the orange lights ?	I have a 2006 ford crown Victoria police interceptor.  I have a question about those orange lights on the car.  I’m not talking about emergency lights that cops use.  On the front near the headlights are the orange/amber lights.  They are also the turn signal lights.  Sometimes I drive with just the orange lights on instead of using my headlights when it’s just gloomy.  At night I use my headlights.        What do you call these orange lights? Is there name for them?       And why do some people choose to drive with those orange lights vs. the headlights?
20090129005526AANrjR8	Cars & Transportation;Car Makes;Subaru	Is it a bad idea to buy a used Subaru WrX Sti?	I want to trade my '98 Impreza outback sport in for an sti. i cant afford a new one so i was thinking used.  My ex said its an awful idea because of the turbo being beat on by the previous owner. is he right? or are there other factors to consider?
20090129015256AAaLjR5	Cars & Transportation;Car Makes;Maruti	Which is a overall better car in Maruti, the Swift or the Zen ?	N/A
20090128233033AA83i9u	Cars & Transportation;Maintenance & Repairs	How to recalibrate gauges needles on cavalier?	i have a 2000 chevy cavalier i would like to know if somebody knows how to fix my gauges needles the fuel and rpms needles are wrong but the  Temperature and speedometer are correct.
20090128234356AAcpVup	Cars & Transportation;Buying & Selling	Is it too late to save my car if it is in collections?	I have a past due vehicle.   I owe $15k left on the loan.   I'm 4 months late which should be around $2,500. I checked my credit report and it said that it is in collections. However I still have the car with me. If I can come up with around $400, will it be enough to save the car for now?      I know I should call. Actually I will be calling ASAP to work something out. I just want a heads up.      Also, will they work with me to refinance the car? I never been current with payments in the past 1 and a half years, being laid off from job to job. My credit rating is lower than Andy Dick on his knees in front of Fabio.      BTW this is Honda.      So don't forget to answer all the questions.      1. Too late to save car?      2. Refinance?
20090128233505AALVi6b	Cars & Transportation;Buying & Selling	What car is the best right now?	Okay, so my fiancee and I are going to go to a dealership tomorrow to look at cars. What is the best car we can get for the money right now? Preferably below 20k. Economical, family car, and is gonna last the longest. New or used. Doesn't matter.
20090129012432AAwgZlS	Cars & Transportation;Boats & Boating	Any idea what the average salary is for a Staff Captain of a cruise ship?	Staff Captain is basically the person under the Captain.    Thanks!
20090128231858AAnhPKU	Cars & Transportation;Other - Cars & Transportation	Making a  U turn help?	do you yield to other cars? im learning how to drive and i see that most cars making a U turn dont yield for cars making a right. I know you yield when making a left when theres not an green arrow.
20090128203445AA2GNrD	Cars & Transportation;Maintenance & Repairs	On average, how much does it cost to fill up a tank of gas?	N/A
20090129003143AAhKYEf	Cars & Transportation;Boats & Boating	Which would be the best eBay category to sell books about historic sailing-ships and modern yachts?	N/A
20090129011309AAjMLRC	Cars & Transportation;Maintenance & Repairs	My car doesn't slow to a smooth stop when stopping at stop lights..why?	I just had my front brakes done back in November.  Instead of slowing to a smooth stop, as I decelerate, you can feel the car rock back and forth, like in a front to back motion as I apply the brakes and come to a full stop.  It's like it wants to grab the brake in a fully smooth motion, but it doesn't.  It's like grabbing and releasing...I can't really explain it though.  It's annoying because it's kind loud when my brakes are applied.  It still squeals like it did before when my front pads were to minimum spec.  I thought it would go away because they were new...but the same squealing is still there.  I thought maybe it was because I got the cheap package of brakes- Bronze Front Brake Service Platinum Pkg from PepBoys.  Oh and also, about a year ago I ran over a big *** pot hole too..but I never got an alignment done.  I just had my tires replaced/rebalanced/rotated every 6k/brakes/brake flush/regular oil & filter changes every 3k.  I'm going to get an alignment done soon though anyway.  But I also wanted to know if the fact that I haven't had the alignment could have anything to do with the rocking of my brakes as well?   I don't drive aggressively either(obviously..since my car is only 80 torque..i can't go no where lol).  Regular use of hwy at speed limits and street use at speed limits.
20090128202921AAMyU4m	Cars & Transportation;Other - Cars & Transportation	Chrome or polished rims?	looking at some eagle alloy rims for my truck. 15 inch rims. cant decide between 146 117 and 118. all look great. i am unsure the difference between a chrome or polished rim. chrome is more in price. any help?
20090129022230AAs84h9	Cars & Transportation;Car Makes;BMW	How much does the BMW 650i cost in australia?	Im thinking about getting on when im older i liked the look of it and apparently its V8 6spd manual
20090128235612AAhAJ4B	Cars & Transportation;Car Makes;Ford	King Cobra Clutch on stock 1993 Mustang GT?	Planning to put on a king cobra clutch on a stock mustang, has anyone had it on there mustang, n how do you like it?
20090128233936AAeImSA	Cars & Transportation;Maintenance & Repairs	Where can I get posi and 3.73 gears for an 83 monte carlo SS for cheap?	N/A
20090129015841AA6cDEt	Cars & Transportation;Other - Cars & Transportation	What does CARB exempt, CARB legal, and 50 state legal mean?	Anybody who lives in California has to deal with CARB. It is really a pain for those who modify their cars. I have asked this question in a couple different car forums, and I never seem to get a straight answer.       What is the difference between CARB exempt, CARB legal, and 50 state legal?       basically, if i'm choosing different performance enhancing car parts, and I find one of each, which one would would legally have me pass smog, CARB, and the visual inspection?      thanks in advance.
20090129004509AAEysYk	Cars & Transportation;Car Makes;Ford	Acquired a 4x4 need help?	I have a Ford Explorer 4x4 , Do I have to stop to put it it 4 wheel drive.There are two buttons on the dash one is 4x4 and the other is low range.    1993
20090129014134AAM10d6	Cars & Transportation;Maintenance & Repairs	Do i need to change the cv axle/halfshaft on my civic 94?	Hi, the right cv axle on my 94 civic sedan automatic is loose, ive been having trouble accelerating, it seems as the transmission was slipping a little and having trouble downshifting; could this be due to the loose axle? how do i know its in right? do i have to get a new one? i hear its not that hard? what other names does it have, ive heard a grip, cv axle, cv shaft, halfshaft, automatic transaxle........ which one is the right one?! thanks
20090129012119AA5mFjf	Cars & Transportation;Car Makes;Fiat	My Fiat uno is breaking by itself, HELP PLS!?	I drive a fiat Uno, i noticed that it has no power what soever, and then heard a funny hollow sound when i pressed the breaks in hard, when i take my foot of the petrol and push clutch the car breaks by itself. PLEASE HELP, what can this be & how can it be fixed?
20090129013141AA4Dtu5	Cars & Transportation;Car Makes;Citroen	What oil is suitable for my c2?	ive just bought this car cant find in the manual wot oil to use      thanks
20090129013925AApBeJK	Cars & Transportation;Maintenance & Repairs	Why does my car pop when i set it in drive?	My car is a 2000 cavalier. It started to make a popping noise when I set it in drive or when i take of affter comming to a stop.  It doesnt do it when i am turning though.  The pop comes from the right passenger side.
20090129014917AAa4hS5	Cars & Transportation;Maintenance & Repairs	Do haynes print a service manual for a 2004 ka if so where can i get one i can only get one for a 2002 no late?	tried everywhere
20090129020635AAwtKTA	Cars & Transportation;Safety	Jaywalking at Orchard in Singapore- what has LTA done?	What has the Land Transport Authority done to improve the situation of jaywalking at Orchard Rd in Singapore?
20090128231815AA0SQYO	Cars & Transportation;Maintenance & Repairs	How much does it cost to replace a timing belt for a 97 geo tracker?	N/A
20090128232307AAUufbj	Cars & Transportation;Motorcycles	Okay I'm new to motorcycles and I'm bout to buy a starter bike, I need to know what kind of clothing to wear?	I need to know because i'm looking at commutes hitting interstates and such but before i do that i plan on getting used to the bike and riding and such  But the hand books don't exactly give you great info on good clothing. I'm needing some help here as to what kind and where to buy thanks guys and gals.
20090128232632AAqZuQ6	Cars & Transportation;Other - Cars & Transportation	My paster let me have an old traffic stoplight. You know, the ones that are yellow and about 4 ft tall. Yellow?	He wants me to fix it so that they can use it for vacation bible school. Don't ask me why! He has 3 of them and they look fairly new; but not the newest. I just need to find a wiring diagram for these, and am looking for someone to help. I am an old heat and air man, and have lots of experience in electrical. What I don't know, My best friend does. He is a licensed elect. contractor and I have a H-2&3 Mech. Heating & Air. We just need an wiring diagram for this light. I believe that the paster wants it to blink all the way down or control the 3 separate. It is a simple project. We just need a diagram, and a understanding of the sequence of operation. God Bless any help,from any one with the god-given knowledge The units that we have, have a different module on top than the other two. They have two wires coming into the top. 1 has 4 conductors and the other has 7 conductors.The unit is a Kennedy # A-7018211R, the top module is Dialight #433-1210-801 date 02-16-2000 120 volts, 10.5 W. It looks like it was made in the Netherlands by A Roxboro Group Co. .If you can help us in any way we would greatly appreciate it. You can contact me by 910-730-0018 or 910- 995- 4429. Or you can email me at rudy10w30@yahoo.com. Thank you and God Bless Ray Carnes 123 Fairfield Dr. Rockingham, NC 28379 USA
20090128232917AAKiBxa	Cars & Transportation;Maintenance & Repairs	Replace the engine or junk the whole car?	After 256,000 miles, the engine on my 93 Acura Vigor died and is unrepairable.  The rest of the vehicle has been well maintained and remains in very good condition.  I've always really liked that car and would like to be able to keep it, but I really question investing several thousand dollars into a vehicle this old.  Is it worth the cost to have a used engine installed in an otherwise good condition 16 year old car?  Or am I better off to just give up on it and buy another car altogether?         I have enough cash saved to either pay for the full repair or to buy a replacement used car for cash so availability of funds is not really a consideration - only the long-term benefit vs. cost.  Also, as far as I can tell, re-manufactured engines are not available for this vehicle because they are fairly rare and therefore a used engine is the only real repair option.
20090128234528AAnxaLl	Cars & Transportation;Car Makes;Ford	Whats the suggested rpm to switch gears on ford mustang gt?	N/A
20090128235236AA2kN7m	Cars & Transportation;Other - Cars & Transportation	Any place out there where i can buy rally car parts?	just bought a 2003 wrx last night and now im looking to slowly make it ready to tear it up in the dirt! i know there are alot of avid rally racers out there i just want to know where there getting all there parts. there has to be a place out there. the only thing i can find is primitive rally racing. so if you guys have any resources at all please let me know. thanks
20090128235324AAU74lQ	Cars & Transportation;Maintenance & Repairs	Clutch or Transmission?	My 1995 Eagle Talon TSI FWD started making grinding noises either from the clutch or the transmission.   It only happens in first gear and reverse   It doesn't start grinding until i'm driving for driving for a while and it's all warmed up. And then for example.. I go up to a stop sign. and as i start to switch back into first gear it grinds. what could this be?
20090129000712AAxvJWD	Cars & Transportation;Maintenance & Repairs	Why is my Ohio Buick running so poorly on premium California Gas?	I drove my 2003 Buick Park Avenue Ultra from Ohio to California.  I have had the car for 2 years and have only filled it with regular gas.  I have never had any engine related trouble with it.  I have been in California for a month and the car is running poorly.  The first time I took it to the mechanic, the car was rattling on acceleration and the 'Service Engine Soon' light was flashing on and off.  The mechanic told me to use premium fuel instead.  The rattling went away, but the car now idles very rough.  Every 5-10 seconds the RPM drops and it sounds like it is misfiring.  The 'Service Engine Soon' light came back on and stayed on.  The mechanic said it was an old code that said misfiring cylinder and told me again to continue premium fuel.  It is now my fourth tank of California premium and the car still idles rough, and the 'Service Engine Soon' light is still on.  What do I do?
20090129000802AAw86TA	Cars & Transportation;Buying & Selling	How to apply for an import license?	I plan on importing an armored vehicle from the Czech Republic and need to know where to get and what type of license I will need.
20090129001149AACO93V	Cars & Transportation;Car Makes;Dodge	Intrepid 96 trans slipping?	okay here is my problem, I purchased this 96' intrepid 3.5 it was in pretty bad shape had to assemble the whole engine so I did now that I am done the car starts and the engine runs smoothly but when is time to drive I am having problems if I select the reverse the car will need to be in 3000 RPM's before it starts moving same thing when I put it on drive it takes that many RPM for the engine to engage and start moving the car the when it is time to change to 2nd gear I have to rev up really high again same for all gears, also on the dashboard is not showing the proper gear when in reverse it shows as parked, when parked shows as in drive and so on, please help me, what can be causing that?
20090129001612AAFe7ri	Cars & Transportation;Car Audio	Is this a good car stereo set up?	Hey guys, im planning to upgrade my 95 honda civic coupe sound system so im wondering if this is a good set up??      Head unit: (already bought)    http://www.crutchfield.com/S-TAXJye7eAHO...       Front speakers:     http://www.crutchfield.com/p_108609CS/In...       Rear speakers:     http://www.crutchfield.com/p_108509CS/In...        4 channel Amp:    http://www.crutchfield.com/p_108R475A/In...       Subwoofer: (already bought)    http://www.crutchfield.com/p_2067C12VR4/...       2 channel Amp:    http://www.crutchfield.com/p_489AP1200/P...       anyways, what do you guys think of this set up?? please feel free to give me any suggestion (=. one more question, for the front speakers, crutchfield states something about the modified fit, so does that mean it wont fit my car?? thanks a lot!
20090129002347AAO8pnP	Cars & Transportation;Car Audio	Help finding a good amplifier for my car ?	i just bought 1000 watts sony explod  sub woofers i need help finding a good Amplifier please give some suggestions. i have 09 Toyota Corolla
20090129002735AAUbKnA	Cars & Transportation;Buying & Selling	Had taken a car loan from a bank,loan has been fully repaid.What is the procedure to obtain a NOC ?	I have taken a Car loan from a bank which was payable in 3yrs , I have repaid the entire loan. Now what is the further procedure to obtain a NOC.?? OR what next is to be done once I've repaid the car loan. Please advice on the same.Thank You
20090129003107AAVCP5I	Cars & Transportation;Car Makes;Lexus	Crazily midified suvs?	N/A
20090129004549AA5pUwd	Cars & Transportation;Insurance & Registration	Do I need to get insurance on a car that can't move?	i have this car that is totaled and i cant do anything with it right now. And if i end up getting another car do i have to pay for insurance of both or the cars?
20090129004826AA0DwNp	Cars & Transportation;Car Makes;Renault	What is the symbol on a1998 renault megane dashboard which is a square boxwith a squiggly horizontal line thro?	N/A
20090129012650AAnCwI3	Cars & Transportation;Car Makes;Ford	07 Mustang with ABS, No traction control OK in winter?	I want to buy an '07 Mustang that has ABS but no traction control. I live in Chicago and we have snowy winters but if I throw some weight in the trunk will it be OK to drive or a nightmare?
20090129013847AAgPpGv	Cars & Transportation;Car Makes;BMW	I was wondering if a E46 M3 back bumper would fit on a E46 saloon?	N/A
20090129014719AAZlA9W	Cars & Transportation;Aircraft	Fatigue fracture of crankshaft of aircraft engine?	fatigue fracture of crankshaft of aircraft engine
20090129023813AAEP5my	Cars & Transportation;Maintenance & Repairs	Where can i buy rear wheel hub for my honda tmx 155?	Where can i buy a rear wheel hub that is made of steel or cast iron somewhere near quezon city?   Thank you!
20090129024306AATNoVd	Cars & Transportation;Maintenance & Repairs	What the best quick fix for a gas tank leak?	hello, i have a minor gas gas tank leak, it has a very slow drip.....drip.....drip.      if needed i will buy a whole new one or remove it to have it repaired but for the mean time i was looking for a quick fix online . ive narrowed it down to two products. just need some opinions on which will hold better.      1. J-B Weld   2. Seal-All   or 3. a better suggestion??      thanks in advance
20090129024632AAED9qB	Cars & Transportation;Car Makes;Nissan	How many cans of Pepsi can fit inside the Nissan Grand Livina?	N/A
20090128203247AAwxi7b	Cars & Transportation;Car Makes;Other - Car Makes	Wheres the vin number on a 55 cadillac?	4 door sedan  62 series...
20090128204307AAOrSB8	Cars & Transportation;Maintenance & Repairs	Manual transmissions - at a stop light should I put it in neutral until the light changes or?	go ahead and put it in first and sit there waiting for the light to change with my foot on the clutch?
20090129032147AAO5qn7	Cars & Transportation;Car Makes;Other - Car Makes	Pontiac, Olds, and Buick 350's?	I'm just curious what the main differences are between a Pontiac, Olds, Buick, and Chevy 350.  I know that Pontiac engines are neither small blocks or big blocks because they have the same external dimensions.  So a Pontiac 350 isn't a small block.  But are Olds and Buick 350 engines the same way?      Also, do Pontiac, Olds, and Buick 350's have the same performance potential as a Chevy 350?  Do you know anyone who's heavily built one of those engines?
20090128231813AAeL3hi	Cars & Transportation;Maintenance & Repairs	Mint condition Chevy Nova, rebuilt engine?	I recently bought a very nice 69 Chevy Nova with 168k miles on it. The body and interior is virtually mint and all original. The seller (retired diesel Mechanic) said he personally rebuilt the Engine at 125K... NOW I'm a car guy and builder and I am no dummy when it comes to the mechanics and I know a good deal when I see one. This Nova ran great with no issues what so ever. I decided that I wanted to go to a 383 cu and turbo 400 Tranny. I pulled the engine out and took it apart...I was floored in what I found....3 of the cylinders were Standard size....2 of them were .030 over...and the rest were .060 over size....NOW tell me why someone would rebuild an engine in this manner?? LOL
20090129001544AAVj6Jk	Cars & Transportation;Car Makes;Subaru	B4 -replacement of a broken timing belt.?	can the breaking of ariming belt for a Subaru B4 twin turbo lead to contact between pistons and valves? does one have to replace the idler gears, bearings as well when replacing the timing belt?
20090128222644AAoFtpa	Cars & Transportation;Maintenance & Repairs	How much would this cost in repairs?	 http://detroit.craigslist.org/cto/991131...       estimate anyone?      Thanks.
20090128220112AAEDeAj	Cars & Transportation;Car Makes;Mercedes-Benz	A question about Mercedes wholesale price!?	Hey guys,   Im looking for a new car and a mate of mine said he knows a guy would look out for me and allow me to purchase a brandnew Mercedes' (no idea of the model.. but thats not important for this question -- whats important are the figures he was talking) from a wholesaler.. at cost (all legit!). The figures he was talking were he (the wholesaler) was getting the cars at $80,000 Australian Dollars -- onselling to dealers at AUD$95,000 and the dealers would sell them to customers at AUD$140,000! So in effect, I would get a AUD$140,000 car for AUD$80,000.       Just wondering if anyone in the know could confirm if these figures sound about right for the prices each respective individual in the chain (wholsesaler, dealer and customer) will pay for the car. His not a guy that talks sh!t, but that definitely seems like a massive difference between what the wholesaler pays and what the customer ultimately pays.       Cheers guys!
20090129025209AACPJzg	Cars & Transportation;Other - Cars & Transportation	What would be a popular car that young guys in their early 20s would drive in America?	over here in the UK, the most popular car that springs to mind for men in their early 20s is the Ford Fiesta.
20090129030504AACrqiT	Cars & Transportation;Maintenance & Repairs	My peugeot 106 wont power up?	i left my car in my garage unattended for 4 months went out and the battery had completely discharged so i bought a new battery and for some reason when i turn the key im getting no dashboard lights or power at all, any ideas what can have caused this ? the car was working fine when i first put it in the garage, could it be the electrics have gone dodgy with dampness ? I have installed the battery correctly and have checked the charge in the battery and it seems fine
20090129022707AARBahf	Cars & Transportation;Maintenance & Repairs	My old car battery charger measures in 1 - 4 amperes how do i know when batterys charged ?	i think most modern battry chargers measure in tens but this one meaures 1-4 when i connected the car battery to it its staying at 0 and a half so im thinmking should i take it off charge when it reaches 1 ? Is is an old crypton hc3 car battery charger
20090128231619AAHnR8r	Cars & Transportation;Other - Cars & Transportation	Good and inexpensive limo services in escondido area?	Where do look to get the best deal on a limo for a night?   something nice but not too expensive.      or just a list of good inexpensive ones in SD escondido area.
20090128231343AATdJIg	Cars & Transportation;Insurance & Registration	How soon do they send you a traffic ticket? ? ?	when you get a traffic ticket how soon do they send it to you in the mail?  thanks
20090129023523AArHDrK	Cars & Transportation;Insurance & Registration	Illinois Restricted driving permit hearings?	I am having a hearing this morning and was wondering if anyone had any tips or advice.
20090128210119AAXN84o	Cars & Transportation;Maintenance & Repairs	How much coolant do I put in my truck?	I have a 99 dodge ram 1500. (5.2L) how much coolant do I put in it after I do the flush? I live in michigan...therefore no 50/50 blend. It gets to cold here.
20090129023122AAOI3U9	Cars & Transportation;Maintenance & Repairs	Serpentine belt off alignment?	Okay, so i noticed about a week ago i was getting a vibration. I checked everything and i noticed that my serpentine belt (94 mustang v6 3.8l) was off the alternator pulley (well its off track, one of the ridges is on the end side of the pulley). I'm able to put the belt back on the pulley no problem, but when i go to actually start the car the belt goes back to the front edge of the pulley. I'm figuring this is a misalignment of some sort. Any ideas on what or where to check?
20090129021415AA21Dso	Cars & Transportation;Insurance & Registration	Who pays the damages when a stolen vehicle hits your car?	My van got stolen and i decided to follow the van with my other car. i was following him for a little bit and then i guess he noticed i followed him so he backed into me and hit my other car.      Who pays for the damages on both cars? The criminal or my insurance? Im not fully covered in both vehicles so does that mean i would have to pay for damages to fix both my cars? What if the criminal hasnt been found yet, who pays for the damages??? Me or my Car insurance. I am insured with Farmers Car insurance
20090129023814AAWAwMU	Cars & Transportation;Maintenance & Repairs	Where can i buy rear wheel hub for my honda tmx 155?	Where can i buy a rear wheel hub that is made of steel or cast iron somewhere near quezon city?   Thank you!
20090129030541AA6F9q3	Cars & Transportation;Maintenance & Repairs	Rattling in front wheels of my 94 chevy s10?	it started on the driver front wheel but now its on both driver and Passenger front wheels, it get nastier on bumpy roads, it quiets down or stops rattling when the brakes are applied. it only does it while in motion.   do i need to grease up the bearings or rings on the spindle assembly? should i buy new ones or it it something els?
20090128211141AAhP6ZG	Cars & Transportation;Car Makes;GMC	Where is the alternator fuse on a 99 buick regal?	i think my  alternator is bad but i just want to make sure that its not the fuse but i cant find it
20090128212327AAt9U0h	Cars & Transportation;Other - Cars & Transportation	We think some one had put sugar in the fuel tank of our friends car. What does sugar actually do to a car and ?	is it repairable or is the engine completely shot....?
20090128212526AAlAO4G	Cars & Transportation;Car Makes;Acura	What things should I watch for when putting larger wheels on my car?	I have a 1990 Acura Integra, completely stock. (14" wheels with 4 Lug bolt pattern).  I want to purchase some larger, Honda factory wheels for my car. ( http://www.finishlinewheels.com/HONDA/CI...  to be exact).  These are 17" wheels.      However, my local Acura Dealership has warned me that going over 15" wheels on this model is damaging to the vehicle; over $1000 in suspension modifications is needed for a proper installation of 16"+ wheels.  Is this true?  Are there any ways of avoiding such expensive modifications besides using a smaller wheel size?      Thanks in advance for any help.
20090128213529AApK1S8	Cars & Transportation;Car Makes;Honda	Hyper silver or gunmetal on beige civic?	i think it really comes down to this two what do u think??
20090128222142AAuL21f	Cars & Transportation;Buying & Selling	What car should i get as my first car??!?	i cant make up my mind   i really like the jetta and i could get a new one or should i get a used reallly nice car like a bmw ahh idk and my bday is getting closer!!   please help thanks!!
20090128222159AAeohdN	Cars & Transportation;Motorcycles	07 crf250x slip-on exhausts? ?	I'm looking for a slip-on for around $350 maybe a bit more just looking for some suggestions thanks.
20090128223511AAtL12Q	Cars & Transportation;Car Audio	King Kong!!! 10 POINTS EASY FOR CAR PPL OUT THERE?	Okay, i saw the mv of King Kong by Jibbs, and i've heard of the stuff that's in the mv, like the subwoofers, stuff like that, but can someone please explain this whole bass concept to me, with the subwoofers and what they are/do? just teach me the basics for this sound system. thanks
20090128235430AA1uJzz	Cars & Transportation;Maintenance & Repairs	My vectra automatic will no longer drive?	I was driving along in the car until i came to a hill where the car started to rev quite a lot, the car then slowly came to a stop and just wouldn't move anywhere anymore... Please help me because i don't know what could be wrong with it. The car will not move in neither Drive or Reverse so i don't know what it could be..   Thanks
20090128235539AA5K1go	Cars & Transportation;Maintenance & Repairs	Why is my 1999 alero overheating ?	I have a 1999 olds alero that is running hot now when you take the thermostat out it dose not run hot at all wounder if it air locked or what   I have a new water pump and thermostat, it dosent steam leak or nothing just had the head shaved with new head gaskets......   so i have no clue
20090129022941AAUf71I	Cars & Transportation;Car Makes;Volkswagen	Why wont my keyless remote open my 2004 VW jetta?	My trunk opens and my lock works on it but not the unlock!   My battery died and after i got it started that's when it quit working.
20090129023625AAAcaWw	Cars & Transportation;Boats & Boating	The largest oil super tanker?	N/A
20090129023637AAGEbam	Cars & Transportation;Maintenance & Repairs	I need my cv joints done and a wheel alignment done i was just wandering if anyone knows how much it wil cost ?	N/A
20090129025043AA9C2nE	Cars & Transportation;Motorcycles	Information On CBZ STAR?	I need all the information for the bike CBZ STAR, for e.g:      How much CC it is ?   How much is the reserve tank ?   What is the total fuel capacity?   What is the mileage (on avg) the bike gives ?   etc etc      Pls put all the information you can for the bike... whatever you can ?
20090129025713AAKnQvb	Cars & Transportation;Car Makes;Other - Car Makes	Whats the fastest car nowadays?	My friend and I had a discussion yesterday, which car is the fastest right now you can buy but we couldn't find an answer. Does anybody know it?
20090129030014AAaQCs4	Cars & Transportation;Maintenance & Repairs	Do you have trany,com ?	N/A
20090129030115AAKYAB4	Cars & Transportation;Commuting	What's the highest speed you can drive before you get a ban?	N/A
20090129031843AA3FgbY	Cars & Transportation;Other - Cars & Transportation	I am 8 months pregnant and was hit by a 99 centsonly store semi truck what CAN I do?Should I hire an attorney?	I was in the right lane (closet to the curb heading east)and the semi was in the left lane. We were both going the same direction at about the same speed. (30 mph) I was slightly in front of the truck. My rear driverside tire about even with trucks front passenger side tire. All of a sudden the truck begins to merge and smacks the rear quarter panel of my driverside. he was stuck to me until he got back into his lane and stopped. I then pressed the brakes and stopped. My car had turned to the left about 45-50degrees. He did not hit the front of my car at all. We both went thru the next light and pulled over. I am 8 months pregnant and used my hands on the wheel to brace myself not wanting my stomach to hit the steering wheel. I am having pain in my left wrist and elbow as well as my back and neck.The store truck driver did not speak english and called his supervisor who advised him not to call the police, to get my information and give me his also. I do not have a cell phone. It was 6 am wednesday morning and there was no phones around. he would not let me use his phone to call the police. So there was no police report made or filed. We exchanged information. He took pictures of the car and me. After I had his information I drove 9 blocks home. My car is damaged. There is a dent about 2 feet long and .75of an inch deep. Also light on the side is damaged and broken off. My rear tire on the driverside is pushed inward and crooked. It now sits at a slant. the car was pulling left as I drove home. I am completely frazzled and have a lot of anxiety. Also this is too much for a pregnant woman to go thru. Emotionally and mentally. I have no way to get to the doctors now...unless I take an ambulance. I was able to get to the emergency room at 6 pm that night.Much more sore than when the accident occured.They gave me several tests and xrays. determined that I had a strained wrist and neck and back. The baby was fine.      The truck driver is at fault correct??   What kind of claims do I have?   How much can I actually recieve from a settlement?   Someone help me....should I get a lawyer the ones that say that they will file the case with no upfront fees and I pay only if I win the settlement??   Please let me know.....thanks...grateful to be alive...Nicole H
20090129031853AAmRAI4	Cars & Transportation;Boats & Boating	Has anyone done business with www.am-autoparts.com?	Just wondering if they are and honest site.
20090129032200AADuqUh	Cars & Transportation;Maintenance & Repairs	1996 chevy lumia.....?	Hello... My puestion is that i have a 1996 chevy lumia that gives me problems when i drive ... The problems i have is that when i drive it drive smooth BUT!!! when i hit a pothole,bump,dip or whatever the wheel on the right front passager side goes crazy! and makes the most Annoying Nosie in the World And i kind of lose contorl of my car..... could someone be nine and tell my what kind of problem i mite have!!!! thankzzzz
20090129032222AAWE0dM	Cars & Transportation;Buying & Selling	Where can i get a cheap car?	still fairly new (or brand new) and good condition. nothing illegal either
