20090219223741AADRKKP	Yahoo! Products;Yahoo! Messenger;Preferences & Settings	When i change my avatar picture the display is still the same and it doesn't change?what will i do?	i cannot see the new display image on my avatar when i change it
20090220022426AASdOkV	Yahoo! Products;Other - Yahoo! Products	What does Yahoo mean?	N/A
20090220015331AAdcJwd	Yahoo! Products;Yahoo! Messenger;User Profiles	Are There Any Cool Usernames?	Okay, I asked this question before, but i asked for an emo username, but i got so much sh*t from it, i decided I'll just ask for a cool username. i want something tomboyish, but different, and edgy. please help me. thanks. :]
20090220011246AAu4V78	Yahoo! Products;Other - Yahoo! Products	For the ppl who use the yahoo avatar pictures.?	Do you make them look like your self?  How you would like your self to look? or what?.. just a random question.. oh also how do i put my own picture there.. do i need yahoo messenger?
20090203122138AAA73jR	Yahoo! Products;Other - Yahoo! Products	How do I change my avatar to a more personal one?	N/A
20090220021444AA4pXks	Yahoo! Products;Yahoo! Answers	Levels here at yahoo answers?!?	how much points do i have to get to get to level 2?!
20090220003813AAAea0E	Yahoo! Products;Yahoo! Messenger;Entertainment	Whats wrong with launch the yahoo music site?	I can not seem to get it to work very good on my messenger now.It keeps saying the stations are unavailable.
20090203121840AAxs2nj	Yahoo! Products;Yahoo! Answers	How do i get to different levels on this yahoo answer thing?	im on level 1. how do i get to level 2?
20090220014553AAaUDZK	Yahoo! Products;Yahoo! 360	How to make a blogger cursor into a cursor that cannot highlight anything on the blog to prevent copying?	N/A
20090220004906AAANOzB	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	How to delete an email acount on yahoo?	some one changed my password and my account information i need this account deleted is there any way to contact yahoo or delete my acount?
20090219232607AAXRBIj	Yahoo! Products;Yahoo! Widgets;Downloading Widgets	What are widgets? widgets are used in websites but i dont know what exactly they are?	widgets are used in web designing... can you tell me what exactly it is?
20090220023143AA1rsli	Yahoo! Products;Yahoo! Answers	Where to find the experts on Y!A. Here it is all about opinions and guesswork. Isn't it?	N/A
20090203120141AAbUuOK	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	How do i block spam from my e=mail?	N/A
20090203120254AA9MFk8	Yahoo! Products;Yahoo! Answers	Get answers from millions of real people.?	Any Chinese (HongKongese) are married with Turkish man and living in Turkey now?  I am origin from Hong Kong and married to a Turk for 16 years, we have a 8 years old son and residing in Canada for 13 years, wondering if we should move to Turkey for good, or may be 50/50 time in these two country.
20090203120606AAQrJGx	Yahoo! Products;Other - Yahoo! Products	HELP! i deleted my URL box on my profile but the space for it is still there. how do i get rid of that space?	im not sure if theres a code for it, but the whole point of getting rid of my URL box on my profile was to take away space. since the space where it goes is still there, it makes no sense for me to delete it unless i can get rid of the space. thanks:)
20090203121052AASB8mR	Yahoo! Products;My Yahoo!	When I Click To Change My Theme  I Found That the old Theme Backs And Also My Old Blasts and Comments ? ?	I Think Za Cookies In My Windows Is The Reason
20090203121557AA3vd4Z	Yahoo! Products;Yahoo! Mail;Accounts & Passwords	Yahoo's Automatic log in(s)?	Before.... on Yahoo... I typed in a password when a box appeared(??) and from that time on... I did not have to type in my log ins each time because that password would automatically log me in.... Now, I do not have it... If anyone knows what I am talking about.. please let me know how to re-instate that log-in method
20090203122144AAsJVwN	Yahoo! Products;Yahoo! Photos;Sharing Photos	My Spybot wont let me go on zwinky!!!!?	ok well my dad was recently cleaning out my computer and downloaded spybot for me.  he accidentally got rid of zwinky and when i tried to download it again, it didn't work. then on zwinky i selected another way to download and it worked. the only problem is it wont let me go into zwinktopia. and every time i do spybot, it says that mywebsearch (which came with zwinky and which my dad hid) was bad.  he really doesn't want zwinky on my computer but i do and i need to know why this isn't letting me on.      if u know anything i need ur help!!!      Thanks!!
20090203122208AABO34X	Yahoo! Products;Yahoo! Messenger;Voice Calls	My webcam voice wont work?	I have a webcam which is logitech but i cant get the voice to work when i try 2 do a voice call i voice wont work. how can i get it 2 work? i've tryed messin bout with the settings but it wont work.  tell me step by step how to fix it please.
20090203122357AAgebyx	Yahoo! Products;Yahoo! Mail;Personalization	How Do I Get A Signature On My Phone ?	I'm not even sure if I can.   But I want to know if I can.   I have a Nokia phone,   That slides up & it's blue.   On the battery it says BL-4S.   Can anyone helpp ?   [:
20090203122501AAzvhoZ	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	How can I receive a return receipt when sending an email?	N/A
20090219224509AAxqJId	Yahoo! Products;Yahoo! Messenger;Entertainment	How to chat .chat with others friends.?	chat with others friends.that friend i not unknown by me .please give yahoo address who are in yahoo browser now.please answer later
20090220003555AAZI3P5	Yahoo! Products;Other - Yahoo! Products	Why does yahoo do this?	They always put spaces in links that I put in emails....It drives me crazy! How do I stop it?
20090220003622AA8JK0v	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Find email add of redjean magnaye coz some one chance is email add?	Female, 18, Single    Interested In: Friends    Member Since: Jan 2007    Location: Philippines    Hometown: o.c    Company: cherry blossom    redjean's URL:    Occupation:      cashier      Zodiac Sign:      Pisces
20090220004242AArHgMl	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Is anyone else having problems with yahoo mail?	When I log on I get the usual page for a few seconds, then it reverts to a page blank apart from the word "loading"
20090220004325AAcnU9Y	Yahoo! Products;Yahoo! Groups	What is group policy?	what is group policy
20090220012816AA4yAbr	Yahoo! Products;Yahoo! Mail;Personalization	Difference between yahoo mail folders and yahoo briefcase folder?	learn that yahoo briefcase folder is closing, we have to remove our files in it if we want to keep the files.  How about those files I keep in my mail account folders?  Like those mails I keep in inbox or in my folder, can I keep it or I have to remove them also?
20090220013458AAjTDYZ	Yahoo! Products;Yahoo! Messenger;Plug-ins	Launchcast Missing Fr Y! Messenger 9?	I've installed, re-installed messsenger several times. How come I cannot see my Launchcast ?? I'm using 9.0.0.2128.
20090220014030AAu82i8	Yahoo! Products;Yahoo! Messenger;Voice Calls	Phone in service not showing in yahoo messanger?	Phone # not showing in yahoo messanger
20090220020705AA7rUSs	Yahoo! Products;Yahoo! 360	I'd like to start a blog, but...?	I've been wanting to start a blog for awhile now. I'm a SAHM, I run a daycare, my hubby is in the Air Force, we're trying to live on a SUPER tight budget..and our life is INSANE! (but we love it) i just can't figure out what to call it...and while i'm at it, should I use Blogger or WordPress?
20090220014538AAMIleM	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	I m not able download yahoo messenger on my pc. it hangs half way?	i tried downloading multiple time but  the download does not complete. it stop on the screen showing 100% but nothing opens up. the first step is fine but the other one is a prob?
20090220014540AAAbEzo	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	Can I keep and use my yahoo email after 30.03.2009?	I am so happy with my yahoo email and I would like to use it in the future
20090220015254AAlfmkg	Yahoo! Products;Yahoo! Photos;Sharing Photos	How can I point Family to the photos I've uploaded?	N/A
20090220015351AALUVCM	Yahoo! Products;Yahoo! Mail;Problems with Service	Most of my emails to yahoo friends are not reaching them.?	for the past 2-3 weeks all my messages to my friends on yahoo are not being delivered. they are all returning to my in box saying it has not been delivered/received/etc.
20090220020834AAZxTdZ	Yahoo! Products;Yahoo! Answers	How can idelete my yahoo account?	because i'm not using this yahoo
20090220020958AAtTgaZ	Yahoo! Products;Yahoo! Mail;Spam & Bulk Mail	In my mail,i recieved a mail from national lottery uk that i won the prize of some $ ..can i proceed further r?	N/A
20090220021108AAsKTDK	Yahoo! Products;Yahoo! Mail;Problems with Service	My historical email messages have vanished (pages of them). How can I get them to re-appear?	They date back 3 years; I need to sort and access/delete them etc
20090220021148AA7I7bp	Yahoo! Products;Yahoo! Shopping	Need some help with Ebay ?	Hi   I bid for an item on e-bay and won the item. There were 2 same items for sale from the same seller. When I went to pay for the item the seller told me that she couldn't sell it to me cos was 'damaged'.   But there was a photo so why didn't they see this when taking the photo and why list it when damaged?   If I didn't pay for the item I would have been reported for non-payment.    I don't know what I can do.   Was there only One to sell ?   Or shall I just leave it?
20090220022142AAKDwdp	Yahoo! Products;Yahoo! Answers	How do i delete my own questions on yahoo answers?	there are old questions posted on a different account here by me, stupidly, when i was younger. i would like to permentaly delete them so they're not easy to google. could someone give me a hand?
20090220023425AAyh8YU	Yahoo! Products;Yahoo! Mail;Other - Yahoo! Mail	According to my mail account, I always have 1 unread message, but I can't locate that message in my Inbox?	I have looked through my Inbox, my Spam, my Sent and so on. I just can' find that 1 unread message. Could it be virus?
20090220023900AAQ9GEv	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	How can i see the previous chat conversation?	N/A
20090220024600AAmURd5	Yahoo! Products;Yahoo! Mail;Attachments & Photos	Why does my browser shut when i try to open photos?????	whenever i try to open or save a picture/photo to my pictures on my pc it wont let me do anything, it comes up saying its encountered a problem and just shuts my whole browser down why is this??????
20090220031901AArGHw8	Yahoo! Products;Yahoo! Answers	I get alot of stick about my avatar.....?	But i don't want to suddenly change it now..Is it that bad? I like it...x
20090220030111AAdeFFd	Yahoo! Products;Yahoo! Answers	Probably a stupid question.?	My answers profile says I recieved a star but I don't have any idea what that means. Can anybody help me out?
20090220030915AAI3Ce4	Yahoo! Products;Yahoo! Small Business;Yahoo! Search Marketing	Rate my blog between 1 and 5, 5 being the best. "message.blog.co.in"?	Hi. I need lil help from you. Plz rate my blog and let me know how i can improve it. Rate it on the basis of content, creativity and subject. I would appreciate if you have a glance of it. "message.blog.co.in"
20090220025303AALHbMJ	Yahoo! Products;Yahoo! Mail;External Mail (POP)	How to cancel "pop & forwarding" in yahoomail.com. for eg. yahoo to another id like google or way2sms?	N/A
20090220025734AA7LmVA	Yahoo! Products;Yahoo! Search	How do I reset my internet search?	Please help I keep getting this message when I open the internet but when the window pops up on the screen and I select google nothing happens and this window then keeps coming up every time go onto the internet    A program on your computer has corrupted your default search provider setting for Internet explorer    Internet explorer has reset this setting to your original search provider, Live search ( search.live.com)   Internet explorer will now open search settings, where you can change this setting or install more search providers
20090220025843AAiApnD	Yahoo! Products;Other - Yahoo! Products	What ever happened to the old chat rooms? like shoutouts?	i used to chat a long time ago and i noticed all the chat rooms are full of bots and i cant seem to find the right chat room for me anymore.
20090220031050AA5zRN1	Yahoo! Products;Yahoo! Messenger;Other - Yahoo! Messenger	Sorry to say that, but I tried it and it didn't worked on my laptop. Still don't know how to resolve that.Tks?	N/A
20090220030804AAwaJGU	Yahoo! Products;Yahoo! Widgets;Other - Yahoo! Widgets	Macam mana nak muatturun windows xp sidebar?	Saya mahu saya punya windows xp mempunyai sidebar macam windows vista
20090220031507AAzUO5Z	Yahoo! Products;Other - Yahoo! Products	Can we join orkut from yahoo?How?	N/A
20090220031705AA6nEgP	Yahoo! Products;Other - Yahoo! Products	How can I use my own background for Yahoo! Avatars?	I want to add my own background for Yahoo Avatars. How can I do that ?
20090220032340AAgsISP	Yahoo! Products;Yahoo! Mail;Address Book & Calendar	How do I restore my favourites list?	N/A
