20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20090220081140AAd4m1e	Society & Culture;Languages	Which regions' pronunciation of Sanskrit is the best in India?	Which is very near to the old Vedic pronunciation, without their regional variations creeping in? Is there any particular community or sect or locale where this happens?
20090220081246AAluoKf	Society & Culture;Cultures & Groups;Other - Cultures & Groups	About being a freemason?	If your a freemason and you go to a lodge in another country are you just accepted, or do you have to go through initiation again?      Also do the lodges have beds?      Thanks
20090220081305AAZqri9	Society & Culture;Mythology & Folklore	Do vampires exist? What is their narture how the leave?	N/A
20090220081936AAPmnNs	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Need help, with ASL glossing?	I have to gloss this english sentence in ASL       why did she give you a pencil      thank you   I will choose best answer to the first who glosses it :]
20090220081949AAR7niu	Society & Culture;Religion & Spirituality	Can't remember what show I was watching, but they said a line about what God says about smoking in the bible..?	Something like...if you smoke you smoke in hell....idk      Any help with the correct line, or the show that I was watching would be great!!!!
20090220085844AAcHGw9	Society & Culture;Other - Society & Culture	Why do SOME black people still hold on to things that happened over 40 years ago?	Slavery this, discriminate that, Most of us were not alive when most of these horrible happened, My Irish ancestors came to America 100 years ago and were told Irish need not apply for jobs, Dogs and Irish will be shot on site, etc... Yes there are still plenty of white people that are racist, but just as many black people hate whites, why not just make a life for yourself in the present?
20090220090139AABIjN2	Society & Culture;Etiquette	What happen to that little thing people used to have? I think it was called..............MANNERS!?	WHY DOES NOBODY TEACH THEIR KIDS MANNERS ANYMORE? I am just absolutely amazed by the amount of people that I come in contact with on a daily basis that don't know how to hold a fork or spoon properly or chew with their mouth closed! Im at work and i was just in the break room about 10 minutes ago and i swear i could of heard this guy eating from a mile away! he was slurping and smacking his lips so hard i almost screamed! he chugged his pop down so fast i heard ever ounce of that liquid get gulped down his throat right after he very loudly sucked it out past the ice that was in his cup! On my way back to the office i get on the elevator and a lady is in there chewing her gum like its going out of style! She sounded like a horse. she was popping it and slurping! seriously how do you slurp gum! doesn't anyone have manners anymore? slow down when you eat! chew with your mouth closed! don't hold your fork like a farmer! Why cant people act like civilized human being instead of like a farm animals eating his last meal before the slaughter house? WHY??????            Ok so I guess my question is........were your parents big on teaching you manners? As you can tell mine were lol.
20090220092103AAqnRxr	Society & Culture;Holidays;Ramadan	Who translated The First Aya (vers)Of holy Quran in another language And which Ayat It was?	N/A
20090220092425AAfm2gq	Society & Culture;Religion & Spirituality	What does the bible have to say about massive gamma ray bursts?	Did god drop his tea or something?       http://ca.news.yahoo.com/s/afp/090220/to... 
20090220090846AAIAvOj	Society & Culture;Religion & Spirituality	2 Questions about Dominic and his influence by the Albigensians?	How did Dominic’s experience in working to convert the Albigensians influence the manner in which he conceived and organized his new Order?  How practically did he carry out his vision from the early days of the Order?
20090220090720AATwXIx	Society & Culture;Other - Society & Culture	Do you have any working cemeteries near you?	like still doing burials? have you ever been in it? whats it like?
20090220094000AAefoGj	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Im just curious: How come some men support Chris Brown?	You are entitled to your own opinion. I just wanna hear from a man's point of view why you support Chris Brown harming Rhianna.
20090220090105AAGhb4U	Society & Culture;Holidays;Ramadan	Why isn't there an Islam section in Y!A?	Why are all the muslims stuck in the Ramadan section. I think I have never seen a question in that section genuinely about Ramadan. Shouldn't Islam be in the Religion and Spirituality section?
20090220091345AAVhMrS	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Has Y/A helped you in any way?	me coming to this section has really helped me to be honest to myself about my sexuality & other things in general.  i love all of guys so much even though i don't REALLY know ya.  i wish i could meet all of u in person so i could thank u.      (((HUGS)))
20090220082853AACIDg3	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What is introvert???	N/A
20090220083722AAGRArF	Society & Culture;Religion & Spirituality	How would you interpret this scripture found in John 14:1; Let not  your heart be troubled: ye believe in God,?	Believe also in me.  (kjv).  A serious answer please Thanks in advance.
20090220083831AA7jXMp	Society & Culture;Religion & Spirituality	Spiritually speaking: For the election of 2012, who would you rather have for presidency?	Barrack Obama   Sarah Palin   Bill Clinton   Alma Wade   Other   Please have specific reasoning on why you have chosen this person as who you would possibly vote for in 2012.      I would personally choose Alma Wade, for she has the tools to get everyones expectations for the year 2012 done and over with. http://en.wikipedia.org/wiki/List_of_F.E...    What about you?
20090220085704AAs2Vys	Society & Culture;Religion & Spirituality	Does God reveal his plan for mankind through the Sabbath and the Seven Annual Sabbaths?	Does God reveal his plan for mankind through the Sabbath and the Seven annual Sabbaths?         Weekly seventh day Sabbath   Passover   Feast of Unleavened Bread   Pentecost (Feast of First fruits)   Trumpets   Atonement   Feast of Tabernacles   Last Great Day
20090220094125AAzS9oG	Society & Culture;Religion & Spirituality	Spiritually Speaking: WTF are Nipple Pasties?	N/A
20090220090731AAOQqjS	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Do you think that Chris Brown 'pummeling' Rihanna's face is amusing?	Well, I'll be honest, I think I do... But it doesn't make me bad.      It's partially funny because of the irony related to the incident. Every girl I know loves Chris Brown... But I bet they wouldn't love fists flying at them from multiple directions.      I never really liked her. Her music p!!!!sssed me offfffff. People are exaggerating like domestic violence doesn't happen everyday. If it was a local person from down the road where you live you wouldn't give a monkey's... But it's Rihanna so everyone is crying. I'm sure she doesn't even want pity.      Please don't say it's just me who finds it funny, that's really not a good sign.
20090220082345AApnQCn	Society & Culture;Languages	How do you say that you smell like poop in French?	I am o clu peguin and this is alot of funi am calling people idiots and stuff lie tha and not gettinreported! leasehelp me with this!
20090220084536AADR4WD	Society & Culture;Religion & Spirituality	Does your Holy Bible have Jeremias Chapter 36 (Jeremiah)?	The New Book   Jeremias Chapter 36: 27-32      And the word of the Lord came to Jeremias the prophet, after that the king had burnt the volume, and the words that Baruch had written from the mouth of Jeremias, saying: Take thee again another volume, and write in it all the former words that were in the first volume which Joakim the king of Juda hath burnt. And thou shalt say to Joakim the king of Juda: Thus saith the Lord: Thou hast burnt that volume, saying: Why hast thou  written therein, and said: The king of Babylon shall come speedily, and shall lay waste this land, and shall cause to cease from thence man and beast? Therefore thus saith the Lord against Joakim the king of Juda: He shall have none to sit upon the throne of David, and his dead body shall be cast out to the heat by day, and to the frost by night. And I will punish him, and his seed and his servants, for their iniquities, and I will bring upon them, and upon the inhabitants of Jerusalem, and upon the men of Juda all the evil that I have pronounced against them, but they have not heard.   And Jeremias took another volume, and gave it to Baruch the son of Nerias the scribe, who wrote in it from the mouth of Jeremias all the words of the book which Joakim the king of Juda had burnt in the fire; and there were words added besides many more words than had been before.
20090220082231AAxwcKx	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	?????Is there a big height difference between you and your special someone??????	Um...I don't think so. She's 4' 11" and I'm 5' 3". It isn't that bad. 4 inches is nice in my opinion.
20090220092346AAwQ8WU	Society & Culture;Cultures & Groups;Other - Cultures & Groups	People not from USA opinion and everyone answer US too?	Do you think Americans are violent? Do you see Americans as angry people? Or could the violence be coming from newer generation Americans who immigrated in? Are cowboy and Indian days the root of violence. (I am having a heated argument with my European husband who has been here in US for 15 years.)
20090220082031AADCsZm	Society & Culture;Languages	Why do English language writers say "body"?	I've noticed this all my life. Whenever someone falls from a great height, writers always treat the victim as dead even before he or she hits the ground.       Here's an example:      "Then to the horrified watchers below there appeared the figure of their hero in a headlong leap from the cockpit of the burning aircraft! Lufbery had preferred a leap to certain death rather than endure the slow torture of burning to a crisp. His body fell in the garden of a peasant woman's house in a little town just north of Nancy."    http://www.eyewitnesstohistory.com/luf.h...       Note that not Lufbery, but his "body" fell.      This strange usage isn't limited to journalists (the above example wasn't from a journalist), though they seem to be the main culprits. How did this usage originate? Is this somehow supposed to be a matter of respect for the deceased or his family? Do writers in other languages do the same?
20090220090131AAjScGB	Society & Culture;Mythology & Folklore	Ghost in my bedroom....?	Last night I was sat up in bed reading and I looked up for a second and I saw a pale, translucent woman. I just looked at her. She was staring behind my head (the wall over my bed) and then she just disappeared. She seemed pretty young too, quite flat shape.      My house is about 51 years old, so is it possible that it's haunted? Then again, me and my parents live in an old town (Going back to 1500's)      I was reading Pride and Prejudice at the time so I doubt that it was a figment of my imagination.      I think I've seen this ghost before when I was younger. She was sat on my chair and stared out of the window and looked like she was muttering to herself.      Creepy...
20090220093056AAHHr4l	Society & Culture;Holidays;Ramadan	Ramadan, welcome to class, who are your professors?	here are your classes, who do you think would be the best professors for the job?      1. Theory of Versatile Ambiguity in the Context of Grammar      2. Logic and Reasoning in Da'wah      3. Conceptualizing Beauty through Creative Expression      4. The Power of Female Obscurity      5. Feline Progression in Combating Ignorance      --------   whaddya' say? 5 classes is enough for this term !      Choose your professors wisely, your performance will be recorded!      :D      :   : . . .
20090220082854AAhz8t1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Rihanna's Face After Chris Brown Beat Her? [Pic]?	 http://www.lovebscott.com/       Does anyone still 100% support Chris?      I feel he is wrong and should be punished for the crime; BUT dont get me wrong i still like his music but it was completely wrong for him to even put his hands on her regardless of anything especially to the extent they are saying.      And dont say why is this in the LGBT commuity..I am a LESBIAN and Lovebscott is a gay male. :D
20090220094103AAbaHgM	Society & Culture;Etiquette	Question on Shaking Hands....?	I know a guy who scratched himself a lot and one day in the toilet I heard noises when he was in the stall that sounded like he was using water from the bowl to wash his butt because he would flush and then I would hear a splashing followed by another flush. He kept doing that for several cycles and I saw water on the floor when he came out.   My problem is he always wants to shake my hand when he sees me. How can I avoid this without offending him?
20090220090117AAc1u65	Society & Culture;Etiquette	How do you address a woman in a letter when -------?	When you start a letter to a woman, and you don't know if she's married or not, should you start "Dear Ms. Jones" or "Dear Mrs. Jones"   Will women get offended by "Ms."?
20090220084814AACJ0Cy	Society & Culture;Religion & Spirituality	What's a mormon.....?	a random question i know but i have never heard of it before.      thank u
20090220092848AAUlh0R	Society & Culture;Religion & Spirituality	Do you think our society has these qualities?	1. equality   2. peace   3. a good education system
20090220092228AAXT4pS	Society & Culture;Other - Society & Culture	Why do most adults do this?	When I am around my friends, they will start saying to there children please get out of the room, or dont look, I have to tell Daddy (there husband, the childrens dad) something. Or they will say they need to show my friends something. I remember when I was a child, and I HATED that! It made me want to just tell them that if it is so important they can go in another room themselves. I don't know. Is it me or is it just how adults were raised too?
20090220084714AAUghIY	Society & Culture;Religion & Spirituality	What do you think of Opus Dei?	What do you think it is? Give me your opinions on it.
20090220090609AATQBHw	Society & Culture;Cultures & Groups;Senior Citizens	What home remedies did your mother use when you were sick?	I had bronchitis when I was a teen and a plaster of Crisco and kerosene took it away overnight. Coughed up everything in 5 minutes the next morning.  Don't know how safe it was to use but it sure did the trick.  That was my grandmother's remedy, she was a Cherokee descendant and also used a lot of herbs, would have to be dragged to a doctor and only when she was too weak to resist.
20090220084518AAT8ZKC	Society & Culture;Religion & Spirituality	Is it not a theist educating an atheist like a blind leading a blind?	N/A
20090220094215AA2CdJU	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Isnt 'brainwashed' americans a good thing?	As in the americans that believe thier country is the greatest.   First off, they say that they have the best oppotunity of freedom but we have freedom of speech AND we can move to other eu countries without any hassle. Which is more that could be said about moving into other states into usa. They never seemed to realise the tranquil scenery of south italy or spain, the education of england and the nightlife of singapore! They dont understand that the whole world is laughing at them. I think top gear (usa episode) and borat says it all.      P.s. Dont bring the wars into this. Russia dominated them all and you can show off all you want when you have conquered 1/4 of the world like ours.
20090220085335AAyhOpF	Society & Culture;Other - Society & Culture	If you knew you could rob a bank and get away..would you do it?	I would. Give me a assualt rifle, kevlar vest, boom. I'm rich.
20090220083329AAFUFZK	Society & Culture;Religion & Spirituality	A question about Mormon tithing?	When I was a member, I found it odd that of all the churches, the LDS one was the main one that actually requires you to pay it.  If you look at it in a way, does it mean it costs you to have to go to the temple?  They won't let you go if you haven't paid a full tithe, even those that don't really have the means to.  I was a student, still am actually, but after rent and gas I had only enough money left to get food to live on.  My bishop called me in, telling me I needed to pay, it didn't matter to him that I had no way of doing it.  I told him I felt it was more important for me to actually have food to eat, not give the money to him to where I may not eat for the month.  The one month I actually tried and had to eat very little, I actually got very sick and ended up in the hospital, putting me further behind in the money department.  So I told him I would not pay it, that I needed the money I had for housing, gas so I could get to school and work, and food to live on.  Why is the church, who makes billions of dollars from tithing, why were they so worried about my little portion, especially when I couldn't pay it?  Why is it a requirement when to me it seems like a way to get money from the members and make you buy your way into heaven?
20090220093006AApF1v6	Society & Culture;Cultures & Groups;Senior Citizens	Are the children out of school today?	Are they playing on Yahoo Answers and found the Senior Citizen category?
20090220092858AAKGHt9	Society & Culture;Religion & Spirituality	How come people with religious authorties always switch doctrine up, but not bible based people?	As in, I believe it was the LDS or Mormon, one of them said black people couldn't hold one of those offices in their church. But lo and behold, now they can.       But us bible based people have always known it was allowed.       So why do people with these religious authority type people always change their doctrine, but the bible based only people don't?
20090220093539AA7aIzS	Society & Culture;Religion & Spirituality	Let me get this straight...for hundreds of years of believing, our world was unadvanced and unhealthy, but now?	When science is tearing away at the Bible, and more and more people are becoming ex-Christians, the world becomes better? Doesn't that put a huge hole in your religion?
20090220085832AArsWKH	Society & Culture;Religion & Spirituality	Was the bible written by Nnnnnnnnnnnnnneeeeeeeerds or Jocks?	N/A
20090220082815AAkkSaU	Society & Culture;Other - Society & Culture	Why are some people so rude on YA? Aren't we here to help each other?	There are plenty of good people in this world, but there still are bullies. Let's be kind to one another and make this a better place.
20090220085452AAfNb2y	Society & Culture;Religion & Spirituality	US christians - Why do you support Israel?	I've never been able to understand why the US worries so much about Israel. It's just a small country with a small population in the middle East. But the place is the focus of the worlds problems.      Why do so many Christians still think that the Jews are Gods people and Israel is the holy land?       Isn't that all a thing of the past since Jesus came and replaced the 10 commandment with the law of love.       I'm not anti-anyone, but I think the US's support for Israel is only bringing trouble.  Can't the Israelis take care of themselves, like everyone else? You can't tell me that the US isn't supporting the Israeli military machine.
20090220092141AA68BCt	Society & Culture;Other - Society & Culture	How do i go about signing on the dole - I don't have a choice?	I'm at college and the course was only going to be for 6 months. college put you on placement to help you done NVQ's and get a job. only thing is every placement I have had has closed down: Woolworths, nursery, shops ect. me and this lass both were given extra time. before christmas I was at a pet shop and it closed. I went back to college 4 days a week and my toutors told me about a new placement at the hospital cafe and shop. I agryed to take it on, however they like to do a risk thing before they let you work there. one of my ref's has got lost and last month (31st jan) I got told me and this lass have only 1 month to get a placement or we are out. I only found out on wedsnaday my 2nd ref had not came even though my 2nd ref had sent the letter off 4 weeks ago. and I only have 1 week left. they is not time to get a placement. and the other lass dosn't care cos her mam will give her money, but I need money. they is NO jobs, I live in hartlepool and more shops have closed and no one is taken people on at the time. I need the money to feed my lizard and pay for contact lenses. does anyone have a clue how you sign on. or how much you get and ho long you have to wait until you get payed?
20090220085438AASMMjy	Society & Culture;Etiquette	Is it OK to be affectionate with a guy who has a girlfriend?	I'm used to hugging my close girl and guy friends, putting arms around shoulders etc.  Do you think it's ok to be cozy with male friends who have girlfriends?
20090220084846AAdW2uc	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What are you going to miss?	N/A
20090220083827AA6FtqI	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Have you ever been...?	... completely happy?
20090220090451AAJTu95	Society & Culture;Etiquette	There's an annoying guy at my job ...?	... who always has to put his 2 cents in... GRRR!       I was shredding some paper in the NEW paper shredder and I was standing next to it to make sure that it didn't get stuck. He comes to see what I'm doing and says, "I think you may have put too much paper in there." I said, "I think it's fine. It's working." and then he said, "Well, that may not be very good for the motor". OMG! No one asked him his opinion and no one invited him to see what I was doing.      I just walked away and ignored his comment. What would've been a good come-back?
20090220082527AATSO3T	Society & Culture;Religion & Spirituality	Will God ever accept me again?	Before, I had a nice relationship with God before..like until I was 16.   But then when an opporunity of a different kind of living came, I grabbed it. However, it brought me to the world of sins.   I drink, I smoke sometimes, and I submit myself to lust.   But I dont think Im happy :(   Could things be back to the way they used to be? Could He still see me as her innocent child? ;(
20090220083058AA4jeH2	Society & Culture;Holidays;Ramadan	Why are some people SOO obsessed about a Top Contributor badge?	N/A
20090220093612AABuqav	Society & Culture;Etiquette	Do I need to dress up in a tie and shirt for a car salesman?	I don't have dress clothes, and don't have money to go out and buy dress clothes. I have nice black pants and shoes and some collared shirts. Would this work for an interview? it is a nissan car dealership. What are the chances of landing a job without experience?
20090220091823AA0EzK1	Society & Culture;Religion & Spirituality	Can someone give me a link please? bible question?	I'm looking for a diagram that shows how the 12 tribes of Isreal were placed adjacent to each other in the bible. I know Judah stands exactly in the east.
20090220092941AAakPfa	Society & Culture;Holidays;Ramadan	Ramadan Sect - 20 Exam Tips For Students?	I was browsing through a website and found this useful page which gives you 20 exam tips for students:    http://www.kalamullah.com/exam-tips.html       Just thought I'll share =) Exam tips will be appreciated...
20090220094034AAQqkQt	Society & Culture;Cultures & Groups;Other - Cultures & Groups	How do people talk about "white" people and "black" people as if they are REAL categories?	"White" people don't even share the same culture, not even the same ancestral lineage:        http://www.geocities.com/littlednaprojec...       Neither do "black" people.      So, why do people speak of "white" people and "black" people as if they are REAL categories that naturally exist?      Why can't we all be Humans? We do share the same genes after all (that's why we can have kids if we **** one another - sorry but it must be said). Agree?
20090220092721AAnTFsU	Society & Culture;Other - Society & Culture	Has anyone ever seen a bull fight in person?	No on a T.V.?? I saw one in Spain and was shocked at it. Do you think that it is inhumane or acceptable behavior? From watching I felt sorry for the Bull. He was gorged and attack for hours until they finally killed him.
20090220092602AAM3ifL	Society & Culture;Languages	How does this professional intended letter sound to you? Any help would be great! Thank you?	My name is Hakim Husein and I am ecstatic to be working at the Arab American Culture and Community Center, with truly remarkable people. As you know, we at the Arab American Community Center have an AmeriCorps National Service Day coming up on May the 16th. After much consideration, my co-workers and I have reached a preliminary agreement on a most worthy cause.   We would like to serve the DePelchin Children’s Center on that day. What we have planed as of right now is to have a drive (the sooner the better) for varies items i.e. deodorant, preferably new clothes and toys, can goods and so on. We would plan on having this charity drive at a number of places which include the ACC, varies churches/mosques, and even local high schools and universities. We will have this drive open up entail the day of the event. On the actually National Service Day, we will have a variety of fun and educational activities planed out for the children (depending on their age) such as basketball, karaoke, finger panting and so much more. If you have any concerns or would like to give me any advice in regards to our National Service Day, please do not hesitate to give me a call at my personal number at 832-222-5555. Thank you so much for everything you do and I look forward working with you on this worthy cause.
20090220085742AAEyhA3	Society & Culture;Other - Society & Culture	Could God make a version of the Windows operating system so user-unfriendly that he can't use it himself?	N/A
20090220091846AArFu5b	Society & Culture;Other - Society & Culture	Why do other people bother me with their problems and life stories?	i have never bothered anyone with my problems or told them my life story.   yes i fought the ted in the 80s and 90s, but thats no reason to brag about it!
20090220091602AAoIAKo	Society & Culture;Religion & Spirituality	Does the Bible mention when time was created?	N/A
20090220085223AAM5kBp	Society & Culture;Religion & Spirituality	When I made breakfast this morning, the image of the WSIDR appeared on my toast. Is it a miracle?	The Image of the What Should I Do Retard appeared on my toast!
20090220082512AAkCsHj	Society & Culture;Religion & Spirituality	The ultimate question...?	Theists and Non-theists,   What would it take to convince you you are wrong?      For a theist, ask yourself what event/fact/evidence would convince you you had the wrong god or that there was no god.      Vice versa to non-theists.      (If there is nothing that can change your mind then you are being irrational, come on theists, please prove me wrong and be rational, don't reinforce the stereotype I have that you are all deluded and irrational!)
20090220091749AAQtaUG	Society & Culture;Cultures & Groups;Senior Citizens	Why is America funding indian reservations?	Nothing goes on there besides the casino ,there is very little revenue. Only state that is the exception is NM
20090220091458AAZGlQM	Society & Culture;Cultures & Groups;Senior Citizens	Should America bailout homeowners in the projects or places where housing value is low?	What kind of investment is that
20090220082610AANwr3X	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Are wrangler Jeans that men wear gay for gay men,?	You know the cowboy look are the men that choose to dress this way witch are normally older men from the 70's fashion who wear wrangler jeans usually gay ?
20090220091442AAsmPrn	Society & Culture;Mythology & Folklore	Psychics. Is he boyfriend material? Or just FRIENDS?	Ok well there is a guy named James R. B. and he is calm, seems to be nice, and has a good sense of humor. He wears glasses. He is 18 since September and has dreads and is from D.C. Basketball is his passion and he is 6'2."       We just got to know each other a little Tueday night in his room(in the dorms) speaking for 3 hrs. We also spoke last night for 30 minutes.      1) What does he think of me personality-wise?   2) What does he think of me looks-wise?   3) What will come between us? (friends or a relationship)
20090220085527AAqSTMX	Society & Culture;Languages	Whats does "no me tocas" mean?	i went on a date with a puerto rikan girl and she kept saying that. Is that a good thing??.  Does that i mean i love you or your sexy??
20090220090614AA95axe	Society & Culture;Languages	Why do koreans talk so funny?	i don't mean to be racist
20090220093826AA6yRs2	Society & Culture;Mythology & Folklore	Goddess hera's specialties?	also, what is her weakness or areas that cause trouble for Hera (like love or betrayals)
20090220091626AAlzC86	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do guys find mixed girls to be exotic and sexy?	N/A
20090220082450AAlD55l	Society & Culture;Holidays;Ramadan	Ramadan: one of my closest friend took her hijab off...?	when she wears it she gets heat stroke and she was hospitlized for 2 weeks. she decided to take her hijab off and only wears it in the winter.      is this haram?       thnx         ~susan         <3
20090220091327AA0kRql	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do i have such a huge obssesion with white guys?	i have low slf esteem i know it but neways, recently i noiced that i treat white guys better then black guys as in givin them more of a chance...   i met this cute black guy at the club and he wanted to have sex with me but i tld him no chance and lost all contact with him   then i met this white guy in school he has a gf and i knew he just wanted me as a booty call and i actually had thoughts about doing it !(But i didnt,i`dont talk to him nemore either)   its not in my character to be a slut and all but its just weired.      why am i like this?
20090220094309AAQZExb	Society & Culture;Other - Society & Culture	What is the difference between "Moral" and "Ethical"?	What is the difference between morally correct and ethically correct?   How can be a person ethically correct but morally wrong?   or how can be he/she ethically wrong but morally correct?   It would be better if you can explain this question with some examples.
20090220082729AAjzd6V	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What to do if your being bullied at work by 7 people who hang out?	no proof just my word against theres? I guess I'll have to quit.. but was hoping to hang in there till may at least.. I had a target to hit to move to spain but I'm affraid they are gona get to me so bad I'm just gona walk out... need to figure out tunnel vission to not let there remarks and the things they do to get me introuble get me???       Oh and my line manager said I'm the minority and that I am being paranoid and maybe I have an attitude problem becasue I am the common denominator... I don't think this company works the way it's suposed to so going through the right channels wont work.. I guess I have to find a way to just make it through and see how long I can last till I can't take it any more
20090220085018AAb2jvb	Society & Culture;Holidays;Halloween	Fairy Tale easy costume ?!  pleasee x?	Hey guys well my friend is having a fairy tale, Nursery rhyme party tomorrow, its late notice so im really stuck i cant go out or buy anything and its tomorrow i was thinking maybee tinker bell or somin, but im not really sure i have a greeen minni dress and huge burgandy wings, blackishh tights, and black pumps but i really donoo what else i could do. maybe thumbelina cus im tinyy but PLLEEEASSSEEE help.   i have to make it or like add stuff to gether so like any suggestions please, thanks.      xx
20090220083512AAgf5YR	Society & Culture;Mythology & Folklore	Despite all of the scientific evedence to the contrary, why do people continue to believe in the supernatural?	People the world over believe in a supernatural world populated by gods who perform miracles, ghosts who act as intermediaries between the gods and man, and saints who have been revered as holy men.  Despite the lack of evidence to prove that theses beings exist, people still continue to worship these supernatural entities.  WHY???
20090220082332AAZ4zR4	Society & Culture;Mythology & Folklore	How did the grim reaper begin?	N/A
20090220090142AAs0hS5	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Raped and Homosexuality?	I was raped about 6 years ago, I always thought i was attracted to woman but never dated a woman until after my attack. I don't think me being raped has anything to do with my sexual orientation, but yet whenever i tell someone my story they automatically think they've 'solved' my 'problem' of being gay...   Do you think that being raped has an impact on sexual orientation?
20090220091605AACEsHF	Society & Culture;Holidays;Ramadan	If the material you made things from was edible, would you eat that too?	Or is that what you are eating now without knowing it?
20090220090536AA7nTBs	Society & Culture;Religion & Spirituality	As a parent what are your expectations from your child?	Posting a parenting related question here...but read on...religion does come up.....      I was brought up in a very sheltered environment and have always been an obedient and studious child. I did good in school. college etc and now am successfully employed. So far I was the epitome if proper child to my parents ...as they kept telling me how proud they are of me.      I moved away from home...fell in love and got married to a guy I had know for 4 years. He is also educated, responsible caring loving...all!. he was raised in a different religion. The 4 years I knew him...I questioned my beliefs etc...to make sure what I felt and if I was ready to commit, and I was.      Ever since the day I told my parents I wanted to marry him...their attitude towards me changed completely. They told me that marrying him was the biggest mistake I could make...and how they never expected me to do so...and how difficult it would be for them to accept this.      We got married anyways and every time I talk to my Mom or Dad they will say something to put my husband down. Its so disheartening to see this. My husband thinks that they just need more time and when they see how happy we are they will come to terms with it.      Sometimes I feel that I was too harsh on them...that I was too selfish . I love them but I don't fell i did anything wrong.      So as a parent what are your expectations from your child...if you had been in my parents place would you feel the same way too?      Thanks for reading...
20090220091919AAW8p3V	Society & Culture;Etiquette	Do you think 27 is too old to be living at home?	My boyfriend of 3 years wont move in to my apartment. He lives at home with his mommy and daddy.  He is 27, and i am 23. He works part time at walmart, and is not in college.
20090220090930AA5LDAb	Society & Culture;Religion & Spirituality	Why did my question get deleted?	why is it that when i asked a question about the logic behind the theory of evolution that it got reported and deleted?
20090220092318AAEB31R	Society & Culture;Mythology & Folklore	Do you think this is scary?	 http://www.maniacworld.com/maze_game.htm 
20090220085829AATupVw	Society & Culture;Religion & Spirituality	Catholic Christians: Does the Pope have authority to declare a Crusade in today's society?	I know, it sounds unrealistic, but does he at least have symbolic authority to declare one?
20090220083939AAdcYRs	Society & Culture;Religion & Spirituality	Is there any truth to the whole Zeitgeist-thing?	N/A
20090220084451AARuY19	Society & Culture;Languages	How would my name be said in Japanese?	My name is Stephanie, which means crown.  My middle name is Joy (I know there are no middle names in Japanese culture, but I just thought I'd tell you, haha).   Should I phonetically translate or is there a way to keep the meaning without it being a really weird or unfeminine name?    I'm guessing my last name would just be translated phonetically.
20090220083318AA1haoX	Society & Culture;Religion & Spirituality	If I want to can I worship Darwin?	I prefer darwin to dawkins or even gould. Can I use him to hit my godspot?
20090220083256AAAMjGA	Society & Culture;Religion & Spirituality	Non-Christians, have you found yourself caught up in a Christian against Christian "war" on here?	I find Christian vs Christian intriguing. it's so entertaining, not necessarily funny, but it definitely helps ease my boredom. one can get a glimpse of what Christianity is like. entertaining (again, not necessarily in a funny way).
20090220093942AAlXCJ4	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Where can i get a gay porn magazine?	I'm playing a practical joke on my boyfriend and need to find a gay porn magazine... but where sells them? I don't wanna go too out of my way, but do shops like whsmith have that kind of stuff? I know they have Loaded with naked women, but what about mags with naked men?
20090220093443AAOsUTf	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Nothin for a question?	first on to answer randome ? of 09 is the winner
