20090205084025AATMI2P	Food & Drink;Vegetarian & Vegan	Whats a good website to find vegetarian partner?	must be totally 'WOW'
20090205114534AAtpUR5	Food & Drink;Other - Food & Drink	Slow cooker - beans (from dried state)?	Hi      How do I go about cooking beans (from dried) in a slow cooker?      I know I have to soak them overnight and then boil them for ten mins before adding to the slow cooker, but how much liquid should I add to the beans (500g - 1lb approx)       I also have some pork and chorizo to add to the mix plus anyhing else that may be required.
20090205115339AAgPmli	Food & Drink;Cooking & Recipes	When making a list of ingredients for packaging a food, will recipe suffice?	or do i have to make the list in descending order with the weight added as well?
20060821101029AADXpqI	Food & Drink;Other - Food & Drink	Quien decidio que las frutas eran comestibles?	POR EJEMPLO EL MANGO, LA SANDIA, EL PLATANO
20070519182937AAsZaFI	Food & Drink;Cooking & Recipes	Qu puedo hacer con coco?	Tengo un coco en casa (la fruta blanca por dentro), est rayado y deseo utilizarla en alguna receta de cocina que sea muy fcil de preparar. Ya no tiene agua, est en peque?os trozos hechos por el rayador. GRACIAS POR AYUDARME A GASTAR ESTE COCO, SI NO LO GASTO SE VA A DA?AR.
20080704071547AAys9VW	Food & Drink;Other - Food & Drink	I'm confused on which one is healthier?	I've been drinking at least two or three juice boxes for over a year, thinking that they're healthy (especially compared to 7up/sunny D that I usually drink) but after drinking a few I started to feel kind of sick. I drink the HI C strawberry (100 calories and 26 sugars, plus it's 10% juice) with 100% vitamin C. Is that unhealthy? What about Sunny D (90 Calories, 20 sugars, 100% vitamin c, it's 3% juice, and 20% thiamin (<-even though idk what that means))? Which, if either, is healthier? How can I learn how to identify the healthy choice? I don't eat meat so I know I lose a lot of nutrients that I try to make up for in pastas and bread and stuff but how do I know if what I'm choosing is healthiest since the calories are so high?
20090202194452AAvcIFu	Food & Drink;Cooking & Recipes	Can I marinade chicken in a southwest salad dressing?	I want to make a tasty southwest chicken but our supermarket didn't have southwest sauce, only southwest salad dressing, someone suggested I marinade it in that as wont' be any different.  Any ideas?
20090203024546AAnTMnF	Food & Drink;Vegetarian & Vegan	Ok, you have to tell me if this was too much to eat..?	so i always try to cut back on food a bit.    and since i've been obsessing so much i'm just not sure whether what i ate, for example today was too much   so i'm 5 foot 9   i just had my last bit of food so lets make it count   what i had:   2 apples    1 oatmeal cookie   1 portion of mashed potatoes and some aussie beef strips with brown sauce (i gotta admit it was kind of a big portion)   1 small bag of nacho chips (like 350 kcal per bag)      i'm 15 years old and i my activities today merely consisted of walking stairs... in school and at home      but that doesnt matter, just tell me if it was too much or not.    thanks guys
20090203032056AA1V9rH	Food & Drink;Other - Food & Drink	Why don't they have an ad advertising the new do us a flavour walkers crisps?	N/A
20090203032822AATfQnG	Food & Drink;Cooking & Recipes	Simple meal to return the favour? ?	Hey there, thanks for looking. Basically, one my of parents is going off to visit friends and relatives in Aus on friday, so I'm planning to cook for the both of them before he leaves - meaning this thursday. Now, I can cook a few things, including packet based stuff, but I'm aiming to make something a little better, just nothing to hard.      I'd really appreciate it if you guys could lend me some ideas and/or recipes that wouldn't be to complicated. Remembering I'm fifteen. I don't mind using a few packet based, but something made from hand aswell would be good.      I'll be aiming for both meal and pudding, though I have a pudding planned. So, please, anyone with meal ideas? I'm kinda desparate..      Thanks in advance btw, (:
20090203033421AAOkGde	Food & Drink;Other - Food & Drink	Who Likes Walkers Steak And Onion Crisps?	Loll, Ergh I Hate It. Anyone Like It?
20090203034032AA1Fsbk	Food & Drink;Beer, Wine & Spirits	Having thoughts of drinking again?	i am a recovery alcoholic put it this way i weighed 110 and blew a 3.1 and passed the serbrity test when i got pulled over in 2002. i have a beatiful 4 year old and am with the man that saved me from drinking. lately i have just been thinking about drinking i am on anti depressents    and that helps alot. i guess what i am looking for is someone to talk to sthat has the same problem. maybe its just cause its winter and i hate the snow but i need an outsiders oppinion.
20090203043124AAwAZVP	Food & Drink;Cooking & Recipes	Recipes from your ingredients?	Hi does anyone know of a website that you put the ingredients that you have into then it provides you with possible recipes that you can make from them? I saw it on TV once but never wrote it down.. thanks :)
20090219104055AAGTO2k	Food & Drink;Cooking & Recipes	How can I make chocolate?	OK, I want to make something edible that tastes good. so all i have is powdered chocolate (Milo), butter, sugar etc. If it is possible to make my own chocolate, tell me how and what i need. Please and thank you!!!
