20090220133731AAJWDO5	Pets;Dogs	How Cute is my puppy?	Here's my puppy... her name's Lexie. :D       http://s724.photobucket.com/albums/ww244... 
20090220150018AA0Ad5E	Pets;Dogs	How do you get your dog to stay in your own yard?	We live in the country and we already had one dog and it got ran over.I was really sad and i don't want this to happen to my dog jake ! Like our old dog jessie. he likes to wonder to the neighbors house to play with there dogs and we tried punishing him and putting him on his leash inside when were gone.               It doesn't seem to work though, and I'm getting really scared of  him getting ran over like jessie. Its an easy ten points! Please help me !!!~~~
20090220151246AAxBA3W	Pets;Other - Pets	If you were an animal what would you be and why?	N/A
20090220143912AAsbHEO	Pets;Cats	How do you prevent ear mites in my cat?	my cat has had ear mites but has been treated at the vet but how do i stop it from coming again
20090220152130AA8VG8t	Pets;Cats	I LIKE KITTN'Z do u like kittens?	i like kittens  do u like kittens? i have a kittn his name is moni. he has soft fur.. does ur kitten have soft fuuuur? my cats breathe smells like cat food.                                        yes i do in fact think im halarious
20090220145829AANn0gr	Pets;Dogs	Double dose on puppy shot, HELP!!!?	My girlfriend just called me frantic that she might have hurt her little dog.  She has an 8 week old boxer pup, just got it.  Somewhere along the way there was a mix up with the people she bought the puppy from.  She took little Peyton to the vet today where for some reason they gave him his 6 weeks shots instead of his 9 weeks, anyways turns out the dog already got the same shots a week ago.  I tried looking up info I don't think it will hurt the dog but any info greatly appreciated, she can't get a hold of the vet and she's worried
20090220150226AAdunzf	Pets;Fish	What Filter Should I use?	I can't decide which filter to get for my 10 gallon freshwater tropical aquarium. I want at up to 20 gallon filter. And I cant decide between these.  http://www.aquariumguys.com/penguin100b....   http://www.aquariumguys.com/rena-smartfi...      http://www.aquariumguys.com/whisperpower...    The filter I have and want to replace is a  http://www.petsolutions.com/default.aspx... 
20090220144209AAtrYg8	Pets;Cats	What do you do to feel better?	today i got a call from my mom saying she put my cat down hes been sick for a while now losing weight getting sick. how do you feel ok and what do you do? ive had him for 13 yrs he used to follow me every where and always sleep with me. how do you get happy again?
20090220144417AAE9ArF	Pets;Dogs	Questions about tapeworms?	Ok so i got a new puppy last saturday which was 6 days ago. he ended up having tapeworms. He got treated for them on monday. Well ever since i have been so incredibly scared that myself or my kids are going to get these worms since i seen we can get them! I mean sick to my stomach worried! I guess my questions are has anybody gotten tapeworms after their pet had them? How long would it take to see if you had them? (like how long would it be before the segments showed in your stool) Is it common or is it looked at as repulsive by a doctor if you go in and say ummm i think i have worms? Im just so paranoid because i have never dealt with an animal or a person for that matter that has had any kind of worms so its really freaking me out. I know this is the dog category but since it started with my dog and you all are dog lovers and possibly had experience with this..i decided to post here. Any advice or insight would be appreciated! Thank you!
20090220144510AANpUDs	Pets;Rodents	My Robo Dwarf Hamsters sleeping in the ball?	I got a Critter Trail Z for them--there are some hide boxes in the cage but they just don't sleep there. They take all the toilet paper flakes up to their run ball and sleep in it! After they wake up they play the ball with all the toilet paper, food and their poop tumbling with them! Can i make them not to sleep in the ball? they can't exercise well this way because the stuff in the ball hit them and they stumble all the time.
20090220144629AAIEFrK	Pets;Dogs	Cycle Natural Adult Dog Food?	I used to feed my dogs Purina, but I decided that I should feed them something healthier. I went and bought Science Diet, because it's vet recommended, right? Well, after doing research, I found that it really isn't as healthy as they want you to think, and that there's many better options out there. I live in a small town, so alot of the dog foods I found listed that were healthier with natural ingredients and no by-products, I couldn't find in the stores around here. I did find one dog food that I think is comparable, though, so I wanted to list the ingredients and see what everyone else thought...the dog food is called Cycle Natural, and from their website, it's only available at Food Lion (where I bought it), Safeway, Price Chopper and Giant Eagle. Here are the ingredients:      Chicken Meal, Whole Corn, Whole Wheat, Soybean Meal, Poultry Fat, Pearled Barley, Brewers Rice, Animal Digest, Oatmeal, Vegetable Blend (Peas, Carrots & Green Beans), Beets, Salt, Flax Seed, Dried Chicory Root, Alfalfa Nutrient Concentrate, Vitamins (Vitamin E Supplement, Vitamin A Supplement, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Choline Chloride, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Caldium Iodate, Sodium Selenite), Rosemary Extract
20090220144709AAxrYFq	Pets;Birds	Can anyone find any owl feathers?	I'd like to use some owl feathers in a special project that has spiritual meaning.  If anyone knows of any I could find, the help would be appreciated.
20090220144731AALIGh9	Pets;Other - Pets	Owning a rabbit? I was thinking about getting a rabbit for my dog, she needs a friend?	I can't have another dog, cats live too long, so I was thinking about a bunny.  Problem is i have never had a bunny so I don't know what actually goes into taking care of one.  Tips, advice, warnings.... any input would be welcome.
20090220144911AAPMFCs	Pets;Cats	How long is an upper respiratory infection contagious with my new cat?	I took him to the vet yesterday and was provided with some medicine from the shelter when it was determined that he indeed had respiratory infection. I have already administered two of his doses. My main question is how long will he be contagious, as I would like him to at least meet my other cat (who is fully vaccinated) and have this weekend set aside mostly to do so. Any help is greatly appreciated.      P.S. the new cat is quarantined in another room at the moment and anyone who handles him washes their hands thoroughly.      Thanks!
20090220144914AABVzOK	Pets;Dogs	How do you get a dog to stop barking?	my pitt barks when she plays or when she wants something.  its very annoying.  any little tricks (other than exercise) to get her to stop.
20090220144932AAOdHzu	Pets;Fish	What are the little red and white worms crawling all over my live rock in my saltwater fish tank?	They came on the rocks when we first got them. Now they have multiplied like crazy. Some of them are even 2 inches long. I need to know what they are and how to get rid of them and are they bad for my tank
20090220145334AA9aXzc	Pets;Dogs	Can a 1 year old German Shepherd still be taught? (BEST ANSWER!)?	I want to adopt a 1 year old German Shepherd, but I want to know if he will still get used to us as his only owners. Can he still learn new things, environments, etc? Can he be trained just like a puppy?      Thanks.
20090220151856AAD8yzu	Pets;Dogs	Can DHL deliver me German Shepherd puppy from Germany to Libya?	N/A
20090220145422AAtalS9	Pets;Cats	Ever since we got new carpet cat started peeing on it?	We've had the same liter for awhile and she had been using it just fine until we got new carpet. She keeps peeing on it but its not in one spot its a different spot everytime. Shes about almost a year old and theres another cat. My parents are fixing to get rid of her so I need help quick! Please help and let me know what needs to be done! THANKSS
20090220145936AAHTuMX	Pets;Cats	Why are cats soo......?	Why are cats soo creepy and weird?
20090220150044AAwuLzv	Pets;Other - Pets	I want to learn how to keep a worm as a pet...?	ok,i want to keep a worm as a pet(i know gross) its because i am really fasinated in animals so yeah.like what should they eat,how moist the soil should be,what should i put them under, how long they can live,how much space they need,and any other information will be great.thank you everyone!:)oh and to those that will be rude.please dont be that makes your parents look like they dont teach you at all.if you agree with me..put a "YES!" at the end of your anwser., and if you dont then put"NO!" at the end of your anwser.thanks everyone!:]
20090220150050AA3C860	Pets;Cats	Looking for a baby kitten?	places in mass. or nh with baby kittens?
20090220150105AA9Dg9H	Pets;Dogs	Yorkie *please help me*?	Okay me and my husband just got settled into our home we have been wanting a Yorkiee for some time now.... We reallydon'tt have 600 extra dollars to spare.... I would like something local... Please anyone who is looking to Find a better home for yourYorkiei. Please im asking please contact me. Thanks!
20090220150619AA71eYX	Pets;Dogs	Why is my dog doing this?	my 1 year old Shi tzu elmo has just recently been groomed shorter than usual. he is acting very strange since we got him back from the groomers. he is walking fine on second and the next he is walking in a sideways motion, trying to reach around towards the anal area we have checked for swollen anal glands and this doesnt seem to be the problem, he just seems to constantly want attention from people which is completely out of the ordinary he is in no physical pain eating and drinking fine and willing to play and go for walks and randomly just sits down for no apparent reason.      any responses welcome thank you
20090220150806AAcKGuL	Pets;Other - Pets	How do you get closer to a new pet hamster?	Well, my hamster had been really scared of me sense when I've first got her. I've been giving her time to get use to me so we could be cozy buddies. But it's been 1 year ! I've named her and I had been calling her that name ever sense, still she acts like not knowing that is her name.
20090220151012AA40Z2n	Pets;Other - Pets	Is my pygmy goat pregnant?	ok, so last year i thought my goat was pregnant, she was getting fat and my male goat stopped trying to mate with her. She was supposed to have them in november, but i guess she wasn't pregnant.   Now we were looking at her because she is getting fatter than she was last year *she never lost any weight when we thought she was pregnant last year*, and we noticed her udder had filled up.   So does anyone know if she is pregnant now?   Thanks
20090220151236AA7sqTE	Pets;Other - Pets	I want to do the right thing for them....?	I have 2 sugar gliders...i just noticed that there is a bump on the females left side. She is pregnant.....i just want to do the right thing and take care of her properly. I have only had the sugars since August.    Do i need to separte the mom and dad? I read that the dad could eat the baby....also how will i know if the mom is rejecting the baby? So i can hand raise the baby.         HELPPPPP!
20090220151343AAYUe2F	Pets;Reptiles	How do i care for a ball python?	im looking to get a ball python..  i need to know everything about it.. heres what i know so far and some questions      tank- :20g long MINIMUM  i have a 30lx12wx10h      lighting-: 12/12 timer ,  uvb (heat)  on one side of the tank..       humidity and heat-: i have a 75w heat bulb...will that do.. can i just buy a cheap $1 thermometer?.. or do i have to get the zoomed one..  how do i check the humidity ?..  do i need an undertank heating pad? if i do should i keep that on a timer aswell? .. should i put anything under the heat pad so my stand wont get too hot?      hiding spots-: 1 hot 1 cold       liquids-:  water dish in the colder section of the tank       food-: dont know specifics on the food all i know are pinky's lol.. when to feed it?.. how many?  does it have to be just mice.. can it eat something non living?  do i have to raise the pinky's in their own cage?      accessories-:  background, maybe a big branch.. *any other ideas will    help.. im looking to make it more .. rain foresty  but not willing to spend alot of money.. im a carpenter.. so give me some wild ideas and ill probably build it*      misting-: ???   whats the best way to mist.. how often.. for how long      shedding-: when do i know the skin is ready to take out of the tank      substrate: what do i put on the bottom of the tank and how often should i clean it      name-: lol this is optional.. i wanna badass name ..  lol i know its corny but its so corny its kinda funny.. i was thinkin of going with Jake..  lol u know.. like jake the snake ...  haha      moving-: probably the biggest question.. how the hell do i make sure this thing wont bite me if i go to grab it .. will it get scared if people want to see it and i bring it out?.. i hear their so chill so like it biting other people isnt my worry ..cuz well.. rather them than me haha..   do i have to get that pole with the wire loop on it like those zookeepers have lol ?        i know i sound mad noob..  i gotta RES so i have the general idea of dealin with reps. i just like knowing things in full detail  . ..      so go through all the questions in order preferably.. if u wanna go point form be my guest..  i dont wanna see copy and pasted stuff from another site..  and thx for the future help .. i know theres alot of question lol .. jake appreciates it haha  - Ez      btw .. ad anything i missed
20090220152121AAazk7X	Pets;Dogs	What kind of dog should I get that meets these requirements xD?	Well he needs tobe small, or medium.   but mainly on the small side.   He has to be good with little kids..say..2 year olds.   btw I don't like chihuahuas.   he can stay indoors and outdoors in a fenced area.   these arent my requirements these are my dads lmao   :]   suggestions?
20090220152225AAD7zuO	Pets;Other - Pets	Do sugar gliders make a good pet for a thirteen year old?	I've been thinking about getting a sugar glider for my son and he is 13
20090220153057AAN1Xu7	Pets;Dogs	Why is my puppy so itchy?	I have a 7 month old puppy. She is a mixed breed of silky terrier/maltese. She is inside most of the time and gets bathed regularly. She doesn't have fleas, but she is constantly scratching. Any suggestions on how I can help her?
20090220153137AAvxCJ4	Pets;Birds	How many days parakeets eggs take to hatch?	N/A
20090220153237AAAwOX3	Pets;Cats	What age does a cat reach mental maturity?	N/A
20090203042311AAu560f	Pets;Dogs	Dog's...Toy Poodle ***** Wanted For Adoption!?	Hi can anybody help me?    Me and my partner have been searching the internet for months. We have been looking to adopt a female toy poodle but we haven't had any luck so far.   We live in Lowestoft in England. Has any body got a ***** Toy Poodle they need a new home for or know any body that has a poodle that need a good home?    We already have a Black Toy Poodle and he needs a friend.   I would be very great full for any help.      Thank you Sadie
20090220102926AAtaFhe	Pets;Cats	Is my cat overweight?	She is a good shape overall, but at 1 year of age is developing a "keel" of loose skin or fat under her belly.  She has been neutered.  She is not particularly active (it is apparently a breed characteristic) and she is greedy but we make sure she only gets the recommended amount of food.  Should we cut down on food, encourage more playfulness, or is she fine as she is?
20090220161251AAV00uM	Pets;Cats	What did I do to make my cat Underfoot mad at me?	All week long he has been horrible to me. I know he is mad at me because he intentionally misses the litter box and in general avoids me except when he wants his dinner. He has never acted like this towards me before, I just wonder what did I do? Everything seems to be the same other than I changed his brand of catnip. Do you think he is mad at me about his catnip?
20090203052143AABqVye	Pets;Dogs	Dog section: quick question?	So when we get our show dane...were going to need a really BIG crate   But we also need a crate for crate training   How much does a crate with dividers that's dane size cost?
20090203052633AA1lDdb	Pets;Dogs	Dog section: how would you react?	So im REALLY excited to get in to showing dogs.   Im going to be a handler for a really good breeder      But when I talk about it..some people comment how people who show are snobs. And ear cropping is evil      How would you react to these comments?   Im very passionate about dogs. So I get riled up pretty easily      What should I say to these people?
20081024143544AA3N8rT	Pets;Horses	What types of rugs are needed for a horse?	and also what are them things called u put your feet in when riding?
20090220154919AAYSymY	Pets;Dogs	What exactley is turkey meat meal in dog food?	N/A
20090220163155AAp6ijP	Pets;Dogs	Female Shepherd/Lab puppy names?	She's a black Shepherd and Golden Lab/....father...unknown, possibly black lab.      I like these names so far for a girl:      Remy   Hannah   Axel   Rio      Which of these names do you like? Any other suggestions?      Thanks for the input!
20090220154425AABnZFu	Pets;Dogs	Question about the health of dogs?	I looked into the breed of dog I want and found out it's prone to hip dysplasia and congenital heart disease. I researched each one but still want to now how I can prevent them.      For hip dysplasia I read that you can't let your dog get overweight, and that you should do muscle-building exercises such as running and swimming but stay away from frisbee as the jumping causes straining on their joints, and then feed supplements as they get older. Does this sound accurate? I plan on rescuing so I won't know the parents so I don't know if they have it or not, so I want to be extra careful! At what age should I start feeding the supplements? Or should I start right when they turn two?      As for congenital heart disease I haven't a clue! How should I go about preventing this? And precautions I should take?      The breed is American Pit Bull Terrier. Apparently they also are prone to hereditary cataracts and allergies, but I don't see how you can prevent those. But if you have any suggestions for them thanks!      Thank you to all helpful answers!
20090220162135AASsZiA	Pets;Other - Pets	Why does my rabbit love to scratch and destroy cardboard boxes?	All she seems to do is either sit in her cardboard boxes or destroy them by clawing them or chewing them.  Does she do it because its really fun for her, or because its a relief to her long claws?
20090220160539AAGBrZB	Pets;Dogs	I need information on Shar-Pei dogs!HELP!?	I`m getting a Shar-Pei soon and I need to know a little info on them.PLEASE HELP ME!?
20090220153917AAqKBxN	Pets;Horses	Have You Used Parelli?	I've just started reading up about it. i dont own any horses (i wish!) but I've always been interested in how theyre trained and such. have you any opinions? on this or other natural horsemanship methods =] thanks!
20090220160129AAIkwwN	Pets;Dogs	Some training tips???????????	OK, so im training my newly-acquired german shepherd a few commands. She's reacting very well to the new environment and loves people of all sorts. She doesn't like other dogs all that much. Anyways, I cant get very close to her. She like me, it's just she likes to climb on me, and i don't care for a hyper dog getting a little too close to my face. She will eventually listen when you tel her to sit, but she doesn't know how to stay. My question(s) are: How do  reward my dog for good behavior without stuffing her with treats? How can I potty-train her? Some good books on dog training? Irrelevant, but anybody got any recipes on cooking for my dog? AND finally, my pup has been on kibble for the last and only seven months of her life, at least i think so. However, I have a can of dog food too. How much should I feed her (can food, I already know how much for the kibble) and will it upset her stomach badly?
20090220155128AASeIoB	Pets;Horses	What are some fun things to buy my horse :)?	What else can I get my horse?   I also have a purple bucket   Also my horse Abbi is a 3 year old Paint mare and I want to get her some more stuff (like spoiling... but just for me :). Here is what we have:      1. Halter/leadrope   2.Rope halter/leadrope   3. Purple Bridle   4.Purple Boots   5. Purple Ear bonnet   6.Purple Boots (front/back)   7. Purple English Saddle Pad   8. Purple Tail Warp      *These are all purple things we have but we want more purple things! Please just leave your ideas and NO RUDE COMMENTS! Oh yea and I do English but we are currently in training to do Western together for the Stockshow next year. We dont really want Western stuff now but if you make two seperate lists (English and Western) for the future that would be appretiated! Thanks :)   4 days ago      I also have a purple bucket. If it is not purple and maybe just something fun that is ok :) But she will be doing jumping (just started cuz she is turning 4 soon) and small amounts of western as I am only a beginner. Thanks :)   4 days ago      We have grooming supplies in purple :)         We want a purple blanket but we have a perfectly good blue/red one now so it will work :) Would a sleazy be a waste of money?
20090220162659AAxM7UB	Pets;Fish	Why are Betta Fish Put In Breeding Traps In Pet Stores?	N/A
20090220162255AAoTLaH	Pets;Dogs	Do Border Collies protect?	I'm not saying like protective against every person or stranger, but what if they saw that I was getting attacked or someone was trying to break in, would they just watch it as it happens and run away?
20090220161415AAD78pm	Pets;Cats	I recently got some fish oil capsules for my cat? Where does?	Hello,      I recently got some fish oil capsules for my cat from my vet, and I was wondering, what exactly is fish oil? I mean, I know it's good to give to your pets, and for us humans to include it in our foods, but where does the oil actually come from? I would assume its from fish, but how? Is it raw? Is it like sushi? Is it an imitation? My vet told me that the fish oil I got was made specially for cats and dogs, and it's FDA approved.      Thanks in advance!
20090203052051AAbyvf2	Pets;Dogs	My dog thinks his poop is a tasty snack?	How do I get him to stop eating it?       1) He only started doing it after we moved to a new state 2 weeks ago.      2) I feed him Innova and have for the past 4 months, so I doubt it's a vitamin deficiency issue.       3) I have a bag ready to pick it up as he goes, but as it comes out he's looking at it and manages to scarf down a stray remnant before I can pick it up. YUCK!       Has your dog done this before, where it HASN'T been a vitamin deficiency? How did you get him/her to stop?      My dog is a 10.5-month-old black lab mix, about 60 pounds.
20090220162630AAe9a1F	Pets;Dogs	How long are dogs supposed to be around?	thanks, for all your help.   My dog will be 20 years old in March. (which is 140)    Have a great Evening.
20081024100318AAFBvLF	Pets;Fish	How do i hook up an air pump in my fish tank?	I have the pump, (i think its called) an air valve (looks like a T), bubble stone and tubing. I bought the pump online so i don't know how to hook them all together.
20090220154703AAImiP2	Pets;Cats	Can be the injection for avoid fleas dangerous for my cat′s health?	My sweetie cat had fleas when arrived to me, she was on my hand size and was a street cat, she was dying, but my sister found her and bring with me, I bought her a necklace for avoid fleas, but now Doctor says that there is injection for avoid fleas, and I want know if it can damage her health or I she must use other necklace
20090220154556AAQHd41	Pets;Fish	Is there something wrong with my fishy?	We had a fish in my class, but it was being mistreated, so i brought it home. It wasn't being fed and the tank was really dirty. If you saw my question earlier, i got some food for it. I am a little worried though, it looks kind of like it is breathing quickly. Around the gill area it is kind of brown. He (i think?) is a gold fish, but I think it always had some brown parts, it has a brown tail. I just want to see if you think it looks like there is anything wrong. here is a couple picture:       http://s531.photobucket.com/albums/dd359...   (the water isn't actually yellow, its just the camera)          http://s531.photobucket.com/albums/dd359... 
20090220162632AAts2xy	Pets;Dogs	What should I name my puppy?	5 month old male bichon frise   he looks exactly like this  http://cdn-www.dailypuppy.com/media/dogs... 
20090203051909AAJBhNK	Pets;Dogs	How to get 2 dogs live happily together?	I just bought a new chi hua hua, and I had an American Cocker about 3 years old, but when this new dog came to my home today, my Cocker will have a very fierce approach, she is very scare, and having sound seems like going to bark, and the new dog will have fur stand up, my Cocker is very fearful always in a lot of situation. How am I going to let both of them live together happily without fighting? Thanks
20090116200635AAoidOV	Pets;Dogs	Anjing apa yang paling tepat utk anak saya?	kami belum pernah pelihara anjing.   luas halaman kami kira-kira 150meter persegi berconblok dan 40meter persegi berumput.   pingin punya anjing tapi kalau bisa saya mau bikinkan rumah di luar di halaman saja, mengingat kami muslim dan kurang konfortable kalau dia trus masuk-masuk ke tempat sholat......   thinking about new born labrador.....repot nggak ngurusnya??   di mana saya bisa dapat di jogja?? berapa biaya yang saya mesti siapkan? juga utk biaya bulanan?? dog food, veteranarian?? dsb??
20090220154133AAzb4VD	Pets;Cats	Why is my cat making a "nest" under my bed?	She's just a regular female cat... She isn't spayed yet, but will be on March 5. She's about a year old now, and I just can't seem to understand why she's been making nests out of towels under my bed. She drags them in there and sleeps on them. She comes out and plays, and sleeps on the couch sometimes, too... but she's been spending more and more time under my darn bed!
20090220155118AAlPsnV	Pets;Dogs	Is my new puppy cute?	Shes a German shepherd mix puppy.   On a scale of 1 - 5   What would you rate her.?      1.  http://i165.photobucket.com/albums/u77/J...       2.  http://i165.photobucket.com/albums/u77/J...       3.  http://i165.photobucket.com/albums/u77/J...       4.  http://i165.photobucket.com/albums/u77/J...       5. http://i165.photobucket.com/albums/u77/J...       6.  http://i165.photobucket.com/albums/u77/J...       7. http://i165.photobucket.com/albums/u77/J...       8.  http://i165.photobucket.com/albums/u77/J... 
20090220163036AAR54S9	Pets;Dogs	Help with dog behavior problem.?	I have a 4 lb. chihuahua that I've had now for about a year and a half..she's almost 2 years old.  I also have 3 other dogs....2 of them being 14 years old chihuahua, terrier mixes.  One of the mixes has always treated the chi sweetly and they've played together and she licks on her and all.  But all of a sudden in the past couple of weeks, my new chi has been snapping at the older one...and only her.  She is in her carrier right now for snapping and biting her and making her scream.  We've been just telling her no and putting her in her box for a while.  What else can I do?  This behavior can't continue...she's always been such a sweet dog.  She isn't hurting or anything, she plays and eats, etc....just seems like she has a sudden dislike for her use to be friend.  Can anyone help me fix this problem??  I feel so bad for both of them.
20080929020705AAr5PA6	Pets;Horses	Right lead.... cant do it!?	Twinkles, my pony, is 13 nearly 14 yo so she is very experienced. well, whenever im doing dressage with her i turn her left and from a-k i canter her around the arena on her left lead.. too easy for her.. so i change rain accross the diagonal and get take her for a canter on her right lead. SHE HAS A REALLY BIG PROBLEM WITH THAT! these are the things her and i do-   me- give her a tap at the corner   Twinkles- trotts faster   me- give her a tap with the dressage whip   Twinkles- starts cantering on her left (wrong) lead when shes on the straight   me- i slow her down to a trot and try again   this is repeated until she gets really angry and starts being a pain (i never let her get away with it and i always end the lesson when she does it right) this goes on for EVER! she IS a little unbalanced on her right lead but i no she can do it easy if she tries.. does any one out their no how to do it easier?????????
20081004151134AASM7Gf	Pets;Horses	Why is it that some people think........?	Why is it that some people think that horses should not be trained to jump until they are at least five, personally i think it's ridiculous. A horse should be trained to jump and lightly schooled at three and are allowed to compete at four (obviously not strenuously). Otherwise you are leaving it too late.
20090203052025AA30yOA	Pets;Cats	Solutions for teething kittens...?	I have a 14 week old kitten that is chewing on everything, but mostly my fingers! Not really a big problem, but I don't like seeing my new kitty in pain. Are there any teething toys or meds that I can get for him?
20090220103318AANJ0ib	Pets;Cats	Will my cats still love me?	I'm going to be moving out soon, and I'm very attached to my cats. They follow me around and are very affectionate towards me. I'll be able to visit every weekend, but I'm afraid they won't let me cuddle with them anymore.
20090220103130AAN4yA3	Pets;Fish	Stocking a 20 gallon fish tank?	I want some easy, hardy fish to stock in a 20 gallon fish tank..      I was thinking about zebra dianios so if i just add zebra dianios, how many could i add?      And one more question...are Dwarf Gourami's hardy fish?
20090220102756AAbAsnR	Pets;Horses	Pregnant mares teats?	My mares due soon - her udders seemed very large today and seemed to be waxing over but not totally sure what I'm looking for.      Does this look like it to anyone else? Not the best quality pic - sorry. Can try improve it if you wanted    http://s59.photobucket.com/albums/g317/a... 
20090220060508AA9aIfg	Pets;Fish	Pet fish Question!!!!!!?	Hi,   My birthday is coming up and wondered what the best type of fish to use when minnow racing. We have done it for 2 years now but wanted something ells instead of minnows. Could we use Betta fish and then send the fish home with the guest. Or what about gold fish. We need a hardy fish that can live in a fish bowl with an aerator for a few days.   Thanks!
20090220155300AAD5lWR	Pets;Dogs	10 points to the person who can guess what kind of dog Clifford the big red dog is?	I KNOW WHAT BREED HE IS! but do you?      do NOT cheat and look it up. he is not an easy breed to guess, so if too many people guess the right answer, ill know they cheated. and ill give best answer to NO ONE. so DONT CHEAT.
20090220160227AArKG1L	Pets;Dogs	Help! I have a Puggle that wont stop chewing!?	Shall I list all the items she has chewed? Lining of the couch, the couch, end tables, computer desk, shoes, socks, my friggen contacts and the case... the list goes on.. She goes to play care twice a month, we walk her 4 times a day, buy her new toys constantly, tire her out before we leave, hide treats to keep her busy, nylabones, and nothing is working. Not only does she chew everything but swallows it all. There is nothing she wont eat except poop. we got her out of that stage.. She is 1 and a half and we have had her a lil over a year. I'm not sure what to do anymore. I don't want her left in her cage all day. I work at our apartment community so im home at lunch and between myself and my fiance she is only left 8 hours 3 or 4 days a week. Please help.. Thank you.
20090220162435AAzSvoJ	Pets;Dogs	Why does my dog whine?	When the  kids go in the  basement, he'll  stand or sit at the door  and whines  like he feels left  out.
20090220160827AAolRuZ	Pets;Fish	I am lost in my fish tank... help!?	i took a swim in my 1/2 gallon fish tank and now i am lost. that happened 10 days ago. to regain survival, i the fish poop and drank some salty (but tasty) water. finally, i have regained access to my lap top. help me. :(.
20090203050845AANbzA6	Pets;Dogs	I have two mixed breed older dogs (ages 10 and 14) and I wanted to know if it would hurt them to give them a?	few drops of liquid B Complex?  I was searching the web and an item was available to help keep dogs from shedding and it had B complex in it.  So I was wondering if I could give B Complex to my dogs?  They go to the vet. every year for their shots and things and go to the groomer about ever 2 or 3 months, if that helps any. They are also in house dogs only.  What do you suggest?
20090203051139AAhP4lF	Pets;Dogs	If my puppy ate a rubber band, will she die?	my 14 week old maltese ate her bow the groomers put on her. it was a piece of fabric along with a elastic small rubber band, like those used in the dentist office for braces....  what should i do? I think she ate it while i was asleep. I woke up and i saw her chewing but when i tried to see, it was already too late...
20090220153342AAv4zyd	Pets;Cats	My kitten was neutered today?	but he has come home and is still trying to mount my female kitten.  Is this normal?
20090220153406AAWxefE	Pets;Cats	My cat throws up everyday?	He is a 10 year old indoor cat. He's never been sick and still healthy.   Recently he started to throw up and he does it everyday.   Food or nothing has changed recently.   Any idea on why?   Thanks!
20090220153735AAS5lXE	Pets;Rodents	Are Syrian hamsters the same as teddy bear hamsters?	N/A
20090220153919AAQtVyf	Pets;Other - Pets	How do show a miniature horse?	I have a 7 yr old Mini Stallion. I want to show him in open/schooling shows and I have no idea what to do. I know the basics but how do I prepare? What classes can i enter and just basically what do I do. Im not looking to win big, its just for the fun of it. My mini is not registered and I do not breed him. He is very sweet and nice conformation. Ive owned horses my whole life but never shown. I just don't want to look really dumb out in the show ring.
20090220154203AAzvZJf	Pets;Cats	How do i check to see if my cat is blind or not?	Its pupils dialate and close in light but since it was little it has squinted its eyes for no reason sometimes, and when it comes out of a dark room into a bright room its eyes stay squinty for a little bit. Also when i play with it, ill hold up a toy and it wont look directly at it but it plays and stuff never runs into walls.
20090220155435AA3Iw7m	Pets;Dogs	Advice on  getting my dog spayed?	Today I adopted the most awesome dog on the planet from a local shelter.  She is a min pin chihuahua mix, much smaller than I thought she would be. (5 pounds!). She is 6 months old.  I am taking her to the vet on Monday for a check up,as well as to get her shots microchip etc. (Apparently she has never received a shot).        My vet has asked me if I want to do blood work on her to check the level of her kidneys and heart (to see if she is at risk for anesthesia), as well as if I want to put her on fluids (which apparently just makes the transition a little easier).  I do want to make sure that she is safe and healthy, however these things bring the cost up by quite a bit. (120.00) and after spending 400.00 just today... I am not wanting to spend more than what is needed.        So what do you think?  Would you do the blood work and/or put your dog on fluids for a spay surgery?      As a side note :  http://i150.photobucket.com/albums/s102/...   Isn't Gretel cute?
20090220155130AAJX0RO	Pets;Birds	Is my Cockatiel sick?	Hi, I have a almost 10 month old Cockatiel and he was eating and he opened his mouth and like coughed I'm not sure if it was a cough or sneeze it sounded like a sneeze and I know those aren't bad unless flued is coming out. But he stoped and now hes acting normal and I just wanna know if hes okay.. I would hate for anything to happen to Cheese (my bird)
20090220155451AAkPI2g	Pets;Dogs	I am looking for a lab/boxer mix puppy, does anyone know where I can find one? I live in CT.?	N/A
20090220155224AAjROLV	Pets;Fish	How can i humanely uthanize my little beta fish?	Please don't be mean to me, i'm certainly not doing this for fun.   I'm 15 and my familys had our beta Fred for a good 4 or 5 years but, its time for him to go.   For the past few months his health has been decreasing dramatically.   He doesn't even have the ability to swim anymore. He just lays at the bottom of the gravel. Even when we transfer him to the bowl to the sink to clean his bowl, he doesnt even get excited or anything. He just flops and lays there.   He doesn't eat anymore. He hasn't in months. I thought that would be his cause of passing but nothing is happening.    We still take care of him but the little guy is obviously at the end of his road and in pain.   His gills are going so heavily just so he can breathe, he looks so miserable in there.   I'd like to know a way to send him to heaven that would cause no pain to him and that he won't see coming.   Please dont say anything where i have to hit him or something, i cant deal with that.   Please please please don't say anything mean about it, i wouldn't do it if i didnt have to.   Thanks,   Dani :'(
20090220160045AAJIsNp	Pets;Dogs	Is Nuvet dog vitamins good?	I was wondering is the Nu-vet dog vitamins good. I have a Presa Canario. I have been hearing from breeders that it is a excellent vitamin to put muscle on your dog and makes your dog have a stronger immune system but I will like other opinions.
