20090307160756AAGF99E	Travel;Canada;Other - Canada	Do some communities in Canada still use the glass milk bottle system?	Where they pick up the glass bottles? Or at least are sold in glass bottles? Thanks.
20090307160558AALW2hi	Travel;Africa & Middle East;Israel	Are the Arabs ready for peace yet?	It's a shame really. If only Hamas would stop bombing and launching rocket into Israel. I love how all the Muslims on this forum are "peace-lovers" and need peace. It's a shame their rules don't agree with them. Also, any one of you guys who honestly believe that Israel is an apartheid state has the same opinion as the terrorists. How could you think that? Hypocrisy in the Muslim world is amazing,no?Heck,I can't even enter 10 or more Islamic states in the Middle East. And the Arabs are complaining they don't have free rights. They can run in government, practice religion freely. I would get stoned if I was worshiping Hashem .That is if I could even enter the state.       Israel is always open to peace. It's just you need 2 to ying and yang. Israel is ready for the ying. When will the Arabs be ready for yang?      What about this:   No Arab regime has shown itself willing to truly prepare its people for peace with Israel, which would mean accepting the lasting presence of Jews in their midst. Indeed, anti-Semitism—the real stuff, not just bad-mouthing particular Israeli policies—is as much part of Arab life today as the hijab or the hookah. Whereas this darkest of creeds is no longer tolerated in polite society in the West, in the Arab world, Jew hatred remains culturally endemic.      For a European, it all feels uncomfortably familiar. Take the cartoons one sees in the government-controlled Arab press. They feature The Jew as a murderous conspirator, a capitalist bloodsucker or Satan himself—the classics. He even looks like his predecessors in Der Stürmer, with his hooked nose, thick lip and sinister beard.      Open Egypt's Al-Gomhuria newspaper, and there is The Jew as a serpent strangling Uncle Sam over a caption that reads "The Jews taking over the world." On Al-Nas TV, Egyptian cleric Ahmad Abd al-Salam tells his viewers, "I want you to imagine the Jews sitting around a table, conspiring how to corrupt the Muslims … The Jews conspire to infect the food of Muslims with cancer [and] to ship it to Muslim countries." Al-Salam's colleague, Zaghloul al-Naggar, has called Jews "devils in human form." And this is a country at peace with Israel. Joseph Goebbels, the Nazis' chief propagandist, would be proud.      Meanwhile, Saleh Riqab, Hamas's deputy minister of religious endowment, has picked up smoothly where European anti-Semitism leaves off, declaring on TV that "the protocols of the elders of Zion discuss how the Jews should seize control of the world. In Europe, and especially in the U.S., there was a quick Jewish takeover of the major mass media." One Egyptian cleric has even voiced the widely shared opinion that "Judgment Day will not come until the Muslims fight the Jews." So much for a two-state solution.      No anti-Semitism is ever complete without the idea of sexual subversion. The Nazis accused the Jews of "polluting" the Aryan race. Sure enough, one Egyptian "expert" has opined on Al-Nas TV that "the No. 1 goal [of the West and the Jews] in spreading pornographic films is to destroy the identity of the Islamic nation." A favorite trope is the Nazi-Jew comparison, which has a simple psychological function. Since Nazis are the epitome of evil, so must be the Jews. Thus a Qatari paper has shown the contrails of an Israeli warplane forming a swastika, and a Saudi paper has superimposed it on the Star of David. The official Syrian Tishreen newspaper has depicted an Israeli soldier gesticulating to Adolf Hitler in front of a sea of skulls. The caption reads "The Israeli is explaining to the Nazi: 'We are the same'." Finally, an example that might be amusing if it didn't illustrate the depth of the problem. It comes from Captain Shahada, of Egypt's Unique Moustache Association, who confessed on Egyptian TV: "I respect the moustache of this Hitler because he humiliated the most despicable sect in the world. He subdued the people who subdued the whole world—him with his [style number] '11' moustache." This is the essence of obsession: the compulsive recurrence of images and ideas over which you have no control.      Cynics might argue that this horrid creed is the price of peace—that the regimes in Cairo and Amman (and Ramallah, Qatar or Riyadh) deliberately stoke the flames of hatred to distract the masses from their quasi alliances with the Jewish state. The Palestinian Authority today owes its life to the Israeli Army. So it has to out-Hamas Hamas when it comes to the Jew-devil.      It's a nice theory, and it might even be true in parts. But it's not sustainable. How can you make or maintain peace with Satan incarnate? The Israelis long ago began to change their textbooks from a nationalist narrative to a more inclusive one that emphasizes not only the Holocaust but also the nakba, the flight and plight of the Arabs in 1948–49. But in Araby, we have the Syrian actress Amal Arafa, who makes a very different point. Even in peace, "Israel will continue to be a black … spot in my memory, in my genes and in my blood … W
20090307162002AAoXyA3	Travel;France;Other - France	How Hot does it get during Summer in France?	Im may be possibly going on a holiday to France in July/August, and I was wondering how hot does it get during their Summer?
20090307164202AAD55Ei	Travel;United Kingdom;Other - United Kingdom	What do people from england think of australians, honestly?	im an australian 18 year old girl, i wanted to know if ill get along with people there coz im planning on travelling there soon.      and also, wouls it be easy for me to get work?
20090307162738AADxdHI	Travel;United States;San Diego	Does seattle have better nightlife than san diego ?	N/A
20090307162856AAFwcKD	Travel;United States;Seattle	Seattle or san diego for night life?	N/A
20090307161330AAx6r2j	Travel;United States;San Francisco	What time is it in America?	Hi I live in Australia and my dad is in San Fransisco on a John Deere tour. It is 11.15 am on Sunday here, what time is it there, thanks!
20090307163828AAdYS9v	Travel;Caribbean;Puerto Rico	Are there any girls from PR in here?	Like you are in PR right now, not looking to flirt just friends.
20090307161155AA4P67U	Travel;Canada;Montreal	About Hotel Lord Berri in Montreal?	I'm going to montreal and i'm staying in Hotel Lord Berri and i was just wondering how it is in there.. we need to buy food for breakfast, lunch, and dinner for 6 days but we don't want to go to restaurants every single day.... i was just wondering, were there any grocery stores near by? what is close by to the hotel? and are their microwaves or toasters or mini-fridges inside the hotel rooms? if not, would we be able to ask front desk if we can use theirs? Thanks
20090307155620AA6okOr	Travel;Spain;Other - Spain	I am planning on buying lunch everyday for a Month in Spain, how many euros will it cost? 10 PTS BEST ANSWER!?	I am going to Valencia for the month of August and my host family does not provide lunch. This means that I will have to buy lunch myself and I was wondering how much it would likely cost in Euros. Also, is it cheaper to buy food from the market then eat out? Best answer gets 10 point!
20090307164012AABV1hN	Travel;Africa & Middle East;Egypt	Where is Fertile Valley in Egypt !!!?	I have to  turn it in on Monday !!! Help me please!
20090307163239AAsXlR9	Travel;Africa & Middle East;Egypt	Facts on a sphinx??? please help?	any characteristics/???? about a sphinx...... (especially egyptian ones)      thanks
20090307162517AALjB7m	Travel;United States;Houston	I have a few question about legends on Richmond Tx.?	Is it 18 and up?   BYOB?
20090307160600AAooUhN	Travel;Africa & Middle East;South Africa	Starting an Orphanage in South Africa...?	I really want to start an orphanage in South Africa and I was wondering if anyone on here could give me any suggestions on how I can begin the process. I am hoping to relocate there and do this within the next two years. I need information on start-up cost, places/ organizations to contact etc. I am very serious about this and I really want to start this as soon as I am able. Any serious information would be greatly appreciated.   Also, to any South Africans on here, I would really appeciate if you would tell me good locations to do this. Your opinions are most needed in regards to this questions; as well as those of people have started charitable foundations outside of the US.   I do not have much money, but I am willing to save and invest my own money to do this.  Thank You for your help.
20090307161033AAJXEQ7	Travel;Asia Pacific;China	Does anyone know where to download asian dramas(Korean, Hong Kong, Taiwanese) in mandarin?	N/A
20090307161238AAZlifr	Travel;Asia Pacific;Thailand	Do You Know Myanmar(Burma) ?	N/A
20090307161342AAb8ijP	Travel;United States;Other - United States	How many miles is it from maryland to florida?	My Best friend mimi moved from here in Maryland to Florida and I was wondering out of curiosity how far away in miles that was
20090307162006AAf6Yzg	Travel;India;Other - India	How to find area of India?	N/A
20090307162058AATddXz	Travel;Asia Pacific;Korea	What does dong sang means?	in korean?
20090307162436AA1z1bK	Travel;United States;Chicago	Wind Direction for Chicago IL?	what was the wind direction for friday please help.
20090307162810AAepWCs	Travel;Asia Pacific;Philippines	How come tagalog is the national language of the philippines?	yeah,how come tagalog is the national language of the philippines.?when the visayas and mindanao and also part of palawan speak a language similar to cebuano....no offense:)
20090307164358AAb6Av7	Travel;United States;Other - United States	Driving ages !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!…	how old do you have to be in philadelphia pa to start practicing and get your learners permit?
20090307164430AAOZ9Aq	Travel;United States;Sacramento	What is the best middle school in sacramento california?	My mom said I have to stay at the horrible school I am in right now (Harriet Eddy) middle school. I want to go to a high school thats jumping, parties every night, almost never any fights, more black people than mexicans (at harriet eddy its so crowded with them) Basically where people are cool. I am in South Sac, whats the best high for me because I want to pursue a carrer in music, which schools excell in that? THANK BEST ANSWER GETS THE POINTS!!! NO SARCASM
20090307164736AADwNHx	Travel;United States;Orlando	How can i save money on tickets at florida?	i want to go to orlando, florida.  how can i save money on amusement park tickets for me and my kids?
