20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20081108180148AASfIkg	Entertainment & Music;Music;Other - Music	Anything about anything ?	just tell me something
20081109062654AAHjvoV	Entertainment & Music;Music;Singing	What are some good contest songs for male? ?	I'm a 13 year-old boy and had just undergone voice change so I want new song pieces that are good and easy to learn I have a plan to join the singing contest in our school.
20081109082211AA32Fv7	Entertainment & Music;Polls & Surveys	Hey guys where do you download all your music?	I mean do u actually pay for every single song on itunes or can you get them free at some where else like lime wire?
20081110193844AA1D9fz	Entertainment & Music;Polls & Surveys	What's more awkward? walking in on your parents having sex?	Or walking into your friend's parents having sex? You chose?
20081112073519AAPa2TQ	Entertainment & Music;Music;R&B & Soul	Who is this Group in The Fresh Prince of Bel Air?	It was the episode where Carlton let a music group shoot a music video in there house and all the furniture was outside and it all got soaked.
20081112110327AAgWXDA	Entertainment & Music;Music;Other - Music	What's a good song about a best friend who left to another country for a few months? ?	So far I know "better in time" by Leona Lewis,   do you know any?
20081112113152AAB2Yzt	Entertainment & Music;Music;Other - Music	Where can I buy a poster of the 'Sound of The Smiths' new album cover?	I have seen these posters all over the london underground and want to buy one but I cannot find one anywhere! Any ideas?
20081114022144AA5Wwb4	Entertainment & Music;Music;R&B & Soul	RnB love songs like...?	Like Bobby Valentino & Ray J..along those lines...what are some good songs?      P.S how good is this song:       http://au.youtube.com/watch?v=nGDrrb5ofs...       tell me what ya think!
20081115140044AAnGw6n	Entertainment & Music;Polls & Surveys	LAPTOP OR PC YOU DECIDE?	laptop add me as a contact pleeeeeeeasa !!!!!!2122212
20081116165542AANWR78	Entertainment & Music;Music;Lyrics	Finish this song please...?	In west philadelphia, born and raised in the playground. On the playground is where i spent most of my days........
20081209101257AACLHjC	Entertainment & Music;Movies	Heres a good one for the league of extraordinary gentlemen!?	in the film the extraordinary league of gentlemen in the scene close to the begining where M is introducing Mrs harker the invisble man and captain nemo 2 allan.      there are portraits on the walls of past teams of the extrodinary gentlemen, any one know who they are? i think robin hood may hav been in 1?
20060705113223AABmRzE	Entertainment & Music;Television	Can anyone help me find the name of a song I heard on a tv show?	It was on futurama last night on Adult swim.  It was the episode where Leela finds out that she isnt an alien and that her parents are really sewer mutants.  I want to find the name of the song that was played during the last few minutes of the show.  i would really appreciate anyone's help.
20060904113338AAnIjOG	Entertainment & Music;Music	Anyone know who im talking about?	in evanescences new video for call me when youre sober theres a guy that looks totally familiar and i dont know who he is. hes the guy that is sitting on the other side of the table from amy lee.   Its been driving me insane ever since i first saw the video so any help would be great. thanks
20060730090216AAlEFiv	Entertainment & Music;Movies	What is the name of the movie with johnny knoxville where he and the other guy go to the airport to pick up th	N/A
20060804104646AA8C1Kt	Entertainment & Music;Movies	I need to find some acting auditions for shows and or movies?	Any Show  I am 12 So I would need A younger role
20060806030349AA6VdDM	Entertainment & Music;Celebrities	Do you know if shakira is going to have a tour on the Balkans?	i like shakira really very much and i would like to go on her concert,but unfortunately i dont have this chance because her concerts dont include most of the countries in Europe! so, if you have some information please let me know!
20060807125717AAv4zuZ	Entertainment & Music;Movies	Whos your favorite actor/ actress from the Lord of the rings? Why?	I need for a group im in with my friends. kinda like an actor review.
20060808102459AAm3i5g	Entertainment & Music;Music	Anyone know where I can find reviews on different brands of clarinets?	I am a clarinetist and have been playing for almost 8 years. I'm looking into getting a new Bb clarinet of professional quality. My personal clarinet is not good enough for auditioning for and playing in orchestras etc. Does anyone know where I can find a good review site, possibly with prices and instrument comparisons. I'm looking into getting a Buffet R13 but I need to know if it's worth spending $2,400 on or if there's one that's just as good but cheaper. Thanks!!
20060808195825AAuDgAr	Entertainment & Music;Movies	"Porkchops and applesauce, sweetheart."?	Where does this quote come from?
20060812054619AAgfdhs	Entertainment & Music;Movies	Ma quante domande si posso fare al giorno?!?	chi di voi qlk tempo fa vedeva il telefilm "hai paura del buio?"nn riesco a trovarlo da nessuna parte
20060815164436AAyF07b	Entertainment & Music;Celebrities	What is the name of Fall Out Boys very first c.d.?	very first c.d.
20060817131016AA0iGHv	Entertainment & Music;Movies	Films.....?	consigli su films da comprare! RISPONDETEMI!! PS: qualsiasi genere tranne luci rosse! grazie
20060823034706AAl6DpS	Entertainment & Music;Television	Que pensez vous des émissions de télé réalité de TF1 (ile de la tentation, koh lanta...) ?	moi je pense que tout est trafiqué. tout est joué d'avance et qu'il y a des scénarios... pas vous ?
20060827231140AANMfng	Entertainment & Music;Television	Has Christopher Meloni ever won an emmy?	N/A
20060830094447AAasOTu	Entertainment & Music;Music	Come state?	N/A
20060917155529AAh6v8O	Entertainment & Music;Music	Anybody Know of Any Good Warm-Up Songs for Volleyball???	hey, do you know of any good warm up songs? im making a cd for my jr high vball team. any ideas??? thanks
20060920072457AANLG52	Entertainment & Music;Music	Pourquoi les hommes ne veulent pas s'engager ?	N/A
20070102062029AAneNq7	Entertainment & Music;Movies	Where can i buy a copy of brothers shadow starring scott cohen?	N/A
20070601041208AAeXQaz	Entertainment & Music;Jokes & Riddles	Do you know the southern rules??	The 'Rules of the  South' are as follows!!!*    1. Pull your droopy pants up.   You look like an idiot.        2. Turn your cap right, your head isn't  crooked.        3. Let's get this straight; it's called a "gravel road."   I drive a pickup truck because I want to.  No matter how slow you  drive, you're going to get dust on your Lexus.  Drive it or get out  of the way.        4. They are cattle. That's why they smell to  you. They smell like money to us. Get over it.  Don't  like it? I-40 goes east and west, I-65 goes north and south. Pick one.        5. So you have a $60,000 car.  We're impressed.  We  have $250,000  cotton strippers that are driven only 3 weeks a  year.        6. So every person in the south waves.  It's called being  friendly.  Try to understand the concept.        7. If that cell phone  rings while a bunch of doves are coming in, we WILL shoot it out of your  hand.  You better hope you don't have it up to your ear at the  time.        8. Yeah, we eat catfish &; crawfish.  You really want  sushi & caviar? It's available at the corner bait shop.        9.  The "Opener" refers to the first day of deer season.  It's  a religious holiday held the closest Saturday to the first of  November.        10. We open doors for women.  That is applied to all  women, regardless of age.        11. No, there's no "vegetarian special"  on the menu.  Order steak.  Or you can order the Chef's Salad  and pick off the 2 pounds of ham & turkey.        12. When we fill out a  table, there are three main dishes: meats, vegetables, and breads.  We  use three spices: salt, pepper, and ketchup!        Oh, yeah.... We don't care  what you folks in Cincinnati call that stuff you eat...  IT AIN'T REAL CHILI!!        13. You bring "coke" into my house, it better be  brown, wet and served over ice. You bring "Mary Jane" into my  house, she better be cute, know how to shoot, drive a truck, and have  long hair.        14. College and High School Football is as important here as  the Lakers and the Knicks, and a dang site more fun to watch.        15.  Yeah, we have golf courses.  But don't hit the water hazards --  it spooks the fish.        16. Colleges?  We have them all over.   We have State Universities, Universities, and Vo-techs. They come outta  there with an education plus a love for God and country, and they still  wave at everybody when they come home for the holidays.        17. We  have more folks in the Army, Navy, Air Force, and Marines.   So don't mess with us.  If you do, you will get whipped by the  best.        18. The south is the greatest!!  If you are from the south  you are part of the best people in the USA!!
20070429135925AADaYAb	Entertainment & Music;Polls & Surveys	Why can magicians make things disappear into thin air, but not thick air?	N/A
20070429184925AAwUYpv	Entertainment & Music;Polls & Surveys	If it is a 50 mph per hour wind and you drive your car at 50mph downwind, if you stick your head outside...?	would you feel the wind?
20070403180346AAE4FS9	Entertainment & Music;Music	ITunes question...??	is it possible on iTunes to put songs from a shared playlist onto your iPod? My sister has a program for downloading music on her computer.  The music downloaded onto her computer comes up under the SHARED category and i cant figure out how to put the songs into MY library or on my iPod.
20070802013419AAl136k	Entertainment & Music;Polls & Surveys	Who do you think is hotter Brendon Urie,Patrick Stump, or Pete Wentz?	 http://buzznet-57.vo.llnwd.net/assets/us...  (Brendon Urie picture in case you didn't know what he looked like)       http://bestuff.com/images/images_of_stuf...  (Patrick Stump picture)          http://images.search.yahoo.com/search/im...  (Pete Wentz picture)
20070129143157AA1TUWm	Entertainment & Music;Jokes & Riddles	OK I am gonna do another parrot joke!?	This lady has 2 parrots they both at times cuss, when 1 does she puts him in the fridge for a minute to teach him a lesson. One day her one parrot would not stop so she said, I will fix him and thru him in the freezer, he looked around and saw a frozen chicken, he said oh my God U must have said F------
20061201065409AA01dnF	Entertainment & Music;Polls & Surveys	What sort of Christmas gift do you think I should get this year for my hard-to-please Honey?	N/A
20070715172300AA2XMMq	Entertainment & Music;Polls & Surveys	Do you like Circus Animal cookies?	You know the ones with pink and white frosting and the sprinkles.
20070322224038AAMJWGk	Entertainment & Music;Movies	Anyone like movie with ab and aby baby?	ya both are rocks
20070623215341AAKvGsA	Entertainment & Music;Polls & Surveys	Where have the boys of summer gone?	N/A
20070206182245AA7mN5s	Entertainment & Music;Polls & Surveys	Does anyone else play with those people that call on the phone all the time and tell you about some great deal	they have to offer you?  I act interested sometimes.  Other times I pretend I am a kid pretending to be an adult (which is a little true) and giggle instead of answering, until they hang up.  sometimes a deaf person that doesn't understand and repeat back to them something a bit off from what they really said.  Anybody else?
20070110223046AAmDSIN	Entertainment & Music;Polls & Surveys	How do you get a girls attention?  OR do you wait for her to notice you?	N/A
20070312202509AA9XQ6e	Entertainment & Music;Music	Who sang about 'lemon scented rain'?	N/A
20070403175105AAOCmAw	Entertainment & Music;Polls & Surveys	How do you make a blueberry martini?	I never drink martinis, but I tried this at a restaurant and it was delicious!    It tasted like a blue popsicle.   How can I make my own?
20070228194848AAsEa8P	Entertainment & Music;Jokes & Riddles	What is an emo?	 http://answers.yahoo.com/question/index;... 
20070206190023AABC9Ky	Entertainment & Music;Polls & Surveys	The great: would you kindly visit my 360 page, and then tell me if you still think i'm emo?	 http://au.360.yahoo.com/my_profile-YT.QX... 
20070409005222AARv2rN	Entertainment & Music;Polls & Surveys	Do you think a lion would eat peta pro if you put her in a lions den and do you think it would care?	N/A
20070123100529AAf4SwR	Entertainment & Music;Jokes & Riddles	What do you call a woman that works as hard as a man?	LAZY!!!
20070412172119AAnlhjH	Entertainment & Music;Music	Whats up with Jamiroquai's ever changing head gear?	as much as i love him,what is he up to?   some of his hats r funky what do u think?
20070410155851AAp8xzJ	Entertainment & Music;Polls & Surveys	Tell me, what you thinking about, when you got me waitng patiently?	N/A
20070409220819AAidTWS	Entertainment & Music;Celebrities	What is bigger, Mars or Rosie O'Donnell's head?	I'm not sure
20070409220913AAu2P2A	Entertainment & Music;Celebrities	Would Rosie O'Donnell cure hunger if she started eating normal sized meals?	N/A
20070407145853AAYxffo	Entertainment & Music;Celebrities	Do you think Lisa Lampanelli is funny?	I recently saw the William Shatner roast and I thought she was hilarious.
20070403140751AAqvETA	Entertainment & Music;Polls & Surveys	Hey!!! Did you take a bite of my Kit Kat Blizzard while I was in the bathroom?	N/A
20070213212946AAeZsch	Entertainment & Music;Television	How do I become the next Jay Leno?	I know Conan is taking his spot when Jay leaves, but how do I get Conans spot?
20070214191925AASDMDt	Entertainment & Music;Music	Where can i get free music downloads?	like THROW SOME D's free download
20070810032849AAPoIoV	Entertainment & Music;Polls & Surveys	What do you think of imfomercials?	I wouldn't normally ask ...... but I am up too late and that noise keeps coming out of the T.V.!!!!!!
20070506201730AAZaGlX	Entertainment & Music;Other - Entertainment	Making Wine?	I was thinking about making a "prison Wine" would this result in alcohol poisoning? What exactly is alcohol poisonging, does it happen after drinking to much or because of the quality of the drink?
20070920021331AAaGbCq	Entertainment & Music;Polls & Surveys	What comes to mind when I say....?	CMYK
20070427063620AAP4KA8	Entertainment & Music;Jokes & Riddles	On a role.....?	Q: How do you make a hormone?    A: Don't pay her!
20070402213529AAVI6Gx	Entertainment & Music;Jokes & Riddles	IM SO BORED!! SO..?	MAKE ME LAUGH..TELL ME A JOKE OR SOMETHiN! LOL..i WANNA HEAR A REALLY GOOD ONE! ;)
20061213143749AAXVT4c	Entertainment & Music;Music	How much money does a Professional Vocalist earn?	For eg. How much does a Professional Christian-Jazz Artist earn per year? Does it depend on the quantity of albums produced? What are the best ways to become a singer?
20070424105636AAfp6jm	Entertainment & Music;Polls & Surveys	Tell me something you received as a gift that made you think?	this person doesn't know me at all.
20070808015920AAZ4zVS	Entertainment & Music;Polls & Surveys	Did anyone cry.. ??	I was gone for a while back there...
20070212125930AAGBgJg	Entertainment & Music;Jokes & Riddles	Would it Scare You ?????	A passenger in a taxi leaned over to ask the driver a question and tapped him on the shoulder.   The driver screamed, lost control of the cab, nearly hit a bus,drove up over the kerb and stopped just centimetres fom a large plate glass window.   For a few moments everything was silent in the cab. Then the still shaking driver said "I'm sorry, but you scared the daylights out of me."   The frightened passenger apologised to the driver, and said he didn't realise a mere gentle tap on the shoulder could frighten him so much.   The driver replied. "No, I'm sorry, it's entirely my fault. Today is my first day driving a cab. I've been driving a hearse for the past 25 years."
20070808034226AAw2JuW	Entertainment & Music;Polls & Surveys	Quality Music.........?	Why is there no sub catagory for trance/house/electro/dance music/events??      I'm not talking about the happy hardcore s***e here i'm talking about quality music that the masses throw there hands up in the air to most weekends (either at a club or in the house) and that have been for over a decade!!      Whats that all about??
20061123141658AAHGCP9	Entertainment & Music;Celebrities	Who famouscelebrity girl was born in 1984??	N/A
20070818145220AAStQJY	Entertainment & Music;Music;Other - Music	I'm looking for GOOD SONGS for singin along with the piano any good ideas?	I'm a piano player and I love to sing while playing...But the problem is not all the good songs sound good on piano.I need some suggestions about which songs to play and sing.Could you help?
20070808135852AAFlFlq	Entertainment & Music;Polls & Surveys	What do you think of this...?	... mrtrollpatrolboss?? he is leading a group a vigilantes to get smitty and Skinhead charlie and all of the other infamous troll reported immediately.           i think its great, someone took charge and is getting things done. while he is kinda a  troll himself he does "RAMO" report and move on, so he never answers he just reports and leaves
20070704161604AAJ9lCd	Entertainment & Music;Polls & Surveys	Just a genral question for everyone to answers??	how are you?   whts your favrite kind of music?   fave color?   fave food?   fave holiday?   latest gossip?   any good news?   hows your forth of july?   what do you do when your bored?      I figured i's post this as an easy way for people to answer and get points. =] you can answer one of the questions, you can answer all of the questions. just make it fun to read cause im boreedd. lol. =]
20070322183921AANSnQa	Entertainment & Music;Television	Scuhhhrubs.?	on the episode that just came on NBC.      what was the song that was playing at the very end when they told Dr. Cox, Laverne was in a coma?         the name of the song.   who it's by         anything like that.   ty.
20070127142312AAedi17	Entertainment & Music;Television	En la wikipedia pone que Homer Simpson tiene una media hermana llamada Abbie??	 http://es.wikipedia.org/wiki/Homer_Simps...       Buscando un capítulo de Los Simpsons encontré en wikipedia la "ficha" de Homer, y pone que tiene una media hermana llamada Abbie! El caso es que yo me he visto todos los capítulos y no sabía absolutamente nada... Alguien sabe algo? Será un error de la web?
20061008205535AALrnj3	Entertainment & Music;Music	What are the lyrics to..?	saving jane- the girl next door
20070623184203AA1tZLo	Entertainment & Music;Polls & Surveys	Hey this is emo night people! where is ur emo gear?	changed again hehehe :D
20070119230304AALzld7	Entertainment & Music;Jokes & Riddles	What did one l say to another l after having sex?	Well, they were both vampires, so one said to the other,       "See you at that time of the month next month!"
20070127181857AAt32dF	Entertainment & Music;Music	?Con que programa puedo hacer megamixes, estilo al de los a?os 90?	El tipico megamix que  solian tener los cd′s como blanco y *****, el maquina total, lo mas duro..      Que programa me puede servir para cuadrar las canciones,y colocarlas como yo quiera, ya se abien en un linea de tiempo, o semejante.   Y poder recortarlas claro.   saludos!
20061125060721AApvrPZ	Entertainment & Music;Jokes & Riddles	Would you want embroidery on your clothes?	A young woman went into Victoria's Secret and asked if she might have the sentence, "If you can read this, you're too close!" embroidered on her panties and bra.         "Yes madam," said the clerk, "I'm quite certain that could be done. What kind of lettering would you like it done in?"         "Braille," she replied.
20061114134601AAjYMqX	Entertainment & Music;Television	When did that 70s show first come out?	are they still running new episodes?   im a late bloomer with tv shows.   this one is my new favorite.
20061203103026AAu7u8z	Entertainment & Music;Television	Anyone know how annie duke did in the new nbc game show 1 vs 100?	results?
20070207132729AAmgLtp	Entertainment & Music;Music	Please help, I need the lyrics to "broken Road"?	I need all the lyrics to this song, I do not know who sings it but I want to transalate to spanish.  thanks.
20070621123601AA3eVsT	Entertainment & Music;Polls & Surveys	En una PALABRA como describirias a "MONICA LEWINSKY"?	N/A
20070625194327AA5Ai4Z	Entertainment & Music;Polls & Surveys	Cual de estas frases de "Homero Simpson" te gusta mas?	1) La vida es una aplastante derrota una tras otra hasta que acabas deseando que muera Flanders.       2) En la vida hay tres tipos de hombres: los que saben contar y los que no.       3) Marge, no le busques tres gatos al pie.       4) (Despertándose de una pesadilla): Marge, creo que odio a Michael Jackson... No espera, lo que pasa es que canta bien y es noble... ?Buenas Noches!      5) (Visiblemente enfadado): Lisa, en esta casa respetamos las leyes de la termodinámica      6) Claro dinero, tú sabes que el dinero no es todo en el dinero. (Hablando con Marge, cuando el Sr. Burns sale con la madre de ella).      7) Te advierto que si vas a enfadarte conmigo cada vez que haga una estupidez, no tendré más remedio que dejar de hacer estupideces.       8) ?Por qué siempre me pasa todo lo malo a mí y a mi cerveza?      9) ?Y qué pasaría si nos equivocamos de religión y cada domingo hacemos enfadar más y más a Dios?      10) Hijo, si quieres obtener algo en esta vida debes luchar por ello, y ahora cállate, están diciendo los números de la lotería.
20070302024555AAhHYaS	Entertainment & Music;Television	What are some of your favourite TV shows Past & Present?	I used to love the: A Team   still like seeing reruns of M*A*S*H   Buffy the Vampire Slayer   Chips.   Present I like Ghost whisper   Medium   Law and Order SVU, CI   Sometimes smillville
20061222143941AAgRWTj	Entertainment & Music;Television	Cyril a gagné la starac6?	avec 67% , mais je ne  m'en fais pas pour Dominique, c'est une vraie artiste.
20070102175242AA7OM3p	Entertainment & Music;Polls & Surveys	Avez vous connu une femme jalouse de son mari,parce qu'il lui fait de l'ombre?	Car les deux sont artistes et l'un est plus...que l'autre..   Exemples?
20070728210931AA0futQ	Entertainment & Music;Polls & Surveys	What songs can you think of?	what songs can you think of that talk about stars like shining star, wishing on a star, like the stars in your eyes, ect. i think you get the point but it cant be kid songs like mine is   taylor swift--- teardrops on my gutair   "your the only thing that keeps me wishing on a wishing star"   10 points for the best combo of songs   good luck
20070423235430AAXJt45	Entertainment & Music;Polls & Surveys	Ist es pc, im Osten Weste zu einer ?rmellosen Jacke zu sagen?	Als ich damals unbedarft aus dem tiefsten Süddeutschland nach OstBerlin gezogen bin, hat mich meine neue Chefin scharf gerügt, als ich gesagt habe, da? in der N?he wohl ein Wespennest sei. Sie sagte, wir sind hier im Osten. Da gibt es keine Wespen, sondern Ospen.    Jetzt, Jahre sp?ter, wohne ich immer noch im Osten, habe aber diese hilfreiche Chefin nicht mehr. Meine Tochter tr?gt momentan gerne eine Weste. Nun ist die Frage, soll ich ihr auch beibringen, da? das Weste hei?t, oder ist hier Oste angebrachter?
20070906161059AAbWRFR	Entertainment & Music;Polls & Surveys	Why did I get a violation for asking this question?	Have you ever had sex in a public place?      It is a perfectly legitimate question for polls and surveys...      I even put a link to the same poll on yahoo 360...    http://blog.360.yahoo.com/blog-R5D9.jk7e... 
20070623105544AAdzUnT	Entertainment & Music;Polls & Surveys	?Hacia dónde vas?	Todos tenemos un objetivo, algo so?ado, un camino predeterminado que queremos seguir.   Vos hacia dónde vas?
20070202191012AAFtOFs	Entertainment & Music;Celebrities	Do you think Hannah Motnana/Miley Cyrus is hot?	N/A
20070424165226AARQ2Ks	Entertainment & Music;Celebrities	Why is everyone mad at Tom Cruise?	N/A
20070219044826AAGiq5G	Entertainment & Music;Television	Does anybody like the tv show HEROES?	N/A
20070626154808AAKjZyi	Entertainment & Music;Movies	In the movie of your life, who's going to play the part of you?	Do you think it will win the Oscar?
20070214000419AAd8LRJ	Entertainment & Music;Polls & Surveys	Chip?  CHIP?  CHIPS?!?	This is a thread all about micro-CHIPS!      Is there a chip that was inserted into you when this worldwide telepathy began?  (To prevent breathing disorders or stabilize the mind?)      Is there a chip in me?  What kind of?  (Besides the camera one).
20070808030743AAQq35l	Entertainment & Music;Polls & Surveys	Who is the SH ORTEST in ur family !!!????	huh ??      hehe :)
20070827173728AAEbXvq	Entertainment & Music;Polls & Surveys	The shock sets in, and the stomach acid finds a new way to make you get sick?	ok i know it's a line in a song but does it ever happen to you? because sometimes i don't eat anything and i puke stomach acid haha =D
20070723183102AAaBaJO	Entertainment & Music;Television;Reality Television	Why do they always serve risotto on the TV cooking shows?!?	I have been to many of the world's finest restaurants and rarely seen that on the menu and have never ordered it.
20070102180300AAG6vPT	Entertainment & Music;Music	Petit papa No?l?	"Mais, avant de partir,   Il faudra bien te couvrir   Dehors tu vas avoir si froid   C'est un peu à cause de moi"      Pourquoi à cause de moi? j'ai rien fait moi!
20070315062123AAtC1dH	Entertainment & Music;Music	Where can I find the Thoroughly Modern Millie Soundtrack to download?	I plan to audition for the role of Muzzy, the nightclub singer, in the spring and want to be familiar with all the music from the show. I cannot find the full original broadway recording album on iTunes and I can't find any of Muzzy's songs. I wanted  to know if there are other sites that I could download the album in full (I will pay too! I'm not looking for a free ride). I just need the music to start preparing for the audition. Thanks.
20061218135948AAVnoyB	Entertainment & Music;Music	Song about non-conforming?	PLEASE PLEASE ANSWER THIS!! I NEED YOUR HELP!!      Does anyone know of a good song whose topic is about riot, protest, revolution, defying the mainstream, thinking for yourself, etc.      (ex. "White Riot" - The Clash)
20061212062448AAWZisT	Entertainment & Music;Jokes & Riddles	Vous aimez les histoires simplettes?  C'est un citron...?	.... mexicain, coiffé d'un sombréro et armé de pistolets qui entre dans une banque: ''Pas un zeste, je suis pressé...''
20070806122204AAntcxr	Entertainment & Music;Music;R&B & Soul	Sehnsucht nach B.Brown?	..wenn man jenes Lied von Zappa mal wieder im Original h?ren m?chte..zu welchem Live Konzert welcher Band sollte man gehen?   Der gute alte Frank Zappa.......
20070620101208AAdNc6o	Entertainment & Music;Music;R&B & Soul	Gibt es irgendwo im Netz?	ein Video mit Chuck Berry wo er seine legend?re Nummer " ma dingaling" zeigt???
20070220085236AAQlZOG	Entertainment & Music;Celebrities	Wonder why no one ask....what Howard did with Anna Nicoles sweet little pets?	N/A
20070507131706AAvLQFj	Entertainment & Music;Celebrities	Criss angel on Oprah today?	I REALLy don't care myself...but I know lots of you out there like him.
20070416120703AABtVLQ	Entertainment & Music;Polls & Surveys	What do you guys think of the Mary Winker case?	She is claiming abuse...that is why she shot her preacher husband....I would like to know what you all think...
20070412160151AASUQ6f	Entertainment & Music;Celebrities	Hey..did you know Dog and Beth are on Glen Beck?	there on tonight...IF you are all interested.   I spent 5 points just to share with U. :-)
20070315145831AABNvZF	Entertainment & Music;Polls & Surveys	Who on here takes Ambien?	and drives and eats and has sex and never remembers anything.   Not me...but I heard on CNN...there people out there doing that.
20070517204123AAKHJ7w	Entertainment & Music;Polls & Surveys	Anybody else has a boss who NEVER stops complaining?	whine...whine...whine...      I have to leave the office from time to time,  to get breaks from it..and so it doesn't pull me down or get's me sucked into it! :)
20070227031822AAb6Bc9	Entertainment & Music;Polls & Surveys	Can someone?	Help me get out of here?
20070324200332AAEcVve	Entertainment & Music;Polls & Surveys	Can you help me with this history question....?	What is the Organization of Petroleum Exporting Countries (OPEC)? What is its historical and current significance?      PS: I know what opec is, I am more worried about the latter question.
20070302155955AAXzwcZ	Entertainment & Music;Movies	Where can I watch movies still in (or out of) theatres online for free?	Except for Limewire, ssupload.com and Youtube.  I really want to watch Ghost Rider again and I can't find it anywhere.
20061212172824AAz6Foa	Entertainment & Music;Music	Anyone know this song???	Im not sure of the song but here are part of the lyrics that i remember...hey ladies do you wanna come get buttwild...anyone know the song name to that if that helps???
20070408182020AAAZ7jK	Entertainment & Music;Music	Does the song "Here in your arms" by hellogoodbye make you horny?	Does for me. It makes me want to dance around in my underwear in knee socks.
20070622125738AAZphRs	Entertainment & Music;Polls & Surveys	Cuál es el mejor plan para un fin de semana frío y lluvioso?	N/A
20070513030328AA2YWq2	Entertainment & Music;Polls & Surveys	Will you join the BLACK PARADE?	N/A
20070620141551AAL9CEC	Entertainment & Music;Horoscopes	? Como es Geminis con ascendente en Escorpion ?	N/A
20070510084344AAaFhW7	Entertainment & Music;Polls & Surveys	What are YOU doing back there??	Are you trying to give the 8 ball a wedgie???  :)
20070404180003AAwdGCF	Entertainment & Music;Television	Dish TV users in India are you receiving Fashion TV today?	Dish TV users are you receiving Fashion TV today?      What channel is Fashion TV on?      Please let me know      Thanks !
20070512191756AAED3pV	Entertainment & Music;Polls & Surveys	Do you have one of these?	A site you absolutely love and are on whenever you can be?      This is my absolute favorite site in the world -  http://interactiveda.kxuk.info/forums/in... 
20070417200247AABRFHQ	Entertainment & Music;Polls & Surveys	Melissa R or Melissa S ??	who is hotter?
20070319102419AA8s2TQ	Entertainment & Music;Music	Who is that white girl in the Huey video Pop, Lock, and Drop it?	She was wearing a white long sleeve shirt on top and green underneath
20061220155313AAiIrfV	Entertainment & Music;Movies	Me again - with more details on "that one movie"...?	OK, so I cleared out last time that there WERE no movies that I was talking about. Well, I went to the 25-DAYS-OF-CHRISTMAS website on ABC family and it turns out that there is a reindeer movie (TV show - whatever!) called "A Very Barry Christmas".      Here are the details I promised:   1. The main character is a reindeer that isn't one of the eight original ones.   2. One of the plots of a story is these reindeer games. I think the main character reindeer beats the gloating reindeer.   3. It involves a wise old man (not Santa!).   4. It's NOT Rudolph.   5. Clay-animation movie!      Hope you guys can help me. :-)      :0)
20070729015718AAVC9P6	Entertainment & Music;Polls & Surveys	Do P&Sers(polls and suvery people) ONLY answer in polls and surveys?	i answer in polls and surveys a lot but sometimes sneak over to the yahoo answers category >:D
20070803171322AAkA6u8	Entertainment & Music;Polls & Surveys	What food tastes good initially, but after you eat a lot of it you want to vomit?	N/A
20070306122700AAdwvHV	Entertainment & Music;Polls & Surveys	What do monica lewinsky and george bush have in common?	N/A
20070129191736AAL2zq9	Entertainment & Music;Music	Help me download this please!!!!?	there is a song called The Long Road by eddie vedder from pearl jam and i need it for a film project. i found the video on you tube and it is perfect but i can not download it from anywhere so i can import it to movie maker. is there anywhere that i can go to get the song so i can download it? please help me with this!! much thanks guys!
20070212123918AAS5lwW	Entertainment & Music;Music	Whats the name of that song?	it goes like- if i ever fall in love agin i will be sure that the lady is a friend - or something like that
20070224095847AAdfqoN	Entertainment & Music;Polls & Surveys	Who is ur favorite hip-hop artist or group and why?	2pac will always be my favorite for so many reasons, but these days i really like lil wayne.
20070210134608AAKZtKU	Entertainment & Music;Comics & Animation	Warriors power of three?	What do you guys think it is about? What will Bramblecalaw and Squirrelflights kits to for the clan. Is cinderkit cinderpelt re-encarnated. Please tell me what you think.
20070412024913AAjtfDT	Entertainment & Music;Jokes & Riddles	How many insects do you swollow while sleeping?	N/A
20070826015745AAw5sLq	Entertainment & Music;Polls & Surveys	How long can you ride in the car before your @ss starts to hurt?	N/A
20070304012301AA29Jm7	Entertainment & Music;Polls & Surveys	I need a new email!?	do you have any ideas...and emails that havnt been taken yet? thanks!
20070216085925AAcXrc9	Entertainment & Music;Polls & Surveys	Who was or what was the last thing you took for granted?	N/A
20070829135844AAig4DD	Entertainment & Music;Polls & Surveys	Who is your favorite movie villain? Who is your favorite movie hero?	N/A
20070224141344AA1fN2p	Entertainment & Music;Music	Who sings the song 2 step??	its not by dj unk and its not by ciara....they play it on 96.7 and the song is called 2 step but i dunno who sings it and i already tried google...any one know??
20070727172611AAFX0mh	Entertainment & Music;Polls & Surveys	My blood tastes rusty, does that mean i've been listening to too much HEAVY METAL lately?	take in this strange logic:   if blood tatses rusty, it means it has alot of iron in it. iron is a heavy metal. heavy metal is also a music genre. ergo, too much consumption of such music, makes my blood taste rusty
20070208015856AARrRCY	Entertainment & Music;Music	Does anyone know the title and artist/singer of these 2 songs?	Ok, here are the sample lyrics to the songs:   1. " some people want everything but i don't need everything. cause everything means nothing if i don't got you."   2. "this love is killing me but you're the only one. it's not over"   10 points to the one who gives the COMPLETE song title and artist/singer of the two songs. Thanks!
