20090227102847AAILVOP	Education & Reference;Special Education	Ntse!!!!when is the ntse result for class 8 first level of this year coming out for the state of orissa?	when is the ntse result for class 8 first level of this year coming out for the state of orissa?
20090309192325AADxvpa	Education & Reference;Words & Wordplay	What's the difference between britches and pants?	N/A
20090309192355AAOmmrq	Education & Reference;Homework Help	Look are details for question?	Which presents the greater danger to a nation and its interests: Forming an alliance with a power that does not actually share their core values and goals, or not forming such an alliance
20090309192558AAUrcRt	Education & Reference;Homework Help	When do you use in-text citations in APA format, after each sentence or after a bunch of sentences...?	...from the same source? Say I have an encyclopedia I need to reference, and I got a whole bunch of information out of it. Would I format it like:      Sentence sentence one (cite). Sentence sentence two (cite). Sentence sentence three (cite). Sentence sentence four (cite).      Or:      Sentence sentence one. Sentence sentence two. Sentence sentence three. Sentence sentence four (cite).      So basically, is it after every sentence, or after every new source of information?
20090309192710AANJFhK	Education & Reference;Words & Wordplay	In evolution what is the word for the opposite of Gradualism?	in evolution i need the word for the opposite word of gradualism
20090309192715AAHRAdK	Education & Reference;Words & Wordplay	Fun ways to say thank you?	im looking for weird/fun ways to say thank you...as in: kudos, cheers...that sort of thing...nothing like gift cards or what ever...i tried googling it and it didnt work!! so please help me
20090309192731AARcaiT	Education & Reference;Words & Wordplay	Show three topic sentence?	Writing is one of the most important skills in our workforce. Most occupations sooner or later will require their employer to write memos or reports. Legible handwritten is necessary for
20090309192810AALzspV	Education & Reference;Homework Help	How do memories make us stronger?	i have to do a essay about memories and how they make us stronger but i can't really think of anything any help?
20090309192823AASwgRr	Education & Reference;Words & Wordplay	A swagbucks question?	For the people that use swagbucks I looked at the leaderboards and I saw that the person with the most bucks had 69000 how can I gets that many there's no way they searched the whole time
20090309192839AA7cFwx	Education & Reference;Homework Help	Who dies in the crucible?(i need a death toll)?	i need a death toll for the crucible
20090309192916AAiMN4P	Education & Reference;Words & Wordplay	What is competing identity?	what is competing identity in history study?
20090309192942AAaYFgL	Education & Reference;Homework Help	What are some fashion mottos for a PR company?	for a business card.
20090309193022AA6HIf2	Education & Reference;Homework Help	Can somebody proofread my spanish assignment? Please I need a good grade in this class.?	If somebody that speaks some spanish can tell me where i need to put different accents, or change the verb form, or anything like that just tell me! thank you:)      De pequeno, yo encantaba se reia, y encantaba nadaba. Yo era se llevaba Buena! Yo era muy generosa!      Juegaba con los osos de peluche, los bloques, y los dinosaurios.      Me gustaba mas juegaba en el parque, iba de compras, y jugaba a las escondidas.      Yo tenia un hermano y dos hermanas, un grande Amarillo casa, y muchos mascotas.      Yo no me permitian correr alrededor de la casa, gritaba, o se pealaba con mis hermano y hermanas.
20090309193319AAsrnlv	Education & Reference;Homework Help	I need help on the Animal Farm story!?	Much of the writing in Animal Farm uses verbal irony or situational irony to make a point. List three examples of verbal or situational irony and state what is really meant in the passage or what actually happens in the plot.
20090309193357AA6Jmkb	Education & Reference;Homework Help	I need to draw a political cartoon for the renaissance period?	Its for world history class. Something simple, i just need ideas
20090309193429AApnTgZ	Education & Reference;Homework Help	SOSIAL STUDIES HOMEWORK HELP?	this unit is on "the attack of the barbarians"   and i need some help.      1. the take over of Rome by the barbarians marks the beginning of the period known as.... ________________      2. The great king of the Franks who conquered large areas of Europe was King...... __________________      3. Because he helped the Catholic Pope defend Rome, the King of the Frankish Empire was crowned as the head of the lands called the...... _______________         please help me!!
20090309193421AAJkwqs	Education & Reference;Homework Help	What makes poetry different from a novel,a short story,or a play?	N/A
20090309210049AAzudV1	Education & Reference;Primary & Secondary Education	School help I really need Help ALOT!?	I need to find the locations for these three but i can't. Please help me.      1) The Stalactites glowed iridescently, providing and eerie enviroment for the adventurous spelunkers.   Location____________      2)We are traveling at break-neck speed with only a mountainous clickety-clack reverberating in our ears to break the silence of the night.   Location_____________________      3)Bright lights, cold steel instruments, and sterile surroundings punctuate the atmosphere of this life and death environment.   Location______________________            Please help, I can't figure out those last three, I need to find the location, even if you van give me clues. Sorry, I don't know how  to make directions any more clear =[
20090309203942AAtqo2M	Education & Reference;Homework Help	Your opinion about an employer?	Should employers have explicit policies on family related uses of time and equipment while at work or should this issue be handled informally on a one-to-one basis? explain            please tell me what you think
20090309195005AANZ0lp	Education & Reference;Homework Help	I have to write a compare or contrast essay?	Only problem is I don't know what I should choose?      Help me out!
20090309194644AACrckQ	Education & Reference;Homework Help	How does shakespeare use light and dark imagery in romeo and juliet?	i need something to make a thesis, and examples would be helpful. and please no answers from sparknotes, i didn't even get that article. thanks for any help, ten pts best answer! =)
20090309205724AACR6oU	Education & Reference;Quotations	Do you think this quote is true?	So today somebody said, "Show me your friends and i'll show you your future". Do you think this is true? I actually thought this made a lot of sence.
20090309195624AAzlQqW	Education & Reference;Homework Help	A drastic way to diet? (math homework help)?	k you know those stupid worksheets with puns? well i did mine but i think the answers wrong...   "an extreme but effective way to diet is hidden in the letters below. you might call it the algebra diet.
20090309202820AAg7Gx6	Education & Reference;Homework Help	What is the dot over the letter " i "called?	give me a star please! you know you never thought about this!       =][=
20090309194612AADP5ki	Education & Reference;Other - Education	What should I do? This is totally ripping my head apart?	I have been accepted to a culinary school in New York, and I live in Florida. My parents are working really hard to keep me here and I can understand why. But if I stay I will turn into my 45 year old uncle who is still living with his mommy and daddy. If I stay then I will kill myself because I'm doing something that will cause me to be miserable. If I go, then there is a possibility that I will become homeless.         What should I do?
20090309200924AAxbaHm	Education & Reference;Homework Help	What is Geographically located in southern Mesopotamia?	N/A
20090309202606AA8C5Hi	Education & Reference;Homework Help	Question about Brand Names?	I have a question... for hte product:      J'adore..         Is the brand name J'adore or Dior or both?
20090309194532AAbpTI2	Education & Reference;Higher Education (University +)	Are these good enough to get into anything good education?	i am junior in my high school. i have all credits till now completed i only would have to take 4 classes in my next year. this year i got geometry,us history, world history(because they didn't gave it to me last year) did chemistry in sophomore year, English 11, elective construction class, and Spanish 1, i will take Spanish 2,econ/govts, English 12, and algebra 2 in senior year. are these classes fine i am really worried about algebra 2 in senior year because i just move to this high school from another high school they took my placement test of English and math so they said my grade on math was little lower they put me in integrated math in sophomore year now i got geometry. are these okay for anything good colleges? universities? yes and i got all A's in freshman and sophomore year. 1 B and all A's in junior half semester. i am smart but i feel i am kind of behind? what can i do please someone help me. my dad keeps yelling i dont do anything but i already have good grades. the only thing i lack is i don't know much general knowledge much. i do a lot but when dad asks something from chemistry i have forgotten those things he asked and starts yelling you don't know this or this why are you studying in school. he is pain. please someone what can i do?
20090309194315AAlUEMo	Education & Reference;Homework Help	Could someone please help me with my math homework?	How would I solve for y in terms of a in the equation:      4y + a = a(y + 3) -6      I've tried to do this a number of times and can't quite seem to figure it out. Any help is appreciated!         Other question:   Also, if the x intercept of an equation is 3 and the y intercept is -5 then would the equation be y=3x-5? Sorry, this is a brain dead moment :)
20090309201046AAuoTEr	Education & Reference;Homework Help	How does this phrase sound to you?	I'm doing a report on Iraq and I'm not sure how I like this phrase, so I'll post it up here for opinions.      "I would guess that when many people hear the word “Iraq” that the connotations associated with it would be a knee-jerk reaction for which you had better step aside or the vivid, stereotypical thoughts of terrorism would kick you right in the face."
20090309195956AAeaGBw	Education & Reference;Homework Help	2 SCiENCE MULTIPLE CHOICE 7TH GRADE QUESTIONS!!?	1. imagine the a river suddenly becomes wider and seperates a population of a species of flightless birds. what is most likely to happen to the 2 populations of flightless birds over time?      A. one population will learn to fly and abandon the other population   B. the 2 populations will become seperate species because they can't interbreed   C. Both populations will become extince because they cannot get across the river   D. the 2 populations will remain unchanged      2. What are cavities left in rocks when shells or bones dissolve?   A. casts   B. Molds   C. Original Material   D. Carbon films      PLEASE EXPLAIN YOUR ANSWER
20090309194455AAAq2EA	Education & Reference;Homework Help	I need advice - homework?	i  have a habit of doing my homework at the last minute.  how  can i stop this habit  .  I get distracted. i have adhd
20090309200235AAQanUg	Education & Reference;Homework Help	Biology Help.........?	How could I describe the construction/design of the rough endoplasmic reticulum? Like how many parts is made of and how do they work together? ......Please explain it in a way that I could understand it ...Thanks!!
20090309203324AAa6jTP	Education & Reference;Homework Help	Help with the Industrial Revolution?	I just need a start on this...      The rise of labor unions occurred in Great Britain at the end of the 18th Century. How would Adam Smith, John Stuart Mill, and Karl Marx have reacted to their formations? Why?
20090309195639AA2Cf5G	Education & Reference;Words & Wordplay	Question??Question??Question??…	Please answers these:   What was your bra size when you got your period?   What age did you get your period?   What's your bra size now?      My answers:   36B   10   38C
20090309205419AA88oxM	Education & Reference;Homework Help	Ancient Roman BATH HOUSES!!?	I have a project where i have to do a class activity to teach my class about ancient Roman bath houses and i have no idea what to do? Help please??? and i also need some ideas for what i should make for my audio visual aids? thanks
20090309203329AA2ygZm	Education & Reference;Homework Help	How would you turn decimals into fractions?	like for example please show me the whole formula used in doing so      for example could you solve 0.5555555555 and turn it into a fraction with all the steps included.
20090309194106AAePrZl	Education & Reference;Words & Wordplay	On fictionpress.com, what the heck is the difference between a "hit" and "visitors"? what do i want more of?	im a newb so i hav no idea wut half the stuff means ><
20090309194859AATdeXy	Education & Reference;Homework Help	Evolution questions please  help i'm having a problem  understanding it big test  tomorrow 10 pts!!!?	I've done this huge packet for tomorrows test and if you could help me with the 3 questions i can't figure out that would be awesome      12}Describe the conditions of the first billion years of earth that would have allowed life to form         39}  What condtions must be in place for evolution to occur ?   give specfic examples to support your examples         52} Place these in the correct order from earliest to last to appear on earth      heres what i got please correct me if im wrong      1}Chemical soup organic 2}Prokaryotic cells 3} Eukaryotic cells 4}moss 5}flowering plants 6} dinosaurs 7}invertebrate animals 8} mammals 9} humans      please help and tell me what annswer goes to which question and in common language so that i can understand what youe saying
20090309195111AAaGBrG	Education & Reference;Homework Help	I need Homework help!?	A ferris wheel has a radius of 25 feet. The wheel is rotating at 3 revolutions per minute. Find the linear speed, in feet per minute, of this ferris wheel.
20090309205244AAj93jF	Education & Reference;Primary & Secondary Education	Can I get into University with only Data Management Math completed in Grade 12?	I want to study marketing and I am only taking Data Management? I am applying to US Universities
20090309203355AA5lkQp	Education & Reference;Primary & Secondary Education	Should I take physics or anatomy in hs?	This is for my senior year classes   I am planning to pursue a pre-med major   I will also be taking AP Chem at the same time, so I was wondering if it is necessary to take physics in hs; anatomy seems to be a more logical choice but I'm not sure if I need to take physics or not   Thanks
20090309201310AAjvnYj	Education & Reference;Homework Help	Help me find words that are related to Civil War?	I need help on words about Civil War A-Z thank you soo much :D
20090309194750AAUePoy	Education & Reference;Primary & Secondary Education	Is it realistic to be a CPA w/an accounting firm and also be a Successful Actor?	Because...I want to be a CPA(certified public accountant) and own my own accounting firm....but I also want to be an actor...is it possible to multi-task....from these 2 careers..(OBVIOUSLY I'LL FIRST GET SETTLED W/MY ACCOUNTING...THEN I'LL FOCUS MORE ON ACTING)...but I'd hopefully like to do some acting while in college...      But is it possible to multi-task between the two careers...and if I do own my own accounting firm how long will it take to develop...??
20090309195144AA9oKvc	Education & Reference;Words & Wordplay	Random question about your room?	what can you use for a door if you do not have one at the moment?
20090309194436AA9S8b0	Education & Reference;Other - Education	What is the highest my GPA could ever be?	After my first high school semester I have a 2.7 GPA (After I resolve something with my school, it will probably be 3.0). But if it remains 2.7, what is the most my GPA could ever be? (6 semesters, not 8. I am applying for college at beginning of senior year).         So hypothetically if I got straight 4.0's till senior what would my GPA be?      My school does not offer AP or honors.
20090309194622AAqxi7L	Education & Reference;Primary & Secondary Education	Does this sound like too much for sophomore year in highschool?	i am 14, a year younger than most, and a freshman, i just received my forcasting for soph year.  so far i have some pretty challenging classes, but i really want to go to an ivy, and possibly become a dentist...(at least thats what my dads dream is...)      so this is my plan:   FROSH   Algebra 1   Frosh english   Ceramics 1   Art    Adv. Earth Science   Spanish 2   History& geo   Advanced Communications      i got a 3.8 last semester, and will probably get about the same this semester if not a 4.0      My plan for sophomore year       Foods and Nutrition   Algebra 2   Soph english   Bio   Honors Chemestry   Us history and gov   AP EURO   Spanish 3   Health      i am doubling up in history and science and taking a summer geometry class to kinda get ahead/catch up with others
20090309201158AAaXdOH	Education & Reference;Words & Wordplay	What's the worst word, name, or phrase, that you can think of?	something racist, or disrespectful, or something. Funniest gets 10 points!!!!!!!
20090309194349AA0Tt4n	Education & Reference;Words & Wordplay	What is the polite alternative to "screwed"?	I'm stuck with a case of writer's block and cannot think of the proper polite alternative to the word "screwed" in the context.    "If I do not come up with the money by next week, I'm Screwed!"   I need to figure this out for a school assignment, so all suggestions are helpful!    Thanks :)
20090309201431AA6IjCH	Education & Reference;Words & Wordplay	A word for something that's  used way to much?	I'm doing it for a project and planning to write how a certain quote is used to much it loses it's meaning after a while...what would be a good word for that?
20090309200239AAnGi97	Education & Reference;Words & Wordplay	Is this an example of a straw man argument? "He closed down the playground, so he hates children". Why/why not?	If you want provide with good (maybe humorous) examples of straw man agruments.      ty
20090309202408AAQQ7Gj	Education & Reference;Words & Wordplay	Parody of an Advertisement help?	So I was just gonna do something easy like Pepsi twist. We have to make it funny though and I have no ideas... anything would be helpful. Thanks.
20090309200846AAYE7pI	Education & Reference;Homework Help	Why does the fertility Rate of a country change over time (talking about China and India)?	I did a project where I had to figure out what countries fertility rate changed the most and least over a span of 50 years (1960-2010).       Question:    What might explain the fact that India's fertility rate changed steadily over the time period (1960 to 2010), while China's increased and decreased markedly between 1960 and the late 1970s?      -thanks
20090309201520AAQYUOr	Education & Reference;Higher Education (University +)	Can i get into a UC with crappy classes?	i have basic stuff but, do well in them my GPA last semester was 3.68.   Is there a way i can get in to any UCs?
20090309194951AAwrMXT	Education & Reference;Homework Help	Helppppppppppppppppp with homework?	it says for each of the follwoing situations give on way that enerfy is lost.   explain the reduce of loss      carries bedroom has a lot of windows. In the winter her room gets very cold, even though the rest of the house is warm. Carrie can feel more cold air around the windows         please help with this question
20090309202348AAJEzOq	Education & Reference;Primary & Secondary Education	Senior Year Schedule help!!!?	Okay so at our school its time to pick classes for next year. Next year I will be a senior and I want to pick the right classes. So far I have AP Statistics, AP Literature and Composition, AP Government/Economics, Photography and Anatomy. Is this enough or should I take a full schedule? I want to get into USC, so I want to make sure it doesn't look like I am slacking. If I should take another class, how do you think they would feel about me being a T.A.? Do you think they would think that it isn't challenging me enough? I have already taken three years of Spanish and I know I wont pass AP Spanish. This year I took one AP class and one Honors class. Thanks in advance :):):):):)
20090309195325AAzWyeK	Education & Reference;Primary & Secondary Education	Can you help me??????????????????????????	Okay so at our school its time to pick classes for next year. Next year I will be a senior and I want to pick the right classes. So far I have AP Statistics, AP Literature and Composition, AP Government/Economics, Photography and Anatomy. Is this enough or should I take a full schedule? I want to get into USC, so I want to make sure it doesn't look like I am slacking. If I should take another class, how do you think they would feel about me being a T.A.? Do you think they would think that it isn't challenging me enough? I have already taken three years of Spanish and I know I wont pass AP Spanish. This year I took one AP class and one Honors class. Thanks in advance :):):):):)
20090309195120AAN4kP6	Education & Reference;Homework Help	Ruby Bridges, help please!<3?	Topic: 3 examples of Ruby Bridges responding kindly when people were cruel to her?       thank you!
20090309194401AAhbIzD	Education & Reference;Homework Help	I need help with an Essay?	So every month, my entire school has to write an essay on a certain character trait (Respect, Discipline, Integrity, Responsibility, etc.)      Aside from my usual essay, just describing what it is, I have to write a separate essay about someone who personally shows courage.  admittedly, I can't think of anyone to do my essay on..  Anyone help?
20090309201112AAfA9YG	Education & Reference;Homework Help	Question!!! 10 Points!!!?	I want to know if this quote is a type of personification, Metaphor, Simile, Hyperbole, or symbolism. "No this isn't my house I say and shake my head as if shaking could undo the year I've lived here."
20090309202825AAsmyzZ	Education & Reference;Homework Help	I'm writing an essay on government regulation of the internet, how should I narrow it down? For or against?	I need to use good sources, like from proquest ect. I am finding a lot of sources but not any that help me decide how to write my paper.   I really need a thesis. Please help me
20090309205400AAsJlCw	Education & Reference;Homework Help	Ideas for a school project? It can be about ANYTHING?	Seriously. We are able to do free-form prjects for our class. I'll make a list of what people have done      Bakery   Restaurant/Inn   Cafe   Nascar slide show and explanation plus car model   Rubik Cube history/solving formula   Poetry book with own poetry   Their own book   Yo-Yo tricks and history   7 wonders of the ancient world   The library of Alexandria   Creating a Theme Park   History of Legends from around the world      Those are just some of them. What are some projects you would do? I need ideas for mine. Thank you :)
20090309202855AAJWSE4	Education & Reference;Primary & Secondary Education	What grade leval should these guys be in by their dob in california?	1)John Cuevas:10-27-93   2)me:10-22-93   3)mason:10-13-93   4)leron:4-10-93
20090309201942AAU9uzG	Education & Reference;Primary & Secondary Education	What grade leval should these guys be in by their dob in california?	1)John Cuevas:10-27-93   2)me:10-22-93   3)mason:10-13-93   4)leron:4-10-93
20090309205319AAL3iA4	Education & Reference;Words & Wordplay	Hitting a wall with Drumming?	I've been playing drums for many years and studied with a few teachers.  I feel like I'm hitting a wall and not getting better.  I live in Boston so there are many Berklee teachers, but is another teacher the answer.  How can I improve?        I'm looking for more chops stuff.
20090309194206AAd8XyB	Education & Reference;Words & Wordplay	I, me, and we are what kind of pronouns?	N/A
20090309194117AAaWXCr	Education & Reference;Higher Education (University +)	Which is better to be a biology teacher, nurse, microbiologist, or speech language pathologist?	N/A
20090309194311AAOb4VK	Education & Reference;Homework Help	What are good science project titles?	I am doing 'WHAT LIQUID MELTS THE ICE THE FASTEST?' for my science project, and i can't figure out a short, yet clever title!      Does anyone have any suggestions?   Thanks(:
20090309194320AAbmOP3	Education & Reference;Standards & Testing	How do you study for a test?	I have a few math/science tests coming up. what are good ways to study? how do you study?
20090309194520AA4UGi5	Education & Reference;Primary & Secondary Education	My little sister guidance counselor said that she couldnt't graduate early because the changed the credits is.?	The credits was 23 now it is 24 for 9th graders.   she wanted to graduate a year early, can she still do that?   if she have independent study for the 12th grade classes she have to take. i Went to the school today and i was asking her about it , they said that she couldnt graduate early!
20090309194548AAWwaLG	Education & Reference;Words & Wordplay	Bikinissssssssssssssssss!?	what do 13 yr olds and teenage boys think when they see 13 yrr old girls in bikinis?
20090309194739AA94pEE	Education & Reference;Homework Help	Algebra II student seeking help solving the equation 3x^2 = 12 - 9x?	How would you go about solving this equation:      3x^2 = 12 - 9x      Please show me your steps/ thought process.      Thank you so much!   [ things we've learned recently that might apply are solving with squares, and factoring and graphing different degrees].
20090309195016AAXVPpH	Education & Reference;Homework Help	Help!!!!Does anyone have a Dr Seuss story book?	Does anyone have a Dr seuss story book? I have to read a story tomoro in my Vioce and Diction class. I cant find anythin online. It doesnt matter wat book. I have to read up to 250 words.      Pllzzz help me. Jus write up to 250 from ur book plzzzzzzzzzzzzzz
20090309195014AADRa2G	Education & Reference;Homework Help	This may be long but im paying 10 points and money...algebra a homework..slope of a line?	I'm kind of totally lost on this bull...I kind of know how to find slope but this doesn't make sense...      Ok at the bottom says write letters in order after you solve the front..      ok i got 16 problems..heres the answer box..      O.0   R.-2   N.3/2   Y.2   D. some 0 with a cross over it diagnol.   T.-1/3   G.3   H.-1   I.1/4   U.-3/5   A-3   E.6      ok those are the answers we have to pick for these type of problems..      1.(0,2)(5,2)   2.(-3,1)(2,-2)   3.y=3x+4   4.(6,-3)(1,2)   5.(-1,0)(-4,1)   6.2x+y=-1   7.y=6x-1   8.(-3,8)(-3,4)   9.y=-x-7   10.(0,1)(1,7)   11.(1,-2)(-2,4)   12.x-4y=7   13.3x-y=10   14.(-3,-4)(2,-4)   15.-3x+2y=6   16.18x-3y=-20      ok so for all of those i had to find the slope of a line..      I did most of them but the sentence under doesn't make any sense at all..and i think i did it wrong all..         Here is how the sentence goes already has some words in it      William (8 underscores to put in letters)first used the symbol for parallel and Pierre(8 underscores to put in letters)first used the symbol for perpendicular      If someone could help me with this whole thing I would admire it and might pay you via paypal if you have an account a few bucks to help me figure this stuff out..      i cant find the worksheet online...title is finding the slope of a line at top right corner says 4-6      and bottom right i think page is 135       and on left bottom says graphing linear equations and inequalities copyright C 2003 john wiley & sons, inc.
20090309203919AAoFvbW	Education & Reference;Homework Help	Help me check my answers..standard for equation.10 points.?	can someone check if these are right that i tried to do..      says to write the standard form of the equation of the line that passes through the given point and has the given slope.      (6,-7)m=4      i got -7=4(6)+b         (-1,3)m=8      i got 3=8(-1)+b      (-4,-9)m=-2      i got -9=-2(-4)+b      any mistakes?
20090309195246AAC96Sy	Education & Reference;Homework Help	I need help on three math questions! 10 points!?	1. Antoine and Jenna are reading the same novel. Antoine estimates he can read 1 chapter in 1 1/4 hour. Jenna estimates she can read 3 chapters in 2 5/6 hours. Antoine read for 8 hours, and Jenna read for 6 hours. Who read more chapters?      2. What number can be subtracted from 11/17 to get an equivalent fraction to 1/4? Show how you did it.      3. A jug holds 10 cups of water. A cup holds 2/5 of water. How many cups of water can fill a jug?      Please show me how you did it~ I want to see how you got the answer. So I can check if I got the answer right.
20090309195455AAKnGdc	Education & Reference;Primary & Secondary Education	What are some differences between Poland schools and American schools?	N/A
20090309195456AAVPwfQ	Education & Reference;Homework Help	Homework Question Help!!!!!?	What incident sparked the sepoy munity? And why did the munity fail?
20090309195603AAh8oDy	Education & Reference;Homework Help	How do i make a project more interesting?	its a family tree thing..but with extra stuff like pages with poems and things u like to do etc... and i wondered how i could make it really original (with ur guys' help that is) ..like maybe without using a book to put it all in but maybe like idk..im lost!      but thank you all soo much if u decide to help me out. im going to have a frickin stress breakdown. its due tom my layout. thx again so much in advance.
20090309195833AAc4WkQ	Education & Reference;Financial Aid	I need help!  My child's grant application was to be postmarked before March 1, 2009.?	Is there any way to ask the post office or any other way to get it postmarked?  She didn't tell me about this until now and it's a matter of a lot of money.  Please help with any suggestions.  Thanks.
20090309200052AAeI3TA	Education & Reference;Homework Help	Descriptive writing for English class; what do you think?	A dull iron gate barely kept closed by a broken lock is nearly obscured by ragged privacy hedges that haven't been trimmed in years. Some branches have been torn off, leaving bare patches and the few branches that remain are tangled together so that no ending or beginning can be seen. Past the desolate gate, a cobbled path worn down by hundreds of footsteps leads through an overgrown garden.   A weathered stone angel stretches to the sky, its wings too heavy to fly. A lone sunflower stands by the angel, its brothers choked by the weeds long ago.  The slender branches of an ancient weeping willow slump to the ground, nearly covering a dilapidated car that was once sleek and beautiful.     Its bright red paint has faded and chipped, giving the appearance of dried blood. Rusted doors hang limply from their frames, like a man dangling from a gallows. Its windshield has long since vanished, only leaving a shards of glass as proof that it ever existed.     A forlorn house rests by the car, its rotten door hanging open like a panting beast on the verge of death. The moldy shutters sigh as they shudder in the slight breeze, almost as if they are wistfully remembering when this barren place was full of life. Now, their only inhabitant is a mangy, flea-bitten cat that perches on the collapsing roof, its amber eyes glinting. Ribs show faintly through its skin and its ear has been torn.     Despite its sad condition, it leaps deftly from the roof to the moss-covered porch and climbs onto a chair that has been warped by rain, apparently taking notice of the battered welcome mat. The cat rests for but a moment before slinking off and leaving the dead in peace.
20090309195934AAmSe5Y	Education & Reference;Homework Help	Math homework problem?	I can't figure this one out:      If two railroad rails, one is a mile long and the other is a mile plus one foot, are lying side-by-side, how high in the air would you need to raise the longer one so that the end of it was directly above the end of the shorter one? Assume that both rails were perfectly aligned end to end at the other end and that that situation does not change as you raise the longer rail.      How do you figure it out?  Thanks.
20090309200043AAzUO9a	Education & Reference;Homework Help	Geometry question.plz help?	Margaret makes a square frame out of four pieces of wood. each piece of wood is a rectangular prism with a length of 40 centimeters, a height of 4 centimeters, and a depth of 6 centimeters. what is the total volume of the wood used in the frame?
20090309202928AAYyhNa	Education & Reference;Homework Help	Geometry question.por favor help?	a pencil grip is shaped like a triangular prism with a cylinder removed from the middle.the base of the prism is a right isosceles triangle with leg lengths of 2 centimeters. the diameter of the base of the removed cylinder is 1 centimeter. the heights of the prism and the cylinder are the same, and equal to 4 centimeters. what is the exact volume of the pencil grip??                      PLEASE AND THANK YOU
20090309200325AADeLFe	Education & Reference;Homework Help	I need chemistry homework help?	The equilibrium constant Kc for the reaction at 450°C is 0.159. Calculate the equilibrium composition when 2.40 mol N2 is mixed with 7.2 mol H2 in a 2.15 L vessel.   N2(g) + 3 H2(g)  2 NH3(g)      [N2]   ? M      [H2]   2 M       [NH3]   ? M
20090309200058AAPtL0h	Education & Reference;Homework Help	6th grade math help!!!!!!?	how do yu do similar figures can yu help mee???
20090309200226AAUzNO4	Education & Reference;Homework Help	What should be some sub catagories in a middle school science fair project?	Question says it all o_O
20090309200258AAOJ1hP	Education & Reference;Homework Help	What is the root mean square speed of CO2 at?	N/A
20090309200504AA7nQCc	Education & Reference;Homework Help	Rename mixed numbers to subtract?	My son needs help on his homework.
20090309200917AAISMHk	Education & Reference;Homework Help	Algebra word problems?	I need the equation and solution with x as the variable.   If $4000 is invested at 8% per year, how much additional money needs to be invested at 12% per year so that the total annual interest income from the investment is $968
20090309201640AAuaMzw	Education & Reference;Financial Aid	Hello. is there away to get at least some of your income tax money back that was paid on my student loan?	thank you
20090309201931AAsIxeM	Education & Reference;Words & Wordplay	Funny word for word of week at school?	A sweet word, it obviously has to be school appropriate. I like the words off of Urban dictionary the best. The words ive used so far were ghetto goblin, fo shizzle my nizzle, hasselhoffing. So something along those lines.
20090309202230AApzzaL	Education & Reference;Primary & Secondary Education	What subject i should take in High school in order to prepare for being a medial assistant?	I JUST HAVE 2 MORE DAYS LEFT TO DECIDE!PLEASE HELD ME!
20090309202429AAvqoRC	Education & Reference;Primary & Secondary Education	Is Biology and chemistry along with IPS enough for UC schools?	I want to go to a UC school, but the required years of science is 2 years of science. Three years of science is recommended but if you want to go to a UC school isn't this pretty much considered a requirement. Any way UC schools really take physics, chemistrry and biology. I am taking biology and I am then taking chemistry next year but I took IPS last year. Aparently this only covers the "g" requirement for UC schools. Any way I don't plan to major in science or do anything with science, but should I still take physics over summer school? I really don't want to but if I should I will. What do you think I should do?
20090309202621AALHSsJ	Education & Reference;Homework Help	Can someone help me with this riddle?!?	A farmer needs to take his goat, wolf and cabbage across the river. His boat can only accommodate him and either his goat, wolf, or cabbage. If he takes the wolf with him, the goat will eat the cabbage. If he takes the cabbage, the wolf will eat the goat. Only when the man is present are the cabbage and goat safe from their respective predators.      How does he get everything across the river?            Some one please help me this riddle thing is driving me crazy, I can't figure it out!
20090309202855AA5lR9n	Education & Reference;Homework Help	Help with 7th grade homework???	Fill in the blank:   The main functions of the respiratory system are to move _____ from the ____ into the body cells and remove carbon dioxide from the body.
20090309205056AAg5qAv	Education & Reference;Homework Help	Help with 7th grade homework!!!!!!!!!!! (again)?	Explain the 2 functions of the nose that make it so important to the respiratory system
20090309203010AAY0SsY	Education & Reference;Homework Help	Please correct my sentence, i have no time really, greatly appreciated, d.o.l correct?	d.o.l correct this sentence,       please leave roy read carls popular mechanics magazine since carl has already wrote his report        PLEASE ! thanksss!
20090309203229AAJHcrE	Education & Reference;Homework Help	Quick Science Help Please?	How does the rough endoplasmic reticulum interact with other organelles? Thanks!!!!!
20090309203250AANLVRC	Education & Reference;Homework Help	I Need Help with a few puzzles.?	1. A man walks to his friend's house at the rate of 3 miles an hour.  It takes him 3 hours to get there and he spends 1 hour having lunch with his friend.  He borrows a bicycle for the trip home, but he must follow a paved path that is 4 times a long as the footpath he took earlier. Fortunately, his rate on the bicycle is twice as fast as his walking speed. What is the elapsed time for the round trip (including the lunch)?      2. A train that is one and a half miles long, traveling at 60 mph, enters a tunnel that is three miles long. How much time will elapse before the train is out of the tunnel?
20090309203533AA8WCOp	Education & Reference;Financial Aid	Is It possible to get assistance for childcare and college in Riverdale Georgia to become an L.P.N free.?	N/A
20090309203621AALLGu6	Education & Reference;Homework Help	Portrayal of war in literature questions?	For year 13 english we have to do a theme study. I have chosen the portrayal of war in literature. We have to read books and come up with questions to answer in depth and so far I just have:   How does the portrayal of war change through time?   What was the role of women in war?   What conditions did solders endure?   How is the character revealled through their war experience?       How do they sound? and does anyone else have any suggestions for other questions i could answer in depth?
