20090202214145AAWGQAL	Politics & Government;Politics	Is it time to get serious about peace: direct talks with Iran, Syria, and Hamas?	The time for stalling and BS has to come to an end.
20070807071423AARqZsC	Politics & Government;Government	Why are we still in this?	Ok...Why are we still in Iraq?  Don't get me wrong I'm supporting our troops and agree with some of the things Bush is doing.  Wasn't our goal to capture Saddam?  He is dead now.  So now what? I understand the fact that we are trying to help rebuild Iraq, but nothing is changing.  If Iraq is not willing to help out for their benefit, whats the point of helping them out?
20090202232356AAn2fQK	Politics & Government;Politics	Do you think this administration is going to influence the future generation(Political View)?	I don't mean the fiscal problems and social issues, I mean Political Ideology.      Meaning, if Pres. Obama is the next Carter, do you think that much of the next generation is going to have a Conservative viewpoint(seeing that the Liberal policies don't work)      Or vice-versa.      I hope I'm making sense.
20090203001034AAZJ0T7	Politics & Government;Military	How many men did MacArther leave behind in the Philipines and when did he go back for them?	Did  MacArthur plan to evcacuate him men like the British in Dunkirk
20090202232931AA51icN	Politics & Government;Military	Being in U.S. Navy Law enforcment?	just had a few questions?    does Navy law enforcement personnel board ship durring deployment?   and if so what kind of work do they do out at sea? or what sort of work do they do even in port?
20090202235242AAe1kTq	Politics & Government;Law & Ethics	Weed...legalize? Or evil?	POLL:  Should it stay illegal or be decriminalized-legalized.  I feel it should be, Why?  Create jobs,  Make people happy  save thousands of tax dollars  Keep young kids outa jail  ---  Please State your answer and reasons  :) thanks
20090202233624AAuOGyf	Politics & Government;Law & Ethics	If someone calls  you on the cell  alot and  bugs you is  is  easy to get a tro  on them?	what if  you only know there name and numbet but dont know  wer they  live  and so on?
20090202234226AA2FhMp	Politics & Government;Government	Who was the first president of the USA?	N/A
20090202234613AA4EdK0	Politics & Government;Military	Joining the army?	what are the avalible military branches out there??        like air force navey ect.
20090202233618AA8KWD7	Politics & Government;Politics	Why is Socialism considered to be a dirty word in the USA ?	N/A
20090202233427AA9qmEr	Politics & Government;Law Enforcement & Police	Harassment, Arson, Death Threats?	Someone I know constantly harasses me through myspace telling me to go die or go get raped, he has told me that he wants to kill me, and has told a couple friends that he is going to burn down a tree fort in my backyard. He is 19 almost 20, I am 18 and my other friends are all 18 as well. Is there anything I can legally do?  This is in addition to him keying my car, stabbing the interior, kicking/denting the outside, and stealing stuff from me.
20090202233340AAZmhBo	Politics & Government;Politics	Is there any countries that arent suffering because of the economic crisis?	is there any who arent actually doing too bad through all this or is every single country pretty much going down and down
20090202235314AAPQZEU	Politics & Government;Politics	Did you know what socialism was before the election?	despite the fact most of you dont know what is after we shall ignore. but come on be honest did you really even a have clue about the word before the election?
20090202231358AAaY4PQ	Politics & Government;Law & Ethics	Does anybody know where I can find jobs that doesnt do background checks?	Im in California btw.
20090202234821AAlfrIJ	Politics & Government;Military	I want to know if im feeling normal...?	my bf is deployed, we just had a baby about 2 months ago..i really miss him, always thinking about him constantly..and whenever i know he goes on mission, i feel very anxious...  i lost an old friend from an IED a few months ago and im very nervous about IEDs obviously or about losing my bf... can any mil wife or gf tell me what they do when they miss their spouse a lot..is this normal to feel depressed and anxious about him being gone??i really miss him..i havent been able to sleep..(not just cus of the baby) but just in general, being w/o him...
20090202235428AAfd518	Politics & Government;Law & Ethics	Missouri, North Carolina, and Oregon, are you happy about giving California some of your money?	It looks like the states that have been fiscally conservative and manage their money are going to get penalize and have their federal dollar get diverted to Pelosi, Boxer and Fienstein in California.  I am sure California will thank you
20090202232102AAPFiP5	Politics & Government;Other - Politics & Government	5 FREAKING POINTS!!!!ASAP!!!?	What could bring about a vote of censure????      Best and correct answer worth 5 POINTS!!!!
20090202231546AAJkCdV	Politics & Government;Law & Ethics	I was wondering if guys that smoke marijuana and are high?	Do they tend to be more honest with their feelings?      Like I know it depends on alot of stuff like the users...some become really mellow, some sleepy, some hungry...and some even focused. But I was wondering can you become more emotional and honest while your high.      I have never tried it...but I know this guy from school...and he's really cool and stuff. But the other day he was acting really emotional and he's being honest about his feelings with me.      He told me he's high, so I wanted to know if that has an effect with those feelings. Is it like drinking liquor?
20090202234407AA8c4AA	Politics & Government;Military	Should I join the Army?	I want to.
20090202233657AA4zyMN	Politics & Government;Military	I am going to the Army Recruiter tomorrow.?	....How soon after this does MEPS take place?
20090202235844AAd3nwh	Politics & Government;Politics	When Obama said he was going to change the way Washington worked?	Did he mean you could cheat on your taxes and still be in his cabinet?
20090202231741AA20Atp	Politics & Government;Other - Politics & Government	Is the media criticizing border patrol arresting illegal aliens now? how is this for a bizarre story?	 http://news.yahoo.com/s/ap/20090203/ap_o... 
20090202232742AAv7zhM	Politics & Government;Military	My boss is driving me crazy ...?	What do you do about a boss that constantly leaves work to attend her kids school functions, to have lunch with her husband, to run personal errands, etc.  She "volunteers" for anything to get her out of the section.  We are in the military so it's not like she has to punch a time card, but I am sick and tired of covering for her and the senior NCOs covering for each other.  As a NCO, I am sickened by the lack of professionalism.  If I started pulling this crap, I would be charged with malingering.        What do you do?  She left a half day early today because she was leaving for an NCOES school tomorrow and wanted to spend time with her husband.  Isn't that what leave/pass is for?  I can certainly see here and there having things to attend during the duty day, but this is an every other day occurrence?
20090202233150AA5X0Fv	Politics & Government;Politics	Decriminalization of Marijuana in America? Soon? (Open-minded discussion please)?	Barack Obama speaks of drug war and promotes decriminalization:       http://www.youtube.com/watch?v=LvUziSfMw...       Seattle chief of police speaks of drug war and promotes decriminalization:       http://www.youtube.com/watch?v=Z1MBrUMau... 
20090202233350AADP3XO	Politics & Government;Government	According to madison why is federalism necessary?	N/A
20090202235430AA5IvtJ	Politics & Government;Politics	Why was madisons argument in federalist paper 51 convincing to the public?	N/A
20090202233528AAVyvZ5	Politics & Government;Immigration	F1 Visa, OPT questions?	Hi Guys    I have immigration questions. I am a F1 status I just graduate and my OPT working during Jan 05 2009 until Jan 04/2010. Right now I still seeking for job and didn't get one yet. I try to extend to live in the USA. Is there anyway that can make me stay here longer. I heard about 60 days Grace period and changing status to the H 1B     1 What will be the next step after OPT expire.     2 when do I apply for H1B?     3 Is H1B approve for every one?     4 How to extend my 12 months OPT to 17 months OPT? And what do i need to get the 17 months OPT      PS>>>> I am graduated for associate degree is that affect for extend OPT 17 months because I have heard that 17 months OPT is only for Bachelor ans Master degree only.      ...................Thanks for your time....................
20070623122900AABiXYV	Politics & Government;Military	Is Ship's Serviceman the WORST rate to be in, in the Navy?	So... the bottom of the barrel for the US Navy are is SH (Ship's Serviceman) they do laundry, soda & vending machines, Cash collection agent, bulk store room custodian, ship's store.  Super long Sea duty tours, overmanned (so over manned they should be in CREO group 6!), it's almost better to be an undesiginated seaman than an SH.  Learn no marketable skills that you could have learned working at Taco Bell for four+ year.
20070629213848AAhMABq	Politics & Government;Military	About female soldiers...?	First of all, yes I do like to see pictures of military women in bdus with their tops undone, outside of gays, what guy doesn’t. I also enjoy collecting military uniforms through out history (mainly 20th century combat uniforms and gear) both men’s and women’s. When I put a collection together, I like to be supper detailed with the display. That means everything from the way the uniform is put together, to what they have in their pockets (also in their web gear, rucksack, and duffle bag) and what underwear they are wearing. Granted everyone is different and every mission is different and also some items I can never get and never want to get so I have been putting a general outfit together. Sense you have to go through tones of books and what have you to get a basic idea of the personal items everyone carried or had, I figured with the late 20th century and turn of the 21st century, I could ask the actual military members. Sense I am wheel chaired bound and never be able to join up I figured there would be no harm to ask you all. Nothing perf about it and recent all you who think it is stupid. Ok so I like babes in uniform but dose that mean every thing I ask has to have some sick reason behind it? Honestly I maybe weird but how stupid are you who think I am?
20070729131031AAmGa5Q	Politics & Government;Immigration	I just moved to illinois from another state for a job. i am wondering how do i become a resident of illinois?	I am a legal resident of iowa and just moved to illinois for a job. I am just wondering how do i go about become a legal resident of illinois.I have my iowa liscense and Iowa plates which are all legal. i was born and raised in iowa.  I'm not sure is if all i do is get an illinois drivers id and new plates or is there more?
20070811093556AAIzyVw	Politics & Government;Military	I just read that they are thinking about doing the draft again?	the president is not for it but the LT.Douglas Luke is the one pushing for it... if they do end up bringing back the draft what would the age limit be on the draft... how does a draft work anyway..and do they drug test..and is it like a regular job being in the military.. i know if you are positive for drugs you dont get the job.. the reason i ask this is..in my small town the druggies out weigh the non druggies.. not me i dont use them..but i have a lot of friends that do
20070820192925AAL60wW	Politics & Government;Other - Politics & Government	Fistfight!!!!!   Alberto Gonzales VS Charles Schumer,,, who would win?	N/A
20070826153304AAcGlmj	Politics & Government;Politics	Why doesn't Bush go after those who brought down the WTC?	Why was it, all of a sudden, a greater priority to get Hussein and go to war with the Iraqis, then to capture or kill Bin Laden and those responsible for the thousands of murders committed on 9/11?      Is it enough that Iraqis 'look' like the terrorists?      Wll Bush leave office 7 years after 9/11... while Bin Laden is still alive and free?
20071103072110AAynR4x	Politics & Government;Other - Politics & Government	Raga che ne pensate di questo governo?	non riesco a capire perche non faccia niente per questi emigrati. bisogna fare una legge molto seletiva. per non parlare delle tasse, si è arrivato al punto che si risparmia per gonfiare le loro tasche.
20080107065535AA5QKI2	Politics & Government;Government	Leggete in molti?	secondo voi ki merita veramente di stare al governo????
20090203000939AAJVwcK	Politics & Government;Politics	God the bless the USA Obama,s doing a fantastic job do you love them now too?	Swap Brown for Obama anytime
20090202234039AALWXyO	Politics & Government;Government	Australian Government Stimulus package - who gets what?	"Workers earning up to $80,000 a year can expect a handout of $950, those on a salary of $80,000 to $90,000 will receive a $650, and $300 will be awarded to people earning between $90,000 and $100,000. Those on incomes above $100,000 will not receive a bonus."      Is this based on individual earnings or combined earnings of a household? If my husband and I earn over a specified amount COMBINED, do we not get it?!
20090202234334AAoEUrI	Politics & Government;Military	Why the peoples are fighting and why it happens?	the real ruler and why it happens
20090202234635AAbDydK	Politics & Government;Politics	What do you think the Bush Cheney Alumni Association is talking about?	All Bush employees, appointees, interns, campaign donors, and volunteers are eligible to join the Bush Cheney Alumni Association. The site’s mission is to be “a forum in which alumni can stay connected and "help build a lasting legacy" for President George W. Bush and the Bush-Cheney Administration.”      Is this Bush's new "base"?
20090202234831AArSRo5	Politics & Government;Law & Ethics	OK So by default  the child of a white and black parent is black? How Racist is` that!? really reaching people?	If my child becomes president he's not getting  the entitled recognition.! Yes, Im upset.
20090202234937AAzeaLf	Politics & Government;Politics	KFC, Mc, Burger King .. etc fund the Israeli army?	I have been told that the following brands fund the Israeli army:      - KFC   -McDonald's   -Burger King   -Pepsi   -Coca Cola   -Timberland   -Starbucks   -Estee Lauder   -Nokia   -Nestle      ...gosh, and lots more!      Is this true? Can you please provide sources along with your answers?      Also, what other brands really do fund the Israeli army?      Thanks in advance!
20090202235052AAGYw9q	Politics & Government;Military	Laundry at a Forward Operating Base?	I'm curious. I'd like to know how one goes about doing laundry at a Forward Operating Base. Are there washing/drying machines at some FOBS?
20090202235130AA6okTq	Politics & Government;Law Enforcement & Police	Is It Diificult to get into Law enforcement in California?	I would like to know if law enforcement agencies in CA are real strict and do they accept the fact that some people are "human". I'm considering trying out in CA cuz the state I live in now is real cutthroat. I mean my only blemishes is a petty misdemeanor that I had expunged, plus I used marijuana when I was younger (approx 5 1/2/ yrs ago). Should I not even bother in cali, or do they accept the fact people are human and may not have had perfect lives and will still give someone a chance???
20090202235554AAzf7Gz	Politics & Government;Elections	Republicans, are your self-interest(s) the reason why you're a Conservative?	Don't you guys vote for small government?   Don't you guys protest against abortion?   Don't you guys have strict restrictions on marriage?   If not, than tell me why YOU are a Conservative Republican.
20090203000025AAsYYxP	Politics & Government;Elections	Why are you a Conservative Republican?	Republicans, are your self-interest(s) the reason why you're a Conservative?    Don't you guys vote for small government?  Don't you guys protest against abortion?  Don't you guys have strict restrictions on marriage?  If not, than tell me why YOU are a Conservative Republican.
20090202235738AATqrIS	Politics & Government;Law Enforcement & Police	Is this legal or illegal?	i work at a cigar shop in michigan and i have a lounge in the back. if i lock the store at the end of the night can i hold something like a poker night where they are gambling with money because now the store isn't open to the public or is it illegal gambling? is there anything i can do where i could charge a fee for a service like ordering a pay per view boxing match if i close the store and turn it into private instead of open to the public? or is that illegal too? also if i were to make the poker night with a charity does that make it ok to have in my store if 90% went to charity and 10% went to my store or would it still be illegal?
20090203000036AA6nDgo	Politics & Government;Law Enforcement & Police	Driving with revoked license in Colorado?	I got caught driving with a revoked license from a "baby dui" (under 21 bac less than .05). Eligible for reinstatement 1/20/09. Did not reinstate. Caught 2/3/09 driving under restraint. Officer advised me to reinstate my license and it would look real good for me however, I understand that if you were caught driving you license would suspended for an additional 1 yr. Is it wise to spend $100 reinstatement fee when it will just be taken away??..will it be taken away? Whats next?
20090203000854AAtIEO1	Politics & Government;Other - Politics & Government	When solve tamil eelam?	srilanka
20090203001125AAfM12O	Politics & Government;Military	How is mass releated to london forces?	N/A
20090203001351AARcGUA	Politics & Government;Politics	What is the least painful way to lose a life?	N/A
20090203001328AArdSTr	Politics & Government;Law Enforcement & Police	Will a misdemeanor domestic violence conviction stay on my record forever?	I mean i havent got more than a speeding ticket in 12 years since it happened and i was sorry when it did and have paid for it ever since i was young and stupid but i would think after staying out of trouble for so long that it would eventually drop off and i could get on with my life and get a decent career i thought about trying to get it expunged soon as i can but it has been a couple years since i checked on it so im not sure if its still around or if it maybe fell off
20090203001509AANJEht	Politics & Government;Military	Can I sign up for the navy with a friend and get stationed with him?	I'm thinking of joining the Navy and I was wondering if it could be arranged to be placed on the same boat or station.
20090203014208AAWydZ1	Politics & Government;Law & Ethics	Have you ever heard of a woman raping a man? ?	I know its technically possible but I've never heard about it happening.
20090203023725AASB5rl	Politics & Government;Politics	Why did the founder of Planned Parenthood call Blacks "weeds in the garden of humanity"?	Marget Sanger created Planned Parenthood and was an advocate of eugenics and a supporter of Hitlers work.
20090203004048AA2EuaV	Politics & Government;Politics	Is It Fair To Say That Men Who Voted For Obama Are The Girly-Men?	Not the hard core gangsters, rappers, and drug dealers, of course, but the rest of them like the guys who drive the Toyota Prius.
20090203024123AAdW0N9	Politics & Government;Politics	Are you an environmental vandal for using Y!A instead of searching for the info yourself?	Every time you ask a moronic question here instead of bothering to Google for the answer yourself, and 20 other people Google for you, do you realise that it increases CO2 emissions by the equivalent of boiling 10 kettles?      --------------------------------------...   Performing two Google searches from a desktop computer can generate about the same amount of carbon dioxide as boiling a kettle for a cup of tea, according to new research.      While millions of people tap into Google without considering the environment, a typical search generates about 7g of CO2 Boiling a kettle generates about 15g. “Google operates huge data centres around the world that consume a great deal of power,” said Alex Wissner-Gross, a Harvard University physicist whose research on the environmental impact of computing is due out soon. “A Google search has a definite environmental impact.”     http://technology.timesonline.co.uk/tol/...    --------------------------------------...      HOW GREEN ARE YOUR QUESTIONS??
20090203021701AAnKxPL	Politics & Government;Elections	Paying higher taxes is patriotic?	During the campaign, the Dems claimed that paying higher taxes was patriotic.....so why is Obama appointing clearly unpatriotic people, by their own standards, to cabinet positions?
20090203015659AAE6nUu	Politics & Government;Politics	If America wants to be saved shouldn't it turn to God?	The real God? Not the phony republican God which is only used to mind control the stupid and the weak.
20090203023738AASgoZi	Politics & Government;Military	How long before the USA Military Forces turn their guns on the USA Citizenry?	I predict the USA Military (and the U.N. forces) will be on the ground, in the US of A, within the next two years.  It will be labelled as something to control the civil unrest from the terrible economy, but they will be on the ground here in the states.      When do you see our own Military, pointing guns at us, on the ground, inside the USA?
20090203014458AAGucVy	Politics & Government;Elections	Obama used up the only Idea he had to fix the economy... Porkulus. So, that's it? That was his Brilliant Idea?	Is this the brilliant plan we had to elect him to implement? What's next?
20090203022801AAg8aWU	Politics & Government;Elections	Why do obama supporters call him their "Messiah" isn't that going too far?	I think the real messiah was Jesus not President Obama.      President Obama is just a man, he is not a Messiah or a God. Why do      some say  this?
20090203024205AAn2hd5	Politics & Government;Elections	If President Obama was born in Kenya how can he be President? ( I thought he had to be born in America)?	I was listening to a radio program yesterday and the guest was saying Obama was born in Kenya. He said that Obama's Grandmother & sister have said they remember the President was born in Kenya in the village of his father.      He played a tape of his Grandmother & sister...I couldn't believe this.      He went on to say that his Grandmother came to the inauguration but Obama wouldn't receive her because of what she said.      His mother then got the baby Obama to Hawaai and then tried to fix things up to make it look like he was born in Hawaai .         whqt do you think
20090203011546AAdImDf	Politics & Government;Other - Politics & Government	Do the Zionist banksters and their broadcast propaganda and puppet politicians undermine America?	"The Promised Land"  by Chuck Schumer
20090410124038AARxNGl	Politics & Government;Politics	Why does the US claim the "moral highground"?	When they bomb innocent civilians   http://intolerablebehaviour.premium.ws/d...   (click on Dahr Jamail in the index) who are murdered a a high rate.      When the US military has exported vile torture techniques since the late 50s.  100,000 foreign officers trained in torture by 1971.
20090203005159AA5Hyb3	Politics & Government;Politics	Why are we as Americans supposed to be concerned about what goes on in Israel? ?	I mean, how does the average pion American citizen (there are many of us) have any control over what wars a foreign country wants to start in its own country against its own citizens, especially with this rcurrent super recession we are going through?       They've been fighting for hundreds of years, haven't they?
20090203014209AAOiNJx	Politics & Government;Immigration	Is living in Israel better than living in the US, UK, Canada and Australia?	If the answer is Yes why do you think so? I am contemplating making Aliyah!!       Many thanks Only serious answers please..
20090203021602AA30oBC	Politics & Government;Military	Are we heading for ww3?	iv always been worried about war,now with the recession and the world under constant attack from terrorists is this the beginning of war?
20090203003839AABopCu	Politics & Government;Military	Assault rifles made in australia?	hi does anyone know any assault rifles or pistols made in australia in the modern day not in ww2 or ww1
20090203011432AASPqIR	Politics & Government;Government	Why doesnt California National guard (militia) Guard our Marijuana dispensaries.?	If the citizens of California voted for Prop 215 why doesnt the Militia or California National guard Prevent The DEA from taking the peoples medicine. Not to mention their Right to pursue happiness.  I just Got back from Iraq and have been diagnosed with a disease. If the state I am fighting for and protecting passed the proposition. Than why doesnt my state protect me from the federal goverment. Lets all remember why we have a state militia or national guard in the first place. It is to protect what we govern within our state. If it is not than why did I swear an oath to the govenor when i enlisted?
20090203015321AA6lSRo	Politics & Government;Military	Why is it that when i say i contracted a diease while in Iraq people assume it is PTSD?	I asked a question why doesnt the state milita protect the California marijuana dispensaries? and this guy Dogzilla automatically assumed i was talking about PTSD. To me if I say disease that means  a disease. Dogzilla your a doouche Bag.
20090203023208AArxd8i	Politics & Government;Elections	Is Obama going to decriminalize Marijuana?	N/A
20090203002407AAagR6p	Politics & Government;Elections	Does anybody agree with Obama on this?	Barack Obama officially banned any questionable interrogation techniques in any prisons holding terrorist overseas. Now tell me this, do you honestly believe that the same people who strapped bomb vest to little kids and pregnant women just to make it difficult for the soldiers to kill them should be given the rights as an american suspected of a crime? these people are terrorists. they believe that if they die for their religion, they will be rewarded in heaven. if you don't force them to talk, they will not talk. and if they don't talk, many innocent people will die. i believe that when dealing with known terrorist prisoners, our soldiers should be able to do what ever they need to to make sure that the people of this great country will be safe. it just comes down to how much a person thinks an American's life is worth. if an american citizen's life is not worth a terrorist life, then i guess Barack Obama did the right thing. give me your thoughts
20090203003817AA6dK2T	Politics & Government;Elections	Who agrees with Obama?	Barack Obama officially banned any questionable interrogation techniques in any prisons holding terrorist overseas. Now tell me this, do you honestly believe that the same people who strapped bomb vest to little kids and pregnant women just to make it difficult for the soldiers to kill them should be given the rights as an american suspected of a crime? these people are terrorists. they believe that if they die for their religion, they will be rewarded in heaven. if you don't force them to talk, they will not talk. and if they don't talk, many innocent people will die. i believe that when dealing with known terrorist prisoners, our soldiers should be able to do what ever they need to to make sure that the people of this great country will be safe. it just comes down to how much a person thinks an American's life is worth. if an american citizen's life is not worth a terrorist life, then i guess Barack Obama did the right thing. give me your thoughts
20090203010122AARP5lB	Politics & Government;Elections	Who agrees with Barack Obama on this issue?	Barack Obama officially banned any questionable interrogation techniques in any prisons holding terrorist overseas. Now tell me this, do you honestly believe that the same people who strapped bomb vest to little kids and pregnant women just to make it difficult for the soldiers to kill them should be given the rights as an american suspected of a crime? these people are terrorists. they believe that if they die for their religion, they will be rewarded in heaven. if you don't force them to talk, they will not talk. and if they don't talk, many innocent people will die. i believe that when dealing with known terrorist prisoners, our soldiers should be able to do what ever they need to to make sure that the people of this great country will be safe. it just comes down to how much a person thinks an American's life is worth. if an american citizen's life is not worth a terrorist life, then i guess Barack Obama did the right thing. give me your thoughts
20090203001811AAp1b6n	Politics & Government;Law Enforcement & Police	What do cops think when they see a sport bike?	When you see someone on a sport bike do you think that they are trouble? Do you think they're crazy? Do you want to follow them to see what they do? I just ask because cops seem to go on edge whenever we're cruising around. When a group of us drive by they usually like to follow us for a little bit, or turn their sirens on for a second to let us know they're there. It's like there is a bias towards sport bike riders, like cops think we're all lunatics. What are you told about crotch rockets during training? is it common for you to follow them around for a while? Just curious, been riding an 03 GSXR 600 for 2+ years. Wondering what goes through your head when you see one.
20090203021417AAVjMKk	Politics & Government;Immigration	Why usa ask us to be like them?	usa ask for free choice?
20060626075401AAdzAe3	Politics & Government;Government	What do u think about tanzania?	N/A
20060626224219AADQloN	Politics & Government;Immigration	Effects on illegal immigration and false social security claims?	looking for actual facts and numbers for false social security claims for illegal immigrants
20090203004419AAUdJkR	Politics & Government;Military	Army Housing Question?	well my cousin is enlisted in the army, i am not exactly sure what phase he is in though...but i do know that he lives in an Apartment and the Army covers his rent... what phase would this be...
20090203002641AA2jqcY	Politics & Government;Law & Ethics	What is the penalty for........?	A couple of nights ago my friend and I jumped the fence of our local pool and decided to go for a night time swim. Security came and we ran, jumped in my car and got the **** outta there! Just today I got a phone call from the police questioning me about the incident. ( I assume secuirty took my licence plate number ) We didn't break into the pool or steal anything, it was just a bit of harmless fun. However, what will the penalty be for this? Is it classified as breaking and entering? we didn't really 'break' in. I live in Queensland, Australia.
20090203013157AAdK2iQ	Politics & Government;Military	Will I still be able to join the Navy?	I just got a DUI in california. I am 21 and I blew a .10 (point one oh) I have been planning on joining the Navy. Will this disqualify me?
20060623085400AA2XoeP	Politics & Government;Government	Sapendo che io so cosa votare il 25 giugno per il referendum, voi cosa voterete ?	N/A
20090203005218AANrale	Politics & Government;Law & Ethics	In the UK why can't a sound recording be used as evidence in court?	N/A
20090203012553AAVQ6cB	Politics & Government;Politics	A question for you hardcore liberals?	Why would Bush purposely destroy this country?         I use to be a hardcore liberal. Bad mouthing Bush on everything he did. Watching MSNBC CNN and all of those other hardcore liberal news. The info Liberal media gave us seems like he purposely destroyed this country.      I asked myself why would Bush purposely destroy this country so that people would call him the worst president? That makes no sense, there has to be manipulation in these information liberal media is giving us      I'm a Liberal who hates hardcore Liberals and hardcore Conservatives.      I'm kinda sleepy but I'll check this tomorrow   sorry if I spelled a few things wrong
20090203004427AAAHnEg	Politics & Government;Politics	Libs, you think Obama will Back Me Up if I screw up on my taxes?	I mean if he can back up Tom Douche....then he will back me up too      right?
20090203004715AAXHuMI	Politics & Government;Politics	I got caught on tape yelling at a liberal, is the Bonger a bad dude?	Listen
20090203002356AA4VhKn	Politics & Government;Military	Army versus Air Force?	Is the Air force necessarily safer to join than the army is?  I am a female and my mother believes that the air force is safer than the army.  Is this true and why?
20090203002619AAhmTAr	Politics & Government;Law Enforcement & Police	HELP!!! Serious... No joke... How do you anonymously report someone you know is a creeper?	So in the 7th grade my friend gave me this guys screen name so she could talk to him through me.She would be on the phone and I would read what he said and type what she wanted me to.He thought he was really talking to her.Because she had known him though her sister from when she was little I figured it was ok. He was like 21.My friend was 12 and I was 11.    At first it was ok talk.About life and school and he'd give advice on our friends and what not. He caught on to what we were doing after a while. He didn't care that he was really talking to me but he was kind of upset we had lied.    After that he would just talk to me.She still talked to him but he would IM me and stuff like that.It didn't occur to me that he was unsafe. He was just like a friend who knew about life.    In 8th grade my friend had stayed home from school one day.She was home alone and decided to invite him over.Of course he went, being the way he was/is.Well they had sex.    She eventually stopped talking to him after she moved.But I still talked to him.He would say how pretty I was/am and how he wants me to go to his house and I should sneak out and go see him.Things like that.He had gradually done this so I didn't see it.He also told me about all the girls hes been with and everything else like that.    It wasn't until about December I stopped talking to him.I realized he wasn't safe and he was the reason for my fear of not sleeping at night, also because he works at the mall around me I wouldn't go.Just because I feared seeing him.No one in my family knew and I didn't want them to.    I knew he was [starting to] talk to other girls my age when I stopped talking to him [he had been talking to other girls when I did talk to him but he started talking to more and more].Now it's like every time I go on someone from  my school myspace [someone my age or younger] hes on their friends list and hes commented their pages and pictures.    I want this to all stop.I want him to leave other girls alone.I think he needs to talk to girls his own age.Hes now 23/23 and he keeps talking to younger and younger girls.It's like when one who's 14 stops talking to him he needs to get five 13 year old girls to make up for it. And whenever he stops talking to a 13 year old he needs to move to 12 year old girls.    Is there anyway I can anonymously get someone [such as a cop or foundation for this kind of stuff] to at least look at his myspace with out anyone knowing it was me who reported him?  I have a few saved messaged from him on myspace, if he does get into trouble can I send those to someone/ somewhere so they can use it as evidence that he was being inappropriate with a minor?  Can I tell someone without my parents finding out?
20090203002738AATPbI0	Politics & Government;Government	Who is the president of australia?	N/A
20090203002826AAijCZm	Politics & Government;Other - Politics & Government	What do you think of....?	young kids of age 16 to 20 have this extraordinary potential for understanding people.  they should get into politics in India.yes or no?  any thing in India may take ages of time to complete their tasks.  should we change our constitution?  should we remove the old people and join the fresh kids with more knowledge.  India needs more revolutionary ideas and change.  india needs to unite,with our-self and others .  YES OR NO?
20090203002902AAQcOoT	Politics & Government;Law Enforcement & Police	Do police need a warrant to search me?	N/A
20090203003957AAulXiP	Politics & Government;Law & Ethics	Law Question????????	Am i liable to continue with contract conditions if i sign one and i am under 18?
20090203002904AAx8o1U	Politics & Government;Military	Can i join USCG with just 15 college credits ?	can i join the us coast guard with just 15 college credits,and do all the classes have to say that they are transferable (uc:csu)or it just having that is a 100 level class an over.
20090203003221AAT6YBe	Politics & Government;Other - Politics & Government	Can someone give me more info about htis recession we just went into?	im 15. i asked my dad about it but he didnt give me much info he jsut said "its ok. it'll sort itself out." and he thought it wasnt a big deal. but will i still be able to have a normal life or...will this change everything. my dads job isnt in jeopardy. he fixes locamotives. so yeah. and my mum dosent have a job. will it affect my school in anyway?
20090203003234AAOWHVs	Politics & Government;Law Enforcement & Police	What would happen if a kid was caught smoking?	also, what would happen if a person was caught injecting himself with drugs?
20090203004154AAs5zf8	Politics & Government;Law & Ethics	What happens when you marry someone who is not a citizen of the united states?	what happens when you marry an illegal person from Mexico?
20090203005352AAUQtLE	Politics & Government;Immigration	Wats will happen if u had an asylum case...?	denied at immigration duje and advice u to make an apeal if u bring these evidence leftover at ur apeal did u think it can be aprouved afterall
20090203010507AAUDsoU	Politics & Government;Elections	What date was barack obamas inauguration?	N/A
20090203011402AAIzeAX	Politics & Government;Law Enforcement & Police	Can a judge dennie a public defender to be apointed?	i was charged with theft of property an i didnt do it an the judge dennied me for a public defeneder. can he do that
20090203012010AA7ryws	Politics & Government;Politics	Effective leadership and commitment to particular principle?	the most essential quality of an effective leader is the ability to remain consistently committed to particular principles and objectives. any leader who is quickly and easily influenced by shifts in popular opinion will accomplish little.   do you agree or disagree
20090203012311AAV8azk	Politics & Government;Government	Welfare is the surest indicator of a great nation?	the surest indicator of a great nation is not the achievements of its rulers, artists, or scientists, but the general welfare of all its people   do you agree or disagree?
20090203012046AA82U7t	Politics & Government;Law Enforcement & Police	What do SWAT and LE agencies use for riot gear?	I'm looking for high quality crowd control gear, preferably tried and tested brands used by SWAT and various law enforcement agencies during real documented cases of civil unrest.      RedMan, Hatch, and Damascus pop up frequently, but reviews for their products are virtually nonexistent, so I can't even get a base opinion of what's good and what isn't. Some of their products, like Damascus' FlexForce system, seem gimmicky and don't have solid facts about its properties other than the so-called "revolutionary technology" they are made from.      I need riot gear that has been -proven- to save lives on duty.
20090203012740AARfs0m	Politics & Government;Law & Ethics	How does one change the father on a birth certificate in the UK?	N/A
20090203013633AAfc3zR	Politics & Government;Military	What is the updated minimum score for the Marine Corps Reserve?	N/A
20090203013654AA8Ylgu	Politics & Government;Law & Ethics	Why cutting dog's ears or tails (ex. to bulldogs)  is illegal and killing unborn babies is legal? ?	Does it mean that Australians love animals more then human?   Mind you- Human has a soul when dog dies and is left with nothing.
