20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20090304232309AA6jvPJ	Society & Culture;Holidays;Ramadan	Are you comfortable with the fact that your prophet married a 6 year old child?	Is this a good story to tell children?
20090304231629AAFuMHh	Society & Culture;Religion & Spirituality	Satanists: can you take the joy of satan seriously?	First I would like to ask if any satanists consider the joy of satan a satanic group anyhow. They have a deluded concept of Satan, the concept of Satan & the history of Satan throughout history. The Joy of Satan would have us believe Jews are reptillians, Satan and Demons are ET's that live on some far off planet and then turn around and claim that religions such as christianity are bullshit. I for one am a devoted independant Satanist, but the JoS looks more like a scientology spoof with a neo-nazi esque to it than a legit Satanic organization.
20090304231022AAoCs4x	Society & Culture;Holidays;Ramadan	Maybe quran doesn't say how to pray because there isn't meant to be a specific way to pray?	Within sunnism itself there are different ways to pray (eg. Malikis sometimes do it with straight arms and look at the horizon rather the ground). Non-muslim monotheists pray their own way and their prayers aren't rejected. Maybe the hadith-follower argument "quran can't be used on its own becaues it doesn't say how to pray" doesn't make sense if there was never meant to be a rigid way to pray in the first place: quran includes basic statements of how to pray by mentioning a basic wudu, prostration and to face towards Makkah so maybe these are all that's required. It's not so much how you do it but that you do it.      Just a thought. What say you?
20090304234732AAEh6Gi	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How do i communicate, without making her feel smothered?	In a nutshell: Two Girls. Dating exclusively. She has bipolar disorder (makes her moody and unnattatched at times). close physically and emotionally. she is busy busy busssyyyy right now (new apartment+roommate, new job switch, midterm exams in college, etc)      how much contact is approperiate (texting) to let her know im thinking about her, without making her feel smothered?       no mean answers, you won't do anything but make yourself look like an ***.       what can i say?
20090304235135AAX0f3m	Society & Culture;Holidays;Ramadan	What is your favorite & most attractive complexion ?	i don't like pink & white & yellow but i do like black & dark complexion,   i love good people not their complexions.
20090304233642AAJ1iun	Society & Culture;Holidays;Other - Holidays	What do u think of birthday poem??its for putting inside birthday cards and stuff?	Wishing you all the best                          On your special day,               The time of year you are blessed                  With laughter, joy and May
20090304231202AA2jfbm	Society & Culture;Other - Society & Culture	Does someone have a random piece of advice to share?	N/A
20090304225042AAGd0SO	Society & Culture;Mythology & Folklore	Can anyone take me to a website that'll teach me real magic?	I have some enemies I want to get back at,but don't worry I won't kill them just put them through the same hell they put me through.
20090305000044AATe4jf	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	SO effing annoyed with a friend. I think she is homophobic?	I was talking to some friends of mine and the guy I like was In front of us (we were waiting for our bus) and we got onto the subect about gays, lesbians and bisexuals. Anyways two of my close friends are bisexual and they were in the conversation and my friend who is one grew below us is like saying gays and bisexuals and lesbians are wierd and stuff. And I was getting pis sed at her, I'm straight but I c nothing wrong with gays/lesbians/bisexuals they are just people it doesn't mater wot they do in the bedroom if u get wot I mean by that (it might not make scene but that's how I see it) anyway the guy I like turned around to talk to me he didn't no wot the convo was about but as soon as he heard that my friend was homophobic(well at least it seems that she is) he got mad I could tell by his face. She upset me in some many ways taking jabs at my really close friends,my crush/friendand all the inncocent gay,lesbian and bisexual people. How do I tell her this or explain to get that there is nothing wrong with them? (all I really wanted to do with this question was to get my frustration out but I thought I should ask a question while I'm at it to make it worth ur while in ready this) thanx for reading my ranting raving LOL it is jus SOOOO annoying.
20090304235226AA2HvM0	Society & Culture;Other - Society & Culture	Which of the following sites are the worst when it comes to spam?	Facebook   My Space   Twitter   Yahoo 360
20090304225037AAa2wO2	Society & Culture;Mythology & Folklore	Do you believe in Phycics?	Do you believe in Phycics? My sister predicted that my other sister would marry a man with blond hair in blue eyes and she did.Then she said she would have twins and now she just did but she says really bad things happen to her when she does these things.She said they will be kings and become great ppl in there lifes but there still young so lets find out.
20090304230200AAK2ofP	Society & Culture;Religion & Spirituality	Wicca: How many of you actually practice magic?	As I understand it the primary focus of Wicca is to be in tune with nature and the planet as a living thing as the source of life and your spiritual peace, rather than any specific gods. I really like the nature aspect of it and have something similar in my own life and faith. Please let me know if I got something wrong there.      But also there are what I think society considers stereotypical Wiccans who practice magic spells and rituals. I had a friend in high school who was Wiccan and let me see her spell book. I thought it was interesting but I wasn't sure of the real purpose of it.      How many people are Wiccan and actually practice the magic part of it? What is the primary purpose? Is it more for meditation and centering the spirit or is there an expected outcome? Do you feel the magic works when you invoke it?      I'm not trying to bash. I'm trying to learn. Thank you for your answers.
20060703095659AAftX9T	Society & Culture;Other - Society & Culture	Do mattress testers sleep their way to the top?	N/A
20070227072425AA2jGwP	Society & Culture;Other - Society & Culture	Does any body out there dislike Americans losing their jobs to Mexicans ?	I worked for a company for 18 years and there was a big layoff, I was out of a job had a family to support no union backing and had to find another job at 58 years old! Believe it or not employers do dicriminate about age! to make a long story short the people who had worked there for several years were replaced by Mexicans for a lower wage! This is not fair to us. We are being walked on by Mexicans who will work for .25cents an hour. If they were not here this would not happen!! and yes I also blame the employer for giving our Jobs away!!!
20070305045351AAsQivK	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do people living in INDIANA call it little Mexico?	N/A
20070321035920AAYjwdn	Society & Culture;Religion & Spirituality	What is meant by "How to ignore a speeding train headed directly toward me?"?	N/A
20070321043226AAlV5PH	Society & Culture;Religion & Spirituality	Do you want to know what FARGARD is???	In the first book of the Avesta, you will find      AVESTA: Vendidad      CONTENTS:   Fargard 1: Sixteen perfect lands created by Ahura Mazda,   and as many plagues created by Angra Mainyu   Fargard 2: Myths of Yima   Fargard 3: The Earth   Fargard 4: Contracts and offenses   Fargard 5: Purity laws   Fargard 6: Purity laws   Fargard 7: Purity laws   Fargard 8: Purity laws   Fargard 9: The Nine Nights' Barashnum   Fargard 10: Formulas recited during the process of cleansing   Fargard 11: Special formulas for cleansing several objects   Fargard 12: The Upaman: how long it lasts for different relatives   Fargard 13: The dog   Fargard 14: Atoning for the murder of a water-dog   Fargard 15: Regarding certain sins and obligations   Fargard 16: Purity laws regarding menstruation   Fargard 17: Disposing of hair and nails   Fargard 18   Fargard 19   Fargard 20: Thrita and the origin of medicine   Fargard 21:   Fargard 22: Angra Mainyu creates 99,999 diseases; Ahura Mazda counters   with the Holy Manthra and with Airyaman
20070512170652AAwoCBd	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How to find new prospects?	N/A
20090304232746AAfpHDA	Society & Culture;Religion & Spirituality	Spiritually Speaking: Would L. Ron Hubbard make a terrible general?	i read a quote of his on how to defend someting and it basically said defence is not an option the only way to go is all out attack.
20090304231313AAVBnoI	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do i like taco's so much?	N/A
20090304233716AAh7mWf	Society & Culture;Other - Society & Culture	Do you think it's sad that so many people take medication for every little thing?	No one can deal with a little ache or pain anymore. And the drug companies are reaping the benefits! What do you think?
20090305000104AAWebE0	Society & Culture;Other - Society & Culture	Do you assume that since something costs more, it's of better quality?	N/A
20090304235715AAv2oiA	Society & Culture;Other - Society & Culture	What is something you wish you were really good at?	N/A
20070428233705AANfDTf	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What could this mean?	I asked this question earlier, but am not really getting any responses (as usual) so I thought I would try to rephrase it.  I was talking to a friend about a friend of hers who recently came out.  I asked my friend if she had any idea before.  In response she said something along the lines of her friend having more outwardly characteristics of being gay (please, no lectures about stereotyping, she has been nothing but supportive to her friend) then she herself has.  Or that's at least what her comment came down to.  My friend has a boyfriend, but I found it interesting that she would compare herself.  Do you think that could mean anything?  I was just kind of curious to know if that may have been her way of saying she was herself not completely hetero.  Or am I reading way too much into it?  Anyway, thanks and sorry for reposting this.
20061014164747AAHy2oh	Society & Culture;Religion & Spirituality	Did Jesus himself ever mentioned the HELL.....where in the bible and what did he say about it?	N/A
20090304234619AAApFDq	Society & Culture;Other - Society & Culture	Could someone help me with this Pork Dilemma?	If someone doesn't eat pork (not because of religious reasons, but of preference), and without knowledge, enjoys eating food that has pork in it--but you know the food contains pork--would you tell them about it?  They have the right to know the truth, but it would be hard to tell them the truth because they enjoy the food so much...what would you do?
20090304233734AAVSPop	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LGBT if u were a celebrity how would u come out(if u even would)?	idk how i would maybe in an interview with ellen lol or shout it from a roof top somewhere
20090304225100AABnlUr	Society & Culture;Other - Society & Culture	How do you know you are standing in America? :-)?	N/A
20090304235733AA7jOd0	Society & Culture;Other - Society & Culture	If you had to guess, what percentages of Americans in Manhattan do you think are native to Manhattan?	Guess of percentage of Americans living in Manhattan who are native to Manhattan:      A) 10%      B) 25%      C) 50%      D) 75%      E) 90%      I remember a couple weeks ago I was looking through questions on Yahoo and I saw someone say that Manhattan is full of mid-westerners. I've heard similar things before. Do you think this is true? How much of Manhattan do you think these people make up of it? What parts of Manhattan do you think are like this? Which places aren't?
20090304230152AAuv4Ej	Society & Culture;Religion & Spirituality	Can your belief withstand scrutiny?	Some of you have a lot of practice attacking other people's beliefs, but can your beliefs hold up under logical examination?
20090304234255AAZYFsZ	Society & Culture;Languages	Why Spotmau PowerSuite 2009 is the most useful CD ?	Why Spotmau PowerSuite 2009 is the most useful CD ?
20090304231041AAfnzQS	Society & Culture;Religion & Spirituality	How can you tell if you are psychic or have psychic abilities?	ever since i was little i have had dreams of loved ones or things about to happen. ive seen spirits and have even heard them. so is it just me or do i have some kind of psychic thing? and what can i do about it?
20090304231256AA5eLrD	Society & Culture;Religion & Spirituality	QUESTION : What makes you feel HAPPY all the time?	What is happiness to you?      What do you think to be happy?
20090304234016AAkN84j	Society & Culture;Religion & Spirituality	QUESTION: Why does NICE/HUMBLE people are ALWAYS being take advantage of?	N/A
20090304234539AAcHjPB	Society & Culture;Languages	I have an ASL question?	How can I know whether a word in a sentence should be signed or not?   And is it ok to use SEE?
20061211185824AAc2M2A	Society & Culture;Religion & Spirituality	Tell me what would you do ? what would you think and would you be alarmed or overly sceptical of this issue-0k	chatting on yahoo you meet a muslim man from bangladesh she from african but lives in usa yall meet and become very close he's married  with 3 girls. He states he is not happy at home yet refuses to divorce her he lives in bangladesh you in usa and he wishes to marry you not tell his current wife they live together he say all for the childrens sake he begs to marry again ( both parys are Islamic for an invitation to his email  also an invitation letter to the embassy but warns not to state the invitation to usa is for marriage for fear of being rejected!    now i need honest and serious thoughts on this Muslims only please !!
20090304225525AAfZyjs	Society & Culture;Religion & Spirituality	Christians, is this the true meaning of Free- Will: You can choose to do all the bad things you want, as long?	... as you believe in the lord and repent? and you shall be forgiven...
20070802072105AANq1Cm	Society & Culture;Other - Society & Culture	Voce concorda.?	Que ser bonzinho, nao e ser bobinho?
20090304225501AAfhrIy	Society & Culture;Etiquette	Is it EVEN proper to put back into service that Greyhound bus where the poor kid lost his life?	i mean HOW CREEPY is it for someone to be sitting in that same seat he was in??......i say that bus is DEFINITELY HAUNTED if you ask me!!!!
20090304232429AA0itnS	Society & Culture;Etiquette	Why do guys on the street assume that my nice face somehow means I'll have a nice rear to go with it ?	on too many times, i see them twitch with disappointment as they turn to check my rear quarters and find that BABY DOESN'T GOT BACK!!!      i mean i don't mind the attention and stuff BUT where do they get that idea ????
20090304231949AAZlH0V	Society & Culture;Etiquette	How to write a letter to the Army Chief of staff and Secretary Army?	Please help me how to write a letter request or letter of appeal to get re-evaluated please.
20090304232924AAhdZSd	Society & Culture;Etiquette	How to approach someone invited to your wedding who dresses like a bum?	My cousin is a sweety but she wear the same t-shirt everyday that has holes in it and raggedy old sweatpants I swear for the last year and she doesn't brush her hair but I love her and want her there regardless...Do I just put on the invites formal attire required?
20070725105333AAhDHI3	Society & Culture;Other - Society & Culture	Eu achei uma nota de dinheiro estranjeira de onde sera?	na nota esta escrita emcima Turkiye cumhuriyt merkez bankasi
20070802072909AAQduxT	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Você sabia que, comprovadamente, Executivos Gays s?o melhores que Executivos Héteros?	Após cinco anos de sérios estudos , as conceituadas revistas norte-americanas QG e Details, juntamente com o renomado professor  Kirk Snyder, da USC, provou que os chefes gays tem um índice de satisfa??o e aprova??o de 35 à 60 maiores que dos outros chefes. Isso porque, segundo ele, os chefes gays conseguem maximizar a performance dos seus funcionários já que têm a capacidade de olhar cada indivíduo de forma única e perceber a melhor maneira de aproveitar as suas habilidades naquela fun??o. Kirk acredita que isso se deve a maneira com que os gays "sobreviveram" na sua adolescência e se adaptaram a uma "sociedade que n?o foi feita para eles". "Com isso ele se torna uma pessoa mais intuitiva, comunicativa e com uma grande capacidade de solucionar problemas", acredita Kirk. A Reinven??o a que os gays s?o obrigados no seu cotidiano para superarem a discrimina??o estimula a criatividade. Provavelmente deve ser por isso o fato de empresas abertas por gays irem pra frente, enquanto tantas...
20070419195854AAPAf7A	Society & Culture;Religion & Spirituality	How would an atheist write someones eulogy?	N/A
20070802074432AAB0ouY	Society & Culture;Religion & Spirituality	Vc já viu alguém mais pilantra do que aquele tal de inri cristo?	Prega mentiras que só quem é "tapado" n?o enxerga, prega espiritismo e quer ser "rei" e receber louvores, glória e honra deste mundo. Fica com aquela frescura de subir em almofada e conta piadas sujas. Será que pode continuar a enganar por mt tempo ainda? que cristo é esse que tem carro com chofé, vai em programas de tv para ridicularizar pessoas e ser ridicularizado e jogar boliche?  http://www.youtube.com/watch?v=3sHeoWneU...    e sinuca?  http://www.youtube.com/watch?v=_vsLr_E-r...       Dê sua opini?o.
20090304230428AAcHTwd	Society & Culture;Cultures & Groups;Senior Citizens	Can you survive without the computer and the tv and radio?	if yes, then how ?
20090304231009AAEtrHi	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why don't koreans living in america want to learn spanish?	why can't they speak the langauge??
20090304230309AABYIxd	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why is incest and incest related activites so trendy with teenagers today?	i am not being rude.  This is a serious question
20070706044812AAMxJlg	Society & Culture;Religion & Spirituality	Pessoas que nascem com defeitos físicos é falha do criador sobre a criatura ou dir?o que...?	a culpa sempre é do homem e Deus fica fora dessa discuss?o??
20090304225712AA812vs	Society & Culture;Mythology & Folklore	What do you think of real-wishes.com?	it's a site that supposedly grants wishes, but I think the law of attraction is involved too. however I don't think it's a scam because they're not asking you for money or your email, just donations.    what do you think? have you tried it?
20090304233504AAOsVCt	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Where can i find shemales in arizona?	does any one know where to find shemales in arizona like a bar of club they go to or where you see alot of them
20090304225749AA2mf6n	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why cant I ever meet people that have the same things in common that i do?	Work or School   I never meet people that like the things that I do or have the same views that i do why?
20090304230223AAIlb0d	Society & Culture;Etiquette	My step dad hates black people?	Ok well long story short, my best friend is black and i don't care but my step dad does eg. I invited her to there wedding as one of the bridesmaids but as soon as Steve (my step dad) saw her he freaked out and asked her to leave. Of coarse i left to. After wedding i asked why he dislikes her and he said 'Black people are dangerous and not to be trusted'. I don't believe this, In my opinion Black people are kind and are humans to but Steve doesnt seem to see that.      How do i deal with this?
20090304235033AAyAK2j	Society & Culture;Religion & Spirituality	Is satan an atheist?I think he supports the beliefs and ideals of atheism.?	N/A
20090304233329AAqGTdW	Society & Culture;Religion & Spirituality	What is the correct way to perform fard (necessary bath) after menses?	Please don't mention shia and sunni way. I just want to know how a Muslim is supposed to perform.
20090304233645AAjiDs5	Society & Culture;Religion & Spirituality	What are the similarities and differences between Dianetics and Psychoanalysis?	N/A
20090304234821AATQ7oi	Society & Culture;Religion & Spirituality	Are you a supperstition person?everyone thinks im crazy,most of the time,even when i proove it to them,?	like,for 1.the roosters crowing,in the middle of the nite,standing on the porch alday crowing,all my life i can bank on it,about 3days to a week before i loose a loved 1,then the roosters will start crowing at me,
20090304235449AAaKwN8	Society & Culture;Mythology & Folklore	What does it mean to a supperstition type person,if you see a white owl one nite an 2 nites?	a loved one dies,do you beleive in that kinda stuff?
20090304230356AALkEpb	Society & Culture;Languages	How do you say this in Japanese?	Thank you very much. I hope you have a great day, take care,  bye!!      you can give it to me in English forum or Japanese lettering; is preferable, Thank you.
20090304234801AAklSMn	Society & Culture;Religion & Spirituality	Who are we? Why are we here? and how did we come to here?	N/A
20090304225529AAWTUAW	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What are the most "Redneck" places in New Mexico?	Just Curious
20090304232233AAZ0gK0	Society & Culture;Religion & Spirituality	Is the antichrist supposed to take power before or after the rapture?	N/A
20090304235944AAwwcKx	Society & Culture;Languages	Where can I find Illonggo web sites of literary nature online?	I've been speaking this language for more than seven years but now I'm starting to forget since there is simply no one else around that speaks this language or literature to read.      Thanks.
20090304225935AAMqSsY	Society & Culture;Religion & Spirituality	People who have died and came back to life?	Im a Christian and im just curious about the people who say they've died and came back to life and seen heaven or hell. Is what they are saying true? Have they really seen it? What's a story of a person who did say he/she did. If you can please post websites referring to this stuff or videos.
20090304232231AA4ItYz	Society & Culture;Religion & Spirituality	What constitutes proof of God?	I have a couple stories, you can pick one as your minimal level of proof that God exists.  They're all true.      1. Last week on Sunday, my friend's mom died.  She was sick for a while.  Well, a week later, he came to church, as was his custom, and he sat next to me, which only happens once every few months.  I knew of his loss, and I felt that I should pray for him.  Usually I don't feel like praying at all, but I did it, and there were emotions there.  I asked that the music would touch him in his grief, that the words would dig deep and give him comfort.  Fast forward to today.  We attend a smaller group on Wed. nights, and he decided to tell the group how much the music on Sunday gave him comfort that lasted through the week.  I didn't ask him to say it, and he almost quoted my prayer, even though I didn't say it aloud.      2. My mom, three years ago, was in an ICU, and the nurse told us that we need to make funeral arrangements because people don't come out of the state she was in.  The doctor wasn't quite as grave as that, but he said there was a good chance she wouldn't make it.  Well, I was feeling pretty down, and I didn't really believe much in prayer, but I was starting to.  I at least had enough faith to ask my wife to pray for her.  She did.  My mom got well and left the hospital in the next two days.  She told us later that she heard my wife praying in her ear, but she saw her brother and mother, who had both died years before, waiting there for her.  She said she knew what was happening and decided that she didn't want to die.  I asked her, and she said that they were as real anything, not a dream.      3. JP Moreland tells a story, and it goes like this:   "I wrote a prayer request in my prayer notebook — a prayer which was known only to me. I began to pray specifically that God would provide for the two of us a white house that had a white picket fence, a grassy front yard, a close proximity to the campus (specifically, within two or three miles), and a monthly payment that was no more than $130." --- Long story short, he gets exactly what he wrote in his journal.  Google it.      4. Jesus cast out demons.  Mt. 9:24 But the Pharisees said, "He can cast out demons because he is empowered by the prince of demons."       If you saw someone acting crazy, we'd all say, "He has something wrong in his brain... a screw loose up there..."  If, pop, something snapped back into place, would you attribute that to human physiology?  Or would that be evidence that God healed them?      5. Peter made the lame man walk in the name of Jesus.      6. Acts 19:13      7. Jesus died in a public execution.  He rose from the dead and showed himself to hundreds of witnesses who died for their confession of this proposition.  There were people who saw the thing happen and didn't believe.      --      I have seen many people say that God has not shown himself.  It's true that He doesn't always make it obvious, especially if you're playing with fire (messing around, drugs, things you know to be wrong, etc.), but there are indications from time to time.  How much proof would you need to assent to the truth that God exists?  How much to bow your knee?  How much to match everything in your life to that standard?
20070419194639AANn4xt	Society & Culture;Religion & Spirituality	Christians, have you noticed that we are given much respect in R&S when it comes to prayer requests?	N/A
20090304233041AAryBoZ	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Choose a 'gothic lolita' dress for a boy to wear?	I'm a boy, and I'm thinking of dressing in a girl's dress for an upcoming costume party, specifically one in Japanese gothic lolita style. Which dress do you think I should go for? Pick out a wig and some accessories too!        http://www.fanplusfriend.com/servlet/the... 
20090304234241AAlHgea	Society & Culture;Cultures & Groups;Senior Citizens	Do you find the older you get the less you sleep ?	I know some meds make you tired,,but I cannot sleep without medication at least 3 nights a week and even then I never get more than 5-6 hours sleep even then.
20090304233601AAEBd6z	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why are we discriminated against so much?	Today, theres was this guy in college and he was sat there making fun of gay people. I then said "What have you got against them"? and he asked me if I was gay and I said Yes. He then looked at me like I was a complete weirdo and said something under his breath. Ever since he hasn't uttered one word to me. Why are us gays discriminated against so much?
20090304233213AArYDyq	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Japanese view of Americans?	I am currently a Japanese student and I believe that I am doing pretty well, at least with the reading a writing part. But I freeze and chock on my words when I speak it. I'm afraid of using it because Im afaid of being wrong. I wanted to know that when I get to Japan what people will think of me as I try to communicate with them in Japanese. Will they look down on me if it is not right? Or would I be sort of made fun of like they do to foreigners in America?
20090304234944AAOMnFB	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Older man? good idea?	I met this older guy through my sister ( shes in her late 20s ) this guy is in his late 30s.. i'm only 17 ( 18 in 2 months) i started talking to him on the phone, and txting. I have only met him once and i find him really attractive. i have never been with an older man. idont know what to do. :/ all the young guys ive been with have been clueless, selfish, and treat me bad. Should I take a chance..or is this wrong?
20090304233553AAhN4zf	Society & Culture;Mythology & Folklore	Does pray really help?	hi , sometimes i don't feel that i want to do a pray or even sometimes i feel that a pray doesn't even help as i heard from others that when u worry about something or you don't feeling well just pray and you will feel well , how can i keep praying and contacting to the LORD .
20090304232338AAaydK5	Society & Culture;Religion & Spirituality	Poisonwood bible-ruth may?	im creating a visual representation on the character ruth may for an english assignment   we need to gather 8-10 images to put on a photo story project   so far i have a cute little flower that represents her youth, innocence and cuteness   i have a green mamba snake because thats what kills her   i have a picture of a waterfall to represent her free spirit   and i have a picture of mary representing her faith and also because she looks up to her mother and mary is the ultimate mother figure      does anyone have any ideas for more pictures?   and also i want to put a song in the background   any ideas? thanks
20070606105907AATuIHp	Society & Culture;Other - Society & Culture	Armadilha. Vc já foi pego em algum tipo de armadilha? Já armaram uma contra Vc? Pode nos contar como foi ?	N/A
20090304231351AAf91yu	Society & Culture;Religion & Spirituality	Spiritually speaking, when you ask a question that voices your opinion...?	like, "Do you think this is the end of days? I do" and choose the "Best Answer" that corroborates your thinking, do you really choose the best answer or the answer that reflects the beliefs you've already concocted prior to asking?    In which case, why bother asking?    Why not change the question to, "I believe such and such. Explain why I think this way and I'll choose yours as the best answer"?
20090305000121AAJmS8p	Society & Culture;Languages	How do you say 'welcome' in Japanese?	I've been learning Japanese for 3 years and I still don't know how to say welcome! Please write in Romaji AND hiragana or kanji.
20090304232733AAW0lsK	Society & Culture;Religion & Spirituality	If I say that I'm a freelance monotheist, do you think it is a plausible option? How many people will join me?	N/A
20090304234417AANmEM8	Society & Culture;Religion & Spirituality	Why are so many people so easily mislead?	Where has reason and logic gone?
20090304231458AAyurJw	Society & Culture;Etiquette	Where are all my ladies at?	Holler
20090304230714AA7b7Uh	Society & Culture;Religion & Spirituality	Why would you (anyone) want to live forever in the afterlife?	I'm a Christian but I also have apeirophobia (the fear of eternity) and it is a real problem for me   I don't want answers telling me to be an atheist or other athiest ideology please!
20070720145455AAmpihX	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Living in the South, having to pick a side....?	I'm a very racially mixed city boy...I move to the south for job reasons.  I go to work, come home, go out to meet ppl but most of the ppl just aren't my 'type' just due to difference in interests.  Tried befriending some guys at work but most of them just kind of look at me funny and tell lame corny cowboy jokes or ask me to go to a 'rodeo' with them...(no way in hell am I going to a rodeo). Sorry thats not 'my cup of tea' I guess I should say.  Are there nice places in TX (specifically in the Houston area) that have decent acting ppl and good women?  Are there specific places that ppl from other places that live here hang out?  I tried going to some of the little local areas...and no.  Being very racially mixed I don't feel comfortable being around a clan of whites, blacks or Latinos.  Its like you have to pick a side out here and I just can't do that.  All of them are talking about each other and constantly making racist remarks about the other.  Can I get any positive feedback?
20090304231650AANJ2zR	Society & Culture;Languages	Chinese translation please?	mai you ni, wo xing li hen ji mo      What does this mean? My friend says it is "without you my heart is lonely" but he is unsure...
20090304234933AATd5YU	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why SHOULD Prop 8 be overturned?	1) It was passed by the voters TWICE      2) Judicial activism will turn our democratic nation into a nation run by tyrant judges.      3) Marriage is NOT about love. Marriages were historically for going up in social status, financial purposes, and a family.      4) This the people's government, not the judge's government. These judicial activists will nullify your write to vote!      5) What's next? Legalized polygamy, child-adult unions, human-animal unions, human-plant unions, human-fungi unions, and even human-inanimate object unions.
20090304231913AAMG1N4	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Who wishes Neil S would get out of the LGBT section?	I do because he really is ticking me off!!! He is close minded and an idiot.
20090304232002AAwza4k	Society & Culture;Religion & Spirituality	Unveiling is dangerous. when people see any unveiled girl, their desires arises in them.?	Modesty of one girl is safe when she is in veil. Suppose tow twin sisters, with same beauty and with no difference in their beauty, are walking on the street. One is veiled and another is unveiled. Tow miscreants are waiting for any girl to tease. So whom will he tease? Surely the girl unveiled.  In Europe this is common news that some time they are not able control themselves seeing their girls in sexy moods.
20090304233317AA3jmSf	Society & Culture;Other - Society & Culture	What do u say about the websites like pink world, Should they  be banned or not?	The Europe is spreading evil. nasty websites are the result of Europe.
20090304225827AAvQ6oh	Society & Culture;Other - Society & Culture	Do you know who is Alina Kabayeva?	If you do, do you agree with me that she is soooooooooo HOT?
20090304230234AABBJ4i	Society & Culture;Other - Society & Culture	If a deaf person has to go to court, is it still called a hearing?	N/A
20090304225938AAhmVra	Society & Culture;Other - Society & Culture	How important does a person have to be before they are considered assassinated instead of just murdered?	N/A
20090304225221AAAHkEv	Society & Culture;Religion & Spirituality	What is the truth behind the truth?	N/A
20090304230744AAoi1Or	Society & Culture;Other - Society & Culture	Hard Choices to make... What do you think?	Do you believe that we are going to have to come to a realization in this USA and around the world, that we cannot take care of everyone?       Or do you believe that we should help everyone no matter what the cost to our nation and those around the world?
20090304230847AAUttJz	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Its ok to do this right?	OK little moral dilemma here:      I have a biology project. We have 3 days to work on it in class. We MUST work with partners so ok im stuck with someone random. We do about 95% of the project in class and save it to his flash drive. Of the six Pages on it I did 4. And on the pages my partner did i had to edit/revise/review/add so i end up doing more than half of the work.      By now im buzzed out with all the work. On the 3 other days before the project is due we have to work on it at our houses. Now heres the catch.  I give him the flashdrive with the project on it. Said OK here it is you do the final works cited page and ill finish it off with the last page then print it since it has to be in color or you cannot read anything. The next day he comes back and i asked did you do it correctly MLA format nice and neat? He says no but he finished it. I told him i dont care your only doing one thing you might as well do it right . He takes it for one day. Doesnt show up for 2 days.      2 Days later when the projects due he isn't there. Now here's the biggest problem. #1 the project isn't finished.#2 We NEED to print it out in color on another printer or its ineligible. So i tell my teacher "Well he;s absent and he has it" so i do the ENTIRE project that night the entire thing works cited page and all and turn it in. Then he shows up that day. I asked him where he was he said and i quote   "I was in the hospital My mom died"   I ask did she really?   "No"   So he;s making jokes right now   me- So why werent you here we needed to finish it   Him- Oh i just didnt feel like going to school   me- So you couldnt stay two @^%! Periods and given it to me and left and went to the nurse.       Now let me tell you something this project will make up my entire grade at this point and he basicly ****** it up. He said he finished the other one on the flash drive but he neglected to remeber that we needed a color printer (which they do not have at my school)  and that we needed an extra page. I didnt put his name on the one i wrote so he;s getting  a zero on his.      That ok right?      Sorry if im not clear enough
20090304225032AAerSwc	Society & Culture;Religion & Spirituality	I'm a jewish christian can i become a fireman?	N/A
20090304225118AAoOrXF	Society & Culture;Holidays;Other - Holidays	What did you do for your daughters first birthday?	N/A
20090304225345AACQP6U	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What has or can be done to stop indonesian militant groups from harming any other innocent people?	HELPPPP!!! ASAP! please answe with as much info as you know. thank you!
20090304225404AAEFeIY	Society & Culture;Religion & Spirituality	Does anyone know of a gud spiritual guru?	N/A
20090304225440AAH0R51	Society & Culture;Other - Society & Culture	Shud black peepo hav mo rytz den whie peepo?	i nid a gud anser
