20070124155033AATIYG7	Sports;Football (American)	Where can I get a URL for a picture of mine?	(the picture is large..fits my computer screen)
20070619175845AAhM85H	Sports;Baseball	Cuales son los mejores peloteros del mundo, y de que nacionalidad son?	para mi esta claro que los mejores peloteros del mundo son los dominicanos y todo el mundo lo sabe. de la republica dominicana salen los peloteros mas famosos del mundo y los mejores pagado. en el a?o 2003, la sifra exacta de los salarios dominicanos en las mayores es de 224,584,713.00 millones de que a la tasa cambiaria al día de hoy significan 9,994,019,728.50 de pesos dominicanos, cerca de la quinta parte del Producto Interno Bruto nacional correspondiente al a?o 2003 (496 mil millones de pesos). y en el a?o 2005 y 2006 la republica dominicana ha lanzado a las grande ligas y a la AA y AAA 100tos de peloteros excelentes como para continuar siendo de los mejores pagado del mundo. si unen los peloteros dominicanos y reunen todo su dinero, tendrian para comprar un pais entero o todo el caribe. gracias a dios por hacer de los dominicanos el orgullo del caribe y el orgullo del baisbol mundial, simepre hemos representado a los latinos,gracias a los dominicanos. arriba la rep. dominicana!!!
20070621202810AAMPj0X	Sports;Wrestling	I need help with something?	wat day and time and prgram does WSX come on?
20070627180312AASC2Hn	Sports;Handball	?Cuáles son las categorías en las que se dividen por edad en el handball?	Yo ya las se, porque juego handball desde que tenía ocho a?os, pero igual quiero saber que tan inteligentes y cuanto saben sobre handball o balonmano ustedes
20070627182706AAMaO8i	Sports;Other - Sports	Atleta, se hace o se nace?	mucha gente lucha por llegar al deporte de alta competición, sin embargo otros con poco esfuerzo llegan...
20070627200423AArpCSR	Sports;Other - Sports	?Es malo alzar pesas a mi edad?	hola tengo 16 a?os recien cumplidos la semana pasada, mido 1.70cm  alzo pesas de 45libras para pecho y  para brazos 30libras, consumo proteina de soya,-------?todo esto es malo para mi edad?
20070801103315AALuvSf	Sports;Handball	?Cual es la labor del centro?	?Qué es lo que tiene que tener de especial el centro para jugar esa posición?
20070627215507AAJKjdJ	Sports;Fantasy Sports	How's my pitching?	12 team 5x5 h2h      SP Roy Halladay, Jeremy Bonderman   RP Francisco Rodriguez, J.J. Putz   P Jonathan Broxton, Erik Bedard, A.J. Burnett, Gil Meche, Jeff Francis, Yovani Gallardo      I traded Chase Utley for Brian Roberts and Bedard, because I thought my starters were a little iffy outside of Halladay and Bonderman. Should I drop Francis for someone like Pat Neshek to bolster my WHIP and ERA? Any other suggestions would be helpful.
20070705164959AA1egL1	Sports;Basketball	In 1995,1996, and 1997?	the golden state warriors passed up on kobe bryant, kevin garnett, and tracy mcgrady for three players who never were allstars.. how do the warriors fans feel about that?
20070708073858AAPel0i	Sports;Other - Sports	What's the song the girl singing ?	please,write with the letters I use,cause I'm french and I don't understand your alphabet ^^ thanks !    http://youtube.com/watch?v=KH8B6R25pC8&m... 
20070710192433AAngEHm	Sports;Basketball	How many games will the following teams win next season?	San Antonio Spurs   Detroit Pistons   Chicago Bulls   Los Angeles Lakers   Charlotte Bobcats   Seattle Supersonics
20070713072023AAywAqE	Sports;Other - Sports	Con la bicicleta, se queman grasas en todo el cuerpo o solo en la parte baja?	N/A
20070718204200AAOUFwu	Sports;Wrestling	Awesome G.A.B developments?	W000000t TRIPLE THREAT, THE ANIMAL, THE BIG RED MACHINE, THE GIANT!!!!!! Dont know why i'm so exited, maybe because things like this never happen anymore, its always just something about Cena. WHOOOOOO
20070720144807AArnTiT	Sports;Other - Sports	Do you think I'll make a good defensive end?	I'am about 6'0 I weigh about 175 pounds I squat about 275 to 315 power clean about 185 and pench press 170. Do you have any tips that will help me out asking experienced people only any opinions are welcome I also play tight end all answers are welcomed thanks
20070726141819AAwre85	Sports;Wrestling	Why do wwe fans go on and on about john cena? is he a god to them?	and who do cena haters want to see beat him?
20070730111852AAq8HNx	Sports;Fantasy Sports	Anyone interested in joining Keeper/Dynasty league ??	its an ESPN LEAGUE ..its a FREE keeper league ....10 teams H2H ....draft day and time is undecided....only competitive and serious managers wanted ..please leave email so we can send u invite to join league  ..its a Live Draft that will started when the league is full ..so leave ur email so we can get the Keeper league started ! ..thanks..
20070731134049AA0tKe6	Sports;Handball	?Jakson Richardson o Talant Dujshevaeb?	Dos cracks del balonmano mundial
20070731193256AAcHixe	Sports;Fantasy Sports	Arod(mine) + either guthrie or perez for haren?	is that a good deal? if u guys need my team here:  http://answers.yahoo.com/question/index;...       arod has been a total douche   thanks for all the suggetions!
20070731194306AASL8Zx	Sports;Fantasy Sports	Should i pick up brad lidge or matt capps?	my current closers are takashi saito and jeremy accardo
20070801123712AASmThy	Sports;Baseball	How do you get autographs at angel stadium?	I'm going to a red sox vs. angels game this season at angel stadium, and i was wondering how to get autographs from the Red Sox.  I hate the angels.  I really want David Ortiz's autograph.
20070801130908AAkBaOL	Sports;Basketball	How do I get Kobe Bryants autograph during the off season?	N/A
20070803100326AA2UmR6	Sports;Wrestling	Are snitsky's teeth real or does he do like that movies special effect thing on em?	I'm mean seriously nobody has teeth that bad, and what about his acne, did you see its now spreading under his chin.
20070803123723AA9188G	Sports;Basketball	Will Celtics finally be good with Garnett?	some key additions may change things but do u think they can turn things around
20070814022201AAaBbQO	Sports;Wrestling	Shawn Michaels Video..?	Finally, after 1 hour of hard work!! i came up with this...   about HBK.. rate and comment if you want!! :D      what do ya think??       http://www.youtube.com/watch?v=mZOE3bzxt... 
20070826220147AAZNFe8	Sports;Wrestling	DX still alive?	i thought that DX was over, but at first, HHH said ARE U READY? and then while wrestling in ring, he did the DX suck it thingy a couple of times, does that mean when HBK comes back, they will be together? if yes, yayyyyy, oh and HHH really needs to add 20 more pounds lol, including working on the abs, and he'd the best best best ever.:d
20070828161631AAAjfS2	Sports;Fantasy Sports	Trading Big Ben?	I want to get rid of Ben Rothlisberger, who would be some QB's, RB's, WR's I could get for him.  I don't have any glaring holes in my team but I don't need him.  Thanks for Your answers.
20070901165713AAte6iw	Sports;Basketball	This is a basketball question...?	ps. I ain't really KING's Brother
20070903180532AArGZgh	Sports;Football (American)	Seats at Lincoln Financial Feild. Section 106.?	I just got tickets to the linc. This is my first game and i want to get good tickets. The seats are in section 106, do you think these are good seats. Tell me your thoughts.
20070915140035AAaPJlz	Sports;Basketball	Who do you think will win th NBA Finals?	N/A
20070920152206AAVedKY	Sports;Martial Arts	O que acham melhor para praticar >> Jiu jitsu, karatê, jud?  e porquê ?	N/A
20070927210604AAPXCZv	Sports;Football (Soccer);Other - Soccer	Por que Dunga nao convoca Adriano ou Ronaldo?	Ae pessoal...Vcs viram a convocacao de Dunga?      Mesmo depois do fraco desempenho de Vagner love , ele ainda foi convocado!! DE NOVO!!!       O atacante ronaldo do milan perdeu 13kgs desde a copa de 2002 fez 7 gols em 14 jogos. (mas ta lesionado) Ele com certeza e melhor que Vagner.      E adriano? Por onde anda? O cara e um craque meu! como pode ta de fora?      Esses 2 sao muito melhores que Vagner love. Dunga podia dar chances a eles.      E o tal do afonso nao posso falar nada pois nao conheco.      Mas se tem 1 cara q nao faz falta. E vagner love ah...e tem o tal do Elano tb. Esse consegue ser o pior de todos!       Eh um jogador no meio campo que nao sabe marcar e nem criar e nao tem habilidade pra driblar.
20070929023850AAMQa8p	Sports;Other - Sports	Tengo calambres en las piernas ?ME URGEN QUE SE VALLAN! ?Cómo me los quito?	Hola. Soy el de las aguejtas de nuevo. O calambres, vamos... Eso, ayer estuve haciendo mucho deporte, y como no estoy acostumbrado a tanta actividad, pues hoy mal, me duelen las piernas... Además, esta tarde he quedado para jugar a los bolos, y no puedo ni agacharme a por la bola, con que imaginate para lanzarla... ?AYUDA! Por favor, seguramenten o iré a los bolos más en todo el a?o  ;(
20090202122904AA9dJ1u	Sports;Football (American)	How about superbowl commercials..was there any good ones? not!?	N/A
20090202122839AAmWTu6	Sports;Basketball	Will Kobe Bryant turn back into a ballhog without Andrew Bynum?	N/A
20090202125544AAtGHg4	Sports;Football (American)	What was that one commercial at the superbowl called?	uhh it was about some random guys comes in and shouts like superpep or pepsuber? idk my friend wanted me to see it and i looked up suberpep superpep exc:; but nothing HELP!    **o and if you could give a vid, im sure tht would win u 10 pints. wink wink kundge kundge!
20090202124556AApGgQq	Sports;Basketball	This will determine who is better ... LeBron or Kobe ... answer each with honesty?	Better Scorer: Kobe   Better Speed: LeBron   Better Strength: LeBron   Better Leadership: LeBron   Better Hustler: LeBron   Better play maker for teammates: LeBron   Better Ball Handling: Kobe   Better ability to attack the basket: LeBron      Bron wins for me. 6/8.       No "Neithers" or "Ties" ... this will officially determine who is better: LeBron or Kobe, to shut down all the people who think "LeBron is better than Kobe" or "Kobe is better than LeBron".
20090202123950AA6aEdO	Sports;Football (American)	Rank these 5 RB's from the best to the worst ... in your opinion?	Michael Turner   Brandon Jacobs   Willie Parker   Thomas Jones   Frank Gore
20090202131420AAMZVxO	Sports;Running	Looking for tips on running for weight loss?	What are some good tips on running for weight loss besides the obvious, "You need to run."    Thanks - Coach Tief - http://www.tips4running.com/
20090202130306AAFibJx	Sports;Football (American)	Who would you rather have Santonio Holmes or Desean Jackson?	both are speedy recievers, both have the number 10 and both are really good returners. i got to go with Desean. Santonio is still a heck of a reciever
20081027231051AAb3j9q	Sports;Football (American)	At the Saints/Chargers game in London, do you agree with the safety at the end?	When I first saw Brees snap the ball on 4th down and run backwards 20 yards, I was like WTF is he doing?  Well ok I understand why he took the safety, to waste a few seconds off the clock, and to have better kick coverage.  However I still disagree with what the Saints did.  I mean what if the Chargers actually scored a TD at the end?  They would have won the game, and it's all because of the safety.  I have never seen this situation in all my life of watching football.  What do you guys think of this and what they did?
20081031112302AAlViba	Sports;Basketball	What NBA team will win it all this year?	i really don't know who will but i don't want the celtics to win again and people are saying cavaliers have a chance cause of james. i think the hornets might have a chance too
20090202125126AA2CtnY	Sports;Basketball	This question is for real NBA fans?	Who do you think is:   The best man to man defender ever?      N 1 more question :   put these players frm best to weakest:   Rudy gay   kevin durant   shawn marion   kevin martin   ray allen
20090202124526AAXYS8c	Sports;Snooker & Pool	How can i get candle wax off my pool table without ruining the felt?	im trying to sell it brand new
20090202130807AAmSSg3	Sports;Basketball	Serious Thoughts on College Games Tonight?	Who do you guys think will win tonight (non-bias would be nice)?      Connecticut @ Louisville   Kansas @ Baylor   Butler @ Green Bay
20090202123956AAStmUA	Sports;Hockey	Am i dumb for not knowing Jarome Iginla was black?	I just found out he was....      did anyone else not know he was black?
20081116091628AAeDnWC	Sports;Hockey	Who is better- Lundqvist or Luongo?	Which goalie is looking better.  Both goalies are having a great season, but I have to give it up for Lundqvist, hes looking phenomenal
20090202125940AAs6XIx	Sports;Football (American)	Does anyone else think the NFL is a bit of a conspiracy?	Even just a little bit?
20081110073559AAWzPL7	Sports;Baseball	Who wins the Rookie of the Year Award?	National League:  Joey Votto   American League:  Evan Longoria 
20081105161147AAK3jC5	Sports;Wrestling	Ring name help please for when i wrestle my friends?	My name is Samantha or my friends call me Shadow my last name is Wied (Weed) and i am 5'9" and i weigh about 106lb and i am very hyper active and high flying i have brown hair and greenish eyes or tiger eyes please help
20081006080441AAB6kRa	Sports;Football (American)	In your opinion, who was the toughest and meanest player in NFL history?	N/A
20090202130430AAIh8t1	Sports;Football (American)	Why did some players say their high school rather than their college? (Super Bowl - NBC)?	In the player introductions, each player said his name and school. But Justin Hartwig said "Justin Hartwig - West Des Moines Valley" instead of "Justin Hartwig - Kansas." Why? Is he ashamed of Mangino's girth? I believe other players said their high school too.
20081114183615AAEdMIw	Sports;Wrestling	Whos better edge,chris jericho,randy orton or matt hardy?	Bq:who thinks the truth(t) is gay and needs a life?
20080930113201AAaSaOj	Sports;Fantasy Sports	Trade for steven Jackson?	do you think i should give up Roddy White and felix Jones for Steven Jackson?? My WR's are Reggie Wayne, Tj houshmanzadeh, Desean Jackson, Dwayne Bowe, lee evans and Roddy White. My RBs are Brian Westbrook, Willis McGahee, Felix Jones, Chris Johnson, and Correll Buckhalter. will this help my team??  He has Barber, Lendale White, MJD, and Micheal turner along with Jackson and hes ready to deal.
20090202130526AAFCubz	Sports;Surfing	Does boys like surfer girls?	I don't know i surf and i just wanted to know. but for me lots of boys like surfer girls. because there always in their bikini.
20081116062910AAarIjP	Sports;Football (Soccer);Men's Premiere Leagues (UK)	" Yes we can " (Arsenal fans) ?	In the words of Barack Obama  Yes We Can.      (Win the league)
20081004142844AATPbUC	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Voc n?o acha que a torcida do Manchester City exagerou ao afirmar que Robinho  como um Deus?	Olha que o Robinho disse:  - As pessoas me reconhecem o tempo todo na cidade. Eles s?o muito gentis comigo. Dizem-me grandes coisas e este tipo de motiva??o  muito importante para um jogador de futebol. Eu j sou um deus e eu n?o fiz uma coisa! Mas a minha vontade  a de pag-la de volta, para mostrar a minha gratid?o com os torcedores, com timas atua??es e vitrias - afirma em entrevista ao jornal britanico "The Sun".  Ser que isso  uma forma da torcida do City cobrar uma melhor atua??o do Robinho durante os jogos?  http://globoesporte.globo.com/Esportes/N...
20080429095225AAcEaD3	Sports;Football (Soccer);Other - Soccer	Qual o seu time do cora??o? Por quê?	N/A
20080130043913AA832B7	Sports;Football (Soccer);Brazilian Football (Soccer)	Como ir de copacabana até oo estádio engenh?o?	N/A
20081027225723AAVU4YJ	Sports;Football (American)	NFL Week 9: Sun, Nov 02 your predictions??	NYJ @ BUF    DET @ CHI    JAC @ CIN    BAL @ CLE    TB @ KC   HOU @ MIN      ARI @ STL      GB @ TEN        MIA @ DEN   DAL @ NYG   ATL @ OAK    PHI @ SEA        NE @ IND        Mon, Nov 03     PIT @ WAS      pick the team that will win each game....only people that know about football make picks.......
20081026054154AAYjfYX	Sports;Football (Soccer);Brazilian Football (Soccer)	Um jogador de futebol pode fazer amor antes de uma partida de futebol?rs?	tenham um lindo dia amigos lindos!   é uma perguntinha curiosa,rs   para quem preferir eu pergunto se um jogador pode ter rela??es sexuais antes de uma partida de futebol?
20080120063324AAkVBRX	Sports;Other - Sports	Qual é o sálario de um Ranger (Juiz de paintball) ???	Eu gostaria de saber qual é o salário de um Ranger, pois estou enteressado em uma vaga num clube próximo minha localidade, já comecei a negociar, mas n?o sei bem o salário, serei grato quando me informarem!
20071202200545AARy956	Sports;Fantasy Sports	Você gosta de paintball? Sabe as regras? Quais músicas ficam legais pra se ouvir jogando paintball?	Me digam 3 regras de paintball, e me digam músicas ai que ficam maneira jogando paintball,   tipo,   vo montar um clube, e gostaria de saber coisas do gênero!   grato a todos!
20080403095117AAhtvbV	Sports;Olympics	Tesina fiamma olimpica?	sto iniziando a cercare materiale per la mia tesina che sarà sulla fiamma olimpica: non riesco però a trovare cn cosa si alimenta la fiamma, in particolare quella della torcia di Torino 2006. Qualcuno lo sa?
20081023071056AAKyO81	Sports;Baseball	Who will win the world series 2008?	I believe that the phillies will win...GO PHILLIES!!
20081004144038AAJMIkB	Sports;Other - Sports	Que esporte voc gosta de praticar algum esporte(volei, futebol,etc)?se gosta,como voc brinca com seus amigos?	N/A
20081115165507AAABoZk	Sports;Football (American)	What position should I play next year?	This was my 1st year playing football and i played wide receiver. I only caught one pass for 2yds all season, during a jv game.  All year, even in jv games and when the jv players got to play at the very end of varsity games, i was always passed up by my coaches for other receivers. I have bad vision, which led to me having bad hand-eye coordination.  Because of this, I'm really bad at catching the ball; in fact, the one time i caught it in a game, i was so shocked that i caught a pass that i forgot to run and got tackled after 2 yds.  But anyways, next year is my senior year, and I'm afraid I'll never get to play at wide receiver.  Next year there will be five juniors, probably five juniors, and me and one other senior at WR. I'm about 5'11", between 145 and 155 lbs, not very strong, not a very good blocker, and moderately fast.  Taking into consideration my "disability," what position should I play? (By the way, there are already four CBs in my grade and 2 in the year behind me).
20080706151710AAlgTzB	Sports;Basketball	What do you think of the new Knicks?	personally i think they will be better but i don't like it. Plus i want them to be bad so they can draft Tyler hansbrough (AND I'M A HUGE DUKE FAN) then trade David Lee for Lebron.
20080930113223AAPDYyj	Sports;Fantasy Sports	Who to start at qb week 5 ??                         ?	i have to start 2. my choices are warner at home vs bills or rodgers st home vs ATL. I am going to start Brees at home vs vikings. which one of the other 2 should i start??
20081002150546AAW40Tt	Sports;Baseball	Who will win the baseball awards this year?	Here are my picks.      AL   MVP Dustin Pedroia   Rookie of the Year Evan Longoria   Cy Young Cliff Lee      NL MVP Ryan Howard   Rookie of the Year Geovany Soto   Cy Young Brandon Webb      What do you think? What are your picks?
20081005065300AAYIyfr	Sports;Martial Arts	What happened to ken shamrock?	Why did he not fight Kimbo Slice??
20081017135016AAA3lxR	Sports;Fantasy Sports	Who to start at tight end?	I got Tony Gonzalez and Anthony Fasano
20090202124910AAcJpzv	Sports;Football (American)	What makes you hate the broadcasters that you hate?	If there are any that you like, why do you like them?          Trying to become an MLB or NFL network play-by-play buy here, any suggestions for me? I think I know to get internships, get my foot in the door, do as much broadcasting stuff as possible. Did I leave anything out? Thanks,
20081116063004AAiO7Gj	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Should Rafa drop keane or......?	have him and torres both on the same team in Sacfrice either alonso or masherano....   Any ideas on how you can get torres and keane to play on the same team???
20081116020911AAIJi9K	Sports;Football (Soccer);Men's Premiere Leagues (UK)	Which Man Utd match is this?	This was the first match i saw when I started following Man Utd and i cant remember who it was against. Remember - this match took place in the LAST season. Here are the details:   - Man Utd were leading 2 - 0 within the first 20 minutes   - Rooney scored the first goal with a header (from a corner).   - It was, Most probably, a 4-0 victory. Nani scored too I think.   - It was a 17:00 (give or take half-an hour) kick-off.      I have a feeling it was between December 2007 to Feb 08. Help please!
20081004010805AAEvNJU	Sports;Fantasy Sports	.........................fanta… hockey........................…	   hows my team?   C   Brad Richards    (Dal - C)  - -    C   Marc Savard    (Bos - C)   - - - -    LW   Henrik Zetterberg    (Det - LW)  -    LW   Rick Nash    (Cls - LW)      RW   Milan Hejduk    (Col - RW)  - -    RW   Jonathan Cheechoo    (SJ - RW)  - -    D   Sergei Zubov    (Dal - D)  - - - -    D   Pavel Kubina    (Tor - D)   - - -    D   Kris Letang    (Pit - D)  - - - - -    D   Mark Streit    (NYI - D)   - - -    BN   Ron Hainsey    (Atl - D)   - -    BN   Ryan Smyth    (Col - LW)  - - - -    BN   Tomas Plekanec    (Mon - C)   - -    BN   Pierre-Marc Bouchard       G   Marc-Andre Fleury    (Pit - G)  G   Carey Price    (Mon - G)  GBN         
20080229174902AAPLuAO	Sports;Basketball	Does anybody have any upperdeck starquest codes?	HELP PLEASE!!!!!!!!!!!
20080229165934AAlVHdT	Sports;Basketball	How do you get autographs before the game at a clippers game? During Shootaround.?	N/A
20081005145050AAwvpkT	Sports;Football (American)	Why don't the bengals use Chad johnson?	He doesn't get thrown too, i'm confused.    I'm a vikings fan, so i don't watch many Bengals games, but why don't they utilize him more.   I don't think he's been thrown too once in the game today against the cowboys... is he going to be traded soon or is he just washed up?      Is he going to be traded for sure in the offsetting?
20081018131505AAml76n	Sports;Football (Canadian)	How can I watch cfl on dish network.  what channel?	dish 119 or 110?  
20080314110308AAAfuCk	Sports;Outdoor Recreation;Other - Outdoor Recreation	Yo i just got this Tippman 98 custom paintball gun i wantto no is this gun powerful?	ishot it threetimeit looks good to me.
20081005182013AArHENp	Sports;Hockey	Trying to find value on proset hockey card for 1990 alex delvecchio # 652 cpl?	I looked on beckett.com found card but couldn't find a value.
20080329201246AA2bveb	Sports;Wrestling	Lutas da wwe sao farsas ou verdadeiras?	N/A
20080330162538AARAfPX	Sports;Wrestling	O que vcs acharam daquela "cerim?nia de enterro" do Undertaker de ontem(Sabado)?	Pena q Taker naum deu o Tombstone no Edge...mas hoje ele acerta no wrestlemania XXIV      16-0!!!!!!!!!!!!!!!!
20080331085136AAPGDAp	Sports;Wrestling	Undertakertaker!!!!!!!!!!!!!!!…	Ele venceu!!!!!!!!!!!!   EDge tomo o Piiiiiiiiiillllaaaaooooooooooooooo   Desculpem o ataque histerico mas é q sou muito f? dele
20080330160458AACx3oF	Sports;Wrestling	Quem aqui assiste wwe?	N/A
20080330201424AAAQU1Z	Sports;Wrestling	Galera ngm ainda tem nehuma noticia do Wrestlemania nao ?	Sera que o Under venceu ? eu to torcendo.   e o SBt vai passar o wrestlemania sabado ou vai passar o Raw e o SD! mesmo ???
20090202123153AAiBpmT	Sports;Football (American)	How many Superbowl champs played on national championship team?	I know of one from last night. Limas Sweed played for both Texas and the Steelers. Just wondering how many others have done it.
20090202125620AAroEzc	Sports;Other - Sports	I neeed help with my kick flips i can only land them if i sex change ?	i cant land a normal kickflip and i need help
20090202130646AAuO0Ws	Sports;Winter Sports;Curling	Which burton fleece will be the best for midlayer?	I'm snowboarding and looking for a mid layer to keep me warm all day. I prefer burton brand. thank you.
20080501051939AA1c1Oo	Sports;Football (Soccer);Scottish Football (Soccer)	Does anyone know if there will be a lma manager 2008 coming out on the shelfs?	N/A
20080503112923AAPDaGk	Sports;Other - Sports	Flexability?	what can i do so i can be more flexibale???? what can i do to do a perfect split???? cartweels???
20080701015408AAL6YLl	Sports;Football (Soccer);Other - Soccer	Secondo voi chi è stato il calciatore migliore di euro 2008?	Secondo me Roman Pavlyuchenko
20080708085511AAVMH6q	Sports;Football (Soccer);UEFA Champions League	Who is Liverpool′s Nikola Saric?	Would you like to know about him?       http://footballchampionsleague.blogspot.... 
20080709235930AAnUEw7	Sports;Basketball	Who will most likely to shine? rose, beasly or mayo this coming nba season?	N/A
20080710020341AAFgRIn	Sports;Football (Soccer);UEFA Champions League	Is Athletico Madrid just change their owner ? It's look like they want to buy a lot of expensive player ?	I know they qualified to ECL next season      Already buy G.Coupet      Looking to buy D.Villa and Rafael Van Der Vart
20080710061156AA2QzEd	Sports;Football (Soccer);UEFA Champions League	Don't you reckon Deco looks like the lead singer of Hoobastank?	ive been a barca and chelsea fan since deco played for barca   i also liked the band hoobastank   and i reckon deco looks like the vocalist of hoobastank douglas robb      tell me ur opinion =]
20080811142345AA1yzgs	Sports;Football (Soccer);Brazilian Football (Soccer)	Gente esse comentarista Neto, fala muita besteira!!!!!!!!!	Ainda  pouco ele comentou no BandSports que Ronaldinho Gacho n?o joga nada!    Ser que ele  maluco ou ele n?o entende nada de futebol e est exercendo a profiss?o errada?    
20080827192319AAF9Y1x	Sports;Football (Soccer);Brazilian Football (Soccer)	?Que me Pueden decir de Thiago Nevez, jugador del Fluminense?	N/A
20080927082126AApWzJ4	Sports;Wrestling	Who really thinks Valdemar is truly unbeaten?	I know for a fact that he was beaten by Jeff Hardy at A ECW/Smackdown live Show on September 13,2008, in Monroe,Louisiana. I was there and seen it with my own two eyes.
20080927082308AA32c8o	Sports;Wrestling	Who will be the next Champions in WWE?	Mine: Next:      WWE Champion- Jeff Hardy   United States Champion- R-Truth   WWE Tag Team Champions- Jesse and Festus   Divas Champion- Natalya      ECW Champion- Finlay      Worldheavyweight Champion- HBK   Intercontinental Champion- Kofi Kingston   World Tag Team Champions- Cryme Tyme   Womens Champion- Candice Michelle
20080927084816AAv8bIz	Sports;Wrestling	Do you know the latino wrestler savio vega?	is he good?
20080930105707AAVWtbH	Sports;Fantasy Sports	Good trade?Fantasy Basketball ?	i give kobe and fisher    and i get Wade and Deron williams      also please rate my team 12 team league   My team   1. (1) Kobe Bryant     2. (24) Dwight Howard     3. (25) Carmelo Anthony     4. (48) Michael Redd     5. (49) LaMarcus Aldridge     6. (72) Tyson Chandler     7. (73) Raymond Felton     8. (96) Jameer Nelson     9. (97) Mike Conley     10. (120) Ramon Sessions     11. (121) Andray Blatche     12. (144) Boris Diaw     13. (145) Derek Fisher     
20080930110905AA4WX6c	Sports;Fantasy Sports	Who should i start on my fantasy team?	i dont know which six to start      Matt Forte   Reggie Bush   Joespeh Addai   Steve Slaton   Reggie Wayne   Randy Moss   DeSean Jackson   Bobby Emgram         I can start ANY of those SIX, who would u start? im thinking 4 headed RB monster and reggie wayne?   my matchups r soo sick, all my RB are facing sum of the worst run defenses in the league, except bush playing Vikings..
20081002150206AApxiA6	Sports;Fantasy Sports	Brandon jacobs for TO?	is this a good trade for me
20081002144359AA9AUt4	Sports;Baseball	Who is the favorite for the world series. The matchup and the champs?	N/A
20081004130935AAMqW7t	Sports;Other - Sports	Como ganho massa, sendo que antes de ir  academia eu pratico um tipo de luta (intenso)?	No meu unico tempo q sobra eu malho e treino um tipo de luta.No intervalo entre os 2 treinos, s como uma barra de cereal, tenho 18a 175  68kg(7% de gordura),   treino 1h30 dessa luta e 1h30  2h na academia.n?o tomo suplementos porem como clara de ovo e macarr?o(ps treino). eu parei por uma semana o treino de luta e tive ganhos de peso mais ? qero parar, cm devo fazer?
20081004153717AAMg2ok	Sports;Football (American)	Why does Michigan's quarterback pause and look to the sideline before each snap?	Michigan is running a no-huddle spread offense for the first time this year.  However, almost every time the team comes to the line to run its play, the QB pauses, looks to the sidelines, and then runs the play.  Anyone know why?
20081005093135AAZgSOb	Sports;Fantasy Sports	RB Week 5: Ronnie Brown or Portis?	Who should I start????
20081005122353AAWxeKz	Sports;Football (Soccer);Brazilian Football (Soccer)	Para você, qual é a revela??o deste Brasileir?o?	N/A
20081005123441AAWxNol	Sports;Football (Soccer);Brazilian Football (Soccer)	Quem é o craque do Brasileir?o 2008?	Eu voto em Diego Souza do Porco
20081108150151AAc1W6p	Sports;Football (Soccer);Brazilian Football (Soccer)	Se você n?o gosta das perguntas ou n?o se interessa pelo assunto por que vem aqui ofender aos outros ?	N/A
20081005150201AAcFiho	Sports;Football (American)	When will michael vick be able to come back to nfl?	N/A
20081006071503AAZ1iQn	Sports;Baseball	What song do they play at US Cellular, when Bobby Jenks comes in the game?	Come on Sox fans, help me out, its the song with the "Boom" in it
20081008215906AAT7czy	Sports;Fantasy Sports	Week 6 FFB Questions Plz Help?	Who To Start Week 6      Coles Or Desean Jackson Or Colston If He Plays      Z Miller Or D Keller      Which D/ST To Pickup      Saints Jets Or Redskins      And Who Wins Week 6 In Ur Opinion TEAM A OR B      TEAM A      QB Campbell   RB Forte Slaton  Flex Coles Or Desean WR T.O And Burress TE Miller Or Keller  D/ST One Of The 3 As Listed Above   K Kaeding      TEAM B      QB Palmer    RB Grant  Addai And Rudi J  WR Calvin Johnson And B Edwards  TE Gates  D/ST Cowboys  K  R Gould      Who Wins For Week 6      Thanks   
20081011172424AAM0DcV	Sports;Football (American)	Whats the best TD celebration of all tim?	if you have new ones feel free to say them      best one gets 10 points
20081012162828AAlSO3T	Sports;Boxing	In Boxing does the ref count up to 10 or down to 10?	Pretty simple but I've been looking for the answer on the net and I suppose everyone must think it's common knowledge!      But yeah, like when the guy is on the ground does the ref count up to 10, or down to 10?
20081012185219AAwNqTR	Sports;Other - Sports	IDEAS ON HOW TO RAISE MONEY?	I need help with finding ideas on how to make money. I have a competition for gymnastics and we are required to pay for traveling costs plus other additional fees. Any ideas on how to make this money? I'm grateful for any help that I can get. Thanks!! : ]
20081013104136AAECQ83	Sports;Baseball	Does anyone think the Tampa Bay Rays can beat the Red Sox to advance to the world serireis?	series--lol   
20081017135116AAsXz3Z	Sports;Fantasy Sports	Should I start Rivers or Big Ben for week 7? ?	Rivers is up against Buffalo  Ben is playing Cincinatti
20081024064227AAjxRcl	Sports;Football (Soccer);Scottish Football (Soccer)	Having noticed thousands of vacant seats at Celtic park?	will the suckers be hit with another share issue.
20081103142303AA2FGbL	Sports;Football (Soccer);Men's Premiere Leagues (UK)	My giggs said he'll leave me if Man utd lose to Arsenal: What are my chances?	 can u give me predictions?      and tell me if uve seen my giggsy?
20081104174656AAq2Ute	Sports;Wrestling	Raw was not good last night who agree?	i think smackdown ALL STAR KICK OFF was way better
20081111073341AA97iU9	Sports;Water Sports	Quais sao as cerificadoras de Mergulho mais aceitas no Brasil e Mundialmente ?	N/A
20081111103442AAkONRd	Sports;Football (American)	IF the MIAMI DOLPHINS accomplish the AMAZING TASK of making the playoffs: Could Chad Pennington be LEAGUE MVP?	N/A
